DateTime,Entries,UniqueIPs
1535162442,10789,10789
1535164515,10798,10798
1535166527,10806,10806
1535168631,10802,10802
1535170575,10798,10798
1535172534,10594,10594
1535174406,10579,10579
1535176364,10731,10731
1535178250,10897,10897
1535180197,10891,10891
1535182087,10798,10798
1535184023,10462,10462
1535185942,10201,10201
1535187787,10154,10154
1535190025,10199,10199
1535191959,10393,10393
1535193883,10382,10382
1535195790,10370,10370
1535197721,10340,10340
1535199621,10395,10395
1535201563,10365,10365
1535203462,10312,10312
1535205393,10292,10292
1535207303,10274,10274
1535209252,10280,10280
1535211144,10311,10311
1535213069,10342,10342
1535215008,9674,9674
1535216903,8706,8706
1535219097,8201,8201
1535220977,8241,8241
1535223566,8280,8280
1535225535,8274,8274
1535227457,8277,8277
1535229632,8283,8283
1535231553,8281,8281
1535233476,8292,8292
1535235397,8257,8257
1535237310,8247,8247
1535239218,8128,8128
1535241141,8033,8033
1535243083,8034,8034
1535244979,8042,8042
1535246921,8051,8051
1535248855,8057,8057
1535250771,8046,8046
1535252769,8098,8098
1535254599,8106,8106
1535256511,8135,8135
1535258413,8140,8140
1535260336,8150,8150
1535262273,8170,8170
1535264219,7311,7311
1535266109,7288,7288
1535268014,7230,7230
1535270200,7228,7228
1535272349,7784,7784
1535274257,7793,7793
1535276197,7759,7759
1535278096,7717,7717
1535280014,7511,7511
1535281932,7497,7497
1535283857,7496,7496
1535285799,7410,7410
1535287697,7412,7412
1535289611,7411,7411
1535291555,7378,7378
1535293464,7350,7350
1535295388,7329,7329
1535297288,6559,6559
1535299245,6248,6248
1535301140,6242,6242
1535303074,6261,6261
1535304969,6250,6250
1535307434,6180,6180
1535309325,6202,6202
1535311222,6225,6225
1535313183,6215,6215
1535315618,6216,6216
1535317482,6568,6568
1535319375,7116,7116
1535321326,7122,7122
1535323222,7132,7132
1535325158,6895,6895
1535327061,4952,4952
1535328995,4856,4856
1535330906,6280,6280
1535332836,7426,7426
1535334787,8716,8716
1535336653,8732,8732
1535338621,8735,8735
1535340493,8741,8741
1535342484,8730,8730
1535344368,8596,8596
1535346279,8595,8595
1535348221,8593,8593
1535350124,8593,8593
1535352033,8585,8585
1535353977,8502,8502
1535355874,8582,8582
1535357809,8122,8122
1535359694,8166,8166
1535361636,8187,8187
1535363538,8178,8178
1535365487,8179,8179
1535367395,8224,8224
1535369319,8284,8284
1535371287,8359,8359
1535373165,8357,8357
1535375059,8406,8406
1535377018,8485,8485
1535378895,8490,8490
1535380860,8548,8548
1535382757,8554,8554
1535384667,8517,8517
1535386602,8575,8575
1535388505,8575,8575
1535390443,8560,8560
1535392362,8550,8550
1535394252,8490,8490
1535396222,8479,8479
1535398117,8457,8457
1535400353,8485,8485
1535402189,8484,8484
1535404105,7937,7937
1535406051,8065,8065
1535407944,8804,8804
1535409870,9627,9627
1535412052,10047,10047
1535413997,10050,10050
1535415884,9581,9581
1535417829,8210,8210
1535419717,7035,7035
1535421797,6070,6070
1535423786,6062,6062
1535425956,6062,6062
1535427860,6055,6055
1535429813,6053,6053
1535431720,6054,6054
1535433634,6050,6050
1535435547,6046,6046
1535437473,6044,6044
1535439397,6035,6035
1535441310,6023,6023
1535443273,6000,6000
1535445160,5970,5970
1535447086,5863,5863
1535449266,5845,5845
1535451151,5850,5850
1535453085,5850,5850
1535454986,5838,5838
1535456897,5594,5594
1535458824,5595,5595
1535460768,5591,5591
1535462667,5530,5530
1535464591,5483,5483
1535466500,5474,5474
1535468435,5416,5416
1535470347,5422,5422
1535472269,6840,6840
1535474214,8000,8000
1535476346,8012,8012
1535478286,8023,8023
1535480192,8036,8036
1535482120,8038,8038
1535484053,8046,8046
1535485957,8030,8030
1535487908,8047,8047
1535489804,8056,8056
1535491749,8073,8073
1535493642,8072,8072
1535495570,8105,8105
1535497489,8094,8094
1535499439,8092,8092
1535501326,8095,8095
1535503262,8098,8098
1535505154,8100,8100
1535507104,8097,8097
1535508991,8099,8099
1535510952,8099,8099
1535512826,8102,8102
1535514820,8104,8104
1535516683,8119,8119
1535518614,8119,8119
1535520502,8147,8147
1535522482,8166,8166
1535524355,8165,8165
1535526284,8166,8166
1535528199,8158,8158
1535530420,8184,8184
1535532253,8221,8221
1535534194,8268,8268
1535536108,9598,9598
1535538062,10534,10534
1535539938,11816,11816
1535541898,12936,12936
1535543774,15611,15611
1535546009,16421,16421
1535548097,16419,16419
1535550044,16424,16424
1535552118,16422,16422
1535554090,16437,16437
1535555970,16456,16456
1535557956,15750,15750
1535560077,13829,13829
1535562999,13892,13892
1535564918,14160,14160
1535566815,14188,14188
1535568757,14183,14183
1535570670,14187,14187
1535572888,14188,14188
1535574758,14770,14770
1535576719,14021,14021
1535578572,13278,13278
1535580529,12606,12606
1535582578,13188,13188
1535584609,13957,13957
1535586514,14795,14795
1535588438,14802,14802
1535590347,14801,14801
1535592308,14807,14807
1535594216,14812,14812
1535596115,14818,14818
1535598072,14816,14816
1535599961,14936,14936
1535601886,14917,14917
1535604039,14938,14938
1535605960,14930,14930
1535607879,14926,14926
1535609798,14913,14913
1535611740,14913,14913
1535613613,14913,14913
1535615536,14908,14908
1535617477,15276,15276
1535619379,15462,15462
1535621308,15186,15186
1535623236,14203,14203
1535625155,13267,13267
1535627062,12290,12290
1535629009,10392,10392
1535630925,7797,7797
1535632845,7764,7764
1535634767,7763,7763
1535636899,7812,7812
1535638843,7818,7818
1535640875,7826,7826
1535642894,7794,7794
1535645808,7789,7789
1535647720,7836,7836
1535649639,7834,7834
1535651554,7623,7623
1535653477,7594,7594
1535655392,7610,7610
1535657322,7603,7603
1535659352,7636,7636
1535661164,6945,6945
1535663064,6938,6938
1535664975,6943,6943
1535666925,6940,6940
1535668840,6940,6940
1535670738,6946,6946
1535672680,6952,6952
1535674603,6951,6951
1535676522,6946,6946
1535678439,7263,7263
1535680352,8564,8564
1535682273,9440,9440
1535684182,9439,9439
1535686113,9315,9315
1535688033,9916,9916
1535690187,10771,10771
1535692130,10771,10771
1535694055,10779,10779
1535695942,10773,10773
1535697875,10769,10769
1535699808,10776,10776
1535701721,10773,10773
1535703665,10455,10455
1535706727,10155,10155
1535708675,10027,10027
1535710607,10033,10033
1535712499,10039,10039
1535714419,10059,10059
1535716347,10064,10064
1535718513,10078,10078
1535720455,10089,10089
1535722360,10073,10073
1535724282,10075,10075
1535726171,10022,10022
1535728114,10021,10021
1535730273,10020,10020
1535732202,10039,10039
1535734093,10199,10199
1535736029,10197,10197
1535737961,10196,10196
1535739872,10203,10203
1535741815,10200,10200
1535743693,10208,10208
1535746612,10268,10268
1535748521,10320,10320
1535750445,10319,10319
1535752338,10310,10310
1535754286,10479,10479
1535756197,10480,10480
1535758116,10476,10476
1535761008,10492,10492
1535762905,10493,10493
1535764845,10500,10500
1535766757,10509,10509
1535768672,10413,10413
1535770594,9968,9968
1535772489,9003,9003
1535775390,7069,7069
1535777325,7167,7167
1535779243,7224,7224
1535781147,7247,7247
1535783072,7243,7243
1535785018,8384,8384
1535786915,8384,8384
1535788858,8398,8398
1535790759,8385,8385
1535792676,8387,8387
1535794602,8372,8372
1535796527,8390,8390
1535798437,8411,8411
1535800366,8432,8432
1535802273,8454,8454
1535804191,8517,8517
1535806125,8553,8553
1535808043,8569,8569
1535809955,8566,8566
1535811880,8580,8580
1535813795,8590,8590
1535815722,8869,8869
1535817652,8884,8884
1535819793,8901,8901
1535821727,8837,8837
1535823644,8855,8855
1535825547,8866,8866
1535827469,8835,8835
1535829406,8822,8822
1535831334,8777,8777
1535833239,8772,8772
1535835169,8721,8721
1535837074,8722,8722
1535839004,8724,8724
1535840919,8535,8535
1535842850,8273,8273
1535844889,7765,7765
1535847269,7071,7071
1535849557,6655,6655
1535851464,6660,6660
1535853370,6665,6665
1535855296,6659,6659
1535857287,6411,6411
1535859152,6259,6259
1535861086,6260,6260
1535863226,6058,6058
1535865399,5960,5960
1535867315,5897,5897
1535869253,5913,5913
1535871162,4875,4875
1535873060,4888,4888
1535874981,4895,4895
1535876920,5597,5597
1535878880,5608,5608
1535880760,5600,5600
1535882668,5576,5576
1535884837,5451,5451
1535886745,5449,5449
1535888677,5434,5434
1535890612,5363,5363
1535892499,5329,5329
1535894435,5296,5296
1535896340,5278,5278
1535898276,5260,5260
1535900174,5239,5239
1535902359,5067,5067
1535904272,7004,7004
1535906445,8329,8329
1535908363,8771,8771
1535910282,8749,8749
1535912210,8720,8720
1535914100,8694,8694
1535916067,8672,8672
1535917960,8709,8709
1535919879,8715,8715
1535921781,8759,8759
1535923711,8772,8772
1535925656,8786,8786
1535927565,8765,8765
1535930571,8769,8769
1535932865,9320,9320
1535934751,10510,10510
1535936671,11689,11689
1535938596,12703,12703
1535940745,12723,12723
1535942669,12738,12738
1535944585,12739,12739
1535946504,12740,12740
1535948433,12766,12766
1535950361,12837,12837
1535952287,12833,12833
1535954191,12826,12826
1535956109,12896,12896
1535958078,12887,12887
1535959955,12813,12813
1535961887,12811,12811
1535964017,12141,12141
1535966195,12150,12150
1535968106,12153,12153
1535970031,12150,12150
1535971951,12092,12092
1535973880,12115,12115
1535975800,12120,12120
1535977704,12135,12135
1535980593,12045,12045
1535982503,12042,12042
1535984448,12042,12042
1535986349,12050,12050
1535988261,12102,12102
1535990182,10489,10489
1535992093,9405,9405
1535994032,8600,8600
1535995961,8642,8642
1535997865,8640,8640
1536000016,8646,8646
1536002202,8668,8668
1536004104,8667,8667
1536006169,8662,8662
1536008475,8597,8597
1536010366,8564,8564
1536012289,8564,8564
1536014418,8646,8646
1536016814,8658,8658
1536018755,8459,8459
1536020683,7147,7147
1536022596,6078,6078
1536024524,4846,4846
1536026445,4848,4848
1536028377,4881,4881
1536030290,4889,4889
1536032212,4901,4901
1536034100,4910,4910
1536036042,5035,5035
1536037964,5047,5047
1536039905,5058,5058
1536041814,5072,5072
1536043961,4823,4823
1536045995,4814,4814
1536048029,4787,4787
1536049937,4776,4776
1536051873,4772,4772
1536053771,4763,4763
1536055750,4760,4760
1536057639,4746,4746
1536059549,4713,4713
1536061459,4735,4735
1536063416,4755,4755
1536065301,4755,4755
1536067241,4725,4725
1536069165,4725,4725
1536071065,4729,4729
1536073017,4764,4764
1536074900,4316,4316
1536076871,4095,4095
1536078751,4125,4125
1536080685,4055,4055
1536082589,4074,4074
1536084517,4013,4013
1536086432,4085,4085
1536088356,4170,4170
1536090518,4212,4212
1536092443,4256,4256
1536094377,4281,4281
1536096439,4309,4309
1536098417,4323,4323
1536100346,4339,4339
1536102527,4248,4248
1536104419,4256,4256
1536106354,4277,4277
1536108277,4183,4183
1536110198,4182,4182
1536112099,4192,4192
1536114024,4194,4194
1536115944,4154,4154
1536117873,4161,4161
1536119786,4147,4147
1536121709,4028,4028
1536123646,4028,4028
1536125547,4063,4063
1536127465,4046,4046
1536129642,3980,3980
1536131555,4439,4439
1536133491,6436,6436
1536135385,8186,8186
1536137300,8640,8640
1536139219,8655,8655
1536141164,8652,8652
1536143065,8657,8657
