DateTime,Entries,UniqueIPs
1530389779,3,3
1530418585,4,4
1530428180,5,5
1530435861,5,5
1530439720,4,4
1530443551,3,3
1530451474,5774,5774
1530455292,5,5
1530458175,6,6
1530482176,7,7
1530504503,6,6
1530514099,5,5
1530517971,6,6
1530521723,5,5
1530539675,3,3
1530545544,2,2
1530569017,1,1
1530588750,3,3
1530596654,4,4
1530604359,3,3
1530622341,4,4
1530646035,5,5
1530663864,6,6
1530674413,5,5
1530676338,4,4
1530678259,6,6
1530682101,5,5
1530694899,6,6
1530701362,7,7
1530708978,6,6
1530719793,7,7
1530727894,8,8
1530731789,7,7
1530735620,8,8
1530749070,7,7
1530754815,8,8
1530760825,9,9
1530764670,7,7
1530780017,6,6
1530787720,5,5
1530802360,6,6
1530806201,5,5
1530814823,4,4
1530822755,3,3
1530841954,2,2
1530872595,3,3
1530882289,4,4
1530886581,5,5
1530888918,4,4
1530908192,6,6
1530915873,7,7
1530921677,8,8
1530929313,8,8
1530950699,9,9
1530958598,8,8
1530970096,7,7
1530972072,6,6
1530995072,4,4
1531001806,3,3
1531006830,2,2
1531016918,1,1
1531034440,0,0
1531042599,1,1
1531054350,2,2
1531076508,3,3
1531082184,4,4
1531092266,5,5
1531105464,7,7
1531129725,7,7
1531141493,6,6
1531149173,7,7
1531160662,8,8
1531162575,8,8
1531169409,7,7
1531179158,7,7
1531182975,8,8
1531192593,6,6
1531231473,5,5
1531235310,4,4
1531246816,3,3
1531248750,2,2
1531258353,3,3
1531262196,4,4
1531264128,3,3
1531269855,2,2
1531277600,4,4
1531285729,5,5
1531302996,6,6
1531314512,7,7
1531322191,8,8
1531324111,9,9
1531332259,10,10
1531344030,9,9
1531348104,8,8
1531353875,9,9
1531363465,8,8
1531365402,7,7
1531373053,8,8
1531387947,9,9
1531389898,8,8
1531409089,7,7
1531410989,6,6
1531417978,5,5
1531419864,6,6
1531421773,5,5
1531440098,4,4
1531453460,3,3
1531459486,2,2
1531466431,3,3
1531474108,2,2
1531477946,3,3
1531479884,4,4
1531483733,5,5
1531491650,6,6
1531505071,5,5
1531506997,6,6
1531516591,1608,1608
1531520427,1632,1632
1531585994,1633,1633
1531588155,1634,1634
1531618131,1635,1635
1531626348,1636,1636
1531659193,1637,1637
1531669773,1638,1638
1531675254,1639,1639
1531704299,1640,1640
1531803923,1641,1641
1531865564,2,2
1531871299,3,3
1531884760,4,4
1531890504,3,3
1531894362,4,4
1531913575,5,5
1531930838,4,4
1531940432,5,5
1531944524,6,6
1531946441,7,7
1531957983,6,6
1531971388,5,5
1531977418,6,6
1531981268,5,5
1531985294,6,6
1531998752,5,5
1532004525,6,6
1532027453,5,5
1532031390,4,4
1532033291,3,3
1532037402,4,4
1532059008,5,5
1532064989,5,5
1532072671,4,4
1532088060,5,5
1532089954,4,4
1532114893,5,5
1532138181,6,6
1532144238,5,5
1532152136,4,4
1532167741,5,5
1532175457,4,4
1532181147,5,5
1532183124,6,6
1532198473,5,5
1532200600,4,4
1532224094,3,3
1532233694,4,4
1532261309,5,5
1532267057,4,4
1532268980,3,3
1532278755,4,4
1532282681,3,3
1532286515,4,4
1532321301,3,3
1532325138,4,4
1532327113,5,5
1532347269,4,4
1532355154,5,5
1532359001,6,6
1532364747,5,5
1532372656,6,6
1532374577,5,5
1532401249,7,7
1532410823,8,8
1532412759,6,6
1532444171,7,7
1532446101,7,7
1532451865,8,8
1532459667,7,7
1532461722,8,8
1532469393,7,7
1532486739,6,6
1532488583,7,7
1532498480,6,6
1532509950,7,7
1532515724,6,6
1532531343,5,5
1532533246,4,4
1532537314,4,4
1532548859,3,3
1532569988,4,4
1532573818,3,3
1532581519,4,4
1532594900,3,3
1532604832,4,4
1532610527,5,5
1532624410,4,4
1532639556,12,12
1532656361,11,11
1532665970,12,12
1532667886,12,12
1532691633,12,12
1532697387,11,11
1532726680,4,4
1532743480,5,5
1532751165,4,4
1532755004,3,3
1532760755,4,4
1532778742,3,3
1532780653,4,4
1532784491,3,3
1532792172,4,4
1532826098,5,5
1532829863,4,4
1532845456,3,3
1532866607,2,2
1532889859,3,3
1532893717,4,4
1532901875,5,5
1532911454,4,4
1532928507,5,5
1532932368,6,6
1532947706,7,7
1532953473,8,8
1532955395,9,9
1532965001,10,10
1532968820,11,11
1532976503,10,10
1532980840,9,9
1532986811,8,8
1533000513,9,9
1533015866,9,9
1533017809,9,9
1533023591,10,10
1533033418,9,9
1533037245,10,10
1533041067,9,9
1533043017,8,8
1533050902,7,7
1533056920,6,6
1533077314,5,5
1533083070,6,6
1533086791,5,5
1533102167,4,4
1533103967,4,4
1533109801,3,3
1533117441,4,4
1533124315,3,3
1533145705,4,4
1533166480,5,5
1533170177,4,4
1533174014,5,5
1533189371,4,4
1533204763,6,6
1533218667,8,8
1533220573,9,9
1533228742,11,11
1533232882,10,10
1533259962,9,9
1533265727,8,8
1533275309,9,9
1533286882,11,11
1533292604,10,10
1533294510,9,9
1533304339,7,7
1533306271,6,6
1533314421,6,6
1533329775,5,5
1533349461,6,6
1533361005,6,6
1533364823,7,7
1533372497,6,6
1533384054,5,5
1533387870,6,6
1533401539,5,5
1533403465,6,6
1533423836,7,7
1533427694,6,6
1533435674,5,5
1533447245,5,5
1533452937,4,4
1533458919,5,5
1533472819,4,4
1533490353,3,3
1533507620,4,4
1533524916,3,3
1533532592,2,2
1533544120,3,3
1533586181,4,4
1533590052,5,5
1533593872,4,4
1533605387,5,5
1533609214,7,7
1533616875,8,8
1533631460,7,7
1533633383,8,8
1533645172,9,9
1533647060,8,8
1533672559,8,8
1533676453,7,7
1533678275,8,8
1533684343,9,9
1533692054,8,8
1533693860,7,7
1533695936,6,6
1533703693,5,5
1533709453,6,6
1533718968,5,5
1533730842,4,4
1533734706,5,5
1533765913,4,4
1533769801,3,3
1533786972,4,4
1533794679,3,3
1533813871,4,4
1533821789,3,3
1533831408,4,4
1533836060,5,5
1533839773,4,4
1533858977,5,5
1533873222,4,4
1533900109,3,3
1533921307,2,2
1533930916,1,1
1533942775,0,0
1533957151,1,1
1533976346,2,2
1533980188,3,3
1534044747,2,2
1534062028,1,1
1534063941,0,0
1534082448,1,1
1534129243,2,2
1534138818,3,3
1534142674,4,4
1534170506,3,3
1534176258,4,4
1534187771,5,5
1534193528,6,6
1534197383,7,7
1534203779,8,8
1534215166,7,7
1534225846,6,6
1534229706,5,5
1534243209,6,6
1534260920,5,5
1534272791,4,4
1534280469,3,3
1534282357,2,2
1534290021,1,1
1534299880,2,2
1534319078,3,3
1534328659,3,3
1534372976,4,4
1534379303,5,5
1534385300,4,4
1534394903,5,5
1534406496,4,4
1534414103,3,3
1534458496,2,2
1534465710,2,2
1534469547,3,3
1534479384,4,4
1534481568,3,3
1534551622,2,2
1534557372,1,1
1534565419,1,1
1534586928,2,2
1534598443,3,3
1534604207,4,4
1534634849,5,5
1534644757,6,6
1534652426,5,5
1534673565,4,4
1534683144,3,3
1534690877,2,2
1534720334,1,1
1534729028,0,0
1534754906,1,1
1534815614,2,2
1534842759,1,1
1534899702,0,0
1534913213,1,1
1534982670,2,2
1534986662,3,3
1535000166,2,2
1535030889,3,3
1535069810,2,2
1535071717,1,1
1535102436,2,2
1535116109,1,1
1535147771,2,2
1535155495,3,3
1535188608,2,2
1535198185,3,3
1535206968,4,4
1535214762,5,5
1535233478,4,4
1535239219,6,6
1535243084,5,5
1535252780,6,6
1535258415,7,7
1535285800,6,6
1535291557,7,7
1535293465,7,7
1535301141,6,6
1535325161,5,5
1535327063,5,5
1535338637,4,4
1535342495,5,5
1535344369,4,4
1535378896,2,2
1535407946,3,3
1535409879,4,4
1535412054,3,3
1535425957,4,4
1535427861,4,4
1535435550,5,5
1535447088,6,6
1535494592,5,5
1535496496,5,5
1535508037,6,6
1535511868,7,7
1535513802,5,5
1535515703,6,6
1535521466,5,5
1535527216,6,6
1535532998,5,5
1535538971,6,6
1535557958,7,7
1535578574,8,8
1535582581,7,7
1535594217,6,6
1535598102,5,5
1535604040,4,4
1535613615,3,3
1535619380,4,4
1535625157,3,3
1535644885,2,2
1535664044,1,1
1535667876,2,2
1535707141,1,1
1535728801,2,2
1535734601,3,3
1535738481,4,4
1535753799,3,3
1535759546,4,4
1535765302,5,5
1535782594,6,6
1535788371,7,7
1535811394,8,8
1535815234,7,7
1535822891,6,6
1535825794,5,5
1535836599,6,6
1535846196,5,5
1535850084,4,4
1535867317,5,5
1535869255,4,4
1535874983,3,3
1535886746,4,4
1535892501,5,5
1535896341,4,4
1535900175,5,5
1535910283,6,6
1535914101,7,7
1535923713,6,6
1535934761,7,7
1535954193,6,6
1535973881,5,5
1535979671,4,4
1535987318,3,3
1535996900,2,2
1536000749,2,2
1536004602,3,3
1536006518,4,4
1536010367,5,5
1536016816,6,6
1536020685,7,7
1536022598,6,6
1536028378,7,7
1536030291,8,8
1536048996,9,9
1536064363,10,10
1536080690,11,11
1536088359,10,10
1536092445,8,8
1536098419,8,8
1536102529,7,7
1536106355,6,6
1536115946,4,4
1536135387,3,3
