DateTime,Entries,UniqueIPs
1534944276,69,69
1534946171,68,68
1534948118,65,65
1534950064,66,66
1534951957,64,64
1534955795,65,65
1534959830,65,65
1534961642,67,67
1534965382,67,67
1534967554,68,68
1534969452,65,65
1534971677,64,64
1534973549,64,64
1534975480,64,64
1534977443,65,65
1534979344,68,68
1534983394,70,70
1534985301,69,69
1534987487,66,66
1534989377,66,66
1534993288,65,65
1534995165,67,67
1534999001,65,65
1535000899,66,66
1535004757,67,67
1535008592,66,66
1535010501,65,65
1535014377,65,65
1535016260,66,66
1535020094,66,66
1535022075,68,68
1535023964,69,69
1535025888,71,71
1535027775,73,73
1535029718,74,74
1535031630,73,73
1535033564,72,72
1535035459,73,73
1535037615,72,72
1535039556,74,74
1535041468,73,73
1535045304,70,70
1535047276,68,68
1535049160,69,69
1535051066,69,69
1535052992,69,69
1535054892,64,64
1535058758,66,66
1535060659,73,73
1535062582,75,75
1535064502,73,73
1535066421,74,74
1535068447,74,74
1535070258,74,74
1535072183,73,73
1535082042,72,72
1535084186,73,73
1535091861,75,75
1535097682,77,77
1535099568,75,75
1535101464,76,76
1535109141,76,76
1535111055,75,75
1535112999,71,71
1535114895,73,73
1535116841,72,72
1535120912,71,71
1535122890,70,70
1535124767,70,70
1535126662,68,68
1535128590,67,67
1535132868,69,69
1535139148,66,66
1535141095,66,66
1535142981,67,67
1535144936,67,67
1535146832,57,57
1535149030,56,56
1535153078,57,57
1535154987,55,55
1535156867,53,53
1535158880,54,54
1535160732,54,54
1535162654,55,55
1535166529,57,57
1535168633,55,55
1535170577,53,53
1535172536,56,56
1535176372,57,57
1535178252,56,56
1535180199,58,58
1535182089,59,59
1535185225,61,61
1535187157,59,59
1535189060,61,61
1535190980,62,62
1535192897,61,61
1535195794,59,59
1535197723,59,59
1535199623,58,58
1535201565,58,58
1535207305,61,61
1535209280,62,62
1535211146,61,61
1535213071,62,62
1535215010,63,63
1535220979,62,62
1535223569,69,69
1535225538,69,69
1535231556,69,69
1535233479,71,71
1535235407,70,70
1535237313,76,76
1535239220,74,74
1535241144,78,78
1535243085,80,80
1535244988,81,81
1535246924,80,80
1535248894,81,81
1535250774,78,78
1535252795,77,77
1535256517,76,76
1535258416,73,73
1535260339,72,72
1535262276,71,71
1535264222,71,71
1535268017,71,71
1535274260,69,69
1535276199,70,70
1535278098,71,71
1535280017,71,71
