DateTime,Entries,UniqueIPs
1535170579,3892,3892
1535172537,3656,3656
1535174409,3644,3644
1535176373,4090,4090
1535178253,4550,4550
1535180199,4479,4479
1535182089,4204,4204
1535184061,3379,3379
1535185944,2656,2656
1535187789,2617,2617
1535190029,2592,2592
1535191962,2776,2776
1535193886,2763,2763
1535195795,2761,2761
1535197725,2735,2735
1535199625,2816,2816
1535201566,2796,2796
1535203465,2771,2771
1535205397,2746,2746
1535207306,2725,2725
1535209281,2716,2716
1535211151,2718,2718
1535213072,2720,2720
1535215011,2719,2719
1535216907,2720,2720
1535219101,2727,2727
1535220980,2728,2728
1535223569,2726,2726
1535225538,2728,2728
1535227460,2731,2731
1535229635,2740,2740
1535231557,2739,2739
1535233480,2758,2758
1535235408,2721,2721
1535237313,2731,2731
1535239221,2711,2711
1535241145,2557,2557
1535243086,2551,2551
1535244989,2558,2558
1535246925,2559,2559
1535248895,2548,2548
1535250774,2511,2511
1535252798,2514,2514
1535254602,2507,2507
1535256517,2508,2508
1535258416,2521,2521
1535260340,2517,2517
1535262277,2562,2562
1535264227,1331,1331
1535266112,1333,1333
1535268018,1334,1334
1535270204,1324,1324
1535272352,2157,2157
1535274261,2159,2159
1535276200,2161,2161
1535278099,2158,2158
1535280018,1911,1911
1535281936,1896,1896
1535283860,1902,1902
1535285802,1778,1778
1535287700,1783,1783
1535289614,1782,1782
1535291559,1752,1752
1535293467,1749,1749
1535295392,1744,1744
1535297291,1744,1744
1535299291,1794,1794
1535301143,1786,1786
1535303079,2812,2812
1535304972,2811,2811
1535307437,2808,2808
1535309330,2809,2809
1535311226,2842,2842
1535313187,2838,2838
1535315622,2937,2937
1535317486,2918,2918
1535319378,2957,2957
1535321329,2961,2961
1535323226,2952,2952
1535325163,2950,2950
1535327065,2952,2952
1535328998,2951,2951
1535330909,2944,2944
1535332839,2944,2944
1535334791,2941,2941
1535336657,2938,2938
1535338639,2943,2943
1535340497,2945,2945
1535342504,2942,2942
1535344371,2792,2792
1535346284,2767,2767
1535348231,2798,2798
1535350128,2796,2796
1535352038,2804,2804
1535353981,2801,2801
1535355878,2810,2810
1535357813,2081,2081
1535359697,1869,1869
1535361640,1870,1870
1535363541,1872,1872
1535365496,1867,1867
1535367399,1872,1872
1535369330,1873,1873
1535371300,1875,1875
1535373168,1874,1874
1535375062,1955,1955
1535377022,2011,2011
1535378899,2005,2005
1535380864,2008,2008
1535382760,2013,2013
1535384670,1962,1962
1535386606,2046,2046
1535388508,2046,2046
1535390447,1020,1020
1535392366,1026,1026
1535394256,1027,1027
1535396226,1030,1030
1535398123,1002,1002
1535400357,1006,1006
1535402193,893,893
1535404108,894,894
1535406055,2131,2131
1535407951,3437,3437
1535409880,4913,4913
1535412056,5615,5615
1535414011,5615,5615
1535415887,5620,5620
1535417832,5621,5621
1535419721,5622,5622
1535421800,5624,5624
1535423789,5624,5624
1535425960,5621,5621
1535427863,5624,5624
1535429817,5624,5624
1535431723,5611,5611
1535433638,5619,5619
1535435551,5619,5619
1535437476,5619,5619
1535439401,5609,5609
1535441313,5607,5607
1535443284,5610,5610
1535445164,5610,5610
1535447090,5607,5607
1535449269,5608,5608
1535451154,5607,5607
1535453089,5605,5605
1535454989,5608,5608
1535456901,5605,5605
1535458828,5605,5605
1535460772,5608,5608
1535462671,5540,5540
1535464595,5524,5524
1535466504,5520,5520
1535468486,5513,5513
1535470351,5514,5514
1535472273,5516,5516
1535474218,5544,5544
1535476350,5548,5548
1535478291,5548,5548
1535480196,5553,5553
1535482124,5551,5551
1535484057,5550,5550
1535485961,5542,5542
1535487912,5551,5551
1535489807,5553,5553
1535491752,5576,5576
1535493690,5578,5578
1535495573,5577,5577
1535497501,5492,5492
1535499442,5492,5492
1535501330,5492,5492
1535503265,5492,5492
1535505159,5579,5579
1535507108,5582,5582
1535508994,5587,5587
1535510956,5588,5588
1535512834,5584,5584
1535514824,5587,5587
1535516687,5585,5585
1535518617,5584,5584
1535520505,5599,5599
1535522486,5600,5600
1535524358,5600,5600
1535526294,5602,5602
1535528203,5603,5603
1535530424,5603,5603
1535532257,5624,5624
1535534198,5625,5625
1535536112,5733,5733
1535538066,5736,5736
1535539948,5739,5739
1535541901,5738,5738
1535543777,5738,5738
1535546014,5743,5743
1535548101,5741,5741
1535550047,5743,5743
1535552122,5745,5745
1535554093,5747,5747
1535555974,5828,5828
1535557960,5796,5796
1535560082,5677,5677
1535563010,5677,5677
1535564922,5674,5674
1535566819,5674,5674
1535568763,5677,5677
1535570674,5688,5688
1535572912,5689,5689
1535574768,7648,7648
1535576723,6212,6212
1535578576,4848,4848
1535580534,3712,3712
1535582584,4941,4941
1535584614,6329,6329
1535586518,7754,7754
1535588442,7752,7752
1535590351,7761,7761
1535592312,7772,7772
1535594220,7771,7771
1535596119,7781,7781
1535598105,7785,7785
1535599965,7793,7793
