DateTime,AddedIPs,RemovedIPs
1535170582,8,12
1535172537,12,25
1535174409,7,7
1535176373,6,2
1535178254,12,10
1535180200,10,13
1535182090,12,11
1535184066,23,9
1535185945,6,14
1535187790,6,26
1535190030,7,36
1535191962,12,33
1535193886,9,24
1535195796,8,15
1535197725,0,23
1535199626,7,14
1535201567,7,15
1535203465,7,43
1535205397,8,15
1535207306,2,23
1535209281,3,17
1535211152,5,10
1535213072,10,10
1535215012,5,11
1535216907,4,26
1535219102,7,12
1535220981,0,18
1535223570,5,31
1535225539,4,31
1535227460,4,16
1535229636,3,19
1535231557,5,11
1535233480,5,8
1535235408,3,15
1535237314,9,17
1535239221,4,15
1535241145,4,6
1535243087,4,9
1535244989,4,5
1535246925,8,11
1535248895,9,11
1535250775,11,2
1535252799,3,14
1535254602,10,12
1535256518,7,11
1535258417,4,11
1535260340,8,6
1535262277,4,6
1535264234,9,17
1535266113,6,10
1535268018,3,12
1535270205,10,15
1535272353,5,23
1535274261,3,8
1535276201,9,9
1535278099,2,7
1535280018,14,19
1535281936,8,9
1535283860,4,3
1535285802,5,4
1535287700,3,12
1535289615,5,9
1535291559,9,6
1535293467,5,6
1535295392,10,7
1535297292,7,8
1535299293,12,12
1535301143,12,4
1535303079,15,5
1535304973,9,9
1535307437,7,4
1535309331,6,3
1535311226,8,5
1535313187,8,3
1535315623,11,5
1535317486,6,2
1535319378,7,6
1535321330,5,6
1535323227,8,5
1535325163,4,5
1535327065,11,2
1535328998,3,8
1535330909,3,2
1535332839,7,4
1535334791,4,5
1535336657,23,11
1535338639,12,5
1535340497,4,7
1535342504,6,4
1535344371,5,8
1535346285,6,2
1535348232,7,8
1535350128,6,5
1535352039,7,9
1535353982,8,4
1535355878,6,7
1535357813,6,4
1535359697,5,1
1535361640,4,5
1535363542,6,10
1535365497,4,7
1535367399,10,13
1535369330,11,6
1535371300,4,2
1535373169,5,2
1535375063,2,5
1535377022,5,7
1535378899,7,8
1535380869,4,9
1535382760,8,7
1535384670,10,12
1535386606,9,5
1535388509,6,11
1535390448,9,12
1535392366,12,7
1535394256,9,8
1535396227,4,8
1535398123,9,4
1535400357,7,7
1535402194,6,8
1535404108,7,8
1535406055,9,5
1535407951,8,4
1535409881,2,6
1535412056,6,6
1535414012,5,6
1535415888,5,4
1535417832,4,5
1535419721,6,8
1535421801,7,6
1535423789,14,22
1535425960,5,4
1535427864,4,3
1535429817,2,4
1535431723,4,3
1535433638,7,9
1535435558,7,6
1535437476,5,8
1535439401,6,8
1535441314,11,10
1535443284,10,5
1535445164,3,10
1535447090,6,7
1535449270,4,6
1535451155,7,5
1535453089,5,8
1535454990,8,9
1535456901,8,6
1535458829,8,6
1535460772,1,6
1535462671,6,6
1535464595,4,5
1535466505,5,7
1535468487,8,6
1535470351,8,7
1535472273,4,6
1535474218,9,6
1535476350,7,10
1535478291,12,11
1535480196,8,11
1535482124,5,12
1535484057,8,9
1535485962,9,5
1535487912,4,5
1535489808,6,7
1535491759,3,4
1535493690,8,17
1535495574,3,2
1535497502,4,3
1535499443,3,6
1535501330,6,4
1535503265,4,5
1535505159,7,4
1535507108,4,5
1535508995,3,14
1535510956,4,5
1535512835,3,4
1535514824,2,2
1535516688,9,6
1535518617,7,8
1535520505,10,9
1535522486,6,3
1535524358,7,5
1535526294,5,8
1535528203,4,7
1535530424,9,8
1535532257,2,5
1535534198,8,6
1535536112,13,5
1535538067,5,7
1535539948,6,3
1535541902,4,10
1535543778,14,11
1535546014,11,6
1535548101,17,3
1535550048,11,3
1535552123,6,5
1535554094,4,6
1535555974,4,7
1535557961,5,5
1535560082,8,9
1535563011,12,12
1535564923,4,7
1535566819,5,11
1535568763,5,8
1535570675,5,11
1535572912,6,10
1535574769,3,4
1535576724,10,6
1535578576,3,3
1535580535,6,8
1535582584,6,4
1535584614,4,6
1535586519,3,6
1535588443,4,4
1535590351,8,3
1535592312,23,9
1535594224,6,6
1535596120,4,2
1535598106,3,4
1535599965,6,3
1535601891,7,8
1535604043,6,8
1535605966,3,10
1535607884,6,3
1535609803,1,6
1535611745,4,8
1535613626,7,3
1535615542,2,3
1535617482,6,8
1535619383,5,5
1535621313,9,6
1535623283,4,11
1535625160,10,6
1535627067,5,2
1535629014,4,13
1535630931,3,8
1535632849,2,6
1535634778,2,13
1535636904,7,13
1535638849,9,6
1535640880,6,7
1535642899,9,6
1535644888,5,7
1535646761,0,10
1535648693,4,9
1535650612,7,5
1535652536,2,6
1535654419,5,6
1535656381,2,7
1535658280,5,4
1535660207,3,3
1535662096,5,9
1535664047,8,4
1535665947,2,4
1535667879,6,7
1535670078,3,5
1535671939,3,5
1535674127,4,5
1535676024,3,5
1535677976,4,19
1535679881,2,7
1535681802,3,6
1535683728,3,4
1535685646,5,8
1535687570,6,8
1535689465,5,1
1535691378,2,3
1535693557,4,5
1535695491,2,4
1535697392,3,6
1535699325,10,4
1535701231,1,7
1535703148,4,3
1535705075,2,7
1535707144,4,12
1535709155,7,5
1535711075,3,11
1535713008,2,5
1535715234,4,10
1535717100,4,7
1535718998,7,1
1535720926,7,5
1535722837,3,2
1535724759,8,8
1535726692,6,9
1535728803,5,10
1535730757,5,4
1535732669,8,1
1535734604,3,2
1535736630,5,7
1535738485,4,4
1535740351,7,3
1535742284,2,0
1535744225,12,8
1535746113,0,3
1535748026,2,2
1535749955,3,4
1535751886,5,5
1535753802,3,7
1535755712,3,5
1535757645,5,3
1535759549,5,5
1535761480,2,3
1535763390,4,4
1535765305,7,2
1535767312,7,2
1535769154,7,6
1535771074,2,2
1535773011,5,9
1535774929,6,6
1535776828,4,2
1535778763,38,4
1535780690,2,1
1535782605,4,3
1535784518,4,2
1535786440,4,5
1535788374,10,2
1535790273,14,1
1535792204,6,3
1535794104,2,3
1535796089,9,6
1535797951,4,2
1535799877,7,2
1535801796,4,5
1535803732,4,5
1535805626,18,7
1535807561,3,4
1535809473,6,6
1535811405,4,9
1535813310,6,5
1535815237,8,6
1535817172,6,4
1535819060,1,8
1535820979,6,4
1535822894,4,6
1535824890,3,9
1535827007,5,6
1535828911,3,3
1535830824,4,13
1535832770,5,0
1535834672,10,3
1535836603,3,6
1535838511,5,4
1535840424,2,3
1535842355,1,3
1535844280,2,4
1535846199,3,5
1535848106,3,1
1535850087,1,3
1535851965,2,3
1535853892,3,3
1535855802,5,2
1535857720,1,3
1535859658,3,7
1535861594,3,4
1535863476,2,4
1535865403,5,39
1535867319,5,2
1535869257,8,3
1535871166,3,5
1535873065,4,2
1535874985,3,9
1535876925,6,11
1535878903,5,8
1535880771,3,6
1535882678,6,6
1535884841,6,8
1535886749,1,5
1535888681,7,2
1535890617,4,7
1535892503,7,9
1535894439,6,3
1535896350,5,13
1535898280,8,2
1535900177,7,6
1535902363,883,9
1535904276,1522,9
1535906449,2343,2
1535908367,2100,4
1535910286,4,2
1535912214,4,4
1535914104,5,8
1535916071,4,5
1535917964,9,1
1535919883,3,5
1535921785,7,9
1535923715,3,5
1535925668,2,4
1535927569,4,6
1535930577,8,4
1535932887,4,5
1535934768,5,3
1535936676,4,1
1535938601,3,4
1535940750,4,5
1535942673,7,3
1535944589,13,1
1535946511,1,1
1535948445,2,3
1535950366,4,4
1535952293,3,5
1535954196,2,5
1535956113,3,5
1535958088,6,3
1535959966,4,5
1535961891,5,2
1535964027,4,6
1535966199,7,7
1535968110,8,3
1535970036,6,3
1535971955,1,7
1535973884,3,2
1535975805,4,5
1535977715,3,4
1535979694,4,6
1535981549,4,4
1535983486,3,2
1535985384,1,3
1535987321,4,2
1535989238,2,1423
1535991210,3,1387
1535993075,3,2420
1535994994,6,1650
1535996903,3,3
1535998846,3,6
1536000752,3,4
1536002673,12,3
1536004605,2,6
