DateTime,AddedIPs,RemovedIPs
1533933167,0,1
1533935075,0,2
1533936978,2,0
1533942777,0,2
1533956179,1,0
1533958111,3,2
1533960180,0,1
1533962173,0,1
1533967938,0,1
1533973714,0,2
1533979473,2,1
1533981370,1,1
1533985237,1,0
1533987137,0,1
1533993147,1,0
1533995060,4,1
1533997002,1,2
1534000724,0,1
1534002732,1,1
1534006592,2,0
1534008489,1,2
1534010465,0,1
1534012370,1,1
1534014271,0,1
1534016178,0,2
1534018118,1,0
1534020047,1,0
1534021945,0,1
1534023864,0,1
1534027704,1,0
1534032759,1,0
1534036590,1,0
1534042894,0,1
1534044749,0,3
1534048600,2,0
1534050526,2,0
1534052420,1,0
1534054343,1,0
1534058191,1,0
1534060124,1,0
1534062032,1,0
1534063948,1,0
1534065865,2,2
1534067800,0,1
1534069704,2,0
1534071661,0,1
1534073551,1,0
1534075487,2,0
1534079327,1,1
1534081232,2,3
1534083157,1,2
1534089046,1,1
1534091052,2,0
1534092989,0,2
1534094889,0,1
1534096875,1,0
1534098738,0,1
1534100657,1,0
1534104501,0,2
1534106475,1,1
1534108346,1,0
1534110271,1,0
1534114104,0,1
1534117958,1,0
1534119861,3,1
1534123700,1,1
1534125770,1,0
1534131858,1,0
1534133790,1,2
1534135712,0,1
1534137639,0,2
1534139559,1,1
1534141456,1,0
1534145291,1,1
1534147281,2,1
1534149157,0,1
1534151080,1,1
1534152978,1,1
1534154912,1,1
1534156817,1,1
1534158741,1,0
1534161612,2,3
1534163538,1,0
1534165459,1,1
1534167372,0,1
1534169822,3,2
1534175549,1,1
1534177470,0,2
1534181303,1,0
1534183287,0,1
1534187078,1,1
1534189003,1,0
1534193072,0,1
1534194974,0,1
1534197151,0,1
1534199058,1,0
1534203782,2,0
1534205666,0,4
1534207484,1,0
1534209385,1,1
1534211318,1,1
1534215169,1,0
1534217070,1,0
1534218996,0,2
1534220894,2,0
1534224769,1,1
1534228574,0,1
1534230543,3,1
1534234357,2,2
1534236256,0,1
1534238198,1,0
1534240095,0,1
1534242035,2,1
1534243938,0,2
1534245875,1,0
1534247776,2,1
1534249944,0,1
1534251860,0,1
1534253805,1,0
1534255700,0,3
1534259810,1,0
1534261696,0,1
1534263639,1,0
1534267457,0,1
1534271290,1,0
1534273282,0,1
1534275158,1,1
1534277233,1,0
1534279210,1,0
1534284976,3,1
1534286928,1,0
1534288819,1,2
1534294595,1,1
1534296492,0,1
1534298502,1,1
1534300341,0,1
1534304179,1,1
1534306130,2,0
1534308034,0,2
1534311877,0,1
1534313794,1,0
1534315694,1,0
1534317629,0,3
1534319548,0,2
1534323390,0,1
1534325291,2,0
1534327283,3,1
1534329162,2,0
1534332974,0,2
1534334931,1,1
1534340654,2,1
1534342574,0,1
1534344516,1,0
1534346419,0,1
1534348572,1,0
1534350488,0,2
1534356259,1,1
1534358432,2,0
1534362267,1,2
1534366093,0,1
1534370681,0,3
1534374767,2,2
1534380757,0,1
1534384510,0,1
1534390574,0,1
1534392523,1,2
1534394415,1,0
1534398253,1,0
1534400206,0,1
1534402102,1,1
1534404016,1,0
1534411718,0,2
1534413679,0,3
1534415558,0,2
1534417470,2,0
1534421325,1,1
1534427066,1,2
1534429000,0,1
1534434771,0,2
1534442455,1,1
1534444336,0,1
1534446155,0,1
1534450012,0,1
1534459708,0,1
1534461551,0,1
1534465713,1,0
1534473407,1,0
1534479387,1,1
1534481571,0,1
1534485383,2,1
1534487310,0,1
1534491168,0,1
1534494987,1,0
1534502667,0,1
1534504610,0,1
1534506503,1,1
1534510364,1,0
1534512283,0,1
1534526204,1,0
1534528095,1,1
1534551625,1,0
1534553561,0,1
1534557375,1,0
1534559558,0,1
1534565422,0,1
1534569333,1,0
1534571309,0,1
