DateTime,AddedIPs,RemovedIPs
1533427697,1,0
1533433697,0,2
1533437540,0,1
1533441373,0,1
1533443397,1,0
1533451060,0,1
1533452940,0,1
1533454966,0,2
1533461082,0,1
1533480509,0,1
1533482678,1,1
1533484589,0,1
1533486520,0,1
1533490356,0,1
1533505715,1,0
1533513424,0,1
1533530683,0,1
1533540292,1,0
1533542188,3,0
1533544123,1,0
1533546079,1,0
1533547966,1,0
1533553732,2,0
1533557592,1,0
1533561406,1,0
1533563318,1,0
1533569074,2,1
1533588041,1,0
1533591876,0,1
1533601522,1,0
1533611079,1,0
1533614927,3,0
1533616878,4,0
1533620728,1,0
1533627632,4,2
1533629567,0,3
1533631463,1,1
1533633386,1,0
1533635325,1,1
1533639161,0,2
1533645175,0,1
1533649000,0,1
1533650918,1,1
1533652823,1,0
1533656672,0,1
1533658605,1,0
1533670594,1,0
1533674435,2,1
1533688185,0,1
1533697938,0,1
1533701775,0,4
1533703700,0,3
1533707531,0,1
1533713295,0,3
1533715123,0,1
1533717142,0,1
1533718974,0,1
1533723182,0,1
1533736583,0,1
1533738508,0,2
1533742379,1,0
1533744286,0,1
1533756263,0,1
1533760098,2,0
1533762073,0,2
1533783145,1,0
1533790888,1,0
1533796612,1,0
1533806198,1,0
1533810039,2,0
1533813874,1,0
1533815778,1,0
1533827548,1,1
1533829478,2,0
1533831411,1,0
1533836063,3,0
1533837882,1,0
1533839776,1,0
1533845565,0,1
1533847462,1,1
1533849398,1,0
1533855166,1,0
1533861736,2,0
1533867385,1,0
1533869434,1,1
1533875064,1,0
1533877131,0,1
1533882973,2,1
1533888619,1,0
1533892444,0,1
1533894279,1,0
1533896247,0,2
1533900112,0,1
1533901947,0,1
1533907828,1,0
1533915525,1,3
1533917494,0,1
1533921311,0,1
1533923190,0,2
1533925000,0,2
1533935076,0,2
1533940822,0,1
1533950454,1,0
1533960181,1,0
1533969877,1,0
1533985240,2,9
1533987137,1,0
1533991221,1,0
1533993148,0,1
1533995061,1,0
1533997003,2,0
1534000730,0,1
1534008490,2,0
1534014272,1,0
1534020048,1,0
1534027705,1,0
1534036591,0,1
1534042895,2,0
1534046670,1,1
1534048600,1,0
1534056265,1,1
1534065865,1,0
1534071686,0,2
1534073552,2,1
1534079327,0,1
1534083158,1,2
1534085057,1,1
1534094889,0,2
1534098739,1,0
1534100657,0,1
1534106476,1,1
1534108347,1,0
1534112214,2,0
1534114104,0,1
1534119862,1,0
1534121795,1,0
1534123701,1,0
1534125770,1,0
1534127790,2,0
1534129958,1,1
1534131859,1,1
1534133791,1,0
1534135713,0,1
1534137640,1,0
1534139559,1,0
1534141457,1,0
1534143398,0,1
1534147282,4,0
1534151081,1,1
1534152979,1,0
1534154913,1,0
1534158742,0,1
1534161613,4,1
1534163539,2,0
1534165459,1,0
1534167373,2,0
1534169823,1,1
1534171707,1,1
1534181304,1,0
1534191091,1,0
1534193073,0,2
1534205667,0,1
1534207484,0,1
1534209386,0,1
1534213230,2,2
1534217071,0,1
1534218997,0,2
1534224770,0,1
1534226666,0,1
1534228575,0,1
1534234358,0,5
1534238199,0,2
1534242036,0,1
1534245875,0,1
