DateTime,AddedIPs,RemovedIPs
1531681654,1,0
1531687306,1,0
1531693759,1,0
1531729763,1,0
1531754703,1,0
1531798190,1,0
1531865570,0,5963
1531882844,0,1
1531913075,1,0
1531923649,1,0
1531957987,22,0
1531959864,955,0
1531961798,1802,0
1531963706,3026,0
1532006421,1,0
1532045347,0,404
1532047235,0,1347
1532049415,0,2863
1532051333,0,1193
1532072675,1,0
1532091886,0,1
1532156052,0,1
1532185945,1,0
1532197462,1,0
1532232262,1,0
1532238300,1,0
1532273069,0,1
1532284578,0,1
1532317506,0,1
1532323229,0,1
1532336911,1,0
1532355158,1,0
1532422896,1,0
1532424745,0,1
1532442266,0,1
1532449982,1,0
1532467461,1,0
1532508040,0,1
1532513788,1,0
1532517622,1,0
1532527306,1,0
1532535403,0,1
1532554645,0,1
1532600955,0,1
1532602891,0,1
1532612479,1,0
1532614354,0,1
1532637672,1,0
1532658275,1,0
1532677980,1,0
1532683961,1,0
1532699323,0,1
1532722833,0,1
1532743485,0,1
1532762683,1,0
1532764592,0,1
1532770360,0,1
1532778745,1,0
1532819597,1,0
1532833695,1,0
1532849297,0,1
1532866610,0,1
1532870453,1,0
1532876094,1,0
1532899689,2,0
1532905736,0,1
1532919700,0,1
1532936919,1,0
1532958017,0,1
1532962113,0,1
1532985154,0,1
1532987101,0,1
1532988985,2,0
1533023596,0,1
1533062658,1,0
1533069170,1,0
1533073230,1,0
1533075319,0,2
1533079216,1,0
1533149567,0,1
1533155297,0,1
1533159147,0,1
1533163220,0,1
1533209072,1,0
1533222738,1,0
1533254184,1,0
1533256098,1,0
1533265735,1,0
1533296684,0,1
1533310496,0,1
1533341543,0,2
1533351404,0,1
1533416193,1,0
1533418107,2,0
1533420057,1,0
1533451061,1,0
1533454967,2,0
1533456979,2,0
1533499965,1,0
1533503813,0,3
1533505720,1,1
1533515309,1,0
1533538358,0,1
1533540294,0,2
1533542189,0,2
1533586185,0,1
1533593876,0,1
1533601523,0,1
1533654770,1,0
1533664601,1,0
1533682117,1,0
1533684347,2,0
1533701776,1,0
1533738509,1,0
1533742380,0,1
1533752204,0,1
1533756266,1,0
1533765917,1,0
1533769806,0,1
1533771648,0,2
1533786975,0,1
1533825623,0,1
1533831412,1,0
1533843619,0,1
1533851300,0,1
1533900113,1,0
1533917495,0,1
1533969878,1,0
1533973716,1,0
1533981371,1,0
1533987138,0,1
1534036592,1,0
1534056266,1,1
1534060126,0,1
1534067802,1,1
1534100658,1,0
1534123702,0,1
1534143399,0,1
1534147283,0,0
1534154914,0,1
1534161614,1,0
1534169824,1,0
1534179401,1,0
1534187080,0,1
1534247777,0,1
1534255715,0,1
1534263641,0,1
1534270462,1,0
1534326765,1,0
1534357610,0,1
1534363464,1,0
1534375221,1,0
1534414105,0,1
1534431393,1,0
1534444957,292,0
1534446994,1291,0
1534448898,2072,1
1534450819,2227,0
1534463588,1,0
1534498834,1,0
1534502669,1,0
1534504613,1,0
1534506505,1,0
1534522313,1,0
1534532314,0,882
1534534116,0,1379
1534536091,0,2865
1534537946,0,758
1534549615,0,1
1534585004,0,1
1534588857,0,1
1534590773,0,1
1534592696,0,1
1534608091,0,1
1534619785,1,0
1534627478,1,0
1534637067,1,0
1534641859,1,0
1534647684,1,0
1534651492,1,0
1534653392,1,0
1534655328,1,0
1534657237,1,0
1534664916,1,0
1534668750,1,0
1534674534,1,0
1534682183,1,0
1534687946,1,0
1534689865,1,0
1534691793,1,0
1534693702,1,0
1534699694,1,0
1534707860,1,1
1534713617,0,1
1534715528,1,0
1534717452,1,0
1534723157,0,1
1534729031,0,1
1534730979,1,0
1534732851,0,1
1534734842,1,0
1534736719,1,0
1534738635,1,2
1534742514,0,1
1534744387,0,1
1534750170,0,1
1534755893,0,1
1534759793,1,0
1534761690,0,1
1534769357,0,1
1534773860,2,1
1534775773,1,1
1534777974,0,1
1534779869,0,1
1534785878,0,1
1534787796,1,0
1534795471,0,1
1534801218,0,1
1534803145,1,0
1534805062,1,1
1534806999,1,0
1534808899,2,0
1534817560,1,1
1534821626,0,1
1534823580,0,1
1534825472,0,1
1534846609,1,1
1534848494,1,0
1534850432,1,0
1534852601,1,0
1534856426,1,0
1534860268,2,2
1534862185,0,1
1534871816,1,0
1534873931,0,1
1534881541,1,0
1534885459,1,0
1534887392,1,0
1534889296,2,1
1534891230,0,1
1534893397,1,1
1534895582,2,2
1534899708,2,0
1534905613,2,1
1534909446,1,0
1534911625,1,0
1534913561,1,0
1534919298,2,0
1534921293,1,0
1534925078,1,0
1534928929,1,0
1534932759,2,1
1534934661,0,1
1534936602,0,1
1534938495,0,1
1534942346,1,1
