DateTime,AddedIPs,RemovedIPs
1535170586,12,17
1535172540,15,33
1535174412,7,11
1535176376,7,7
1535178257,14,11
1535180202,10,13
1535182093,16,16
1535184084,24,12
1535185948,13,18
1535187797,9,29
1535190046,11,45
1535191973,17,33
1535193889,17,29
1535195802,11,17
1535197729,4,27
1535199629,12,19
1535201578,9,18
1535203469,8,49
1535205400,13,19
1535207309,7,25
1535209289,5,20
1535211155,7,14
1535213075,10,15
1535215014,8,22
1535216917,7,32
1535219108,12,17
1535220984,5,23
1535223573,11,39
1535225541,10,35
1535227464,6,24
1535229639,13,23
1535231560,9,18
1535233483,9,14
1535235411,7,17
1535237316,11,21
1535239224,11,18
1535241148,12,14
1535243089,6,13
1535244992,7,8
1535246929,12,16
1535248899,15,12
1535250777,15,9
1535252807,12,18
1535254818,15,16
1535256748,13,14
1535258671,7,10
1535260585,13,9
1535262747,10,10
1535264673,10,16
1535266894,14,18
1535268745,5,12
1535270670,12,25
1535272593,12,18
1535274511,14,11
1535276423,14,11
1535278360,10,18
1535280261,15,21
1535282213,12,11
1535284101,6,6
1535286016,11,10
1535287958,9,13
1535289860,18,9
1535291794,15,13
1535293697,8,10
1535295655,14,8
1535297545,12,11
1535299488,14,13
1535301384,16,7
1535303306,17,8
1535305218,12,18
1535307440,9,9
1535309334,13,8
1535311229,15,10
1535313190,11,5
1535315626,14,12
1535317503,11,11
1535319381,11,13
1535321334,12,8
1535323232,13,7
1535325166,11,9
1535327068,15,9
1535329002,4,11
1535330912,5,6
1535332842,9,6
1535334794,9,8
1535336660,29,18
1535338643,21,10
1535340501,8,17
1535342508,11,6
1535344374,8,14
1535346290,13,7
1535348234,9,9
1535350131,10,6
1535352044,11,16
1535353984,10,6
1535355881,11,9
1535357817,11,4
1535359700,8,14
1535361643,5,12
1535363545,13,13
1535365500,8,14
1535367402,16,18
1535369334,16,12
1535371303,12,2
1535373171,9,10
1535375065,4,11
1535377026,11,18
1535378902,10,16
1535380873,8,12
1535382763,13,14
1535384673,15,13
1535386610,12,8
1535388511,10,13
1535390453,15,16
1535392369,17,10
1535394259,16,11
1535396232,12,18
1535398127,19,9
1535400360,15,9
1535402197,12,13
1535404112,12,14
1535406058,16,10
1535407954,15,11
1535409884,6,12
1535412060,12,14
1535414014,8,6
1535415890,7,5
1535417835,11,10
1535419724,9,10
1535421804,12,12
1535423792,16,29
1535425963,15,12
1535427866,15,6
1535429821,6,9
1535431726,6,10
1535433641,9,13
1535435560,13,9
1535437479,10,10
1535439405,13,11
1535441316,14,15
1535443288,14,8
1535445167,5,14
1535447093,8,8
1535449273,8,10
1535451158,11,13
1535453097,9,11
1535454993,10,14
1535456904,16,14
1535458832,13,11
1535460776,6,10
1535462674,13,14
1535464605,7,7
1535466508,10,9
1535468491,15,15
1535470354,15,11
1535472280,10,11
1535474222,15,10
1535476354,19,14
1535478295,21,17
1535480200,17,19
1535482127,11,20
1535484061,14,18
1535485972,15,17
1535487915,9,10
1535489811,13,12
1535491762,6,8
1535493705,12,22
1535495577,9,6
1535497506,11,7
1535499446,8,10
1535501337,15,6
1535503268,11,7
1535505163,10,9
1535507112,8,8
1535508999,7,19
1535510961,8,8
1535512839,8,11
1535514828,7,12
1535516691,13,8
1535518622,8,11
1535520508,10,14
1535522490,7,4
1535524362,15,10
1535526298,7,13
1535528206,10,10
1535530429,12,11
1535532273,8,8
1535534201,15,11
1535536115,17,8
1535538070,14,12
1535539952,7,7
1535541905,11,17
1535543781,19,18
1535546018,22,12
1535548112,24,8
1535550051,14,11
1535552128,11,9
1535554097,6,13
1535555979,11,13
1535557964,11,11
1535560086,12,17
1535562058,16,14
1535564143,12,24
1535566090,12,15
1535568272,12,16
1535570201,10,10
1535572101,13,19
