DateTime,Entries,UniqueIPs
1535170593,4948,4948
1535172541,4957,4957
1535174413,4962,4962
1535176377,4958,4958
1535178258,4955,4955
1535180203,4949,4949
1535182093,4912,4912
1535184085,4900,4900
1535185948,4883,4883
1535187798,4859,4859
1535190059,4823,4823
1535191974,4798,4798
1535193890,4794,4794
1535195809,4790,4790
1535197729,4783,4783
1535199629,4791,4791
1535201585,4804,4804
1535203469,4799,4799
1535205400,4818,4818
1535207311,4827,4827
1535209298,4828,4828
1535211155,4821,4821
1535213076,4828,4828
1535215015,4852,4852
1535216918,4887,4887
1535219122,4870,4870
1535220984,4858,4858
1535223573,4893,4893
1535225542,4901,4901
1535227464,4902,4902
1535229639,4932,4932
1535231561,4930,4930
1535233484,4950,4950
1535235411,4960,4960
1535237317,4976,4976
1535239225,4859,4859
1535241148,4881,4881
1535243090,4901,4901
1535244993,4916,4916
1535246929,4934,4934
1535248899,4941,4941
1535250778,4935,4935
1535252808,4941,4941
1535254824,4941,4941
1535256749,5052,5052
1535258672,5064,5064
1535260598,5096,5096
1535262748,5131,5131
1535264674,5151,5151
1535266896,5179,5179
1535268746,5189,5189
1535270671,5222,5222
1535272593,5242,5242
1535274512,5259,5259
1535276424,5293,5293
1535278361,5301,5301
1535280262,5303,5303
1535282213,5304,5304
1535284102,5309,5309
1535286017,5308,5308
1535287958,5325,5325
1535289861,5320,5320
1535291795,5298,5298
1535293698,5300,5300
1535295676,5303,5303
1535297546,5317,5317
1535299488,5313,5313
1535301385,5295,5295
1535303307,5253,5253
1535305224,5249,5249
1535307440,5235,5235
1535309335,5220,5220
1535311230,5215,5215
1535313190,5222,5222
1535315633,5216,5216
1535317505,5822,5822
1535319382,7312,7312
1535321334,7329,7329
1535323239,7325,7325
1535325167,6971,6971
1535327068,4232,4232
1535329003,4004,4004
1535330913,3995,3995
1535332842,3986,3986
1535334794,3983,3983
1535336660,3976,3976
1535338643,3981,3981
1535340501,3980,3980
1535342508,3920,3920
1535344375,3876,3876
1535346292,3863,3863
1535348235,3814,3814
1535350132,3818,3818
1535352051,3796,3796
1535353986,3795,3795
1535355881,3786,3786
1535357817,3767,3767
1535359700,3748,3748
1535361644,3752,3752
1535363545,3741,3741
1535365500,3747,3747
1535367403,3756,3756
1535369335,3757,3757
1535371303,3767,3767
1535373172,3767,3767
1535375066,3776,3776
1535377027,3783,3783
1535378903,3780,3780
1535380874,3828,3828
1535382764,3827,3827
1535384674,3818,3818
1535386611,3831,3831
1535388512,3834,3834
1535390459,3851,3851
1535392370,3869,3869
1535394259,3883,3883
1535396233,3906,3906
1535398127,3898,3898
1535400361,3901,3901
1535402197,3893,3893
1535404112,2838,2838
1535406059,1448,1448
1535407954,1442,1442
1535409884,1454,1454
1535412060,1474,1474
1535414015,1471,1471
1535415891,1462,1462
1535417836,1454,1454
1535419725,1445,1445
1535421804,1429,1429
1535423793,1421,1421
1535425963,1423,1423
1535427867,1420,1420
1535429821,1416,1416
1535431727,1410,1410
1535433642,1402,1402
1535435561,1398,1398
1535437480,1398,1398
1535439405,1399,1399
1535441317,1390,1390
1535443288,1391,1391
1535445167,1400,1400
1535447094,1412,1412
1535449274,1407,1407
1535451159,1391,1391
1535453098,1394,1394
1535454994,1402,1402
1535456905,1399,1399
1535458833,1419,1419
1535460776,1432,1432
1535462675,1450,1450
1535464606,1446,1446
1535466509,1407,1407
1535468492,1364,1364
1535470355,1373,1373
1535472287,3383,3383
1535474223,4842,4842
1535476355,4845,4845
1535478296,4832,4832
1535480201,4843,4843
1535482128,4816,4816
1535484061,4825,4825
1535485973,4825,4825
1535487916,4822,4822
1535489812,4836,4836
1535491763,4855,4855
1535493706,4886,4886
1535495578,4883,4883
1535497507,4871,4871
1535499447,4864,4864
1535501338,4862,4862
1535503269,4877,4877
1535505164,4896,4896
1535507113,4916,4916
1535509000,4938,4938
1535510961,4938,4938
1535512839,4938,4938
1535514833,4968,4968
1535516692,5003,5003
1535518623,5030,5030
1535520509,5041,5041
1535522490,5051,5051
1535524363,5045,5045
1535526299,5060,5060
1535528207,5090,5090
1535530430,5116,5116
1535532274,5129,5129
1535534202,5147,5147
1535536116,5149,5149
1535538072,5172,5172
1535539952,5178,5178
1535541906,5180,5180
1535543782,5186,5186
1535546026,5164,5164
1535548113,5152,5152
1535550052,5149,5149
1535552129,5148,5148
1535554098,5166,5166
1535555980,5171,5171
1535557965,3958,3958
1535560087,1544,1544
1535562070,1538,1538
1535564144,1551,1551
1535566091,1528,1528
1535568273,1524,1524
1535570207,1521,1521
1535572102,1528,1528
1535574047,1545,1545
1535575944,1535,1535
1535577865,1517,1517
1535579777,1486,1486
1535582589,1489,1489
1535584620,1492,1492
1535586523,1496,1496
1535588447,1498,1498
1535590355,1480,1480
1535592316,1462,1462
1535594229,1447,1447
1535596124,1444,1444
1535598135,1449,1449
1535599969,1444,1444
1535601896,1412,1412
1535604048,1396,1396
1535605970,1380,1380
1535607889,1377,1377
1535609807,1367,1367
1535611750,1355,1355
1535613630,1326,1326
1535615546,1318,1318
1535617487,1284,1284
1535619395,1255,1255
1535621316,1240,1240
1535623289,1227,1227
1535625164,1225,1225
1535627071,1219,1219
1535629019,1222,1222
1535630935,1236,1236
1535632857,1228,1228
1535634782,1219,1219
1535636909,1229,1229
1535638862,1225,1225
1535640885,1207,1207
1535642904,1212,1212
1535644895,1212,1212
1535646766,1214,1214
1535648702,1221,1221
1535650616,1218,1218
1535652541,1216,1216
1535654424,1200,1200
1535656386,1185,1185
1535658286,1178,1178
1535660212,1168,1168
1535662100,1165,1165
1535664050,1157,1157
1535665952,1171,1171
1535667884,1160,1160
1535670084,1158,1158
1535671944,1158,1158
1535674131,1159,1159
1535676028,1151,1151
1535677981,1156,1156
1535679885,1155,1155
1535681807,1154,1154
1535683740,1142,1142
1535685651,1146,1146
1535687575,1151,1151
1535689469,1130,1130
1535691382,1134,1134
1535693561,1147,1147
1535695496,1154,1154
1535697396,1159,1159
1535699331,1168,1168
1535701235,1161,1161
1535703152,1167,1167
1535705087,1173,1173
1535707148,1178,1178
1535709158,1184,1184
1535711080,1179,1179
1535713012,1174,1174
1535715238,1180,1180
1535717106,1172,1172
1535719002,1175,1175
1535720938,1215,1215
1535722841,1230,1230
1535724767,1253,1253
1535726702,1256,1256
1535728815,1254,1254
1535730762,1245,1245
1535732674,1231,1231
1535734608,1229,1229
1535736635,1226,1226
1535738491,1218,1218
1535740354,1226,1226
1535742290,1238,1238
1535744229,1232,1232
1535746123,1240,1240
1535748030,1231,1231
1535749959,1246,1246
1535751890,1229,1229
1535753807,1229,1229
1535755716,1228,1228
1535757649,1226,1226
1535759553,1231,1231
1535761485,1232,1232
1535763394,1235,1235
1535765309,1226,1226
1535767317,1218,1218
1535769159,1225,1225
1535771079,1202,1202
1535773016,1199,1199
1535774933,1204,1204
1535776832,1212,1212
1535778769,1217,1217
1535780694,1200,1200
1535782616,1190,1190
1535784522,1191,1191
1535786444,1175,1175
1535788378,1175,1175
1535790277,1173,1173
1535792208,1167,1167
1535794108,1171,1171
1535796094,1158,1158
1535797956,1153,1153
1535799881,1158,1158
1535801799,1158,1158
1535803737,1145,1145
1535805632,1148,1148
1535807566,1120,1120
1535809477,1103,1103
1535811412,1076,1076
1535813315,1086,1086
1535815241,1090,1090
1535817176,1105,1105
1535819064,1115,1115
1535820982,1122,1122
1535822897,1115,1115
1535824897,1109,1109
1535827019,1107,1107
1535828914,1103,1103
1535830829,1117,1117
1535832774,1101,1101
1535834676,1090,1090
1535836615,1078,1078
1535838515,1072,1072
1535840428,1064,1064
1535842358,1055,1055
1535844284,1058,1058
1535846202,1064,1064
1535848109,1063,1063
1535850094,1082,1082
1535851977,1083,1083
1535853895,1097,1097
1535855806,1092,1092
1535857724,1094,1094
1535859663,1098,1098
1535861606,1092,1092
1535863481,1074,1074
1535865407,1086,1086
1535867335,1095,1095
1535869261,1101,1101
1535871170,1098,1098
1535873068,1098,1098
1535874989,1099,1099
1535876929,1097,1097
1535878907,1089,1089
1535880775,1081,1081
1535882683,1071,1071
1535884845,1064,1064
1535886757,1047,1047
1535888685,1058,1058
1535890620,1055,1055
1535892515,1045,1045
1535894443,1022,1022
