DateTime,AddedIPs,RemovedIPs
1533427700,1,0
1533433699,0,2
1533437542,0,1
1533441375,0,1
1533443400,1,0
1533451063,0,1
1533452947,0,1
1533454970,0,2
1533461084,0,1
1533480511,0,1
1533482680,1,1
1533484591,0,1
1533486522,0,1
1533490363,0,1
1533505722,1,0
1533513426,0,1
1533530686,0,1
1533540296,1,0
1533542191,3,0
1533544126,1,0
1533546097,1,0
1533547969,1,0
1533553735,2,0
1533557598,1,0
1533561409,1,0
1533563320,1,0
1533569076,2,1
1533588043,1,0
1533591878,0,1
1533601532,1,0
1533611085,1,0
1533614940,4,0
1533616881,3,0
1533620731,1,0
1533627634,4,2
1533629569,0,3
1533631467,1,1
1533633389,1,0
1533635327,1,1
1533639163,0,2
1533645178,0,1
1533649003,0,1
1533650929,1,1
1533652825,1,0
1533656674,0,1
1533658608,1,0
1533670597,1,0
1533674439,2,1
1533688188,0,1
1533697946,0,1
1533701778,0,4
1533703702,0,3
1533707533,0,1
1533713297,0,3
1533715126,0,1
1533717145,0,1
1533718979,0,1
1533723185,0,1
1533736587,0,1
1533738511,0,2
1533742387,1,0
1533744289,0,1
1533756268,0,1
1533760101,2,0
1533762083,0,2
1533783151,1,0
1533790891,1,0
1533796615,1,0
1533806203,1,0
1533810041,2,0
1533813877,1,0
1533815780,1,0
1533827550,1,1
1533829481,2,0
1533831413,1,0
1533836069,3,0
1533837884,1,0
1533839784,1,0
1533845568,0,1
1533847465,1,1
1533849401,1,0
1533855168,1,0
1533861739,2,0
1533867388,1,0
1533869437,1,1
1533875067,1,0
1533877133,0,1
1533882976,2,1
1533888623,1,0
1533892447,0,1
1533894282,1,0
1533896250,0,2
1533900115,0,1
1533901950,0,1
1533907836,1,0
1533915529,1,3
1533917499,0,1
1533921314,0,1
1533923200,0,2
1533925003,0,2
1533935079,0,2
1533940825,0,1
1533950457,1,0
1533960184,1,0
1533969880,1,0
1533985244,2,9
1533987141,1,0
1533991224,1,0
1533993156,0,1
1533995064,1,0
1533997006,2,0
1534000732,0,1
