DateTime,Entries,UniqueIPs
1535170613,10379,10379
1535172546,10382,10382
1535174419,10383,10383
1535176384,10329,10329
1535178263,10308,10308
1535180209,10665,10665
1535182100,10858,10858
1535184092,10840,10840
1535185953,10869,10869
1535187810,10890,10890
1535190065,11449,11449
1535191979,11708,11708
1535193895,11725,11725
1535195829,11730,11730
1535197735,11753,11753
1535199641,11748,11748
1535201597,11730,11730
1535203475,11702,11702
1535205405,11673,11673
1535207316,11698,11698
1535209314,11732,11732
1535211168,11899,11899
1535213082,12063,12063
1535215028,10787,10787
1535216924,9180,9180
1535219132,8622,8622
1535220990,8874,8874
1535223579,9195,9195
1535225547,9251,9251
1535227470,9223,9223
1535229644,9233,9233
1535231566,9251,9251
1535233489,9219,9219
1535235416,9231,9231
1535237322,9210,9210
1535239230,9208,9208
1535241153,9163,9163
1535243101,9160,9160
1535244997,9209,9209
1535246934,9200,9200
1535248904,9176,9176
1535250782,9184,9184
1535252815,9529,9529
1535254842,9524,9524
1535256753,9520,9520
1535258676,9497,9497
1535260602,9502,9502
1535262752,9485,9485
1535264679,9452,9452
1535266901,9235,9235
1535268751,9122,9122
1535270676,9112,9112
1535272604,9066,9066
1535274517,9102,9102
1535276440,8898,8898
1535278366,8725,8725
1535280273,8712,8712
1535282218,8715,8715
1535284106,8692,8692
1535286034,8699,8699
1535287963,8698,8698
1535289865,8701,8701
1535291799,8689,8689
1535293702,8641,8641
1535295693,8613,8613
1535297551,7082,7082
1535299494,6648,6648
1535301389,6628,6628
1535303311,6695,6695
1535305235,6511,6511
1535307445,6254,6254
1535309339,6306,6306
1535311234,6354,6354
1535313195,6330,6330
1535315638,6303,6303
1535317511,6363,6363
1535319387,6389,6389
1535321339,6361,6361
1535323245,6390,6390
1535325172,6385,6385
1535327073,6432,6432
1535329007,6561,6561
1535330918,8494,8494
1535332847,10357,10357
1535334806,12278,12278
1535336666,12334,12334
1535338648,12333,12333
1535340507,12352,12352
1535342521,12381,12381
1535344380,12389,12389
1535346297,12422,12422
1535348249,12444,12444
1535350138,12468,12468
1535352057,12492,12492
1535353991,12072,12072
1535355887,12324,12324
1535357823,12362,12362
1535359706,12817,12817
1535361649,12850,12850
1535363550,12852,12852
1535365506,12834,12834
1535367408,12953,12953
1535369340,13263,13263
1535371308,13614,13614
1535373178,13620,13620
1535375071,13646,13646
1535377045,13717,13717
1535378908,13731,13731
1535380885,13732,13732
1535382769,13660,13660
1535384687,13665,13665
1535386617,13675,13675
1535388517,13691,13691
1535390468,13702,13702
1535392375,13690,13690
1535394265,13398,13398
1535396239,13358,13358
1535398133,13308,13308
1535400369,13398,13398
1535402203,13411,13411
1535404117,13335,13335
1535406070,13363,13363
1535407960,13382,13382
1535409889,13340,13340
1535412065,13380,13380
1535414020,13352,13352
1535415896,12728,12728
1535417840,10671,10671
1535419730,8853,8853
1535421809,7338,7338
1535423797,7328,7328
1535425967,7322,7322
1535427871,7315,7315
1535429826,7312,7312
1535431738,7301,7301
1535433647,7273,7273
1535435572,7268,7268
1535437484,7230,7230
1535439410,7167,7167
1535441322,7025,7025
1535443294,6949,6949
1535445179,6835,6835
1535447099,6410,6410
1535449279,6376,6376
1535451164,6389,6389
1535453103,6363,6363
1535454999,6328,6328
1535456910,5064,5064
1535458837,5056,5056
1535460782,5035,5035
1535462679,5041,5041
1535464614,4971,4971
1535466518,4991,4991
1535468498,4980,4980
1535470360,4982,4982
1535472295,4984,4984
1535474230,5005,5005
