DateTime,AddedIPs,RemovedIPs
1535171313,17,16
1535173268,13,13
1535175192,13,19
1535177073,18,16
1535178987,12,8
1535180923,23,20
1535182862,15,15
1535184767,13,22
1535186667,13,14
1535188612,18,19
1535190528,16,11
1535192445,13,13
1535194350,17,17
1535196287,11,20
1535198188,19,15
1535200096,18,13
1535202099,14,18
1535203964,11,20
1535205884,12,12
1535207815,18,26
1535209734,10,56
1535211642,38,14
1535213606,22,21
1535215469,12,20
1535217415,12,15
1535219810,18,25
1535221695,18,30
1535223580,15,14
1535225548,20,14
1535227471,59,20
1535229645,23,21
1535231567,10,20
1535233490,6,18
1535235417,18,9
1535237323,17,17
1535239231,11,13
1535241154,9,13
1535243102,8,24
1535244998,7,11
1535246935,6,14
1535248905,7,21
1535250783,14,15
1535252816,15,19
1535254843,12,21
1535256754,9,9
1535258677,5,16
1535260603,14,14
1535262753,11,21
1535264680,17,20
1535266903,22,28
1535268752,11,16
1535270677,11,8
1535272605,9,19
1535274517,18,16
1535276442,6,12
1535278367,16,12
1535280274,7,16
1535282219,22,12
1535284114,15,17
1535286036,11,18
1535287964,14,13
1535289866,20,20
1535291800,9,10
1535293703,20,23
1535295694,14,14
1535297552,16,1666
1535299495,17,274
1535301390,12,15
1535303312,27,20
1535305237,35,14
1535307446,19,26
1535309340,16,20
1535311235,19,34
1535313196,12,47
1535315639,10,24
1535317512,50,15
1535319388,15,10
1535321340,23,18
1535323246,20,20
1535325173,9,16
1535327074,26,4
1535329008,14,9
1535330919,13,16
1535332848,20,9
1535334807,13,13
1535336667,14,14
1535338649,15,14
1535340508,19,14
1535342522,12,16
1535344389,27,10
1535346298,12,16
1535348250,16,11
1535350143,13,13
1535352058,13,16
1535353992,19,16
1535355888,14,7
1535357824,16,15
1535359713,12,11
1535361650,8,15
1535363551,17,8
1535365506,13,19
1535367410,23,14
1535369341,17,15
1535371309,23,13
1535373178,17,14
1535375072,14,19
1535377046,11,14
1535378909,8,9
1535380886,11,19
1535382770,14,14
1535384688,13,17
1535386618,10,18
1535388518,19,11
1535390469,11,23
1535392375,16,41
1535394265,37,22
1535396240,35,20
1535398134,31,14
1535400375,39,18
1535402203,27,6
1535404118,16,46
1535406071,20,14
1535407964,26,16
1535409891,22,16
1535412066,25,11
1535414024,23,24
1535415897,24,10
1535417841,22,16
1535419731,18,13
1535421810,13,15
1535423798,20,9
1535425968,24,14
1535427872,18,18
1535429827,17,16
1535431739,15,23
1535433648,15,16
