DateTime,Entries,UniqueIPs
1534967119,77,77
1534969228,75,75
1534971149,73,73
1534973091,72,72
1534974988,73,73
1534977897,74,74
1534979816,77,77
1534982683,78,78
1534984834,79,79
1534986674,76,76
1534988655,75,75
1534994368,74,74
1534996345,76,76
1534998218,75,75
1535000170,75,75
1535004078,76,76
1535009697,75,75
1535011695,74,74
1535015534,75,75
1535019376,75,75
1535021284,77,77
1535023211,79,79
1535025089,79,79
1535027057,81,81
1535030893,81,81
1535032773,80,80
1535034743,81,81
1535036617,81,81
1535038591,83,83
1535040426,84,84
1535042423,83,83
1535044376,81,81
1535046272,78,78
1535048081,79,79
1535050110,78,78
1535052287,78,78
1535054183,71,71
1535058099,72,72
1535059938,80,80
1535061856,81,81
1535063775,82,82
1535065720,81,81
1535067864,81,81
1535069815,83,83
1535071722,82,82
1535085173,83,83
1535092831,84,84
1535096664,84,84
1535098590,83,83
1535100502,84,84
1535108495,83,83
1535110345,85,85
1535112279,84,84
1535114173,83,83
1535116112,83,83
1535118273,81,81
1535120209,80,80
1535122348,79,79
1535124263,79,79
1535126192,79,79
1535128092,77,77
1535130094,76,76
1535131946,79,79
1535137739,78,78
1535139650,78,78
1535141547,75,75
1535143657,76,76
1535145866,76,76
1535147776,65,65
1535149703,64,64
1535153576,65,65
1535155507,63,63
1535157622,60,60
1535159569,62,62
1535161464,61,61
1535163388,62,62
1535165300,64,64
1535169404,61,61
1535171315,63,63
1535177076,64,64
1535178989,65,65
1535182863,67,67
1535184769,67,67
1535186668,66,66
1535188614,67,67
1535190530,69,69
1535192447,68,68
1535194351,66,66
1535196288,65,65
1535198190,64,64
1535200098,63,63
1535205886,64,64
1535207816,66,66
1535209735,66,66
1535211644,68,68
1535213607,68,68
1535215475,70,70
1535219812,69,69
1535221697,79,79
1535223581,81,81
1535225549,82,82
1535231568,82,82
1535233491,84,84
1535235419,83,83
1535237324,89,89
1535239233,87,87
1535241161,91,91
1535243104,93,93
1535245000,94,94
1535246936,93,93
1535248906,94,94
1535250792,91,91
1535252820,90,90
1535256755,89,89
1535258678,86,86
1535260605,85,85
1535262754,84,84
1535264681,84,84
1535266904,85,85
1535268753,83,83
1535270678,84,84
1535274519,82,82
1535276446,83,83
1535278368,84,84
1535280276,83,83
1535282220,86,86
1535284115,87,87
1535286037,89,89
1535287965,90,90
1535289867,89,89
1535291802,89,89
1535293704,90,90
1535295695,91,91
1535297553,92,92
1535299496,91,91
1535301396,92,92
1535307448,84,84
1535309342,82,82
1535311236,84,84
1535313197,86,86
1535315640,88,88
1535319390,88,88
1535321347,96,96
1535323247,94,94
1535325175,95,95
1535327075,92,92
1535329009,93,93
1535330920,92,92
1535332850,90,90
1535334809,89,89
1535336668,89,89
1535338651,90,90
1535340509,91,91
1535342530,92,92
1535350145,91,91
1535353993,90,90
1535357826,92,92
1535359714,91,91
1535361656,104,104
1535363553,105,105
1535365508,102,102
1535369342,99,99
1535371311,99,99
1535373180,101,101
1535375074,100,100
1535377047,99,99
1535378911,99,99
1535380888,97,97
1535384689,98,98
1535386620,98,98
1535388520,97,97
1535390471,96,96
1535394267,99,99
1535396241,99,99
1535398136,97,97
1535400377,95,95
1535402205,94,94
1535406073,93,93
1535407965,91,91
1535409892,92,92
1535412067,92,92
1535414026,94,94
1535415898,93,93
1535417843,94,94
1535419732,96,96
1535421812,95,95
1535423799,96,96
1535425969,95,95
1535429828,95,95
1535431740,96,96
1535435574,95,95
1535439413,93,93
1535443298,91,91
1535445181,92,92
1535449281,79,79
1535451168,78,78
1535453112,79,79
1535455001,81,81
1535456912,80,80
1535458840,80,80
1535460784,79,79
1535464616,76,76
1535466520,64,64
1535468501,65,65
1535470362,66,66
1535472298,64,64
1535474232,62,62
1535476363,63,63
1535478305,65,65
1535480211,63,63
1535484070,64,64
1535485982,67,67
1535487924,65,65
1535489819,65,65
1535491770,65,65
1535493715,66,66
1535495592,67,67
1535499462,66,66
1535501346,66,66
1535503276,65,65
1535505172,69,69
1535507128,69,69
1535509007,72,72
1535510974,72,72
1535514843,72,72
1535518631,70,70
1535520516,71,71
1535522499,70,70
1535524370,71,71
1535526308,74,74
1535528215,75,75
1535530439,76,76
1535532282,74,74
1535536129,74,74
1535538080,74,74
1535539960,75,75
1535541915,74,74
1535546037,73,73
1535548121,74,74
1535550060,75,75
1535554107,76,76
1535557980,76,76
1535560102,74,74
1535562086,74,74
1535564161,76,76
1535566107,76,76
1535570224,74,74
1535572117,73,73
1535574060,73,73
1535575959,72,72
1535577883,73,73
1535579786,75,75
1535582598,75,75
1535584636,75,75
1535586532,75,75
1535588456,78,78
1535590371,80,80
1535594250,78,78
1535596133,78,78
1535598145,79,79
1535601919,80,80
1535604066,81,81
1535607898,80,80
1535609823,78,78
1535611760,77,77
1535613649,75,75
1535615555,74,74
1535617495,75,75
1535621331,76,76
1535623316,75,75
1535625172,74,74
1535627078,75,75
1535629034,80,80
1535630950,81,81
1535632865,82,82
1535634790,81,81
1535636917,83,83
1535638880,84,84
1535640893,86,86
1535642912,88,88
1535646774,90,90
1535648717,91,91
1535650624,89,89
1535652549,91,91
1535654442,90,90
1535660220,91,91
1535662108,90,90
1535664058,91,91
1535665960,92,92
1535667892,91,91
1535670104,93,93
1535671958,93,93
1535674139,89,89
1535676043,87,87
1535677989,86,86
1535679892,85,85
1535681822,86,86
1535683767,86,86
1535685667,84,84
1535687583,85,85
1535689477,84,84
1535691390,86,86
1535697404,85,85
1535699340,84,84
1535701246,85,85
1535703164,84,84
1535707173,84,84
1535709166,85,85
1535711095,83,83
1535713020,84,84
1535715246,82,82
1535717123,80,80
1535719010,81,81
1535720947,81,81
1535722856,80,80
1535724791,82,82
1535726710,82,82
1535730777,81,81
1535732681,80,80
1535734615,82,82
1535736643,83,83
1535738500,83,83
1535740369,83,83
1535742307,85,85
1535744243,89,89
1535746132,88,88
1535748038,86,86
1535749967,82,82
1535751905,82,82
1535753816,81,81
1535757659,80,80
1535759561,79,79
1535761493,81,81
1535763402,81,81
1535765322,85,85
1535767335,87,87
1535769165,85,85
1535771086,85,85
1535773023,83,83
1535774942,81,81
1535776839,81,81
1535778777,80,80
1535780701,79,79
1535782632,80,80
1535788385,77,77
1535790284,76,76
1535792220,77,77
1535794114,74,74
1535796101,73,73
1535797963,72,72
1535799889,70,70
1535801806,69,69
1535803745,68,68
1535805639,66,66
1535809485,66,66
1535811422,64,64
1535813323,62,62
1535815250,63,63
1535817184,64,64
1535819079,65,65
1535820991,64,64
1535822905,64,64
1535824906,63,63
1535827035,65,65
1535828926,67,67
1535830837,64,64
1535832790,62,62
1535836623,64,64
1535838523,65,65
1535840436,65,65
1535842366,64,64
1535844292,64,64
1535846216,64,64
1535848116,67,67
1535850114,67,67
1535851985,64,64
1535853903,65,65
1535855820,68,68
1535857732,68,68
1535859670,69,69
1535863488,68,68
1535867343,69,69
1535873076,70,70
1535876937,69,69
1535878913,70,70
1535884855,71,71
1535886765,72,72
1535888693,74,74
1535890628,74,74
1535892525,72,72
1535894450,73,73
1535896361,74,74
1535898294,73,73
1535900195,74,74
1535902375,71,71
1535906462,69,69
1535910299,70,70
1535912226,68,68
1535914124,65,65
1535916085,65,65
1535917976,66,66
1535919895,67,67
1535921797,66,66
1535923727,66,66
1535925688,62,62
1535927581,62,62
1535930599,63,63
1535932908,64,64
1535934781,63,63
1535936692,62,62
