DateTime,AddedIPs,RemovedIPs
1533161104,1,0
1533166494,6,0
1533168327,1,0
1533170200,2,0
1533172165,5,0
1533174037,4,0
1533175976,3,0
1533177876,5,1
1533179820,4,0
1533181711,4,0
1533185566,2,0
1533187490,1,0
1533189384,4,0
1533191335,0,1
1533193307,2,1
1533195178,0,2
1533197103,0,1
1533199017,0,1
1533200950,0,1
1533206680,0,1
1533214850,0,1
1533220585,0,1
1533222535,1,0
1533226600,0,1
1533228756,1,0
1533246398,0,2
1533252048,0,4
1533254193,0,2
1533256111,0,1
1533258056,0,6
1533259978,0,5
1533261887,0,2
1533263789,0,4
1533265750,0,6
1533267642,0,4
1533271490,0,2
1533273405,0,1
1533275322,0,2
1533277248,0,2
1533279170,0,2
1533284912,1,0
1533308195,0,1
1533314449,0,1
1533339639,1,0
1533370604,0,1
1533374433,1,0
1533427707,0,1
1533433706,1,0
1533461091,0,1
1533486528,1,0
1533521115,0,1
1533528778,1,0
1533544138,1,0
1533573006,0,1
1533597645,1,0
1533611092,1,0
1533614948,0,1
1533631719,0,1
1533684357,0,1
1533695959,0,1
1533724590,1,0
1533767808,1,0
1533775467,1,0
1533794690,1,0
1533804268,1,0
1533811969,0,1
1533817718,1,0
1533836076,1,0
1533853243,1,0
1533855175,0,1
1533861754,0,1
1533880997,0,1
1533886826,1,0
1533890449,0,1
1533898107,1,0
1533905940,0,1
1533917512,1,0
1533921322,0,1
1533925468,1,0
1533973727,0,1
1533977549,0,1
1533985295,0,1
1534002741,0,1
1534010491,0,1
1534013069,1,0
1534034675,1,0
1534038767,1,0
1534100672,0,1
1534110281,1,0
1534119872,0,1
1534125779,0,1
1534149171,1,0
1534197162,0,1
1534205678,1,0
1534236267,0,1
1534247792,1,0
1534292775,0,1
1534304188,2,0
1534309956,1,0
1534313807,1,0
1534323400,2,0
1534325301,1,0
1534327304,3,0
1534332988,1,0
1534334941,1,1
1534336825,1,0
1534338772,3,0
1534340670,2,0
1534344526,4,0
1534346437,3,0
1534348588,1,0
1534352502,1,0
1534358442,2,0
1534360356,2,0
1534366104,1,0
1534368628,3,0
1534370697,1,0
1534374778,2,0
1534378944,1,0
1534384522,2,0
1534390584,1,1
1534392533,1,0
1534396375,0,1
1534398263,1,0
1534400216,2,1
1534405963,1,0
1534409785,0,2
1534411727,0,1
1534413694,1,3
1534419412,1,1
1534421335,0,2
1534423227,0,1
1534425167,0,3
1534427076,0,2
1534430920,0,4
1534432842,0,3
1534434788,0,1
1534438524,0,1
1534444347,1,1
1534446170,1102,1
1534448178,1746,1
1534450027,578,0
1534452020,0,1
1534453863,0,2
1534455862,0,1
1534457794,0,1
1534461565,0,2
1534465725,1,1
1534471518,0,2
1534477501,0,1
1534479404,0,1
1534481584,0,1
1534483478,0,1
1534489329,1,0
1534491188,1,1
1534500782,0,1
1534504624,1,1
1534510392,1,0
1534514238,1,0
1534516138,1,0
1534520201,0,1
1534524265,1,0
1534530280,0,1
1534532324,0,960
1534534126,0,1390
1534536108,0,1075
1534537961,1,1
1534549625,1,0
1534551646,0,1
1534553577,0,1
1534561515,1,0
1534563411,2,0
1534567239,1,0
1534569343,1,0
1534571319,1,0
1534575395,1,0
1534577346,0,1
1534583126,1,0
1534586941,1,0
1534590782,0,1
1534596536,0,1
1534629377,0,1
1534635168,0,1
1534647697,1,2
1534649539,0,1
1534651510,0,1
1534653396,0,1
1534655332,0,2
1534659222,1,1
1534661077,0,2
1534670670,1,1
1534672589,0,1
1534676479,1,0
1534678405,0,1
1534693706,2,0
1534701681,1,0
1534711718,1,0
1534715531,2,0
1534717456,1,0
1534729040,1,0
1534734851,0,1
1534740539,1,0
1534746323,0,1
1534748254,2,0
1534754023,1,0
1534755905,0,1
1534757964,2,0
1534765573,2,0
1534773870,1,0
1534779615,0,1
1534781466,0,1
1534787302,0,1
1534794984,1,0
1534797220,1,1
1534799065,0,1
1534802912,0,3
1534808717,73,0
1534814658,0,1
1534826438,1,1
1534834331,0,2
1534836174,1,0
1534838171,1,0
1534842039,0,1
1534843937,0,2
1534851613,1,0
1534853560,0,2
1534859800,0,1
1534880929,0,1
1534882845,1,0
1534884753,1,1
1534895169,0,73
1534902981,1,0
1534904915,1,0
1534906898,2,0
1534912599,1,1
1534918358,2,0
1534920258,2,0
1534922187,0,1
1534924107,0,1
1534929895,1,0
1534933697,1,0
1534937557,0,1
1534957010,1,0
1534969229,2,1
1534971149,0,1
1534974989,1,0
1534978877,1,0
1534980764,1,0
1534990466,1,1
1534992279,0,2
1534994368,0,1
1534998218,0,1
1535002001,1,0
1535004079,1,0
1535005940,1,4
1535009697,1,0
1535013630,1,0
1535015534,1,0
1535017415,0,1
1535021284,0,1
1535023212,1,0
1535038591,1,0
1535040427,1,0
1535042423,0,1
1535046272,2,0
1535050110,1,0
1535054184,0,1
1535056264,0,1
1535059939,0,1
1535065720,2,2
1535071722,3,0
1535073625,1,0
1535075563,1,0
1535077466,0,1
1535083306,4,0
1535085179,1,0
1535087073,2,0
1535088986,0,1
1535090923,1,1
1535092831,2,1
1535094762,1,0
1535096664,0,1
1535098590,0,1
1535102442,2,1
1535104352,2,0
1535110345,2,1
1535114173,2,0
1535116113,3,0
1535122349,1,0
1535124263,0,1
1535126193,1,1
1535128093,1,0
1535130094,2,0
1535131946,0,1
1535133875,2,1
1535135788,0,1
1535139651,2,0
1535141547,2,0
1535145867,3,0
1535151709,0,1
1535153577,0,1
1535155507,1,0
1535157622,1,3
1535159570,0,1
1535161464,0,1
1535167494,1,0
1535169405,0,2
1535171316,0,3
1535173270,1,1
1535175194,1,1
1535177077,3,1
1535178989,2,1
1535180925,2,2
1535182864,1,0
1535184769,1,0
1535186668,1,0
1535188614,0,2
1535190530,1,2
1535192447,1,0
1535194352,1,0
1535196289,0,1
1535198190,0,1
1535200098,0,1
1535202105,0,3
1535203965,0,1
1535207817,1,0
1535211644,0,1
1535213607,0,1
1535215475,1,0
1535217417,0,2
1535219812,0,1
1535221697,0,1
1535223582,1,0
1535225550,0,1
1535227474,0,3
1535231569,0,3
1535235419,1,0
1535243104,1,1
1535245000,0,1
1535246937,1,0
1535248907,1,0
1535250793,1,0
1535252820,1,1
1535256756,3,1
1535260605,0,1
1535262754,1,3
1535264681,0,2
1535266904,0,3
1535268753,1,1
1535270679,0,1
1535272607,0,1
1535274519,1,0
1535276446,0,1
1535280277,0,2
1535282221,1,0
1535286038,1,0
1535291802,1,0
1535295695,0,1
1535301397,0,1
1535309343,0,1
1535317514,1,0
1535321348,1,1
1535323247,2,0
1535325175,1,0
1535329010,0,1
1535330921,3,0
1535332850,0,1
1535334809,2,0
1535336668,0,2
1535338651,1,1
1535342530,0,3
1535344393,3,0
1535346300,2,0
1535348252,1,0
1535350145,0,1
1535352060,1,0
1535353994,2,0
1535355896,1,1
1535357826,2,0
1535359714,2,1
1535361656,1,0
1535363553,1,0
1535365508,1,0
1535367411,2,1
1535373180,0,1
1535375074,1,0
1535378912,0,1
1535380888,74,0
1535384690,1,0
1535386620,1,0
1535390471,1,0
1535396242,1,0
1535402205,1,0
1535404120,1,1
1535406073,1,1
1535407965,1,0
1535409892,0,2
1535412068,0,1
1535415899,1,0
1535417843,0,2
1535419732,1,1
1535421812,0,2
1535423799,1,0
1535425970,1,1
1535429829,3,2
1535431740,1,2
1535433649,4,2
1535437486,2,1
1535439413,3,0
1535441324,0,2
1535443298,0,1
1535445181,3,4
1535447108,1,1
1535449282,1,0
1535451168,0,1
1535453112,0,2
1535460784,0,1
1535466520,1,6
1535468501,1,68
1535470362,0,1
1535472298,1,0
1535474233,0,1
1535476364,0,1
1535478306,1,0
1535482137,0,1
1535487924,0,1
1535489820,1,1
1535491771,0,1
1535493715,0,1
1535497515,1,0
1535501346,1,0
1535503277,0,1
1535505172,3,0
1535507128,2,2
1535510974,3,2
1535516700,0,3
1535518631,0,1
1535520516,2,4
1535524370,3,2
1535526308,1,3
1535528215,1,0
1535530440,1,1
1535532282,1,3
1535534210,0,1
1535536130,1,0
1535538080,1,0
1535541915,1,0
1535546037,1,0
1535552139,1,1
1535554107,1,1
1535557981,0,1
1535560103,1,0
1535562087,1,0
1535564161,1,0
1535566107,0,1
1535570224,1,0
1535575959,1,1
1535577883,1,0
1535579786,1,0
1535584636,0,1
1535588457,1,1
1535590371,1,1
1535592325,0,2
1535594250,0,2
1535596134,0,2
1535598146,1,1
1535607899,1,2
1535609824,0,2
1535611760,0,2
1535615556,0,2
1535619409,0,1
1535623317,0,2
1535627079,0,1
1535632865,0,1
1535638881,0,1
1535640893,0,1
1535644915,0,1
1535648718,0,1
1535650625,0,1
1535656394,0,1
1535662108,0,1
1535665960,0,2
1535676043,0,1
1535677989,0,1
1535679893,1,0
1535685667,0,1
1535695506,0,1
1535722856,1,0
1535767336,0,1
1535807574,0,1
1535830364,1,0
1535902375,461,0
1535904304,1251,0
1535906463,1818,0
1535917976,0,1
1535989250,0,723
1535991224,0,1381
1536074921,1,1426
1536112121,1,0
1536125566,1,0
