DateTime,Entries,UniqueIPs
1533161104,14,14
1533166494,20,20
1533168327,21,21
1533170200,23,23
1533172165,28,28
1533174037,32,32
1533175976,35,35
1533177876,39,39
1533179820,43,43
1533181711,47,47
1533185566,49,49
1533187490,50,50
1533189384,54,54
1533191335,53,53
1533193307,54,54
1533195178,52,52
1533197103,51,51
1533199017,50,50
1533200950,49,49
1533206680,48,48
1533214850,47,47
1533220585,46,46
1533222535,47,47
1533226600,46,46
1533228756,47,47
1533246398,45,45
1533252048,41,41
1533254193,39,39
1533256111,38,38
1533258056,32,32
1533259978,27,27
1533261887,25,25
1533263789,21,21
1533265750,15,15
1533267642,11,11
1533271490,9,9
1533273405,8,8
1533275322,6,6
1533277248,4,4
1533279170,2,2
1533284912,3,3
1533308195,2,2
1533314449,1,1
1533339639,2,2
1533370604,1,1
1533374433,2,2
1533427707,1,1
1533433706,2,2
1533461091,1,1
1533486528,2,2
1533521115,1,1
1533528778,2,2
1533544138,3,3
1533573006,2,2
1533597645,3,3
1533611092,4,4
1533614948,3,3
1533631719,2,2
1533684357,1,1
1533695959,0,0
1533724590,1,1
1533767808,2,2
1533775467,3,3
1533794690,4,4
1533804268,5,5
1533811969,4,4
1533817718,5,5
1533836076,6,6
1533853243,7,7
1533855175,6,6
1533861754,5,5
1533880997,4,4
1533886826,5,5
1533890449,4,4
1533898107,5,5
1533905940,4,4
1533917512,5,5
1533921322,4,4
1533925468,5,5
1533973727,4,4
1533977549,3,3
1533985295,2,2
1534002741,1,1
1534010491,0,0
1534013069,1,1
1534034675,2,2
1534038767,3,3
1534100672,2,2
1534110281,3,3
1534119872,2,2
1534125779,1,1
1534149171,2,2
1534197162,1,1
1534205678,2,2
1534236267,1,1
1534247792,2,2
1534292775,1,1
1534304188,3,3
1534309956,4,4
1534313807,5,5
1534323400,7,7
1534325301,8,8
1534327304,11,11
1534332988,12,12
1534334941,12,12
1534336825,13,13
1534338772,16,16
1534340670,18,18
1534344526,22,22
1534346437,25,25
1534348588,26,26
1534352502,27,27
1534358442,29,29
1534360356,31,31
1534366104,32,32
1534368628,35,35
1534370697,36,36
1534374778,38,38
1534378944,39,39
1534384522,41,41
1534390584,41,41
1534392533,42,42
1534396375,41,41
1534398263,42,42
1534400216,43,43
1534405963,44,44
1534409785,42,42
1534411727,41,41
1534413694,39,39
1534419412,39,39
1534421335,37,37
1534423227,36,36
1534425167,33,33
1534427076,31,31
1534430920,27,27
1534432842,24,24
1534434788,23,23
1534438524,22,22
1534444347,22,22
1534446170,1123,1123
1534448178,2868,2868
1534450027,3446,3446
1534452020,3445,3445
1534453863,3443,3443
1534455862,3442,3442
1534457794,3441,3441
1534461565,3439,3439
1534465725,3439,3439
1534471518,3437,3437
1534477501,3436,3436
1534479404,3435,3435
1534481584,3434,3434
1534483478,3433,3433
1534489329,3434,3434
1534491188,3434,3434
1534500782,3433,3433
1534504624,3433,3433
1534510392,3434,3434
1534514238,3435,3435
1534516138,3436,3436
1534520201,3435,3435
1534524265,3436,3436
1534530280,3435,3435
1534532324,2475,2475
1534534126,1085,1085
1534536108,10,10
1534537961,10,10
1534549625,11,11
1534551646,10,10
1534553577,9,9
1534561515,10,10
1534563411,12,12
1534567239,13,13
1534569343,14,14
1534571319,15,15
1534575395,16,16
1534577346,15,15
1534583126,16,16
1534586941,17,17
1534590782,16,16
1534596536,15,15
1534629377,14,14
1534635168,13,13
1534647697,12,12
1534649539,11,11
1534651510,10,10
1534653396,9,9
1534655332,7,7
1534659222,7,7
1534661077,5,5
1534670670,5,5
1534672589,4,4
1534676479,5,5
1534678405,4,4
1534693706,6,6
1534701681,7,7
1534711718,8,8
1534715531,10,10
1534717456,11,11
1534729040,12,12
1534734851,11,11
1534740539,12,12
1534746323,11,11
1534748254,13,13
1534754023,14,14
1534755905,13,13
1534757964,15,15
1534765573,17,17
1534773870,18,18
1534779615,17,17
1534781466,16,16
1534787302,15,15
1534794984,16,16
1534797220,16,16
1534799065,15,15
1534802912,12,12
1534808717,85,85
1534814658,84,84
1534826438,84,84
1534834331,82,82
1534836174,83,83
1534838171,84,84
1534842039,83,83
1534843937,81,81
1534851613,82,82
1534853560,80,80
1534859800,79,79
1534880929,78,78
1534882845,79,79
1534884753,79,79
1534895169,6,6
1534902981,7,7
1534904915,8,8
1534906898,10,10
1534912599,10,10
1534918358,12,12
1534920258,14,14
1534922187,13,13
1534924107,12,12
1534929895,13,13
1534933697,14,14
1534937557,13,13
1534957010,14,14
1534969229,15,15
1534971149,14,14
1534974989,15,15
1534978877,16,16
1534980764,17,17
1534990466,17,17
1534992279,15,15
1534994368,14,14
1534998218,13,13
1535002001,14,14
1535004079,15,15
1535005940,12,12
1535009697,13,13
1535013630,14,14
1535015534,15,15
1535017415,14,14
1535021284,13,13
1535023212,14,14
1535038591,15,15
1535040427,16,16
1535042423,15,15
1535046272,17,17
1535050110,18,18
1535054184,17,17
1535056264,16,16
1535059939,15,15
1535065720,15,15
1535071722,18,18
1535073625,19,19
1535075563,20,20
1535077466,19,19
1535083306,23,23
1535085179,24,24
1535087073,26,26
1535088986,25,25
1535090923,25,25
1535092831,26,26
1535094762,27,27
1535096664,26,26
1535098590,25,25
1535102442,26,26
1535104352,28,28
1535110345,29,29
1535114173,31,31
1535116113,34,34
1535122349,35,35
1535124263,34,34
1535126193,34,34
1535128093,35,35
1535130094,37,37
1535131946,36,36
1535133875,37,37
1535135788,36,36
1535139651,38,38
1535141547,40,40
1535145867,43,43
1535151709,42,42
1535153577,41,41
1535155507,42,42
1535157622,40,40
1535159570,39,39
1535161464,38,38
1535167494,39,39
1535169405,37,37
1535171316,34,34
1535173270,34,34
1535175194,34,34
1535177077,36,36
1535178989,37,37
1535180925,37,37
1535182864,38,38
1535184769,39,39
1535186668,40,40
1535188614,38,38
1535190530,37,37
1535192447,38,38
1535194352,39,39
1535196289,38,38
1535198190,37,37
1535200098,36,36
1535202105,33,33
1535203965,32,32
1535207817,33,33
1535211644,32,32
1535213607,31,31
1535215475,32,32
1535217417,30,30
1535219812,29,29
1535221697,28,28
1535223582,29,29
1535225550,28,28
1535227474,25,25
1535231569,22,22
1535235419,23,23
1535243104,23,23
1535245000,22,22
1535246937,23,23
1535248907,24,24
1535250793,25,25
1535252820,25,25
1535256756,27,27
1535260605,26,26
1535262754,24,24
1535264681,22,22
1535266904,19,19
1535268753,19,19
1535270679,18,18
1535272607,17,17
1535274519,18,18
1535276446,17,17
1535280277,15,15
1535282221,16,16
1535286038,17,17
1535291802,18,18
1535295695,17,17
1535301397,16,16
1535309343,15,15
1535317514,16,16
1535321348,16,16
1535323247,18,18
1535325175,19,19
1535329010,18,18
1535330921,21,21
1535332850,20,20
1535334809,22,22
1535336668,20,20
1535338651,20,20
1535342530,17,17
1535344393,20,20
1535346300,22,22
1535348252,23,23
1535350145,22,22
1535352060,23,23
1535353994,25,25
1535355896,25,25
1535357826,27,27
1535359714,28,28
1535361656,29,29
1535363553,30,30
1535365508,31,31
1535367411,32,32
1535373180,31,31
1535375074,32,32
1535378912,31,31
1535380888,105,105
1535384690,106,106
1535386620,107,107
1535390471,108,108
1535396242,109,109
1535402205,110,110
1535404120,110,110
1535406073,110,110
1535407965,111,111
1535409892,109,109
1535412068,108,108
1535415899,109,109
1535417843,107,107
1535419732,107,107
1535421812,105,105
1535423799,106,106
1535425970,106,106
1535429829,107,107
1535431740,106,106
1535433649,108,108
1535437486,109,109
1535439413,112,112
1535441324,110,110
1535443298,109,109
1535445181,108,108
1535447108,108,108
1535449282,109,109
1535451168,108,108
1535453112,106,106
1535460784,105,105
1535466520,100,100
1535468501,33,33
1535470362,32,32
1535472298,33,33
1535474233,32,32
1535476364,31,31
1535478306,32,32
1535482137,31,31
1535487924,30,30
1535489820,30,30
1535491771,29,29
1535493715,28,28
1535497515,29,29
1535501346,30,30
1535503277,29,29
1535505172,32,32
1535507128,32,32
1535510974,33,33
1535516700,30,30
1535518631,29,29
1535520516,27,27
1535524370,28,28
1535526308,26,26
1535528215,27,27
1535530440,27,27
1535532282,25,25
1535534210,24,24
1535536130,25,25
1535538080,26,26
1535541915,27,27
1535546037,28,28
1535552139,28,28
1535554107,28,28
1535557981,27,27
1535560103,28,28
1535562087,29,29
1535564161,30,30
1535566107,29,29
1535570224,30,30
