DateTime,Entries,UniqueIPs
1535716338,9345,9558
1535717078,9339,9553
1535717785,9332,9547
1535718506,9327,9543
1535719475,9331,9549
1535721395,9311,9527
1535722352,9321,9538
1535723313,9331,9548
1535724274,9336,9553
1535725228,9340,9563
1535725943,9333,9559
1535726671,9332,9560
1535727377,9325,9553
1535728107,9333,9561
1535729308,9341,9569
1535730265,9336,9564
1535731240,9328,9556
1535732194,9341,9569
1535733153,9326,9555
1535733860,9334,9564
1535734587,9339,9569
1535735307,9327,9563
1535736020,9342,9579
1535736998,9344,9582
1535737953,9324,9564
1535738922,9319,9557
1535739863,9333,9572
1535740827,9328,9567
1535741808,9328,9567
1535742755,9333,9572
1535743465,9330,9569
1535744195,9322,9560
1535744902,9325,9563
1535745630,9331,9569
1535746602,9328,9564
1535747555,9325,9563
1535748511,9325,9563
1535749472,9328,9565
1535750436,9326,9562
1535751142,9336,9572
1535751868,9325,9562
1535752577,9332,9569
1535753314,9332,9569
1535754271,9323,9559
1535755224,9334,9570
1535756189,9322,9558
1535757157,9320,9555
1535758108,9309,9543
1535759065,9313,9548
1535760038,9302,9537
1535761001,9301,9537
1535761944,9312,9550
1535762649,9309,9547
1535763373,9307,9541
1535764090,9304,9538
1535764838,9286,9519
1535765796,9303,9536
1535766751,9276,9510
1535767719,9271,9505
1535768666,9288,9522
1535769633,9281,9516
1535770587,9290,9525
1535771549,9290,9524
1535772262,9291,9525
1535772994,9287,9521
1535773704,9292,9526
1535774438,9293,9526
1535775383,9293,9525
1535776350,9286,9518
1535777317,9282,9513
1535778271,9278,9509
1535779233,9274,9506
1535779948,9268,9500
1535780669,9264,9494
1535781379,9263,9493
1535782117,9252,9481
1535783064,9254,9482
1535784034,9247,9476
1535785010,9248,9477
1535785954,9251,9479
1535786906,9246,9476
1535787620,9248,9478
1535788355,9241,9471
1535789069,9246,9476
1535789794,9221,9408
1535790752,9213,9395
1535791461,9215,9399
1535792187,9219,9402
1535792900,9227,9411
1535793624,9224,9408
1535794595,9225,9409
1535795550,9222,9406
1535796520,9219,9403
1535797466,9221,9405
1535798428,9229,9413
1535799390,9215,9398
1535800356,9207,9390
1535801309,9203,9387
1535802266,9208,9391
1535802979,9211,9395
1535803713,9199,9383
1535804418,9201,9386
1535805155,9202,9387
1535806112,9078,9256
1535807072,9087,9265
1535808035,9081,9259
1535808993,9086,9264
1535809948,9084,9262
1535810915,9075,9253
1535811872,9085,9263
1535812826,9083,9262
1535813787,9072,9249
1535814751,9059,9236
1535815714,9049,9226
1535816668,9046,9223
1535817635,9054,9232
1535818596,9047,9223
1535819298,9053,9230
1535820024,9055,9232
1535820748,9053,9228
1535821719,9036,9208
1535822665,9035,9203
1535823636,9025,9194
1535824340,9033,9202
1535825071,9018,9187
1535825786,9021,9195
1535826517,9020,9194
1535827461,9031,9205
1535828422,9028,9201
1535829397,9028,9201
1535830352,9027,9199
1535831316,9031,9203
1535832280,9027,9197
1535833230,9026,9195
1535834195,9026,9195
1535835159,9017,9186
1535836115,9013,9181
1535837065,9013,9182
1535838028,9012,9182
1535838995,9003,9173
1535839955,9001,9171
1535840911,9003,9173
1535841872,9001,9171
1535842837,9003,9174
1535843784,9003,9174
1535844744,9006,9177
1535845701,9005,9175
1535846674,9001,9171
1535847623,9000,9170
1535848591,9002,9172
1535849549,8994,9164
1535850516,8987,9157
1535851456,8979,9149
1535852414,8979,9149
1535853143,8994,9164
1535853873,8986,9156
1535854583,8980,9150
1535855289,8971,9141
1535856269,8966,9135
1535857268,8962,9131
1535858189,8966,9135
1535859144,8971,9140
1535860131,8965,9135
1535861078,8954,9123
1535862040,8945,9114
1535862733,8958,9127
1535863458,8961,9130
1535864168,8959,9128
1535864926,8957,9126
1535865869,8958,9127
1535866598,8961,9130
1535867307,8960,9129
1535868275,8967,9136
1535869237,8965,9134
1535869948,8970,9139
1535870664,8961,9128
1535871634,8949,9115
1535872598,8957,9123
1535873298,8958,9124
1535874023,8947,9113
1535874742,8955,9121
1535875473,8943,9109
1535876186,8950,9116
1535876912,8946,9112
1535877868,8941,9106
1535878854,8942,9108
1535879795,8948,9114
1535880753,8943,9108
1535881460,8942,9107
1535882187,8942,9107
1535883150,8945,9110
1535883866,8954,9119
1535884828,8956,9122
1535885540,8959,9125
1535886270,8953,9119
1535886989,8960,9126
1535887704,8969,9135
1535888670,8964,9130
1535889669,8964,9130
1535890604,8969,9135
1535891558,8955,9122
1535892261,8963,9130
1535892987,8953,9120
1535893707,8951,9117
1535894428,8954,9121
1535895147,8952,9119
1535895866,8942,9108
1535896578,8945,9110
1535897313,8948,9113
1535898269,8953,9118
1535899229,8945,9110
1535899940,8954,9119
1535900916,8958,9123
1535901618,8966,9130
1535902351,8970,9134
1535903060,8981,9145
1535903782,8978,9142
1535904792,8992,9156
1535905462,9000,9164
1535906437,9009,9173
1535907385,9015,9178
1535908355,9017,9180
1535909309,9026,9190
1535910273,9039,9204
1535911235,9047,9213
1535912199,9035,9202
1535913150,9034,9201
1535913862,9027,9194
1535914582,9039,9206
1535915302,9031,9198
1535916034,9023,9190
1535916991,9023,9190
1535917952,9023,9190
1535918919,9024,9191
1535919870,9019,9186
1535920827,9014,9181
1535921541,9024,9191
1535922269,9021,9188
1535922984,9022,9189
1535923703,9025,9194
1535924422,9030,9199
1535925142,9019,9187
1535925862,8969,9137
1535926588,8960,9128
1535927557,8958,9126
1535928260,8962,9131
1535928980,8954,9123
1535930932,8966,9134
1535931619,8954,9122
1535932349,8958,9126
1535933320,8964,9132
1535934282,8965,9133
1535935229,8974,9142
1535936187,8977,9146
1535937152,8977,9146
1535937861,8973,9143
1535938583,8985,9155
1535939305,8979,9149
1535940275,8980,9150
1535941234,8978,9148
1535942196,8981,9151
1535943154,8986,9156
1535944115,8987,9157
1535945070,8988,9158
1535946025,8988,9158
1535946988,8985,9155
1535947953,8986,9157
1535948909,8981,9152
1535949867,8968,9139
1535950840,8969,9140
1535951785,8974,9141
1535952744,8982,9148
1535953701,8986,9150
1535954666,8981,9146
1535955372,8981,9146
1535956095,8981,9146
1535956807,8981,9146
1535957552,8978,9143
1535958516,8980,9144
1535959148,8982,9146
1535959947,8982,9146
1535961032,8990,9154
1535961879,8995,9160
1535962833,9001,9166
1535963551,9005,9170
1535964264,9012,9177
1535964983,9020,9185
1535965712,9019,9184
1535966668,9022,9186
1535967625,9019,9184
1535968591,9017,9182
1535969553,9016,9181
1535970515,9008,9172
1535971467,9013,9177
1535972440,9016,9180
1535973387,9010,9174
1535974343,9001,9165
1535975303,9001,9165
1535976283,8999,9163
1535977220,9001,9165
1535978198,9015,9179
1535979148,9019,9183
1535980113,9014,9177
1535981070,9012,9175
1535982033,9015,9178
1535982735,9020,9183
1535983470,9028,9191
1535984428,9034,9196
1535985147,9033,9195
1535985870,9019,9181
1535986839,9027,9188
1535987784,9027,9188
1535988753,9027,9189
1535989713,9032,9194
1535990676,9032,9194
1535991633,9036,9199
1535992346,9035,9198
1535993064,9027,9190
1535993778,9046,9210
1535994509,9042,9206
1535995217,9043,9211
1535995950,9033,9201
1535996663,9045,9213
1535997389,9044,9213
1535998100,9035,9203
1535998834,9034,9200
1535999547,9040,9206
1536000264,9038,9201
1536001239,9043,9207
1536002183,9051,9216
1536002887,9044,9208
1536003625,9043,9210
1536004590,9053,9221
1536005550,9058,9226
1536006510,9052,9221
1536007465,9052,9220
1536008455,9055,9223
1536009396,9043,9209
1536010356,9051,9218
1536011308,9053,9220
1536012280,9041,9208
1536013236,9041,9207
1536013944,9045,9211
1536014665,9048,9214
1536015379,9050,9216
1536016114,9029,9195
1536017311,9043,9209
1536018266,9045,9212
1536019239,9048,9215
1536020213,9044,9213
1536021155,9044,9213
1536021862,9033,9203
1536022587,9050,9221
1536023556,9045,9214
1536024516,9054,9223
1536025466,9068,9237
1536026178,9066,9234
1536026914,9064,9232
1536027617,9072,9240
1536028365,9068,9236
1536029313,9067,9234
1536030282,9069,9236
1536031236,9076,9245
1536032204,9096,9270
1536033150,9093,9269
1536033866,9098,9278
1536034590,9101,9281
1536035300,9105,9287
1536036034,9106,9288
1536036987,9108,9296
1536037954,9107,9301
1536038910,9107,9301
1536039878,9108,9302
1536040839,9106,9300
1536041786,9103,9297
1536042740,9102,9298
1536043452,9106,9302
1536044421,9104,9300
1536045136,9104,9301
1536045876,9105,9302
1536046826,9105,9303
1536047541,9089,9287
1536048274,9097,9295
1536048988,9109,9307
1536049705,9107,9305
1536050422,9108,9305
1536051147,9106,9303
1536051865,9106,9303
1536052833,9106,9303
1536053547,9112,9309
1536054263,9105,9302
1536054980,9109,9306
1536055736,9102,9299
1536056670,9105,9303
1536057629,9107,9304
1536058340,9099,9296
1536059068,9100,9297
1536059786,9109,9309
1536060504,9112,9312
1536061221,9100,9300
1536061943,9100,9300
1536062669,9109,9309
1536063408,9109,9310
1536064355,9106,9307
1536065062,9106,9308
1536065782,9101,9303
1536066504,9105,9307
1536067229,9108,9311
1536068193,9112,9314
1536069155,9111,9314
1536069862,9118,9322
1536070590,9118,9321
1536071298,9111,9314
1536073004,9118,9321
1536073716,9111,9313
1536074665,9112,9314
1536075382,9110,9313
1536076107,9119,9322
1536076842,9114,9317
1536077799,9113,9315
1536078744,9117,9319
1536079450,9114,9316
1536080169,9110,9312
1536081137,9098,9300
1536081851,9098,9299
1536082582,9098,9299
1536083540,9104,9306
1536084506,9103,9305
1536085479,9103,9305
1536086419,9107,9309
1536087128,9099,9300
1536087856,9097,9296
1536088573,9110,9309
1536089293,9080,9279
1536090032,9084,9286
1536090987,9099,9301
1536091705,9090,9292
1536092436,9085,9287
1536093400,9081,9284
1536094370,9082,9285
1536095064,9079,9287
1536095791,9089,9297
1536096761,9061,9270
1536097452,9068,9277
1536098177,9060,9270
1536099142,9066,9276
1536099852,9068,9278
1536100572,9066,9276
1536101296,9073,9283
1536102045,9064,9274
1536102982,9061,9271
1536103944,9069,9279
1536104915,9063,9272
1536105884,9063,9272
1536106838,9061,9271
1536107545,9073,9283
1536108264,9066,9275
1536108982,9071,9280
1536109722,9064,9272
1536110670,9071,9279
1536111630,9067,9275
1536112339,9072,9280
1536113069,9068,9276
1536113789,9070,9277
1536114508,9065,9272
1536115472,9068,9275
1536116439,9063,9269
1536117392,9063,9269
1536118342,9040,9210
1536119049,9032,9194
1536119772,9031,9193
1536120498,9025,9187
1536121223,9024,9185
1536121935,9028,9189
1536122654,9019,9179
1536123367,9026,9187
1536124114,9023,9184
1536125076,9022,9183
1536126026,9027,9188
1536126990,9034,9195
1536127950,9036,9197
1536128681,9032,9193
1536129627,9035,9196
1536130340,9027,9188
1536131072,9023,9184
1536132029,9026,9189
1536132746,9027,9190
1536133466,9022,9186
1536134181,9023,9188
1536134913,9017,9182
1536135866,9025,9190
1536136844,9023,9186
1536137540,9026,9189
1536138273,9017,9179
1536138986,9025,9187
1536139707,9022,9184
1536140419,9024,9187
1536141148,9030,9193
1536141865,9027,9190
1536142603,9022,9187
