DateTime,AddedIPs,RemovedIPs
1535715631,4,9
1535716338,3,0
1535717078,6,3
1535717785,7,4
1535718506,2,6
1535719475,8,2
1535721395,3,14
1535722352,10,2
1535723313,5,5
1535724274,2,9
1535725228,11,6
1535725943,6,0
1535726671,6,7
1535727377,4,0
1535728107,2,10
1535729308,13,7
1535730265,0,2
1535731240,4,5
1535732194,9,2
1535733153,9,7
1535733860,2,3
1535734587,2,0
1535735307,6,1
1535736020,5,8
1535736998,4,4
1535737953,7,8
1535738922,2,5
1535739863,4,0
1535740827,4,5
1535741808,5,7
1535742755,4,5
1535743465,3,2
1535744195,5,5
1535744902,7,1
1535745630,1,5
1535746602,8,5
1535747555,2,0
1535748511,5,6
1535749472,3,4
1535750436,5,8
1535751142,5,5
1535751868,5,2
1535752577,1,2
1535753314,4,3
1535754271,2,4
1535755224,5,2
1535756189,6,10
1535757157,3,6
1535758108,4,0
1535759065,3,2
1535760038,4,1
1535761001,9,4
1535761944,6,8
1535762649,5,0
1535763373,2,8
1535764090,3,3
1535764838,4,6
1535765796,9,21
1535766751,8,12
1535767719,6,4
1535768666,14,8
1535769633,6,7
1535770587,14,7
1535771549,3,4
1535772262,3,5
1535772994,5,2
1535773704,4,5
1535774438,7,6
1535775383,7,0
1535776350,2,5
1535777317,1,6
1535778271,5,3
1535779233,3,3
1535779948,3,1
1535780669,0,1
1535781379,3,4
1535782117,1,1
1535783064,2,3
1535784034,1,6
1535785010,2,3
1535785954,4,2
1535786906,1,4
1535787620,8,3
1535788355,5,2
1535789069,3,0
1535789794,4,8
1535790752,5,3
1535791461,7,1
1535792187,14,6
1535792900,5,0
1535793624,2,2
1535794595,6,4
1535795550,4,3
1535796520,4,2
1535797466,7,3
1535798428,7,2
1535799390,7,3
1535800356,3,4
1535801309,6,4
1535802266,5,5
1535802979,3,5
1535803713,2,0
1535804418,3,5
1535805155,1,2
1535806112,3,5
1535807072,4,1
1535808035,6,6
1535808993,6,6
1535809948,3,6
1535810915,1,5
1535811872,9,4
1535812826,3,4
1535813787,2,8
1535814751,3,2
1535815714,2,1
1535816668,5,6
1535817635,1,3
1535818596,4,4
1535819298,1,6
1535820024,3,4
1535820748,2,3
1535821719,3,6
1535822665,2,5
1535823636,3,2
1535824340,4,4
1535825071,1,4
1535825786,4,8
1535826517,6,0
1535827461,6,6
1535828422,5,4
1535829397,5,2
1535830352,0,3
1535831316,3,2
1535832280,1,5
1535833230,5,1
1535834195,8,5
1535835159,5,5
1535836115,2,6
1535837065,2,6
1535838028,0,3
1535838995,6,9
1535839955,5,2
1535840911,12,2
1535841872,6,5
1535842837,9,3
1535843784,4,4
1535844744,5,11
1535845701,3,0
1535846674,5,6
1535847623,4,4
1535848591,6,12
1535849549,2,0
1535850516,8,6
1535851456,6,14
1535852414,10,7
1535853143,12,10
1535853873,7,4
1535854583,6,7
1535855289,1,6
1535856269,8,7
1535857268,7,4
1535858189,3,2
1535859144,8,7
1535860131,6,5
1535861078,7,12
1535862040,3,1
1535862733,5,4
1535863458,2,0
1535864168,2,3
1535864926,2,4
1535865869,3,7
1535866598,6,1
1535867307,2,4
1535868275,5,4
1535869237,2,1
1535869948,2,3
1535870664,1,0
1535871634,1,2
1535872598,8,7
1535873298,0,2
1535874023,5,4
