DateTime,AddedIPs,RemovedIPs
1535716338,41,56
1535717078,54,30
1535717785,37,57
1535718506,44,35
1535719475,43,57
1535721395,11,5604
1535722352,4852,105
1535723313,230,84
1535724274,298,70
1535725228,147,110
1535725943,125,119
1535726671,150,60
1535727377,71,184
1535728107,196,55
1535729308,99,92
1535730265,91,72
1535731240,85,71
1535732194,63,83
1535733153,110,50
1535733860,57,52
1535734587,53,69
1535735307,84,40
1535736020,40,48
1535736998,67,61
1535737953,65,75
1535738922,62,55
1535739863,67,89
1535740827,83,75
1535741808,57,52
1535742755,80,70
1535743465,53,106
1535744195,79,193
1535744902,190,108
1535745630,140,45
1535746602,78,80
1535747555,71,49
1535748511,41,60
1535749472,71,113
1535750436,98,56
1535751142,60,39
1535751868,39,71
1535752577,73,42
1535753314,47,62
1535754271,49,71
1535755224,65,69
1535756189,70,52
1535757157,46,48
1535758108,44,50
1535759065,46,66
1535760038,77,64
1535761001,53,207
1535761944,209,73
1535762649,81,46
1535763373,52,52
1535764090,45,76
1535764838,71,51
1535765796,65,60
1535766751,59,52
1535767719,61,76
1535768666,79,47
1535769633,53,59
1535770587,62,78
1535771549,64,67
1535772262,58,180
1535772994,173,61
1535773704,66,45
1535774438,51,69
1535775383,70,252
1535776350,219,102
1535777317,52,32
1535778271,46,55
1535779233,59,64
1535779948,52,60
1535780669,54,161
1535781379,166,38
1535782117,25,70
1535783064,83,55
1535784034,64,26
1535785010,40,76
1535785954,83,48
1535786906,32,75
1535787620,89,57
1535788355,57,47
1535789069,38,257
1535789794,259,36
1535790752,64,95
1535791461,90,60
1535792187,106,86
1535792900,108,38
1535793624,34,165
1535794595,174,52
1535795550,51,150
1535796520,158,37
1535797466,47,64
1535798428,70,95
1535799390,85,62
1535800356,66,64
1535801309,60,61
1535802266,75,63
1535802979,60,93
1535803713,80,48
1535804418,59,182
1535805155,186,51
1535806112,55,53
1535807072,56,46
1535808035,34,67
1535808993,75,64
1535809948,42,203
1535810915,196,25
1535811872,41,71
1535812826,69,59
1535813787,52,76
1535814751,81,58
1535815714,58,80
1535816668,78,190
1535817635,86,67
1535818596,188,54
1535819298,58,64
1535820024,60,111
1535820748,110,47
1535821719,35,261
1535822665,269,96
1535823636,116,215
1535824340,234,81
1535825071,72,31
1535825786,57,45
1535826517,38,23
1535827461,39,45
1535828422,44,70
1535829397,65,74
1535830352,47,54
1535831316,70,52
1535832280,40,169
1535833230,182,60
1535834195,60,50
1535835159,42,104
1535836115,87,116
1535837065,49,112
1535838028,150,55
1535838995,65,95
1535839955,101,101
1535840911,53,76
1535841872,68,51
1535842837,58,60
1535843784,56,46
1535844744,51,81
1535845701,70,48
1535846674,45,45
1535847623,51,32
1535848591,43,241
1535849549,224,39
1535850516,48,81
1535851456,75,77
1535852414,86,62
1535853143,61,59
1535853873,48,39
1535854583,41,210
1535855289,199,37
1535856269,39,42
1535857268,49,200
1535858189,45,59
1535859144,227,36
1535860131,33,59
1535861078,39,60
1535862040,58,45
1535862733,56,51
1535863458,46,200
1535864168,202,52
1535864926,38,57
1535865869,55,41
1535866598,40,35
1535867307,46,60
1535868275,52,81
1535869237,85,57
1535869948,52,106
1535870664,102,53
1535871634,58,202
1535872598,71,42
1535873298,174,62
1535874023,66,97
1535874742,48,60
1535875473,97,27
1535876186,40,31
1535876912,43,40
1535877868,47,37
1535878854,50,191
1535879795,61,65
1535880753,191,78
1535881460,86,183
1535882187,180,53
1535883150,63,65
1535883866,66,55
1535884828,66,83
1535885540,74,234
1535886270,239,57
1535886989,64,59
1535887704,45,63
1535888670,62,66
1535889669,61,77
1535890604,74,171
1535891558,176,45
1535892261,56,240
1535892987,234,60
1535893707,72,65
1535894428,59,25
1535895147,40,234
1535895866,234,60
1535896578,56,272
1535897313,265,20
1535898269,47,76
1535899229,76,89
1535899940,64,864
1535900916,776,95
1535901618,141,45
1535902351,54,60
1535903060,74,56
1535903782,63,46
1535904792,68,66
1535905462,70,54
1535906437,65,50
1535907385,52,82
1535908355,58,69
1535909309,87,73
1535910273,83,68
1535911235,73,111
1535912199,109,68
1535913150,76,52
1535913862,37,88
1535914582,89,54
1535915302,60,42
1535916034,37,44
1535916991,56,233
1535917952,214,81
1535918919,69,63
1535919870,67,55
1535920827,66,55
1535921541,47,71
1535922269,59,262
1535922984,240,53
1535923703,72,57
1535924422,49,51
1535925142,47,183
1535925862,185,60
1535926588,42,37
1535927557,42,67
1535928260,56,62
1535928980,66,223
1535930932,249,72
1535931619,36,44
1535932349,41,39
1535933320,51,57
1535934282,53,44
1535935229,59,164
1535936187,58,65
1535937152,175,61
1535937861,56,61
1535938583,66,49
1535939305,41,244
1535940275,72,104
1535941234,101,66
1535942196,81,76
1535943154,80,73
1535944115,219,36
