DateTime,AddedIPs,RemovedIPs
1535507767,139,132
1535509686,154,255
1535511655,121,585
1535512755,65,0
1535514008,118,345
1535514134,5,0
1535516299,138,457
1535516887,33,0
1535518207,81,390
1535519408,139,262
1535520532,102,0
1535521715,67,352
1535522167,26,0
1535523247,79,108
1535524519,60,131
1535524926,29,0
1535525766,37,0
1535526906,80,107
1535528336,140,139
1535529961,134,204
1535530446,31,0
1535531286,64,0
1535532973,152,305
1535533246,31,373
1535534407,94,0
1535535727,77,373
1535537408,154,242
1535538608,123,412
1535539807,86,167
1535541248,101,284
1535542813,94,452
1535544279,118,426
1535545380,100,1
1535546708,113,391
1535547366,58,1
1535548506,83,318
1535550312,122,308
1535551808,125,85
1535553015,69,100
1535554981,92,159
1535556486,107,0
1535557326,69,184
1535558449,108,86
1535559246,50,0
1535560612,111,151
1535561706,89,0
1535563691,147,90
1535564867,68,149
1535566207,85,69
1535567409,49,99
1535568127,27,0
1535569512,142,166
1535570707,98,0
1535572211,94,218
1535573652,107,61
1535574759,70,166
1535576110,82,27
1535577307,84,100
1535578507,73,124
1535582527,226,192
1535583819,74,48
1535585287,99,0
1535587812,115,265
1535588887,93,0
1535590207,94,101
1535591653,116,50
1535593513,95,92
1535594799,66,89
1535595907,69,0
1535596927,56,63
1535597767,56,1
1535599687,160,109
1535600527,79,135
1535601367,78,2
1535602446,100,47
1535604134,132,125
1535605505,93,56
1535606706,48,0
1535606887,15,0
1535609647,231,194
1535610485,40,0
1535611326,54,130
1535612543,77,92
1535614090,103,1
1535615407,65,88
1535616847,63,115
1535618526,123,172
1535619740,96,238
1535621286,130,3
1535622127,93,145
1535623808,126,71
1535625726,170,145
1535626565,52,0
1535627646,72,66
1535629326,101,221
1535630636,107,122
1535632211,114,92
1535633706,80,0
1535634907,74,101
1535636526,93,91
1535637896,72,112
1535639136,78,2
1535639290,12,0
1535640611,71,177
1535641812,84,95
1535642888,72,0
1535643726,48,247
1535645187,149,116
1535645645,24,0
1535647327,99,105
1535648166,47,0
1535649311,67,80
1535650102,35,0
1535650933,68,150
1535652228,58,135
1535653686,98,0
1535655367,83,81
1535656513,40,121
1535657292,47,0
1535658965,87,136
1535660886,93,77
1535662211,78,118
1535663651,69,88
1535664906,69,90
1535666084,66,29
1535667321,68,100
1535668926,76,92
1535670308,85,91
1535670854,34,1
1535672412,181,112
1535673366,39,0
