DateTime,AddedIPs,RemovedIPs
1535491835,38,12
1535493393,63,4
1535494540,14,32
1535495734,10,30
1535496940,54,2
1535498144,25,19
1535499775,40,68
1535500601,15,0
1535502529,73,41
1535504715,73,64
1535505929,67,5
1535507788,72,47
1535509727,81,31
1535511278,51,30
1535512527,15,25
1535514163,81,29
1535515839,64,33
1535516918,31,5
1535518230,28,76
1535519438,88,31
1535520609,78,14
1535521738,30,11
1535522195,14,1
1535523278,39,27
1535524539,20,36
1535524948,5,0
1535525787,13,1
1535526935,11,22
1535528367,56,43
1535529990,63,34
1535530475,16,3
1535531317,26,2
1535533004,37,25
1535534115,42,65
1535535746,24,32
1535537436,55,13
1535538640,83,26
1535539827,28,15
1535541275,41,32
1535542844,37,100
1535544315,63,37
1535545522,87,7
1535546739,51,85
1535547388,39,3
1535548534,56,34
1535550335,69,49
1535551833,86,48
1535553041,31,36
1535555017,57,52
1535556522,58,5
1535557344,21,82
1535559267,48,34
1535560632,43,55
1535562340,45,40
1535563726,85,5
1535564887,24,77
1535566231,49,35
1535567439,17,40
1535568152,13,3
1535569534,52,109
1535570746,29,4
1535572232,28,126
1535573680,48,31
1535574795,34,90
1535576130,28,13
1535577337,45,32
1535578535,31,46
1535582549,94,68
1535583850,27,24
1535585325,52,3
1535587845,47,186
1535588910,57,2
1535590234,58,53
1535591679,85,18
1535593544,51,34
1535594821,30,26
1535595930,53,5
1535596951,27,11
1535597791,34,6
1535599722,89,41
1535600553,36,79
1535601390,42,2
1535602468,52,22
1535604162,71,78
1535605537,59,21
1535606735,20,4
1535606928,6,0
1535609678,161,65
1535610515,19,1
1535611349,37,67
1535612595,48,56
1535614124,55,5
1535615426,29,34
1535616641,34,35
1535616867,5,0
1535618558,55,18
1535619779,29,52
1535621318,56,2
1535622147,47,57
1535623841,57,31
1535625748,81,62
1535626589,19,2
1535627666,39,35
1535629353,41,148
1535630672,40,87
1535632246,42,42
1535633728,25,2
1535634931,29,59
1535636551,37,35
1535638144,45,41
1535639326,33,4
1535640631,21,101
1535641841,38,64
1535642923,41,7
1535643745,28,149
1535645223,80,72
1535645672,15,2
1535647359,44,29
1535648201,18,3
1535649340,20,38
1535650125,14,1
1535650961,34,97
1535652264,27,71
1535653714,59,4
1535655390,40,42
1535656536,21,58
1535657320,24,5
