DateTime,Entries,UniqueIPs
1535494532,20692,20692
1535495728,20672,20672
1535496929,20745,20745
1535498135,20756,20756
1535499769,20735,20735
1535500593,20755,20755
1535502519,20782,20782
1535504700,20774,20774
1535505922,20847,20847
1535507782,20850,20850
1535509714,20762,20762
1535511260,20518,20518
1535512511,20358,20358
1535514157,20134,20134
1535515833,19798,19798
1535516909,19832,19832
1535518223,19517,19517
1535519431,19386,19386
1535520590,19221,19221
1535521731,19194,19194
1535522188,19207,19207
1535523272,19171,19171
1535524533,19110,19110
1535524941,19119,19119
1535525781,19138,19138
1535526928,19104,19104
1535528350,19090,19090
1535529981,19004,19004
1535530469,19029,19029
1535531307,19069,19069
1535532998,18872,18872
1535534430,18617,18617
1535535740,18337,18337
1535537430,18186,18186
1535538634,17901,17901
1535539821,17786,17786
1535541268,17574,17574
1535542837,17194,17194
1535544306,16885,16885
1535545509,16986,16986
1535546729,16710,16710
1535547382,16755,16755
1535548526,16529,16529
1535550328,16350,16350
1535551828,16403,16403
1535553034,16393,16393
1535555006,16360,16360
1535556506,16424,16424
1535557338,16327,16327
1535559261,16330,16330
1535560626,16263,16263
1535562323,16257,16257
1535563711,16320,16320
1535564882,16251,16251
1535566225,16265,16265
1535567431,16234,16234
1535568146,16250,16250
1535569528,16185,16185
1535570734,16220,16220
1535572226,16111,16111
1535573674,16134,16134
1535574778,16061,16061
1535576124,16084,16084
1535577329,16081,16081
1535578525,16051,16051
1535582542,16073,16073
1535583839,16073,16073
1535585310,16126,16126
1535587838,15989,15989
1535588903,16053,16053
1535590227,16050,16050
1535591672,16117,16117
1535593535,16122,16122
1535594814,16135,16135
1535595924,16183,16183
1535596944,16195,16195
1535597784,16233,16233
1535599712,16290,16290
1535600546,16246,16246
1535601383,16294,16294
1535602461,16324,16324
1535604156,16326,16326
1535605528,16360,16360
1535606728,16381,16381
1535606911,16386,16386
1535609671,16461,16461
1535610500,16488,16488
1535611343,16440,16440
1535612566,16429,16429
1535614109,16500,16500
1535615420,16488,16488
1535616634,16491,16491
1535616860,16502,16502
1535618551,16539,16539
1535619766,16527,16527
1535621310,16594,16594
1535622141,16577,16577
1535623836,16616,16616
1535625742,16629,16629
1535626578,16657,16657
1535627661,16658,16658
1535629347,16532,16532
1535630658,16486,16486
1535632238,16479,16479
1535633720,16519,16519
1535634924,16484,16484
1535636544,16477,16477
1535638138,16456,16456
1535639311,16499,16499
1535640625,16417,16417
1535641834,16393,16393
1535642914,16434,16434
1535643739,16300,16300
1535645214,16321,16321
1535645665,16337,16337
1535647353,16344,16344
1535648192,16374,16374
1535649333,16352,16352
1535650117,16367,16367
1535650955,16300,16300
1535652250,16239,16239
1535653707,16306,16306
1535655384,16298,16298
1535656528,16257,16257
1535657309,16285,16285
1535658986,16265,16265
1535660900,16276,16276
1535662230,16235,16235
1535663665,16240,16240
1535664920,16246,16246
1535666098,16269,16269
1535667341,16210,16210
1535668939,16175,16175
1535670337,16159,16159
1535670876,16174,16174
1535672435,16178,16178
1535673382,16196,16196
1535675315,16215,16215
1535676982,16133,16133
1535678128,16131,16131
1535679633,16088,16088
1535680581,16090,16090
1535681706,16099,16099
1535683352,16066,16066
1535684738,16045,16045
1535686528,16050,16050
1535686955,16063,16063
1535687788,16083,16083
1535688872,16051,16051
1535690259,15945,15945
1535691935,15933,15933
1535693313,15984,15984
1535694982,15942,15942
1535696073,15959,15959
1535697332,15964,15964
1535698520,15975,15975
1535699688,15978,15978
1535701366,15957,15957
1535703266,15934,15934
1535704438,15917,15917
1535706059,15923,15923
1535706872,15955,15955
1535708125,15905,15905
1535709839,15897,15897
1535710463,15908,15908
1535711312,15962,15962
1535713525,15946,15946
1535714909,15993,15993
1535716579,15954,15954
1535716858,15857,15857
1535718032,15895,15895
1535719168,15874,15874
1535719349,15884,15884
1535721633,15863,15863
1535722834,15774,15774
1535725227,15769,15769
1535725702,15845,15845
1535727052,15846,15846
1535728466,15855,15855
1535729564,15825,15825
1535730922,15825,15825
1535732060,15793,15793
1535733323,15391,15391
1535734664,15436,15436
1535735668,15373,15373
1535736941,15351,15351
1535738136,15394,15394
1535739329,15385,15385
1535740944,15373,15373
1535741780,15386,15386
1535742865,15358,15358
1535744124,15347,15347
1535745323,15378,15378
1535746471,15392,15392
1535747312,15412,15412
1535748144,15351,15351
1535749529,15348,15348
1535750720,15377,15377
1535751747,15347,15347
1535753661,15385,15385
1535754922,15339,15339
1535756182,15366,15366
1535757273,15376,15376
1535758954,15358,15358
1535759796,15379,15379
1535760874,15314,15314
1535762552,15282,15282
1535763877,15288,15288
1535765122,15318,15318
1535766337,15268,15268
1535767551,15255,15255
1535769043,15204,15204
1535769750,15187,15187
1535771131,15155,15155
1535772479,15191,15191
1535773920,15167,15167
1535775031,15107,15107
1535776244,15083,15083
1535777789,15070,15070
1535778934,14991,14991
1535780440,14945,14945
1535782555,14932,14932
1535783727,14919,14919
1535785173,14893,14893
1535786074,14912,14912
1535786912,14937,14937
1535788177,14910,14910
1535789670,14958,14958
1535791341,14947,14947
1535792730,14908,14908
1535793868,14958,14958
1535795779,14905,14905
1535797704,14886,14886
1535799381,14881,14881
1535800528,14863,14863
1535801723,14829,14829
1535803828,14840,14840
1535805031,14830,14830
1535806403,14909,14909
1535807660,14945,14945
1535808504,14978,14978
1535809349,14910,14910
1535811023,14923,14923
1535812113,14948,14948
1535813733,14943,14943
1535814865,14889,14889
1535815707,14915,14915
1535817236,14842,14842
1535818533,14831,14831
1535820149,14819,14819
1535821533,14786,14786
1535822689,14850,14850
1535824589,15154,15154
1535824858,15139,15139
1535825665,15172,15172
1535827193,15202,15202
1535828179,15198,15198
1535829273,15188,15188
1535830530,15183,15183
1535831723,15195,15195
1535832927,15156,15156
1535834550,15102,15102
1535835380,15124,15124
1535836532,15091,15091
1535837723,15089,15089
1535838924,15115,15115
1535840129,15106,15106
1535841330,15066,15066
1535842582,15062,15062
1535844502,15094,15094
1535845354,15013,15013
1535846188,15064,15064
1535847272,15061,15061
1535850335,14978,14978
1535850873,14991,14991
1535852139,14938,14938
1535853393,14954,14954
1535855310,15001,15001
1535856151,14963,14963
1535858059,14982,14982
1535859747,14987,14987
1535861432,14994,14994
1535862536,15016,15016
1535864189,14983,14983
1535865269,14959,14959
1535867129,14911,14911
1535868631,14901,14901
1535869825,14814,14814
1535871386,14813,14813
1535872458,14800,14800
1535874145,14755,14755
1535874979,14788,14788
1535876065,14770,14770
1535877320,14744,14744
1535878518,14779,14779
1535879663,14721,14721
1535881350,14712,14712
1535882184,14731,14731
1535884107,14715,14715
1535885724,14684,14684
1535886870,14667,14667
1535888555,14640,14640
1535890227,14632,14632
1535890474,14639,14639
1535892031,14615,14615
1535894064,14638,14638
1535894903,14659,14659
1535896578,14653,14653
1535897726,14578,14578
1535898922,14526,14526
1535899339,14524,14524
1535901631,14601,14601
1535902831,14618,14618
1535905233,14655,14655
1535906558,14642,14642
1535907921,14670,14670
1535909160,14728,14728
1535910329,14671,14671
1535910980,14684,14684
1535912059,14666,14666
1535913634,14623,14623
1535915122,14573,14573
1535916320,14598,14598
1535918187,14551,14551
1535919270,14536,14536
1535920521,14499,14499
1535922325,14502,14502
1535923555,14530,14530
1535925379,14518,14518
1535927307,14494,14494
1535928996,14449,14449
1535930133,14441,14441
1535930906,14477,14477
1535932578,14439,14439
1535933668,14407,14407
1535935224,14377,14377
1535936182,14386,14386
1535937334,14359,14359
1535938114,14384,14384
1535939724,14376,14376
1535940872,14350,14350
1535941722,14362,14362
1535943334,14389,14389
1535944546,14370,14370
1535945728,14379,14379
1535946984,14406,14406
1535948128,14420,14420
1535949743,14447,14447
1535951130,14424,14424
1535951667,14432,14432
1535953219,14353,14353
1535954976,14401,14401
1535955260,14412,14412
1535956521,14394,14394
1535957727,14421,14421
1535959708,14462,14462
1535961070,14411,14411
1535962459,14405,14405
1535963314,14435,14435
1535964986,14397,14397
1535966908,14440,14440
1535967746,14483,14483
1535969300,14492,14492
1535969658,14503,14503
1535970506,14553,14553
1535972732,14534,14534
1535973265,14558,14558
1535974945,14524,14524
1535975785,14552,14552
1535976872,14474,14474
1535977714,14535,14535
1535979928,14560,14560
1535981431,14648,14648
