DateTime,AddedIPs,RemovedIPs
1535499764,44,54
1535500582,21,2
1535502506,54,21
1535504695,71,55
1535505917,28,3
1535507777,48,41
1535509703,46,47
1535512768,72,70
1535514024,46,26
1535514145,0,1
1535516310,32,74
1535516899,15,1
1535518218,41,30
1535519421,39,29
1535520548,21,5
1535521726,22,31
1535522177,10,0
1535523262,19,12
1535524528,20,23
1535524937,18,0
1535525776,14,1
1535526920,53,36
1535528346,65,47
1535529970,36,30
1535530458,6,0
1535531299,19,2
1535532990,99,46
1535533256,16,46
1535534419,38,2
1535535735,43,45
1535537426,84,54
1535538623,39,33
1535539816,56,15
1535541260,47,17
1535542824,49,23
1535544297,36,30
1535545500,9,0
1535546720,28,43
1535547377,9,2
1535548518,19,26
1535550323,30,46
1535551819,19,34
1535553028,24,34
1535554995,28,54
1535556497,34,4
1535557334,43,34
1535558460,64,20
1535559256,32,0
1535560622,49,21
1535562312,73,23
1535563702,33,2
1535564877,34,40
1535566220,28,26
1535567420,24,43
1535568138,10,1
1535569524,72,27
1535570726,61,2
1535572221,47,51
1535573663,49,21
1535574768,35,55
1535576120,47,18
1535577318,40,31
1535578515,33,40
1535582537,109,96
1535583830,42,17
1535585301,35,0
1535587825,54,62
1535588898,30,3
1535590223,25,29
1535591667,22,24
1535593525,32,33
1535594809,17,61
1535595918,17,1
1535596939,17,35
1535597778,13,2
1535599702,42,60
1535600540,21,36
1535601377,28,4
1535602456,34,14
1535604147,32,32
1535605515,31,20
1535606723,18,0
1535606901,7,0
1535609661,37,62
1535610496,12,2
1535611335,14,35
1535612556,18,22
1535614100,24,2
1535615416,14,32
1535616622,10,67
1535616856,1,3
1535618542,26,95
1535619754,28,125
1535621300,55,2
1535622137,27,51
1535623831,36,22
1535625737,65,47
1535626573,17,2
1535627656,21,16
1535629339,28,30
1535630647,47,20
1535632228,36,31
1535633716,26,5
1535634918,31,20
1535636535,35,29
1535638133,20,33
1535639300,28,3
1535640620,27,62
1535641822,24,17
1535642903,23,1
1535643735,15,49
1535645204,41,37
1535645656,8,0
1535647342,30,41
1535648181,12,4
1535649321,34,27
1535650113,18,3
1535650945,26,38
1535652245,21,33
1535653696,25,4
1535655376,36,25
1535656524,13,40
1535657303,19,8
1535658978,22,44
1535660895,35,27
1535662222,31,33
1535663661,22,44
1535664915,21,59
1535666094,25,18
1535667330,20,17
1535668935,41,37
1535670321,20,32
1535670867,8,1
1535672425,36,42
1535673377,17,3
1535674457,26,53
1535675303,11,2
1535676977,20,46
1535678119,23,21
1535679623,27,34
1535682025,36,27
1535683339,21,72
1535684730,14,17
1535686519,25,35
1535686946,4,1
1535687783,15,4
1535688861,28,45
1535690254,47,36
1535691924,23,27
1535693303,41,2
1535694977,35,44
1535696062,16,32
