DateTime,AddedIPs,RemovedIPs
1535068354,6,0
1535070255,26,10
1535072173,7,23
1535074093,11,0
1535076030,10,6
1535077953,11,7
1535080099,13,15
1535082028,9,0
1535084182,10,32
1535086094,15,0
1535089937,8,37
1535091857,24,17
1535093781,10,0
1535095694,25,20
1535097637,15,20
1535099555,12,19
1535101460,13,24
1535105313,12,34
1535107221,12,24
1535109138,5,24
1535111052,7,0
1535112989,7,25
1535114892,10,24
1535116824,5,12
1535118749,8,15
1535120654,19,8
1535122855,12,36
1535124750,6,0
1535128580,10,16
1535130750,12,15
1535132649,20,0
1535134591,20,14
1535136748,10,36
1535138666,8,16
1535140573,7,9
1535142504,16,0
1535146570,6,16
1535148752,15,12
1535151672,10,14
1535153558,5,15
1535155484,10,10
1535159550,7,5
1535161455,9,9
1535163380,12,11
1535167479,16,23
1535169386,16,11
1535171304,25,12
1535173234,13,17
1535175159,24,13
1535177062,14,22
1535178980,15,14
1535180906,14,0
1535182853,22,14
1535184751,8,9
1535186659,24,13
1535188593,14,17
1535190514,15,9
1535192429,9,0
1535196268,3,18
1535198181,13,3
1535200090,21,10
1535202033,7,8
1535203949,19,14
1535205877,11,17
1535207797,10,0
1535209720,7,25
1535211628,15,12
1535213592,14,19
1535215459,21,25
1535217400,6,15
1535219793,17,12
1535221689,22,12
1535223879,25,35
1535225771,17,0
1535227695,12,22
1535229623,8,23
1535231537,19,22
1535233466,12,21
1535235379,14,24
1535237295,11,12
1535241131,14,31
1535243068,14,10
1535244970,8,0
1535246905,18,14
1535248828,13,13
1535250755,15,12
1535252659,11,9
1535254589,16,9
1535256503,11,14
1535258410,13,18
1535260332,18,10
1535262262,25,16
1535264207,20,23
1535266105,28,25
1535268010,7,22
1535270196,10,20
1535272346,24,0
1535274254,19,24
1535276186,3,0
1535278092,8,6
1535280010,11,7
1535281929,2,1
1535283853,21,11
1535285788,15,6
1535287693,22,7
1535289608,19,6
1535291552,8,6
1535293461,24,0
1535295378,16,15
1535301136,12,38
1535303063,10,20
1535304967,11,0
1535307411,18,38
1535309316,11,26
1535311214,9,13
1535313165,14,0
1535317943,14,12
1535319873,17,21
1535321782,12,14
1535323711,17,20
1535325614,25,10
1535327551,17,9
1535329453,15,20
1535333290,10,27
1535337149,12,30
1535339061,12,12
1535340982,19,12
1535342912,14,16
1535344816,10,0
1535346749,30,17
1535348657,19,25
1535350596,26,26
1535352494,18,25
1535354430,16,25
1535356355,25,21
1535358261,11,24
1535362105,8,41
1535364039,6,0
1535365950,7,0
1535367860,6,0
1535369787,29,5
1535371694,24,12
1535373617,19,10
1535375542,18,10
1535377463,26,0
1535379390,14,7
1535381297,8,0
1535383211,13,21
1535385149,11,21
1535387058,27,16
1535388985,17,7
1535390889,18,14
1535392836,12,11
1535394747,5,25
1535396662,11,4
1535398581,14,5
1535400770,7,0
1535402660,24,8
1535404593,10,9
1535406745,7,16
1535408653,24,7
1535410585,6,9
1535412754,13,7
1535414664,12,15
1535416581,17,11
1535420424,3,18
1535422584,10,12
1535424503,15,12
1535426426,17,0
1535428333,15,19
1535430257,17,17
1535432174,21,17
1535434093,27,21
1535436028,12,18
1535437964,16,19
1535441776,18,23
1535443696,22,7
1535445613,28,13
1535447536,9,18
1535449708,7,0
1535451609,7,3
1535453538,12,7
1535455453,12,4
1535457381,23,23
1535461229,17,28
1535465067,19,42
1535466972,8,0
1535468921,8,9
1535472788,8,23
1535474662,22,31
1535476836,13,19
1535478735,11,0
1535480664,33,6
1535482585,10,22
1535484525,16,0
1535486434,10,24
1535488352,6,0
1535490266,5,8
1535492190,4,14
1535494117,6,7
1535496034,4,13
1535497942,6,12
1535499868,14,6
1535501781,15,6
1535503708,20,6
1535505632,14,7
1535507534,11,9
1535509453,12,8
1535511384,18,17
1535513291,15,16
1535515229,19,14
1535517139,22,14
1535519075,17,1
1535520991,12,17
1535522918,11,15
1535524828,18,20
1535526751,19,16
1535528685,22,23
1535530612,11,12
1535532492,19,18
1535534410,10,6
1535536334,6,12
1535538250,2,6
1535540178,6,9
1535542338,6,7
1535544507,9,2
1535546422,9,16
1535548595,21,9
1535550490,25,15
1535552430,7,15
1535554333,19,9
1535558429,11,13
1535560594,8,12
1535562499,6,19
1535564423,8,8
1535566344,16,11
1535568260,13,17
1535570183,7,4
1535572097,20,13
1535574041,12,7
1535575937,4,17
1535577860,21,8
1535580055,7,6
1535582926,22,12
1535584821,11,4
1535586732,5,4
1535588657,18,9
1535590584,9,9
1535592736,5,17
1535594658,6,8
1535596585,14,15
1535598517,14,7
1535600418,2,4
1535602341,15,4
1535604273,14,6
1535606428,13,10
1535608337,11,12
1535610257,24,3
1535612181,24,20
1535614101,27,15
1535617940,13,20
1535619869,22,11
1535621776,7,18
1535623708,9,7
1535625615,4,8
1535627549,12,1
1535629458,21,10
1535631400,20,9
1535633292,23,19
1535635221,13,10
1535637393,6,7
1535639300,22,12
1535643142,15,24
1535645343,8,7
1535647215,9,21
1535649138,19,11
1535651056,15,0
1535652981,15,9
1535654903,19,8
1535656819,14,10
1535658740,7,15
1535660654,18,12
1535662584,5,8
1535664494,15,8
1535666441,5,18
1535668348,14,9
1535670263,8,28
1535672178,8,18
1535677942,9,31
1535679864,16,11
1535681786,11,7
1535687548,8,39
1535691370,5,20
1535693541,21,0
1535695469,8,12
1535697373,8,21
1535699308,13,10
1535701214,15,26
1535703134,19,15
1535705057,18,9
1535707012,17,19
1535711058,7,15
1535712983,8,10
1535715143,13,6
1535717075,10,11
1535718984,6,8
1535720898,6,10
1535722822,9,5
1535724740,7,8
1535726668,21,21
1535728581,10,12
1535730742,12,8
1535732654,23,0
1535734583,7,8
1535736494,18,6
1535738434,8,19
1535740339,3,17
1535746098,11,29
1535748012,6,15
1535749939,11,0
1535751864,26,6
1535753789,8,18
1535755697,23,0
1535757623,13,11
1535759535,13,5
1535761464,12,9
1535763370,7,0
1535765291,9,7
1535767233,15,15
1535769142,6,14
1535772991,11,12
1535776814,6,35
1535778749,13,14
1535780665,21,23
1535782584,29,22
1535784496,18,10
1535786426,13,13
1535788352,14,22
1535790258,18,7
1535792183,15,25
1535794091,9,12
1535796030,10,11
1535797938,9,3
1535799864,6,0
1535803710,6,13
1535805614,14,19
1535807547,23,7
1535809457,24,16
1535811383,7,11
1535813295,17,10
1535815218,17,12
1535817154,20,13
1535819053,25,15
1535820972,11,19
1535822886,21,9
1535824827,8,19
1535826994,4,22
1535828898,10,24
1535830811,17,14
1535832754,17,12
1535834657,23,8
1535836585,15,18
1535838499,21,14
1535840412,16,13
1535844266,19,11
1535846187,6,16
1535848094,9,13
1535850072,21,7
1535851952,12,15
1535853870,10,14
1535855790,12,14
1535857708,15,10
1535859640,18,14
1535861580,15,13
1535863455,24,13
1535865385,16,20
1535867304,27,22
1535869234,18,19
1535871159,13,30
1535874971,11,7
1535876908,24,12
1535878850,23,22
1535880750,9,16
1535882664,8,2
1535884824,8,19
1535886741,5,2
1535888666,5,22
1535890601,14,17
1535892496,18,20
1535894425,8,22
1535896336,9,0
1535898265,25,35
1535902348,4,15
1535904268,9,0
1535906433,8,16
1535908352,12,8
1535910270,18,9
1535912196,15,0
1535914096,19,20
1535916031,19,28
1535919867,20,17
1535921777,19,0
1535923701,15,12
1535925649,22,19
1535927554,12,10
1535929473,16,11
1535931389,15,22
1535933317,14,18
1535935226,6,17
1535937149,18,0
1535939055,14,12
1535941231,14,0
1535943151,11,13
1535945066,21,14
1535946985,16,18
1535948906,17,12
1535950837,20,17
1535952741,33,34
1535954663,9,22
1535956590,16,28
1535958513,17,17
1535960413,12,19
1535962339,15,32
1535964261,30,13
1535966184,8,0
1535968095,11,11
1535970017,11,9
1535971940,14,6
1535973869,18,7
1535977694,18,47
1535979631,6,23
1535981536,12,22
1535983467,3,29
1535985371,15,17
1535987307,8,11
1535989224,6,16
1535991190,18,13
1535993061,24,32
1535994987,20,14
1535998831,5,37
1536000743,13,5
1536002667,18,8
1536004586,9,13
1536006507,20,9
1536008452,7,21
1536012277,9,21
1536014414,4,26
1536016595,6,8
1536018742,12,11
1536020677,11,13
1536022584,10,15
1536024513,22,0
1536026436,6,3
