DateTime,AddedIPs,RemovedIPs
1535655859,613,17
1535656834,74,521
1535657783,72,71
1535658745,73,74
1535659708,86,73
1535660658,93,63
1535661615,85,75
1535662596,66,72
1535663533,66,50
1535664499,58,71
1535665473,89,88
1535666445,61,72
1535667387,90,97
1535668358,88,67
1535669298,65,65
1535670276,77,6
1535671212,72,76
1535672182,82,92
1535673145,74,73
1535674111,68,83
1535675059,59,61
1535676015,79,51
1535677001,71,49
1535677946,69,66
1535678897,66,63
1535679869,73,62
1535680825,71,44
1535681792,82,51
1535682739,55,61
1535683719,86,70
1535684663,84,51
1535685637,68,51
1535686573,78,67
1535687561,71,71
1535688597,73,49
1535689705,76,50
1535690662,80,54
1535691625,84,70
1535692591,77,43
1535693545,75,61
1535694495,68,52
1535695481,87,60
1535696415,82,44
1535697383,86,61
1535698337,67,57
1535699314,68,58
1535700267,102,66
1535701219,23,52
1535702179,19,50
1535703139,76,56
1535704092,68,44
1535705064,90,56
1535707024,157,92
1535708181,87,62
1535709145,101,74
1535710100,84,57
1535711065,70,59
1535712015,55,49
1535712997,121,73
1535713956,78,59
1535715150,77,99
1535716097,81,78
1535717088,71,70
1535718010,86,81
1535718989,68,75
1535719960,69,67
1535720913,21,54
1535721858,32,88
1535722826,28,82
1535723778,23,65
1535724746,15,69
1535725691,22,88
1535726682,74,81
1535727621,148,93
1535728585,155,68
1535729807,137,72
1535730748,99,74
1535731739,63,87
1535732659,66,87
1535733617,64,69
1535734595,97,70
1535735535,87,76
1535736499,77,58
1535737460,84,72
1535738440,82,71
1535739386,87,67
1535740343,77,68
1535741301,73,71
1535742271,618,1844
1535743212,68,82
1535744210,83,79
1535745137,89,63
1535746102,91,83
1535747057,84,94
1535748016,75,95
1535748977,71,10
1535749945,96,82
1535750890,54,53
1535751878,66,65
1535752828,82,80
1535753793,81,72
1535754741,80,61
1535755704,69,20
1535756658,79,41
1535757629,68,82
1535758586,87,5
1535759540,87,81
1535760510,79,60
1535761470,86,80
1535762414,92,63
1535763381,71,55
1535764344,85,55
1535765296,79,67
1535766258,92,53
1535767237,77,49
1535768195,73,62
1535769146,73,54
1535770102,62,73
1535771066,91,116
1535772025,69,67
1535773003,59,56
1535773941,66,74
1535774914,93,85
1535775857,62,61
1535776819,74,68
1535777789,68,69
1535778754,87,68
1535779692,71,68
1535780680,76,78
1535781615,90,63
1535782589,71,64
1535783543,51,58
1535784510,79,65
1535785462,69,76
1535786430,76,71
1535787373,64,61
1535788365,11,76
1535789304,30,53
1535790264,60,72
1535791216,29,86
1535792196,84,90
1535793134,90,107
1535794096,153,81
1535795060,131,64
1535796036,76,63
1535796985,83,70
1535797943,68,72
1535798895,65,73
1535799869,73,73
1535800817,67,85
1535801788,73,86
1535802737,64,86
1535803724,66,72
1535804656,68,71
1535805618,60,78
1535806601,64,92
1535807553,70,108
1535808494,56,59
1535809463,51,71
1535810446,80,88
1535811389,69,75
1535812344,67,82
1535813301,79,91
1535814267,51,68
1535815222,49,64
1535816185,65,91
1535817165,66,120
1535818160,74,80
1535819308,75,75
1535820255,62,69
1535821219,69,74
1535822189,80,110
1535823139,71,104
1535824096,63,86
1535825084,70,66
1535826013,64,3
1535826999,72,180
1535827974,69,9
1535828903,78,590
1535829857,56,68
1535830816,72,70
1535831781,55,59
1535832761,70,85
1535833695,62,84
1535834665,62,71
1535835639,45,58
1535836589,68,73
1535837542,70,65
1535838503,51,75
1535839460,83,52
1535840417,68,60
1535841385,71,60
1535842346,84,52
1535843322,63,70
1535844271,75,77
1535845231,61,133
1535846191,69,92
1535847152,79,116
1535848099,65,94
1535849059,60,81
1535850077,75,79
1535850999,59,49
1535851957,61,171
1535852901,54,56
1535853884,64,68
1535854813,52,59
1535855795,56,51
1535856736,63,84
1535857712,69,76
1535858656,60,5
1535859644,53,156
1535860575,53,5
1535861586,77,176
1535862500,98,75
1535863468,54,78
1535864418,40,5
1535865389,87,131
1535866612,54,57
1535867785,52,56
1535868740,79,102
1535869702,71,69
1535870674,44,75
1535871648,60,95
1535872606,63,44
1535873545,47,66
1535874496,1,0
1535875482,17,117
1535876412,70,3
1535877383,13,64
1535878360,85,127
1535879306,61,4
1535880258,107,51
1535881219,98,132
1535882195,87,109
1535883159,73,57
1535884343,77,74
1535885295,57,77
1535886279,59,66
1535887210,65,73
1535888178,62,55
1535889143,68,74
1535890096,61,66
1535891056,58,75
1535892016,51,72
1535892996,57,89
1535893936,53,99
1535894890,42,55
1535895875,54,82
1535896834,47,84
1535897788,48,59
1535898744,60,73
1535899701,46,74
1535900924,75,71
1535901859,63,90
1535902814,62,93
1535903790,74,64
1535904800,52,50
1535905945,87,79
1535906901,61,86
1535907862,68,86
1535908827,64,112
1535909783,67,130
1535910741,75,143
1535911704,65,6
1535912680,72,119
1535913612,77,91
1535914590,57,124
1535915539,83,528
1535916505,74,103
1535917459,64,115
1535918430,56,94
1535919385,75,131
1535920347,53,13
1535921294,74,88
1535922277,68,78
1535923209,68,88
1535924177,72,72
1535925151,66,61
1535926104,60,77
1535927065,70,100
1535928020,78,71
1535928988,67,37
1535930941,76,171
1535931861,70,102
1535932845,49,78
1535933785,60,89
1535934742,91,93
1535935708,63,108
1535936666,66,63
1535937611,100,121
1535938591,56,64
1535939780,74,120
1535940740,71,86
1535941696,96,87
1535942663,94,101
1535943639,74,87
1535944579,80,77
1535945539,68,74
1535946499,77,170
1535947467,76,98
1535948428,94,73
1535949381,77,93
1535950356,71,112
1535951320,112,72
1535952282,71,102
1535953225,77,83
1535954186,65,83
1535955154,71,85
1535956104,93,75
1535957053,86,93
1535958038,94,78
1535959161,88,164
1535960418,89,163
1535961380,13,89
1535962345,59,96
1535963294,57,92
1535964275,98,97
1535965220,112,77
1535966189,126,78
1535967142,92,76
1535968099,82,119
1535969067,79,107
1535970022,69,91
1535970983,70,94
1535971944,74,73
1535972910,71,106
1535973873,80,163
1535974829,85,136
1535975794,76,83
1535976755,75,149
1535977698,100,108
1535978660,82,93
1535979636,99,105
1535980587,82,85
1535981541,104,91
1535982498,59,85
1535983478,65,111
1535984437,89,77
1535985376,74,79
1535986343,126,90
1535987311,78,105
1535988255,95,70
1535989229,87,132
1535990177,88,108
1535991195,81,93
1535992354,103,81
1535993544,89,71
1535994517,82,98
1535995458,125,110
1535996416,96,153
1535997398,125,142
1535998336,92,90
1535999291,116,128
1536000274,152,133
1536001250,1809,137
1536002192,105,255
1536003140,111,88
1536004098,100,81
1536005072,107,87
1536006022,98,62
1536006985,114,91
1536007946,98,76
1536008915,97,87
1536009857,94,89
1536010819,98,94
1536011779,75,83
1536012742,94,73
1536013695,65,67
1536014675,72,16
1536015628,57,31
1536016600,92,67
1536017785,73,103
1536018750,77,84
1536020221,100,85
1536021163,94,82
1536022097,85,73
1536023058,120,98
