DateTime,Entries,UniqueIPs
1535655859,3623,3623
1535656834,3567,3567
1535657783,3576,3576
1535658745,3557,3557
1535659708,3535,3535
1535660658,3563,3563
1535661615,3553,3553
1535662596,3563,3563
1535663533,3565,3565
1535664499,3541,3541
1535665473,3549,3549
1535666445,3536,3536
1535667387,3546,3546
1535668358,3542,3542
1535669298,3562,3562
1535670276,3562,3562
1535671212,3564,3564
1535672182,3538,3538
1535673145,3524,3524
1535674111,3521,3521
1535675059,3525,3525
1535676015,3499,3499
1535677001,3507,3507
1535677946,3479,3479
1535678897,3502,3502
1535679869,3494,3494
1535680825,3490,3490
1535681792,3492,3492
1535682739,3489,3489
1535683719,3504,3504
1535684663,3482,3482
1535685637,3475,3475
1535686573,3461,3461
1535687561,3466,3466
1535688597,3458,3458
1535689705,3485,3485
1535690662,3480,3480
1535691625,3505,3505
1535692591,3491,3491
1535693545,3472,3472
1535694495,3480,3480
1535695481,3500,3500
1535696415,3483,3483
1535697383,3497,3497
1535698337,3504,3504
1535699314,3485,3485
1535700267,3503,3503
1535701219,3517,3517
1535702179,3533,3533
1535703139,3531,3531
1535704092,3559,3559
1535705064,3584,3584
1535707024,3611,3611
1535708181,3602,3602
1535709145,3548,3548
1535710100,3490,3490
1535711065,3473,3473
1535712015,3466,3466
1535712997,3493,3493
1535713956,3490,3490
1535715150,3492,3492
1535716097,3472,3472
1535717088,3482,3482
1535718010,3477,3477
1535718989,3480,3480
1535719960,3507,3507
1535720913,3503,3503
1535721858,3505,3505
1535722826,3500,3500
1535723778,3497,3497
1535724746,3486,3486
1535725691,3471,3471
1535726682,3424,3424
1535727621,3417,3417
1535728585,3465,3465
1535729807,3498,3498
1535730748,3508,3508
1535731739,3496,3496
1535732659,3493,3493
1535733617,3483,3483
1535734595,3506,3506
1535735535,3476,3476
1535736499,3499,3499
1535737460,3499,3499
1535738440,3513,3513
1535739386,3500,3500
1535740343,3500,3500
1535741301,3484,3484
1535742271,3525,3525
1535743212,3505,3505
1535744210,3494,3494
1535745137,3491,3491
1535746102,3496,3496
1535747057,3508,3508
1535748016,3495,3495
1535748977,3489,3489
1535749945,3516,3516
1535750890,3518,3518
1535751878,3506,3506
1535752828,3517,3517
1535753793,3516,3516
1535754741,3522,3522
1535755704,3524,3524
1535756658,3527,3527
1535757629,3525,3525
1535758586,3516,3516
1535759540,3541,3541
1535760510,3509,3509
1535761470,3520,3520
1535762414,3528,3528
1535763381,3516,3516
1535764344,3503,3503
1535765296,3531,3531
1535766258,3556,3556
1535767237,3525,3525
1535768195,3542,3542
1535769146,3557,3557
1535770102,3538,3538
1535771066,3537,3537
1535772025,3551,3551
1535773003,3557,3557
1535773941,3561,3561
1535774914,3558,3558
1535775857,3572,3572
1535776819,3557,3557
1535777789,3532,3532
1535778754,3551,3551
1535779692,3570,3570
1535780680,3590,3590
1535781615,3583,3583
1535782589,3567,3567
1535783543,3571,3571
1535784510,3598,3598
1535785462,3565,3565
1535786430,3602,3602
1535787373,3595,3595
1535788365,3599,3599
1535789304,3591,3591
1535790264,3603,3603
1535791216,3602,3602
1535792196,3569,3569
1535793134,3572,3572
1535794096,3592,3592
1535795060,3620,3620
1535796036,3657,3657
1535796985,3636,3636
1535797943,3660,3660
1535798895,3658,3658
1535799869,3666,3666
1535800817,3663,3663
1535801788,3669,3669
1535802737,3640,3640
1535803724,3661,3661
1535804656,3665,3665
1535805618,3642,3642
1535806601,3652,3652
1535807553,3694,3694
1535808494,3689,3689
1535809463,3709,3709
1535810446,3738,3738
1535811389,3754,3754
1535812344,3755,3755
1535813301,3764,3764
1535814267,3708,3708
1535815222,3638,3638
1535816185,3619,3619
1535817165,3628,3628
1535818160,3604,3604
1535819308,3622,3622
1535820255,3601,3601
1535821219,3596,3596
1535822189,3591,3591
1535823139,3602,3602
1535824096,3582,3582
1535825084,3589,3589
1535826013,3574,3574
1535826999,3575,3575
1535827974,3579,3579
1535828903,3565,3565
1535829857,3570,3570
1535830816,3591,3591
1535831781,3571,3571
1535832761,3552,3552
1535833695,3555,3555
1535834665,3554,3554
1535835639,3539,3539
1535836589,3527,3527
1535837542,3503,3503
1535838503,3493,3493
1535839460,3514,3514
1535840417,3509,3509
1535841385,3510,3510
1535842346,3518,3518
1535843322,3527,3527
1535844271,3517,3517
1535845231,3484,3484
1535846191,3459,3459
1535847152,3445,3445
1535848099,3432,3432
1535849059,3452,3452
1535850077,3429,3429
1535850999,3415,3415
1535851957,3398,3398
1535852901,3389,3389
1535853884,3390,3390
1535854813,3373,3373
1535855795,3368,3368
1535856736,3385,3385
1535857712,3360,3360
1535858656,3364,3364
1535859644,3368,3368
1535860575,3339,3339
1535861586,3345,3345
1535862500,3373,3373
1535863468,3365,3365
1535864418,3360,3360
1535865389,3341,3341
1535866612,3340,3340
1535867785,3319,3319
1535868740,3339,3339
1535869702,3346,3346
1535870674,3369,3369
1535871648,3387,3387
1535872606,3338,3338
1535873545,3349,3349
1535874496,3348,3348
1535875482,3351,3351
1535876412,3335,3335
1535877383,3338,3338
1535878360,3346,3346
1535879306,3355,3355
1535880258,3335,3335
1535881219,3343,3343
1535882195,3342,3342
1535883159,3342,3342
1535884343,3357,3357
1535885295,3368,3368
1535886279,3357,3357
1535887210,3374,3374
1535888178,3369,3369
1535889143,3375,3375
1535890096,3375,3375
1535891056,3367,3367
1535892016,3369,3369
1535892996,3368,3368
1535893936,3359,3359
1535894890,3349,3349
1535895875,3355,3355
1535896834,3346,3346
1535897788,3357,3357
1535898744,3337,3337
1535899701,3333,3333
1535900924,3339,3339
1535901859,3327,3327
1535902814,3326,3326
1535903790,3290,3290
1535904800,3340,3340
1535905945,3322,3322
1535906901,3327,3327
1535907862,3317,3317
1535908827,3310,3310
1535909783,3319,3319
1535910741,3306,3306
1535911704,3309,3309
1535912680,3308,3308
1535913612,3321,3321
1535914590,3304,3304
1535915539,3317,3317
1535916505,3294,3294
1535917459,3287,3287
1535918430,3284,3284
1535919385,3281,3281
1535920347,3272,3272
1535921294,3286,3286
1535922277,3282,3282
1535923209,3277,3277
1535924177,3292,3292
1535925151,3268,3268
1535926104,3278,3278
1535927065,3295,3295
1535928020,3278,3278
1535928988,3285,3285
1535930941,3281,3281
1535931861,3277,3277
1535932845,3260,3260
1535933785,3264,3264
1535934742,3232,3232
1535935708,3197,3197
1535936666,3189,3189
1535937611,3187,3187
1535938591,3184,3184
1535939780,3204,3204
1535940740,3187,3187
1535941696,3177,3177
1535942663,3209,3209
1535943639,3205,3205
1535944579,3211,3211
1535945539,3213,3213
1535946499,3220,3220
1535947467,3239,3239
1535948428,3222,3222
1535949381,3254,3254
1535950356,3233,3233
1535951320,3247,3247
1535952282,3237,3237
1535953225,3242,3242
1535954186,3220,3220
1535955154,3213,3213
1535956104,3236,3236
1535957053,3261,3261
1535958038,3258,3258
1535959161,3279,3279
1535960418,3288,3288
1535961380,3290,3290
1535962345,3290,3290
1535963294,3298,3298
1535964275,3298,3298
1535965220,3321,3321
1535966189,3356,3356
1535967142,3336,3336
1535968099,3341,3341
1535969067,3355,3355
1535970022,3354,3354
1535970983,3359,3359
1535971944,3354,3354
1535972910,3356,3356
1535973873,3376,3376
1535974829,3395,3395
1535975794,3379,3379
1535976755,3395,3395
1535977698,3395,3395
1535978660,3425,3425
1535979636,3424,3424
1535980587,3443,3443
1535981541,3444,3444
1535982498,3417,3417
1535983478,3446,3446
1535984437,3431,3431
1535985376,3473,3473
1535986343,3462,3462
1535987311,3479,3479
1535988255,3456,3456
1535989229,3473,3473
1535990177,3492,3492
1535991195,3484,3484
1535992354,3488,3488
1535993544,3464,3464
1535994517,3489,3489
1535995458,3467,3467
1535996416,3444,3444
1535997398,3458,3458
1535998336,3447,3447
1535999291,3476,3476
1536000274,3492,3492
1536001250,3586,3586
1536002192,3533,3533
1536003140,3537,3537
1536004098,3561,3561
1536005072,3598,3598
1536006022,3619,3619
1536006985,3630,3630
1536007946,3632,3632
1536008915,3659,3659
1536009857,3666,3666
1536010819,3689,3689
1536011779,3703,3703
1536012742,3698,3698
1536013695,3723,3723
1536014675,3729,3729
1536015628,3737,3737
1536016600,3726,3726
1536017785,3721,3721
1536018750,3711,3711
1536020221,3708,3708
1536021163,3698,3698
1536022097,3675,3675
1536023058,3718,3718
1536024022,3691,3691
1536024986,3652,3652
1536025943,3618,3618
1536026923,3635,3635
1536027857,3632,3632
1536028817,3649,3649
1536029776,3610,3610
1536030743,3594,3594
1536031699,3587,3587
1536032659,3594,3594
1536033623,3607,3607
1536034599,3596,3596
1536035539,3599,3599
1536036502,3611,3611
1536037465,3631,3631
1536038430,3617,3617
1536039400,3628,3628
1536040341,3636,3636
1536041319,3626,3626
1536042291,3618,3618
