DateTime,AddedIPs,RemovedIPs
1535655855,16,18
1535656831,23,12
1535657781,14,7
1535658743,17,17
1535659706,24,4
1535660656,18,12
1535661613,15,11
1535662594,22,14
1535663531,16,0
1535664497,17,13
1535665470,22,8
1535666443,20,5
1535667385,27,18
1535668355,25,17
1535669296,19,9
1535670273,15,17
1535671210,21,18
1535672180,25,19
1535673142,25,26
1535674109,16,27
1535675054,19,41
1535676013,19,42
1535676999,30,39
1535677944,30,26
1535678895,22,28
1535679867,21,25
1535680823,21,29
1535681789,43,25
1535682737,16,33
1535683717,20,20
1535684661,21,27
1535685635,17,13
1535686571,16,17
1535687558,25,20
1535688595,23,15
1535689703,32,31
1535690660,24,0
1535691620,28,13
1535692588,21,39
1535693543,23,8
1535694493,22,0
1535695479,21,14
1535696413,33,7
1535697380,29,0
1535698334,16,26
1535699311,24,31
1535700265,40,15
1535701217,0,20
1535702177,8,0
1535703137,14,18
1535704090,15,0
1535705060,10,0
1535707022,93,0
1535708179,26,13
1535709143,21,15
1535710097,28,46
1535711063,17,40
1535712012,16,35
1535712993,22,13
1535713954,13,17
1535715148,16,44
1535716093,16,0
1535717085,22,0
1535718007,25,0
1535718986,14,0
1535719958,5,0
1535720911,0,19
1535721854,0,24
1535722824,0,39
1535723776,0,14
1535724744,0,28
1535725689,1,24
1535726679,7,18
1535727619,68,23
1535728583,77,25
1535729805,56,21
1535730746,27,26
1535731737,19,32
1535732657,14,15
1535733615,19,13
1535734593,16,19
1535735533,23,28
1535736496,17,25
1535737457,25,7
1535738438,23,14
1535739383,26,19
1535740341,22,14
1535741298,19,23
1535742268,29,10
1535743210,26,24
1535744208,18,22
1535745135,26,20
1535746100,19,16
1535747055,17,12
1535748014,16,12
1535748974,27,17
1535749943,28,21
1535750888,11,16
1535751874,29,16
1535752825,24,11
1535753791,29,17
1535754739,17,12
1535755702,16,23
1535756656,19,13
1535757627,29,34
1535758583,22,0
1535759537,32,37
1535760508,38,41
1535761467,36,21
1535762411,24,41
1535763379,31,31
1535764342,44,36
1535765294,23,47
1535766254,27,45
1535767235,43,94
1535768193,24,69
1535769144,23,41
1535770099,21,32
1535771064,42,50
1535772023,27,35
1535773001,26,61
1535773937,21,31
1535774912,34,49
1535775855,24,36
1535776817,19,39
1535777787,22,32
1535778751,37,35
1535779689,21,28
1535780677,28,30
1535781611,28,43
1535782587,16,19
1535783540,10,47
1535784508,14,30
1535785460,28,40
1535786428,22,27
1535787371,12,19
1535788362,1,19
1535789301,5,43
1535790261,18,12
1535791214,11,15
1535792194,21,17
1535793132,20,21
1535794094,58,26
1535795057,38,26
1535796034,23,24
1535796983,13,32
1535797941,22,22
1535798893,13,30
1535799866,17,36
1535800815,19,18
1535801786,22,23
1535802735,19,17
1535803722,16,11
1535804654,13,25
1535805616,19,30
1535806599,24,11
1535807551,18,9
1535808493,12,30
1535809460,10,11
1535810444,21,21
1535811387,12,28
1535812342,19,64
1535813298,11,36
1535814265,13,43
1535815220,20,43
1535816183,20,27
1535817161,15,95
1535818158,19,45
1535819305,24,15
1535820252,16,59
1535821217,25,23
1535822187,19,28
1535823136,15,61
1535824094,18,62
1535825078,19,28
1535826011,23,39
1535826997,21,35
1535827971,18,38
1535828901,20,27
1535829854,18,56
1535830814,21,51
1535831779,19,16
1535832759,20,23
1535833693,10,25
1535834661,16,31
1535835637,18,31
1535836587,15,17
1535837540,8,35
1535838501,16,15
1535839458,21,34
1535840415,21,0
1535841383,29,51
1535842343,26,26
1535843320,17,28
1535844268,25,52
1535845229,24,0
1535846189,20,34
1535847150,23,35
1535848097,19,51
1535849056,27,36
1535850075,44,39
1535850997,23,36
1535851955,20,24
1535852898,17,38
1535853881,28,29
1535854811,22,19
1535855793,22,34
1535856733,25,18
1535857710,17,14
1535858653,21,18
1535859642,17,17
1535860573,21,27
1535861583,25,16
1535862497,26,21
1535863465,19,15
1535864416,16,30
1535865387,24,13
1535866609,14,11
1535867782,17,52
1535868738,26,0
1535869699,24,37
1535870671,16,17
1535871646,16,22
1535872604,13,24
1535873543,17,22
1535874494,1,0
1535875480,3,28
1535876410,15,0
1535877381,2,16
1535878358,22,30
1535879304,13,17
1535880255,52,0
1535881217,42,38
1535882193,27,23
1535883157,21,14
