DateTime,AddedIPs,RemovedIPs
1535654913,16,3
1535655855,16,20
1535656831,23,37
1535657781,14,21
1535658743,17,25
1535659706,24,22
1535660656,18,17
1535661613,15,26
1535662594,22,19
1535663531,16,18
1535664497,17,24
1535665470,22,15
1535666443,20,20
1535667385,27,16
1535668355,25,26
1535669296,19,9
1535670273,15,18
1535671210,21,26
1535672180,25,26
1535673142,25,38
1535674109,16,33
1535675054,19,21
1535676013,19,30
1535676999,30,37
1535677944,30,28
1535678895,22,30
1535679867,21,28
1535680823,21,17
1535681789,43,32
1535682737,16,18
1535683717,20,18
1535684661,21,28
1535685635,17,31
1535686571,16,10
1535687558,25,28
1535688595,23,26
1535689703,32,18
1535690660,24,26
1535691620,28,15
1535692588,21,24
1535693543,23,30
1535694493,22,20
1535695479,21,19
1535696413,33,29
1535697380,29,14
1535698334,16,27
1535699311,24,20
1535700265,40,3
1535702177,8,1
1535703137,14,6
1535704090,15,0
1535705060,10,4
1535707022,93,41
1535708179,26,38
1535709143,21,75
1535710097,28,68
1535711063,17,34
1535712012,16,23
1535712993,22,12
1535713954,13,18
1535715148,16,17
1535716093,16,16
1535717085,22,24
1535718007,25,11
1535718986,14,32
1535719958,5,17
1535720911,0,20
1535721854,0,22
1535722824,0,18
1535723776,0,16
1535724744,0,22
1535725689,1,16
1535726679,7,16
1535727619,68,30
1535728583,77,16
1535729805,56,21
1535730746,27,18
1535731737,19,23
1535732657,14,21
1535733615,19,25
1535734593,16,19
1535735533,23,18
1535736496,17,17
1535737457,25,16
1535738438,23,18
1535739383,26,25
1535740341,22,26
1535741298,19,35
1535742268,29,22
1535743210,26,18
1535744208,18,21
1535745135,26,25
1535746100,19,21
1535747055,17,17
1535748014,16,18
1535748974,27,24
1535749943,28,14
1535750888,11,12
1535751874,29,21
1535752825,24,23
1535753791,29,25
1535754739,17,23
1535755702,16,16
1535756656,19,13
1535757627,29,24
1535758583,22,27
1535759537,32,26
1535760508,38,26
1535761467,36,36
1535762411,24,24
1535763379,31,32
1535764342,44,44
1535765294,23,12
1535766254,27,29
1535767235,43,46
1535768193,24,20
1535769144,23,16
1535770099,21,20
1535771064,42,22
1535772023,27,28
1535773001,26,21
1535773937,21,15
1535774912,34,26
1535775855,24,19
1535776817,19,18
1535777787,22,27
1535778751,37,27
1535779689,21,22
1535780677,28,17
1535781611,28,25
1535782587,16,19
1535783540,10,19
1535784508,14,18
1535785460,28,23
1535786428,22,18
1535787371,12,7
1535788362,1,0
1535789301,5,15
1535790261,18,7
1535791214,11,9
1535792194,21,51
1535793132,20,28
1535794094,58,15
1535795057,38,15
1535796034,23,19
1535796983,13,16
1535797941,22,19
1535798893,13,24
1535799866,17,15
1535800815,19,23
1535801786,22,19
1535802735,19,23
1535803722,16,14
1535804654,13,15
1535805616,19,29
1535806599,24,0
1535807551,18,0
1535808493,12,0
1535809460,10,0
1535810444,21,0
1535811387,12,0
1535812342,19,0
1535813298,11,10
1535814265,13,59
1535815220,20,90
1535816183,20,45
1535817161,15,18
1535818158,19,23
1535819305,24,24
1535820252,16,20
1535821217,25,22
1535822187,19,25
1535823136,15,19
1535824094,18,30
1535825078,19,25
1535826011,23,28
1535826997,21,24
1535827971,18,26
1535828901,20,21
1535829854,18,15
1535830814,21,19
1535831779,19,20
1535832759,20,29
1535833693,10,21
1535834661,16,19
1535835637,18,27
1535836587,15,26
1535837540,8,29
1535838501,16,19
1535839458,21,21
1535840415,21,21
1535841383,29,22
1535842343,26,22
1535843320,17,19
1535844268,25,20
1535845229,24,56
1535846189,20,40
1535847150,23,33
1535848097,19,24
1535849056,27,28
1535850075,44,50
1535850997,23,36
1535851955,20,38
1535852898,17,26
1535853881,28,28
1535854811,22,26
1535855793,22,28
1535856733,25,23
1535857710,17,28
1535858653,21,15
1535859642,17,28
1535860573,21,22
1535861583,25,24
1535862497,26,15
1535863465,19,24
1535864416,16,23
1535865387,24,30
1535866609,14,28
1535867782,17,20
1535868738,26,17
1535869699,24,18
1535870671,16,26
1535871646,16,17
1535872604,13,7
1535873543,17,32
1535874494,1,0
1535875480,3,2
1535876410,15,7
1535877381,2,6
1535878358,22,14
1535879304,13,13
1535880255,52,72
1535881217,42,42
1535882193,27,16
1535883157,21,16
1535884341,20,17
1535885293,15,15
1535886277,17,16
1535887208,22,21
1535888176,23,20
1535889140,18,16
1535890094,15,18
1535891054,10,22
1535892013,12,7
1535892994,14,24
1535893933,12,16
1535894888,11,18
1535895872,11,16
1535896831,11,14
1535897786,14,12
1535898742,16,17
1535899699,8,15
1535900922,9,32
1535901857,16,17
1535902812,15,15
1535903788,24,20
1535904798,16,16
1535905942,18,25
1535906899,11,21
1535907859,14,24
1535908825,21,27
1535909781,14,13
1535910738,18,20
1535911702,17,15
1535912678,23,11
1535913610,18,15
1535914588,12,18
1535915537,14,22
1535916503,9,18
1535917456,20,30
1535918428,12,13
1535919382,15,12
1535920345,18,21
1535921292,10,19
1535922275,11,10
1535923207,13,16
1535924175,18,10
1535925148,13,18
1535926102,17,22
1535927062,18,13
1535928018,23,17
1535928986,22,21
1535930939,29,27
1535931858,16,18
1535932843,18,34
1535933783,10,19
1535934740,12,38
1535935706,13,37
1535936664,16,27
1535937609,24,26
1535938589,21,18
1535939777,32,31
1535940738,25,20
1535941693,44,18
1535942660,29,27
1535943637,27,35
1535944578,22,10
1535945536,28,21
1535946497,24,17
1535947465,27,21
1535948426,24,20
1535949379,24,21
1535950353,15,32
1535951318,29,21
1535952280,9,15
1535953223,19,21
1535954185,17,19
1535955153,32,19
1535956101,26,12
1535957050,28,17
1535958036,44,19
1535959159,26,19
1535960415,20,8
1535961378,2,0
1535962343,13,8
1535963291,12,4
1535964271,13,12
1535965218,25,17
1535966187,48,20
1535967140,34,41
1535968097,22,29
1535969063,11,16
1535970019,20,16
1535970981,25,19
1535971942,16,18
1535972908,21,15
1535973871,24,10
1535974827,24,14
1535975792,20,14
1535976753,22,17
1535977696,20,13
1535978657,33,9
1535979634,15,13
1535980585,16,9
1535981539,27,14
1535982495,11,16
1535983476,14,17
1535984435,28,18
1535985374,18,14
1535986340,30,14
1535987309,15,9
1535988253,8,17
1535989227,27,14
1535990175,15,18
1535991193,24,17
1535992352,27,23
1535993542,9,24
1535994515,12,25
1535995455,7,19
1535996414,9,15
1535997395,22,18
1535998334,25,15
1535999288,19,10
1536000271,38,14
1536001247,51,23
1536002190,34,19
1536003138,41,16
1536004096,32,12
1536005070,37,8
1536006021,35,10
1536006983,39,19
1536007943,32,19
1536008913,25,11
1536009855,29,20
1536010817,26,16
1536011777,28,14
1536012740,35,18
1536013692,10,7
