DateTime,AddedIPs,RemovedIPs
1535655859,102,47
1535656834,39,1378
1535657783,46,55
1535658745,46,44
1535659708,50,44
1535660658,57,0
1535661615,54,76
1535662596,42,29
1535663533,31,0
1535664499,39,43
1535665473,45,45
1535666445,39,36
1535667387,63,42
1535668358,57,39
1535669298,46,35
1535670276,59,36
1535671212,44,38
1535672182,56,37
1535673145,50,56
1535674111,42,57
1535675059,34,39
1535676015,51,59
1535677001,46,59
1535677946,45,49
1535678897,48,46
1535679869,45,46
1535680825,46,51
1535681792,60,49
1535682739,41,45
1535683719,44,41
1535684663,43,42
1535685637,44,43
1535686573,55,42
1535687561,45,43
1535688597,45,41
1535689705,34,86
1535690662,51,0
1535691625,50,52
1535692591,56,50
1535693545,52,94
1535694495,41,0
1535695481,44,112
1535696415,53,67
1535697383,62,0
1535698337,41,73
1535699314,55,122
1535700267,65,74
1535701219,26,66
1535702179,9,0
1535703139,45,153
1535704092,41,0
1535705064,70,63
1535707024,79,192
1535708181,63,55
1535709145,75,63
1535710100,73,83
1535711065,51,46
1535712015,41,62
1535712997,90,60
1535713956,43,66
1535715150,59,73
1535716097,52,0
1535717088,42,76
1535718010,56,60
1535718989,37,66
1535719960,46,74
1535720913,10,48
1535721858,18,65
1535722826,18,66
1535723778,12,53
1535724746,8,51
1535725691,9,50
1535726682,48,58
1535727621,84,72
1535728585,71,55
1535729807,85,67
1535730748,67,100
1535731739,54,66
1535732659,50,77
1535733617,48,84
1535734595,60,72
1535735535,65,66
1535736499,44,74
1535737460,52,83
1535738440,49,69
1535739386,57,79
1535740343,49,59
1535741301,42,68
1535742271,104,75
1535743212,43,70
1535744210,49,69
1535745137,55,74
1535746102,51,66
1535747057,44,60
1535748016,41,63
1535748977,42,66
1535749945,59,69
1535750890,40,45
1535751878,40,76
1535752828,56,51
1535753793,42,53
1535754741,55,67
1535755704,47,70
1535756658,56,81
1535757629,41,93
1535758586,54,0
1535759540,52,79
1535760510,61,81
1535761470,56,82
1535762414,68,79
1535763381,52,58
1535764344,62,82
1535765296,49,78
1535766258,50,77
1535767237,53,75
1535768195,46,76
1535769146,48,70
1535770102,40,83
1535771066,56,78
1535772025,49,96
1535773003,46,70
1535773941,43,101
1535774914,67,75
1535775857,42,96
1535776819,43,94
1535777789,41,70
1535778754,58,67
1535779692,46,98
1535780680,59,89
1535781615,61,96
1535782589,39,68
1535783543,42,73
1535784510,48,101
1535785462,47,87
1535786430,43,46
1535787373,50,97
1535788365,2,84
1535789304,21,79
1535790264,44,78
1535791216,21,71
1535792196,54,82
1535793134,64,74
1535794096,75,48
1535795060,62,48
1535796036,36,80
1535796985,50,103
1535797943,41,88
1535798895,48,66
1535799869,46,89
1535800817,50,90
1535801788,47,73
1535802737,34,79
1535803724,42,66
1535804656,42,74
1535805618,37,87
1535806601,33,79
1535807553,42,75
1535808494,36,54
1535809463,35,72
1535810446,34,68
1535811389,52,64
1535812344,38,72
1535813301,44,74
1535814267,32,68
1535815222,24,78
1535816185,34,60
1535817165,32,69
1535818160,46,0
1535819308,44,115
1535820255,42,0
1535821219,42,117
1535822189,39,64
1535823139,34,0
1535824096,36,84
1535825084,35,47
1535826013,39,87
1535826999,39,99
