DateTime,AddedIPs,RemovedIPs
1535655859,1401,1401
1535656834,1424,1424
1535657783,1217,1217
1535658745,1238,1238
1535659708,1213,1213
1535660658,1259,1259
1535661615,1242,1242
1535662596,1212,1212
1535663533,1230,1230
1535664499,1241,1241
1535665473,1224,1224
1535666445,1231,1231
1535667387,1234,1234
1535668358,1227,1227
1535669298,1236,1236
1535670276,1255,1255
1535671212,1283,1283
1535672182,1268,1268
1535673145,1285,1285
1535674111,1272,1272
1535675059,1281,1281
1535676015,1272,1272
1535677001,1341,1341
1535677946,1328,1328
1535678897,1314,1314
1535679869,1311,1311
1535680825,1325,1325
1535681792,1310,1310
1535682739,1326,1326
1535683719,1314,1314
1535684663,1312,1312
1535685637,1297,1297
1535686573,1299,1299
1535687561,1299,1299
1535688597,1355,1355
1535689705,1366,1366
1535690662,1346,1346
1535691625,1347,1347
1535692591,1371,1371
1535693545,1373,1373
1535694495,1345,1345
1535695481,1339,1339
1535696415,1332,1332
1535697383,1349,1349
1535698337,1351,1351
1535699314,1384,1384
1535700267,1350,1350
1535701219,575,575
1535702179,196,196
1535703139,1575,1575
1535704092,1648,1648
1535705064,1519,1519
1535707024,1545,1545
1535708181,1377,1377
1535709145,1380,1380
1535710100,1366,1366
1535711065,1370,1370
1535712015,1321,1321
1535712997,1305,1305
1535713956,1321,1321
1535715150,1305,1305
1535716097,1332,1332
1535717088,1323,1323
1535718010,1330,1330
1535718989,1274,1274
1535719960,1236,1236
1535720913,389,389
1535721858,340,340
1535722826,275,275
1535723778,188,188
1535724746,212,212
1535725691,220,220
1535726682,816,816
1535727621,1646,1646
1535728585,1707,1707
1535729807,1708,1708
1535730748,1611,1611
1535731739,1247,1247
1535732659,1243,1243
1535733617,1258,1258
1535734595,1252,1252
1535735535,1269,1269
1535736499,1242,1242
1535737460,1235,1235
1535738440,1257,1257
1535739386,1249,1249
1535740343,1228,1228
1535741301,1215,1215
1535742271,1381,1381
1535743212,1371,1371
1535744210,1253,1253
1535745137,1276,1276
1535746102,1271,1271
1535747057,1255,1255
1535748016,1252,1252
1535748977,1256,1256
1535749945,1256,1256
1535750890,1251,1251
1535751878,1247,1247
1535752828,1259,1259
1535753793,1286,1286
1535754741,1277,1277
1535755704,1294,1294
1535756658,1242,1242
1535757629,1254,1254
1535758586,1261,1261
1535759540,1311,1311
1535760510,1292,1292
1535761470,1297,1297
1535762414,1321,1321
1535763381,1321,1321
1535764344,1333,1333
1535765296,1332,1332
1535766258,1313,1313
1535767237,1286,1286
1535768195,1299,1299
1535769146,1324,1324
1535770102,1302,1302
1535771066,1269,1269
1535772025,1286,1286
1535773003,1278,1278
1535773941,1274,1274
1535774914,1327,1327
1535775857,1324,1324
1535776819,1304,1304
1535777789,1268,1268
1535778754,1289,1289
1535779692,1308,1308
1535780680,1291,1291
1535781615,1289,1289
1535782589,1315,1315
1535783543,1279,1279
1535784510,1280,1280
1535785462,1324,1324
1535786430,1324,1324
1535787373,1304,1304
1535788365,201,201
1535789304,657,657
1535790264,1382,1382
1535791216,889,889
1535792196,1423,1423
1535793134,1641,1641
1535794096,1566,1566
1535795060,1482,1482
1535796036,1322,1322
1535796985,1249,1249
1535797943,1262,1262
1535798895,1271,1271
1535799869,1272,1272
1535800817,1274,1274
1535801788,1257,1257
1535802737,1256,1256
1535803724,1247,1247
1535804656,1250,1250
1535805618,1285,1285
1535806601,1276,1276
1535807553,1244,1244
1535808494,1216,1216
1535809463,1215,1215
1535810446,1240,1240
1535811389,1253,1253
1535812344,1273,1273
1535813301,1271,1271
1535814267,1276,1276
1535815222,1240,1240
1535816185,1207,1207
1535817165,1238,1238
1535818160,1221,1221
1535819308,1252,1252
1535820255,1223,1223
1535821219,1227,1227
1535822189,1221,1221
1535823139,1224,1224
1535824096,1219,1219
1535825084,1242,1242
1535826013,1206,1206
1535826999,1235,1235
1535827974,1228,1228
1535828903,1238,1238
1535829857,1230,1230
1535830816,1218,1218
1535831781,1180,1180
1535832761,1177,1177
1535833695,1223,1223
1535834665,1240,1240
1535835639,1196,1196
1535836589,1180,1180
1535837542,1168,1168
1535838503,1168,1168
1535839460,1211,1211
1535840417,1210,1210
1535841385,1193,1193
1535842346,1211,1211
1535843322,1196,1196
1535844271,1201,1201
1535845231,1184,1184
1535846191,1207,1207
1535847152,1230,1230
1535848099,1220,1220
1535849059,1252,1252
1535850077,1283,1283
1535850999,1258,1258
1535851957,1233,1233
1535852901,1239,1239
1535853884,1262,1262
1535854813,1248,1248
1535855795,1255,1255
1535856736,1271,1271
1535857712,1300,1300
1535858656,1298,1298
1535859644,1267,1267
1535860575,1281,1281
1535861586,1242,1242
1535862500,1246,1246
1535863468,1228,1228
1535864418,1244,1244
1535865389,1268,1268
1535866612,1250,1250
1535867785,1238,1238
1535868740,1228,1228
1535869702,1256,1256
1535870674,1284,1284
1535871648,1286,1286
1535872606,1304,1304
1535873545,1292,1292
1535874496,60,60
1535875482,418,418
1535876412,1599,1599
1535877383,528,528
1535878360,1656,1656
1535879306,1557,1557
1535880258,1606,1606
1535881219,1655,1655
1535882195,1552,1552
1535883159,1339,1339
1535884343,1277,1277
1535885295,1256,1256
1535886279,1285,1285
1535887210,1282,1282
1535888178,1310,1310
1535889143,1263,1263
1535890096,1278,1278
1535891056,1301,1301
1535892016,1326,1326
1535892996,1287,1287
