DateTime,AddedIPs,RemovedIPs
1533798022,1,6
1533801620,2,1
1533805221,0,1
1533808820,0,2
1533812420,1,1
1533816020,1,2
1533819620,3,6
1533823221,0,2
1533826821,1,0
1533830419,1,4
1533834020,1,1
1533837619,1,8
1533841219,1,3
1533844819,0,7
1533848419,0,5
1533852018,2,5
1533859218,1,8
1533862817,1,3
1533866417,1,4
1533870017,2,0
1533873617,3,1
1533877220,2,0
1533880818,0,1
1533884420,3,1
1533888020,1,1
1533895218,0,1
1533898818,1,1
1533906018,1,1
1533909619,1,0
1533913219,1,0
1533927618,1,1
1533934821,0,1
1533938419,0,2
1533942017,0,1
1533949221,1,1
1533956418,1,1
1533963618,1,2
1533974420,1,0
1533978018,2,0
1533981618,1,1
1533985219,0,10
1534003219,0,1
1534006818,0,1
1534010430,0,1
1534014018,1,0
1534021215,0,28
1534024816,1,8
1534028416,1,1
1534032015,1,0
1534035616,2,0
1534042816,1,0
1534046415,1,1
1534050018,20,0
1534053618,2,0
1534057218,1,1
1534060817,2,0
1534064417,0,1
1534068016,1,0
1534071616,2,3
1534078816,1,1
1534082418,4,1
1534096817,1,0
1534100418,2,1
1534104017,0,2
1534107617,0,2
1534114818,0,1
1534118419,0,1
1534129220,0,1
1534140017,0,1
1534147216,0,1
1534150817,1,0
1534154418,1,0
1534158017,0,1
1534161616,2,0
1534165218,0,1
1534172416,2,0
1534176018,4,0
1534179618,6,1
1534183220,10,0
1534186819,9,0
1534190419,8,0
1534194024,9,0
1534197620,6,0
1534201222,10,0
1534204821,3,0
1534208421,6,0
1534212022,3,1
1534215620,3,2
1534219223,10,0
1534222824,10,0
1534226423,4,12
1534230021,1,15
1534233623,0,11
1534237220,2,2
1534240822,3,0
1534244420,3,1
1534248020,4,1
1534251627,1,0
1534255221,2,0
1534258821,5,0
1534262422,5,0
1534266022,2,0
1534273222,1,0
1534276820,0,1
1534287620,1,0
1534298422,2,0
1534302023,1,0
1534305626,3,0
1534309221,2,0
1534312823,1,0
1534316422,2,1
1534320022,1,0
1534323626,2,0
1534327238,1,0
1534330821,3,0
1534334423,0,1
1534341622,2,1
1534345222,0,1
1534348822,2,0
1534356023,1,1
1534363221,0,1
1534366822,0,1
1534374023,1,0
1534381222,1,0
1534384823,1,1
1534388422,1,1
1534392022,5,0
1534395623,3,0
1534399225,6,0
1534402823,4,1
1534406423,6,0
1534410023,1,1
1534413627,5,0
1534417226,2,1
1534420828,0,1
1534424423,1,0
1534428026,0,1
1534431623,1,0
1534435226,1,2
1534438824,3,0
1534442424,0,1
1534446023,1,3
1534449624,2,2
1534453226,4,1
1534460423,3,4
1534464024,1,0
1534467625,1,1
1534471223,0,2
1534474829,1,1
1534478426,0,1
1534482030,0,3
1534485629,1,1
1534489224,1,5
1534492824,0,1
1534500024,0,1
1534507222,1,0
1534514424,1,0
1534518024,0,2
1534525223,3,0
1534528823,3,0
1534532423,3,0
1534536024,3,0
1534539623,4,0
1534561224,2,0
1534568428,1,0
1534575624,1,0
1534579224,1,0
1534582832,0,1
1534586425,1,0
1534590025,1,0
1534593626,9,1
1534597225,24,0
1534600829,3,0
1534615227,1,0
1534622427,1,0
1534626026,1,0
1534633227,0,1
1534640426,0,1
1534651226,6,1
1534654825,4,19
1534658425,6,2
1534662030,2,1
1534665627,6,0
1534669225,2,1
1534672827,1,1
1534676429,1,0
1534680026,1,0
1534683625,2,1
1534687228,1,2
1534690827,1,0
1534694427,1,0
1534698025,2,1
1534701625,0,3
1534705227,1,1
1534708832,0,3
1534712437,0,2
1534716027,0,1
1534719628,1,1
1534726837,3,0
1534755628,1,0
1534759228,0,1
1534770025,0,1
1534780828,0,1
1534784426,0,6
1534788027,0,4
1534791627,1,1
1534795227,1,2
1534798826,1,5
1534802426,0,4
1534806025,1,4
1534809625,0,5
1534813225,0,6
1534816824,1,5
1534820423,0,10
1534824023,1,10
1534827623,0,3
1534831222,0,2
1534834885,4,1
1534842023,0,1
1534845623,1,1
1534849222,0,1
1534852825,0,3
1534860024,1,2
1534863625,17,0
1534867224,5,3
1534870823,0,1
1534874424,2,0
1534878023,1,1
1534881623,1,3
1534885223,1,1
1534888823,2,3
1534892426,3,0
1534899623,4,0
1534903223,0,1
1534906823,0,2
1534910424,1,1
1534924823,0,1
1534928424,3,0
1534932024,6,0
1534935624,6,0
1534939225,1,0
1534942823,3,3
1534946426,3,2
1534950025,1,1
1534953628,0,2
1534957225,1,0
1534960823,0,4
1534964424,0,2
1534968026,2,2
1534971624,1,4
1534975224,1,0
1534978825,0,1
1534989624,1,0
1534993223,2,0
1534996824,10,1
1535000425,6,0
1535004025,0,2
1535007624,6,0
1535011226,4,1
1535014825,2,0
1535018427,1,1
1535022025,0,2
1535025625,2,0
1535029226,1,2
1535032827,1,0
1535036427,2,1
1535040026,3,1
1535043625,2,3
1535047225,3,2
1535050825,0,3
1535054424,1,5
1535058026,3,6
1535061625,2,2
1535065225,0,8
1535068824,1,1
1535072426,1,1
1535078378,1,0
1535085735,32,1
1535096297,3,0
1535101281,2,0
1535104826,2,1
1535108427,1,1
1535112027,3,1
1535119228,1,0
1535126426,0,1
1535130026,0,3
1535133627,2,0
1535140828,1,0
1535144428,3,1
1535148028,0,1
1535151629,0,2
1535155228,1,0
1535162429,2,1
1535166028,0,2
1535169629,0,1
1535173228,0,2
1535176828,2,0
1535180428,0,2
1535187628,0,1
1535191228,0,2
1535194830,0,3
1535198432,0,10
1535202029,1,27
1535212835,0,1
1535216431,1,0
1535220027,2,1
1535223626,1,0
1535230826,5,0
1535234431,2,0
1535238026,0,1
1535245228,0,2
1535248834,0,1
1535252427,3,0
1535256026,8,0
1535259627,5,0
1535263227,3,0
1535266827,1,0
1535270430,1,0
1535274028,1,0
1535281227,1,2
1535284828,4,5
1535288428,3,1
1535292027,0,3
1535295637,1,1
1535299226,1,2
1535302827,0,3
1535306426,1,4
1535310026,0,5
1535313627,1,2
1535317228,0,2
1535320825,2,5
1535324426,30,7
1535328028,1,0
1535331630,0,1
1535349628,0,1
1535356828,0,1
1535360428,0,1
1535371228,1,0
1535382027,0,1
1535385629,1,0
1535396427,1,2
1535400027,0,5
1535403628,0,1
1535410828,0,1
1535414427,1,1
1535418028,3,1
1535421629,1,0
1535439627,0,4
1535443227,1,0
1535450428,0,1
1535457627,1,0
1535464828,1,2
1535468426,3,17
1535472026,4,9
1535475627,2,0
1535479225,1,1
1535482825,1,1
1535486425,0,1
1535490025,1,2
1535493624,1,4
1535497227,2,2
1535500827,0,1
1535504430,0,5
1535508024,1,2
1535515225,0,1
1535518826,1,0
1535522426,0,1
1535526026,2,1
1535529627,2,0
1535540426,2,1
1535547626,0,4
1535558426,1,2
1535562025,0,1
1535565627,2,0
1535572826,0,1
1535576425,0,1
1535580026,2,1
1535587226,1,0
1535590828,1,0
1535594427,19,1
1535598027,1,0
1535601628,8,1
1535605229,7,0
1535608828,3,0
1535612429,3,0
1535616028,1,2
1535619628,5,2
1535623228,2,0
1535626829,0,1
1535630429,1,0
1535634030,2,0
1535637630,5,0
1535641229,1,1
1535644829,3,4
1535648429,1,3
1535652034,1,1
1535655629,1,2
1535659230,1,5
1535662833,3,5
1535666429,0,7
1535670033,1,7
1535677231,0,1
1535680832,1,1
1535684433,2,21
1535688027,1,1
1535691629,3,0
1535695229,1,2
1535698828,0,1
1535702428,1,4
1535706027,1,0
1535709630,1,1
1535716828,0,1
1535720428,4,0
1535724028,1,0
1535727631,1,2
1535731232,1,1
1535742024,2,0
1535745627,4,1
1535749226,2,2
1535752827,2,1
1535760028,1,1
1535763628,0,1
1535767227,2,0
1535774429,1,0
1535810428,0,2
1535817628,1,0
1535821230,4,1
1535824828,0,2
1535828429,1,0
1535832029,2,0
1535835628,0,3
1535839228,0,2
1535842828,1,0
1535846429,3,0
1535850028,5,0
1535853629,4,0
1535857232,7,0
1535860829,11,2
1535864429,2,0
1535868031,6,0
1535871629,3,0
1535875229,5,0
1535878831,17,0
1535882432,17,0
1535886033,1,1
1535889631,2,4
1535893232,0,3
1535896833,9,0
1535900432,4,3
1535904032,3,2
1535907635,9,4
1535911233,7,0
1535914833,0,4
1535918433,0,2
1535922033,1,5
1535925632,1,7
1535929231,1,28
1535932831,0,1
1535950831,1,1
1535954430,1,1
1535972432,1,0
1535976032,1,0
1535994032,1,0
1536001235,1,1
1536004827,0,1
1536008429,1,0
1536012031,6,0
1536015632,19,0
1536022833,3,2
1536026435,38,0
1536030035,1,1
1536033635,6,1
1536037234,1,1
1536040835,2,1
1536044436,2,0
1536048037,3,0
1536051635,1,1
1536055236,5,0
1536058836,2,0
1536062435,0,2
1536069635,1,1
1536073241,1,3
1536076835,0,2
1536080435,3,1
1536084035,0,1
1536087636,2,3
1536091236,1,0
1536094839,52,0
1536098438,14,2
1536102041,4,0
1536105640,2,0
1536109240,3,0
1536112840,2,0
1536120039,5,1
1536123639,0,1
1536127239,1,1
1536130837,0,1
1536134436,2,1
1536138038,2,1
1536141636,1,1
