DateTime,AddedIPs,RemovedIPs
1532923212,1,0
1532930411,0,1
1532934014,3,0
1532937614,1,0
1532941212,1,1
1532944816,1,0
1532952015,11,0
1532955612,0,1
1532962814,0,1
1532970015,2,0
1532973614,3,0
1532980813,0,1
1532988013,3,1
1532995214,2,0
1533006013,0,1
1533016812,0,1
1533020417,4,0
1533027613,2,0
1533034814,1,1
1533038413,1,0
1533042018,1,1
1533049215,1,0
1533056415,1,0
1533063614,0,1
1533067215,0,2
1533070815,2,0
1533074413,1,0
1533078013,1,0
1533088813,0,5
1533099615,2,0
1533110413,1,0
1533114015,0,1
1533117612,0,1
1533124813,1,1
1533132013,2,2
1533142813,2,2
1533150013,1,0
1533157216,1,0
1533160813,2,1
1533164413,1,0
1533182415,2,0
1533186013,5,0
1533189613,1,1
1533193214,1,0
1533196813,1,1
1533204014,0,2
1533211214,1,0
1533214813,1,1
1533218413,1,0
1533232813,10,0
1533236415,4,0
1533240020,5,1
1533243617,7,1
1533247217,6,1
1533250816,2,1
1533254416,3,2
1533258018,3,0
1533268817,1,0
1533276015,2,0
1533279617,0,1
1533297616,0,1
1533301215,1,1
1533304816,1,0
1533312021,0,1
1533315616,1,0
1533322816,0,3
1533326417,0,1
1533330019,1,9
1533333618,1,0
1533340816,1,0
1533344415,0,1
1533358816,1,0
1533373217,0,1
1533376817,0,1
1533380415,9,0
1533384016,0,1
1533387615,0,1
1533391216,1,1
1533405617,0,1
1533409216,0,1
1533420016,0,1
1533441615,1,0
1533459618,0,2
1533466815,1,0
1533474015,2,0
1533495617,1,2
1533499216,0,4
1533502816,0,1
1533506416,1,0
1533510018,0,1
1533513618,0,4
1533517221,1,0
1533524414,1,0
1533538816,0,1
1533542415,1,1
1533549615,0,1
1533553214,1,0
1533556826,0,12
1533574816,3,1
1533578414,0,4
1533582014,0,1
1533589214,1,0
1533592815,1,2
1533600014,0,2
1533603624,1,0
1533621616,9,0
1533625215,15,2
1533628817,12,1
1533632417,0,3
1533643216,1,1
1533657616,1,0
1533675617,0,4
1533690017,1,0
1533693618,1,0
1533700816,1,0
1533704422,0,3
1533711616,1,2
1533715216,0,1
1533718816,0,1
1533722416,1,3
1533733217,0,1
1533736817,1,0
1533740415,1,0
1533747615,0,1
1533754815,0,1
1533762016,0,1
1533765614,0,3
1533769214,0,1
1533772814,0,1
1533776416,1,0
1533790815,0,2
1533794415,0,1
1533798015,1,6
1533816014,0,2
1533819615,0,5
1533823214,0,1
1533830415,0,1
1533837613,0,8
1533841213,1,2
1533844813,0,2
1533848413,0,4
1533852012,2,5
1533859213,1,6
1533862812,1,3
1533866412,1,4
1533870013,2,0
1533873613,3,1
1533877215,2,0
1533880813,0,1
1533884415,3,1
1533888014,1,1
1533898814,1,1
1533906013,1,1
1533909615,1,0
1533913214,1,0
1533927612,0,1
1533934815,0,1
1533938415,0,2
1533942011,0,1
1533949213,0,1
1533956413,1,1
1533963614,0,2
1533974414,1,0
1533981615,1,1
1533985211,0,10
1534014013,1,0
1534024812,1,0
1534028412,1,0
1534032012,1,0
1534035612,2,0
1534046411,0,1
1534050014,18,0
1534053614,1,0
1534082415,1,0
1534100414,1,0
1534129220,0,1
1534140013,0,1
1534150813,0,0
1534154415,1,0
1534158014,0,1
1534161614,1,0
1534172415,2,0
1534176015,4,0
1534179615,6,1
1534183216,9,0
1534186815,9,0
1534190415,8,0
1534194016,9,0
1534197618,6,0
1534201218,10,0
1534204818,3,0
1534208417,6,0
1534212017,3,0
1534215616,3,2
1534219218,7,0
1534222819,5,0
1534226419,1,11
1534230016,0,15
1534233615,0,11
1534237216,1,2
1534240818,3,0
1534244417,2,1
1534248016,3,1
1534255216,1,0
1534258817,4,1
1534262417,3,0
1534266018,2,0
1534273218,1,0
1534276817,0,1
1534287617,1,0
1534302017,1,0
1534305617,1,0
1534316417,1,1
1534330816,2,0
1534334417,0,1
1534341619,1,2
1534348818,1,1
1534374020,1,0
1534384818,1,1
1534399217,3,0
1534402818,2,1
1534406418,2,0
1534435217,1,0
1534438818,2,0
1534446017,0,1
1534453217,3,0
1534464016,1,0
1534467618,1,1
1534471217,0,1
1534474816,1,1
1534478420,0,1
1534482016,0,2
1534485616,1,1
1534489219,1,5
1534500023,0,1
1534507216,1,0
1534514418,1,0
1534518019,0,2
1534525217,1,0
1534528817,1,0
1534561216,1,0
1534568418,1,0
1534579217,1,0
1534582817,1,0
1534586417,1,0
1534590017,1,0
1534593619,8,1
1534597218,24,0
1534600818,2,0
1534615219,1,0
1534622419,1,0
1534640419,0,1
1534651218,1,0
1534654818,0,20
1534658417,0,1
1534669217,2,0
1534672817,0,1
1534680017,1,0
1534687218,1,1
1534698018,1,0
1534726819,3,0
1534759218,0,1
1534780819,0,1
1534784418,0,6
1534788019,0,3
1534791621,1,1
1534795225,1,2
1534798819,0,5
1534802418,0,4
1534806018,0,4
1534809618,0,5
1534813217,0,6
1534816817,1,5
1534820416,0,10
1534824015,1,10
1534827615,0,3
1534831214,0,2
1534834878,4,0
1534842015,0,1
1534845616,1,0
1534852815,0,3
1534860016,1,0
1534863617,17,0
1534867217,5,0
1534874417,2,0
1534881616,1,0
1534885218,1,0
1534888815,1,0
1534899616,4,0
1534903216,0,1
1534906816,0,2
1534910416,1,1
1534928417,3,0
1534932017,6,0
1534935617,6,0
1534939218,1,0
1534942818,3,0
1534946418,3,2
1534950018,1,0
1534957220,1,0
1534968019,1,0
1534971619,1,1
1534975217,1,0
1534978818,0,1
1534989618,1,0
1534996817,1,0
1535004018,0,1
1535007618,2,0
1535011220,2,1
1535014818,0,1
1535018420,1,1
1535032818,1,0
1535040019,2,0
1535047219,1,0
1535054417,1,0
1535058022,3,3
1535061618,1,0
1535068818,1,1
1535072419,1,1
1535077285,1,0
1535083284,32,1
1535093318,3,0
1535100529,2,0
1535101292,1,0
1535104821,1,1
1535108420,1,1
1535112021,2,1
1535130020,0,2
1535133621,2,0
1535140822,1,0
1535144422,3,1
1535148023,0,1
1535151622,0,1
1535155222,1,0
1535162423,2,0
1535166022,0,1
1535169622,0,1
1535176822,1,0
1535180422,0,1
1535187622,0,1
1535191222,0,1
1535198422,0,8
1535202020,0,25
1535212820,0,1
1535216431,1,0
1535220021,2,0
1535223620,1,0
1535230821,5,0
1535234431,2,0
1535238024,0,1
1535245221,0,2
1535248823,0,1
1535256019,1,0
1535263224,0,1
1535266820,0,1
1535281226,0,2
1535284821,0,5
1535292020,0,2
1535320819,1,0
1535324420,30,1
1535328030,1,0
1535331630,0,1
1535356825,0,1
1535360422,0,1
1535371222,1,0
1535382022,0,1
1535396422,1,1
1535400021,0,5
1535414421,1,1
1535418022,2,0
1535421629,1,0
1535439624,0,4
1535443223,1,0
1535450425,0,1
1535457624,1,0
1535464821,0,2
1535468420,3,17
1535472021,4,9
1535475621,2,0
1535479220,1,1
1535482820,0,1
1535486421,0,1
1535490019,0,2
1535493618,0,3
1535497221,2,0
1535504429,0,5
1535508018,1,2
1535515220,0,1
1535522420,0,1
1535526019,1,1
1535529620,1,0
1535540421,2,1
1535547621,0,4
1535558420,0,2
1535562020,0,1
1535565627,2,0
1535580021,2,1
1535587220,1,0
1535590822,1,0
1535594422,19,1
1535601623,1,1
1535605224,3,0
1535616025,0,1
1535619623,2,0
1535623222,1,0
1535634027,1,0
1535637623,2,0
1535644822,1,1
1535652030,0,1
1535655622,1,0
1535659225,0,1
1535662832,2,1
1535666422,0,3
1535670029,1,0
1535677222,0,1
1535680823,1,1
1535684421,2,21
1535688021,1,1
1535691622,3,0
1535695224,1,0
1535698828,0,1
1535702421,1,4
1535706021,1,0
1535709630,1,1
1535720421,3,0
1535727623,0,2
1535731232,1,0
1535742019,1,0
1535745621,3,1
1535749221,2,2
1535752821,2,1
1535760021,1,1
1535763621,0,1
1535767221,2,0
1535774428,1,0
1535817622,1,0
1535821222,3,1
1535824822,0,2
1535832023,2,0
1535835629,0,3
1535839222,0,2
1535842823,1,0
1535846424,3,0
1535850022,5,0
1535853622,4,0
1535857223,7,0
1535860823,7,1
1535864426,1,0
1535868023,3,0
1535871623,1,0
1535875223,4,0
1535878824,15,0
1535882425,16,0
1535889625,0,1
1535896826,9,0
1535900426,3,0
1535904026,3,0
1535907626,9,0
1535911228,7,0
1535922027,1,0
1535925626,0,1
1535929226,0,27
1535954425,1,1
1535958025,1,0
1535994027,1,0
1536001235,0,1
1536004822,0,1
1536008424,1,0
1536012025,6,0
1536015627,19,0
1536022829,3,2
1536026430,38,0
1536030029,1,1
1536033630,6,0
1536037230,1,1
1536040830,1,1
1536044430,2,0
1536048031,3,0
1536051629,1,1
1536055233,5,0
1536058831,2,0
1536062432,0,1
1536066032,1,0
1536069630,1,1
1536073241,0,2
1536076830,0,2
1536080430,2,1
1536084030,0,1
1536087631,2,0
1536091231,1,0
1536094831,1,0
1536098430,3,1
1536102032,3,0
1536109233,3,0
1536112831,2,0
1536120031,5,1
1536127235,1,0
1536134431,2,1
1536138031,2,1
1536141627,0,1
