DateTime,AddedIPs,RemovedIPs
1534125749,1,4
1534129367,1,1
1534132934,0,1
1534136534,3,0
1534140130,0,2
1534143745,0,2
1534147352,1,5
1534150918,0,13
1534154541,0,7
1534158124,0,12
1534165350,3,0
1534168943,5,2
1534172522,1,0
1534176116,2,0
1534179725,2,0
1534183340,3,0
1534186934,1,3
1534190536,0,2
1534194116,2,0
1534197715,3,1
1534204922,4,1
1534208531,1,3
1534212150,2,2
1534215728,1,0
1534219315,1,2
1534222915,0,1
1534226516,2,0
1534230133,2,0
1534237310,12,2
1534240933,3,1
1534244520,1,1
1534248120,1,0
1534251725,6,0
1534255334,9,0
1534258916,1,0
1534262536,3,0
1534266140,1,0
1534269752,2,0
1534273306,1,3
1534276950,3,0
1534280531,4,0
1534284131,4,2
1534287738,2,1
1534291332,0,1
1534294922,1,0
1534298525,0,3
1534302130,0,3
1534305721,0,1
1534309324,1,2
1534312913,1,1
1534316545,1,2
1534320125,2,0
1534323738,2,0
1534327318,0,2
1534330924,2,1
1534334537,2,2
1534338132,2,1
1534341738,0,1
1534345327,3,1
1534348938,0,1
1534352529,2,2
1534356122,41,0
1534359751,19,0
1534363341,2,1
1534366932,1,0
1534370534,4,1
1534374134,0,1
1534377712,2,0
1534381345,0,2
1534384955,8,1
1534388539,1,2
1534392136,1,1
1534395756,0,1
1534399339,1,0
1534402923,1,2
1534406520,1,1
1534410143,0,1
1534413717,1,5
1534417329,1,1
1534420920,1,1
1534424529,0,2
1534428146,1,0
1534431744,2,3
1534435318,3,1
1534438938,1,0
1534442503,1,1
1534449730,0,1
1534453317,0,1
1534456921,2,2
1534460526,1,2
1534464121,1,3
1534467731,1,3
1534471328,1,1
1534474916,0,2
1534478541,1,2
1534489355,1,1
1534492943,0,1
1534496549,1,0
1534500122,2,0
1534503736,1,3
1534510914,1,0
1534514538,2,0
1534518139,1,1
1534521743,3,0
1534525319,1,0
1534528943,1,0
1534532527,0,1
1534536124,1,0
1534539746,1,0
1534543331,4,2
1534546927,1,0
1534550526,0,1
1534557724,3,1
1534561347,1,0
1534564928,1,2
1534568530,1,0
1534572148,2,0
1534575711,0,1
1534586540,1,0
1534590125,2,0
1534593734,1,1
1534597330,2,2
1534600941,0,2
1534604524,2,1
1534608156,7,1
1534611738,2,0
1534615332,1,0
1534618921,3,4
1534622551,1,0
1534626126,2,2
1534629702,0,2
1534636919,5,1
1534640508,2,2
1534644127,4,1
1534647747,1,1
1534651310,1,3
1534658524,0,2
1534662129,1,1
1534665706,0,1
1534672911,1,1
1534676542,3,2
1534680119,1,2
1534683715,4,0
1534687339,0,1
1534694526,2,0
1534698137,0,3
1534701697,0,1
1534705326,0,1
1534708916,2,0
1534712519,1,2
1534716127,0,3
1534719696,0,4
1534726918,4,1
1534730520,0,4
1534734106,1,0
1534737714,1,3
1534741302,0,5
1534744912,0,2
1534755713,2,0
1534759301,1,1
1534766498,0,1
1534773706,0,1
1534780906,1,1
1534784512,0,1
1534788099,1,3
1534795306,1,0
1534798913,2,2
1534802475,1,1
1534806107,1,1
1534809697,2,6
1534813272,1,2
1534816902,1,1
1534820488,0,1
1534824087,1,1
1534831331,0,1
1534834865,1,1
1534838490,0,2
1534842074,2,0
1534845674,0,3
1534849275,0,2
1534852891,0,2
1534856513,2,0
1534860072,1,1
1534863673,0,2
1534867256,1,1
1534870880,1,1
1534874473,2,2
1534881675,1,5
1534885282,1,4
1534888851,0,6
1534892494,1,5
1534896081,1,7
1534899684,2,10
1534903276,0,4
1534906881,3,0
1534910448,2,1
1534914073,1,1
1534921266,1,0
1534924854,2,2
1534928458,0,3
1534932090,1,2
1534935656,2,1
1534939288,0,2
1534942867,0,1
1534946480,1,0
1534950062,2,1
1534953690,0,1
1534957275,1,1
1534960892,0,19
1534964452,0,40
1534968064,2,3
1534971664,4,2
1534975287,0,2
1534978860,0,2
1534982445,1,1
1534989646,2,7
1534993256,4,3
1534996851,3,1
1535000474,0,1
1535004049,1,3
1535011292,2,0
1535014866,2,1
1535018470,0,3
1535025668,1,1
1535029255,1,0
1535032858,1,0
1535036449,3,1
1535040048,12,1
1535043652,9,3
1535047270,11,0
1535050858,11,1
1535054462,6,0
1535058052,9,1
1535061651,4,2
1535065251,6,0
1535068856,3,1
1535072452,5,1
1535078509,1,0
1535087995,0,1
1535101270,2,2
1535104852,3,4
1535108454,2,2
1535112055,2,1
1535115653,1,1
1535119252,1,3
1535122857,0,2
1535126450,1,4
1535130054,1,1
1535133654,0,1
1535137366,1,1
1535141018,2,0
1535148215,2,2
1535151861,3,1
1535155413,5,2
1535159024,1,1
1535162629,2,3
1535166238,1,3
1535169829,0,1
1535173399,0,2
1535177031,0,4
1535180618,2,2
1535184240,1,0
1535187839,0,3
1535191419,1,2
1535195030,1,2
1535198621,1,1
1535202216,1,1
1535205836,0,2
1535209442,1,0
1535213029,1,1
1535216624,1,0
1535223842,0,1
1535227443,1,1
1535231071,0,2
1535234618,1,0
1535238206,3,0
1535241822,1,0
1535245423,3,0
1535249016,3,1
1535252631,2,1
1535259841,2,0
1535263428,4,0
1535267025,0,3
1535270605,1,1
1535274251,2,0
1535277819,4,0
1535281418,2,3
1535285048,1,1
1535288619,1,1
1535292170,0,1
1535295842,1,0
1535299446,1,2
1535303033,1,0
1535306617,1,1
1535310241,1,0
1535313817,0,1
1535317414,1,2
1535321005,1,0
1535324628,0,2
1535328234,1,0
1535331845,2,5
1535335432,1,1
1535339048,1,1
1535342629,1,1
1535346243,0,5
1535349845,0,2
1535353413,0,2
1535360626,0,2
1535364208,0,2
1535367829,1,0
1535371426,1,1
1535374997,0,1
1535378624,0,2
1535382238,1,1
1535385808,1,0
1535389420,1,0
1535396633,1,0
1535400219,3,1
1535403818,0,1
1535407414,2,1
1535411020,1,1
1535414625,5,1
1535418225,2,1
1535421815,2,0
1535436224,1,0
1535439833,0,1
1535443427,1,0
1535450620,1,1
1535454233,2,1
1535457817,2,0
1535461452,1,0
1535465032,0,1
1535472202,0,1
1535475855,3,1
1535479436,4,0
1535482998,3,0
1535486596,1,0
1535490221,1,0
1535493819,0,1
1535497464,0,1
1535501022,4,1
1535504616,4,1
1535508230,5,0
1535511826,2,1
1535515436,2,1
1535519022,2,1
1535522607,1,2
1535526235,1,2
1535533429,1,0
1535540625,1,3
1535544210,0,1
1535547838,1,0
1535551421,2,0
1535558620,1,2
1535562214,0,1
1535565827,2,0
1535569389,1,0
1535573027,0,2
1535576634,1,3
1535580216,0,1
1535583827,1,0
1535587407,2,3
1535591102,1,1
1535594598,3,0
1535598257,2,3
1535601806,1,2
1535609052,1,3
1535616240,0,2
1535619825,4,1
1535623437,0,1
1535627046,0,2
1535630645,2,3
1535634236,0,1
1535637831,0,1
1535641427,0,2
1535645016,2,2
1535648607,2,2
1535652200,6,4
1535655847,0,8
1535659431,1,3
1535663032,1,7
1535666629,4,9
1535670221,2,8
1535673814,1,9
1535677424,0,11
1535681032,6,1
1535684638,2,2
1535691830,1,1
1535695407,1,0
1535699011,0,1
1535702619,0,1
1535706222,0,1
1535709819,1,2
1535713424,1,0
1535717037,1,4
1535720631,2,1
1535724225,3,1
1535731425,0,2
1535734993,0,1
1535738613,3,2
1535742220,5,0
1535745855,3,0
1535753019,1,1
1535756622,3,3
1535760233,2,3
1535763830,1,0
1535767434,3,4
1535771020,2,1
1535774650,1,1
1535778232,3,2
1535781821,0,1
1535785442,0,2
1535789010,0,2
1535792625,1,0
1535799830,1,2
1535803442,1,0
1535807046,5,0
1535810638,80,0
1535814223,1,2
1535817828,3,1
1535821424,4,0
1535825031,1,0
1535828660,1,1
1535832224,1,3
1535835841,1,1
1535843054,1,1
1535846639,1,1
1535853818,0,6
1535857429,1,3
1535861032,3,0
1535864639,0,1
1535868237,3,1
1535871833,1,1
1535875431,1,2
1535879050,1,0
1535882676,1,0
1535886233,3,0
1535889839,3,1
1535893439,1,0
1535897049,0,1
1535904259,1,0
1535907825,0,1
1535911446,1,1
1535915077,2,0
1535918614,1,2
1535922262,1,2
1535925835,3,2
1535933038,2,3
1535936648,0,6
1535940241,1,1
1535943839,2,1
1535947429,1,1
1535954619,2,0
1535958242,1,0
1535965444,1,0
1535969049,2,0
1535972664,1,2
1535979847,1,0
1535983429,3,2
1535987036,2,2
1535990636,9,0
1535994221,18,1
1535997807,16,2
1536001445,12,0
1536005057,6,0
1536008637,7,0
1536012234,2,3
1536015855,39,1
1536019431,0,2
1536023063,0,1
1536026648,2,3
1536030232,1,1
1536033839,2,0
1536037449,1,0
1536041082,3,2
1536044663,1,3
1536048270,2,1
1536051855,4,0
1536059081,0,2
1536062646,0,4
1536066247,1,1
1536069844,5,0
1536077044,2,1
1536080635,4,0
1536084258,1,1
1536087886,1,4
1536095088,2,1
1536098673,3,0
1536102245,2,2
1536105829,4,0
1536109466,1,1
1536113060,1,1
1536116687,1,0
1536120261,0,2
1536123870,3,0
1536127443,2,4
1536131043,0,1
1536134608,0,2
1536138273,0,2
1536141828,3,7
