DateTime,AddedIPs,RemovedIPs
1534313427,35,26
1534317025,33,17
1534320628,62,30
1534324234,60,21
1534327838,37,46
1534331433,93,40
1534335036,86,49
1534338638,59,53
1534342238,70,56
1534345846,161,57
1534349446,69,50
1534353044,42,66
1534356642,49,52
1534360244,71,40
1534363848,58,47
1534367470,87,40
1534371042,56,60
1534374647,68,45
1534378254,52,49
1534381852,42,45
1534385451,43,47
1534389045,60,33
1534392661,133,34
1534396254,74,60
1534399854,35,46
1534403451,44,47
1534407056,55,35
1534410652,56,28
1534414260,138,58
1534417864,130,57
1534421528,136,25
1534425093,87,42
1534428704,87,37
1534432284,123,41
1534435888,113,49
1534439497,91,27
1534443099,68,30
1534446698,60,17
1534450301,64,31
1534453896,72,53
1534457504,55,26
1534461098,46,48
1534464702,68,34
1534468292,57,36
1534471899,39,21
1534475501,85,23
1534479104,69,49
1534482701,55,33
1534486294,45,23
1534489902,83,22
1534493507,47,25
1534497109,61,41
1534500713,61,27
1534504316,32,54
1534507915,59,26
1534511515,88,40
1534515116,33,39
1534518723,129,26
1534522310,78,46
1534525928,98,37
1534529527,102,11
1534533135,46,13
1534536740,103,22
1534540337,97,45
1534543945,73,30
1534547542,42,33
1534551148,75,21
1534554749,39,25
1534558346,72,35
1534561942,51,24
1534565550,66,38
1534569145,66,45
1534572740,37,16
1534576358,42,17
1534579949,41,19
1534583552,42,35
1534587156,57,26
1534590754,41,31
1534594359,48,32
1534597958,52,27
1534601552,44,45
1534605159,43,24
1534608766,86,38
1534612362,65,38
1534615966,52,31
1534619567,52,25
1534623165,52,17
1534626768,42,48
1534630374,54,51
1534633986,79,21
1534637574,45,38
1534641181,68,40
1534644770,30,32
1534648371,37,24
1534651976,78,44
1534655574,62,54
1534659176,52,17
1534662778,50,29
1534666374,36,28
1534669981,58,42
1534673585,47,39
1534677178,55,23
1534680786,36,54
1534684386,48,28
1534687977,40,32
1534691584,37,18
1534695193,116,46
1534698788,65,58
1534702399,111,26
1534705998,42,33
1534709599,106,42
1534713200,61,76
1534716793,60,65
1534720409,45,39
1534724002,44,31
1534727600,63,12
1534731206,44,20
1534734812,39,22
1534738415,55,24
1534742007,68,47
1534745606,60,20
1534749205,60,19
1534752808,42,15
1534756408,59,33
1534760018,51,39
1534763615,65,35
1534767202,46,64
1534770812,65,15
1534774407,39,61
1534778008,50,119
1534781607,41,49
1534785209,85,96
1534788805,73,57
1534792412,124,36
1534796020,163,62
1534799620,119,45
1534803223,92,44
1534806826,113,67
1534810428,93,43
1534814028,106,49
1534817629,83,76
1534821225,58,79
1534824825,44,76
1534828432,88,57
1534832027,74,41
1534835636,58,43
1534839230,48,56
1534842829,51,65
1534846427,44,37
1534850029,65,63
1534853626,93,44
1534857233,32,45
1534860831,65,77
1534864422,44,73
1534868028,46,68
1534871626,84,49
1534875224,75,63
1534878830,70,42
1534882434,76,65
1534886033,84,61
1534889629,75,42
1534893235,84,71
1534896839,70,43
1534900430,40,44
1534904040,95,70
1534907641,50,56
1534911232,49,105
1534914829,73,40
1534918441,51,37
1534922038,69,30
1534925644,50,56
1534929229,35,52
1534932835,43,39
1534936431,58,94
1534940037,61,92
1534943626,44,68
1534947230,66,66
1534950827,45,145
1534954422,57,72
1534958026,72,42
1534961635,215,45
1534965242,105,63
1534968844,55,60
1534972434,52,63
1534976038,38,51
1534979635,56,70
1534983234,61,45
1534986840,61,44
1534990433,60,51
1534994034,39,67
1534997627,63,114
1535001228,36,113
1535004832,72,48
1535008434,86,37
1535012043,50,43
1535015631,48,63
1535019251,34,60
1535022834,36,66
1535026432,74,67
1535030032,44,49
1535033640,49,69
1535037244,65,99
1535040834,40,87
1535044430,45,101
1535048033,69,51
1535051635,67,54
1535055238,45,64
1535058828,52,56
1535062424,30,57
1535066024,71,48
1535069630,84,60
1535101907,48,61
1535105628,554,535
1535109224,33,38
1535112817,61,64
1535116441,79,85
1535120019,65,38
1535123631,76,127
1535127216,56,80
1535130833,53,98
1535134427,90,91
1535138039,76,56
1535141626,76,77
1535145229,47,100
1535148828,45,79
1535152420,48,48
1535156024,58,79
1535159616,51,47
1535163228,39,87
1535166823,56,62
1535170415,50,82
1535174001,49,76
1535177615,58,50
1535181213,50,55
1535184819,68,41
1535188415,40,50
1535192012,71,70
1535195625,37,46
1535199217,41,62
1535202813,55,59
1535206409,48,48
1535210019,63,51
1535213612,42,83
1535217214,34,68
1535220811,55,55
1535224420,75,44
1535228019,88,60
1535231619,48,44
1535235217,38,55
1535238818,31,70
1535242413,36,46
1535246005,56,72
1535249607,50,34
1535253207,34,41
1535256806,57,70
1535260409,61,59
1535264007,81,60
1535267611,73,42
1535271214,80,34
1535274816,74,49
1535278416,65,48
1535282009,32,59
1535285619,27,27
1535289216,88,59
1535292803,63,48
1535296411,48,44
1535300016,73,89
1535303628,50,69
1535307208,35,113
1535310809,70,49
1535314401,56,110
1535318010,71,63
1535321611,42,56
1535325205,40,60
1535328804,51,42
1535332409,70,68
1535336007,51,49
1535339602,43,51
1535343204,53,56
1535346799,41,74
1535350412,40,64
1535354004,56,51
1535357609,53,40
1535361210,86,42
1535364826,53,66
1535368413,43,60
1535372005,39,48
1535375608,49,72
1535379214,59,52
1535382804,42,51
1535386417,85,39
1535390008,45,95
1535393608,82,77
1535397207,76,76
1535400796,90,82
1535404401,64,73
1535408001,44,74
1535411599,37,76
1535415203,39,66
1535418792,46,109
1535422395,80,79
1535425988,36,59
1535429594,36,58
1535433192,51,99
1535436787,28,77
1535440379,37,72
1535443989,70,39
1535447593,118,47
1535451193,52,55
1535454787,58,63
1535458387,71,117
1535461993,44,33
1535465591,110,72
1535469188,95,48
1535472786,93,54
1535476404,83,83
1535479999,55,79
1535483598,69,72
1535487191,73,73
1535490791,56,95
1535494395,66,74
1535497994,48,86
1535501599,41,69
1535505195,42,43
1535508789,50,98
1535512390,60,50
1535515994,44,53
1535519585,57,68
1535523180,37,56
1535526778,46,76
