DateTime,AddedIPs,RemovedIPs
1534313394,22,22
1534316996,22,9
1534320610,49,24
1534324202,42,12
1534327808,19,27
1534331403,74,22
1534335011,72,34
1534338607,48,34
1534342205,45,30
1534345821,131,26
1534349419,48,24
1534353015,28,44
1534356619,27,27
1534360224,43,21
1534363817,28,29
1534367442,46,21
1534371015,27,39
1534374617,50,21
1534378224,37,34
1534381826,32,32
1534385420,26,40
1534389028,41,29
1534392628,62,19
1534396218,31,40
1534399819,20,30
1534403477,25,25
1534407016,33,17
1534410620,42,21
1534414223,66,45
1534417823,60,37
1534421487,76,18
1534425049,53,35
1534428651,40,27
1534432240,82,24
1534435847,66,30
1534439454,41,14
1534443053,44,16
1534446662,34,9
1534450256,43,27
1534453851,62,39
1534457452,31,14
1534461046,35,39
1534464650,50,22
1534468241,34,25
1534471844,26,14
1534475441,71,18
1534479046,52,35
1534482646,37,20
1534486247,31,17
1534489846,53,12
1534493446,26,19
1534497046,48,32
1534500650,41,19
1534504263,25,41
1534507861,41,24
1534511456,67,28
1534515060,26,28
1534518666,106,16
1534522261,50,36
1534525868,72,17
1534529470,78,9
1534533073,23,6
1534536676,81,17
1534540279,74,38
1534543875,50,21
1534547472,21,25
1534551083,55,15
1534554675,28,22
1534558274,56,33
1534561873,42,17
1534565482,40,29
1534569077,48,31
1534572677,29,7
1534576290,35,7
1534579881,27,11
1534583488,37,26
1534587086,46,15
1534590688,26,21
1534594291,40,29
1534597891,33,21
1534601485,32,27
1534605084,30,17
1534608690,70,20
1534612289,52,27
1534615896,34,11
1534619499,44,16
1534623099,31,7
1534626702,31,36
1534630309,52,42
1534633902,59,14
1534637504,31,37
1534641107,59,31
1534644701,26,22
1534648302,26,18
1534651905,67,30
1534655505,47,36
1534659105,39,16
1534662707,39,19
1534666304,24,13
1534669911,42,33
1534673519,38,34
1534677116,40,16
1534680714,25,42
1534684317,43,26
1534687917,31,22
1534691513,26,14
1534695128,99,30
1534698720,49,42
1534702338,82,23
1534705935,31,23
1534709545,92,25
1534713142,51,70
1534716746,50,49
1534720348,34,19
1534723944,27,27
1534727553,52,8
1534731159,32,14
1534734751,35,10
1534738359,48,15
1534741942,55,34
1534745549,47,9
1534749142,37,9
1534752743,24,9
1534756346,25,11
1534759947,33,20
1534763546,49,4
1534767139,30,43
1534770741,48,4
1534774337,22,37
1534777930,37,100
1534781539,25,25
1534785140,61,77
1534788742,58,37
1534792346,61,32
1534795947,69,59
1534799545,55,22
1534803144,52,29
1534806747,71,51
1534810348,47,34
1534813949,78,33
1534817546,47,61
1534821146,40,51
1534824744,32,39
1534828344,77,33
1534831944,58,26
1534835546,35,25
1534839141,42,46
1534842741,39,38
1534846342,26,23
1534849948,45,48
1534853547,76,35
1534857152,21,30
1534860747,40,52
1534864343,38,52
1534867945,28,41
1534871547,59,23
1534875149,57,49
