DateTime,Entries,UniqueIPs
1534313394,6327,6327
1534316996,6340,6340
1534320610,6365,6365
1534324202,6395,6395
1534327808,6387,6387
1534331403,6439,6439
1534335011,6477,6477
1534338607,6491,6491
1534342205,6506,6506
1534345821,6611,6611
1534349419,6635,6635
1534353015,6619,6619
1534356619,6619,6619
1534360224,6641,6641
1534363817,6640,6640
1534367442,6665,6665
1534371015,6653,6653
1534374617,6682,6682
1534378224,6685,6685
1534381826,6685,6685
1534385420,6671,6671
1534389028,6683,6683
1534392628,6726,6726
1534396218,6717,6717
1534399819,6707,6707
1534403477,6707,6707
1534407016,6723,6723
1534410620,6744,6744
1534414223,6765,6765
1534417823,6788,6788
1534421487,6846,6846
1534425049,6864,6864
1534428651,6877,6877
1534432240,6935,6935
1534435847,6971,6971
1534439454,6998,6998
1534443053,7026,7026
1534446662,7051,7051
1534450256,7067,7067
1534453851,7090,7090
1534457452,7107,7107
1534461046,7103,7103
1534464650,7131,7131
1534468241,7140,7140
1534471844,7152,7152
1534475441,7205,7205
1534479046,7222,7222
1534482646,7239,7239
1534486247,7253,7253
1534489846,7294,7294
1534493446,7301,7301
1534497046,7317,7317
1534500650,7339,7339
1534504263,7323,7323
1534507861,7340,7340
1534511456,7379,7379
1534515060,7377,7377
1534518666,7467,7467
1534522261,7481,7481
1534525868,7536,7536
1534529470,7605,7605
1534533073,7622,7622
1534536676,7686,7686
1534540279,7722,7722
1534543875,7751,7751
1534547472,7747,7747
1534551083,7787,7787
1534554675,7793,7793
1534558274,7816,7816
1534561873,7841,7841
1534565482,7852,7852
1534569077,7869,7869
1534572677,7891,7891
1534576290,7919,7919
1534579881,7935,7935
1534583488,7946,7946
1534587086,7977,7977
1534590688,7982,7982
1534594291,7993,7993
1534597891,8005,8005
1534601485,8010,8010
1534605084,8023,8023
1534608690,8073,8073
1534612289,8098,8098
1534615896,8121,8121
1534619499,8149,8149
1534623099,8173,8173
1534626702,8168,8168
1534630309,8178,8178
1534633902,8223,8223
1534637504,8217,8217
1534641107,8245,8245
1534644701,8249,8249
1534648302,8257,8257
1534651905,8294,8294
1534655505,8305,8305
1534659105,8328,8328
1534662707,8348,8348
1534666304,8359,8359
1534669911,8368,8368
1534673519,8372,8372
1534677116,8396,8396
1534680714,8379,8379
1534684317,8396,8396
1534687917,8405,8405
1534691513,8417,8417
1534695128,8486,8486
1534698720,8493,8493
1534702338,8552,8552
1534705935,8560,8560
1534709545,8627,8627
1534713142,8608,8608
1534716746,8609,8609
1534720348,8624,8624
1534723944,8624,8624
1534727553,8668,8668
1534731159,8686,8686
1534734751,8711,8711
1534738359,8744,8744
1534741942,8765,8765
1534745549,8803,8803
1534749142,8831,8831
1534752743,8846,8846
1534756346,8860,8860
1534759947,8873,8873
1534763546,8918,8918
1534767139,8905,8905
1534770741,8949,8949
1534774337,8934,8934
1534777930,8871,8871
1534781539,8871,8871
1534785140,8855,8855
1534788742,8876,8876
1534792346,8905,8905
1534795947,8915,8915
1534799545,8948,8948
1534803144,8971,8971
1534806747,8991,8991
1534810348,9004,9004
1534813949,9049,9049
1534817546,9035,9035
1534821146,9024,9024
1534824744,9017,9017
1534828344,9061,9061
1534831944,9093,9093
1534835546,9103,9103
1534839141,9099,9099
1534842741,9100,9100
1534846342,9103,9103
1534849948,9100,9100
1534853547,9141,9141
1534857152,9132,9132
1534860747,9120,9120
1534864343,9106,9106
1534867945,9093,9093
1534871547,9129,9129
1534875149,9137,9137
1534878751,9164,9164
1534882350,9170,9170
1534885953,9204,9204
1534889550,9239,9239
1534893149,9263,9263
1534896757,9283,9283
1534900363,9285,9285
1534903965,9311,9311
1534907557,9305,9305
1534911156,9265,9265
1534914746,9303,9303
1534918361,9324,9324
1534921962,9347,9347
1534925566,9347,9347
1534929159,9341,9341
1534932762,9350,9350
1534936357,9316,9316
1534939961,9303,9303
1534943564,9294,9294
1534947157,9295,9295
1534950754,9210,9210
1534954350,9205,9205
1534957951,9227,9227
1534961567,9404,9404
1534965165,9460,9460
1534968774,9468,9468
1534972370,9461,9461
1534975969,9451,9451
1534979562,9448,9448
1534983162,9471,9471
1534986762,9473,9473
1534990364,9496,9496
1534993960,9481,9481
1534997562,9477,9477
1535001163,9470,9470
1535004773,9507,9507
1535008375,9554,9554
1535011985,9561,9561
1535015577,9549,9549
1535019192,9540,9540
1535022790,9523,9523
1535026388,9540,9540
1535029988,9530,9530
1535033586,9541,9541
1535037185,9517,9517
1535040783,9500,9500
1535044388,9498,9498
1535047987,9520,9520
1535051584,9545,9545
1535055188,9536,9536
1535058781,9522,9522
1535062376,9516,9516
1535065981,9539,9539
1535069576,9558,9558
1535101738,9550,9550
1535105585,9630,9630
1535109187,9628,9628
1535112781,9631,9631
1535116405,9609,9609
1535119990,9625,9625
1535123589,9584,9584
1535127174,9569,9569
1535130793,9541,9541
1535134392,9529,9529
1535137985,9555,9555
1535141582,9558,9558
1535145187,9528,9528
1535148777,9511,9511
1535152382,9518,9518
1535155984,9505,9505
1535159580,9509,9509
1535163181,9475,9475
1535166772,9473,9473
1535170367,9461,9461
1535173962,9445,9445
1535177576,9469,9469
1535181164,9467,9467
1535184777,9504,9504
1535188369,9494,9494
1535191977,9509,9509
1535195582,9515,9515
1535199174,9507,9507
1535202771,9523,9523
1535206376,9511,9511
1535209974,9529,9529
1535213570,9499,9499
1535217172,9470,9470
1535220774,9476,9476
1535224379,9501,9501
1535227978,9543,9543
1535231579,9544,9544
1535235177,9529,9529
1535238778,9494,9494
1535242373,9486,9486
1535245967,9474,9474
1535249563,9473,9473
1535253167,9473,9473
1535256765,9458,9458
1535260365,9462,9462
1535263962,9486,9486
1535267569,9510,9510
1535271167,9548,9548
1535274774,9561,9561
1535278368,9577,9577
1535281962,9564,9564
1535285569,9563,9563
1535289166,9584,9584
1535292763,9596,9596
1535296364,9592,9592
1535299966,9578,9578
1535303572,9572,9572
1535307167,9520,9520
1535310769,9537,9537
1535314354,9472,9472
1535317960,9470,9470
1535321563,9447,9447
1535325160,9436,9436
1535328765,9440,9440
1535332364,9433,9433
1535335962,9436,9436
1535339556,9421,9421
1535343157,9416,9416
1535346761,9385,9385
1535350375,9367,9367
1535353972,9375,9375
1535357570,9379,9379
1535361172,9405,9405
1535364771,9412,9412
1535368372,9407,9407
1535371968,9400,9400
1535375558,9381,9381
1535379169,9398,9398
1535382758,9390,9390
1535386369,9432,9432
1535389961,9399,9399
1535393567,9417,9417
1535397161,9444,9444
1535400759,9482,9482
1535404355,9496,9496
1535407959,9485,9485
1535411558,9467,9467
1535415160,9462,9462
1535418753,9404,9404
1535422353,9421,9421
1535425954,9400,9400
1535429562,9391,9391
1535433152,9353,9353
1535436747,9322,9322
1535440347,9308,9308
1535443954,9336,9336
1535447560,9404,9404
1535451156,9408,9408
