DateTime,AddedIPs,RemovedIPs
1533920656,0,3
1533924251,0,5
1533927843,1,1
1533938655,1,1
1533942247,3,0
1533945847,1,0
1533963848,0,1
1533967450,0,1
1533971045,1,2
1533974652,0,1
1533981841,1,0
1533985449,0,2
1533989057,0,2
1533992655,3,3
1533996246,1,2
1533999845,2,1
1534003463,1,0
1534010648,1,0
1534014246,2,2
1534017870,1,1
1534021449,1,1
1534025049,1,0
1534032253,0,2
1534039469,0,1
1534043043,0,1
1534046649,0,2
1534050250,1,0
1534053853,1,0
1534057451,2,0
1534061049,1,2
1534068251,1,1
1534071851,2,0
1534075445,0,1
1534079048,1,1
1534082660,1,0
1534086247,2,0
1534089847,2,2
1534093445,1,1
1534097046,1,3
1534100651,2,4
1534104256,1,1
1534107847,1,3
1534111461,3,0
1534115052,1,1
1534118649,1,1
1534122252,1,2
1534125856,0,1
1534129452,1,0
1534133058,1,1
1534136653,2,1
1534140243,3,0
1534143855,3,0
1534147453,1,0
1534151055,2,1
1534161844,3,2
1534165457,2,1
1534169053,2,2
1534172646,0,1
1534176247,0,1
1534179851,2,0
1534183455,1,0
1534187054,1,3
1534190657,1,1
1534197857,2,0
1534201454,12,0
1534205053,3,1
1534208646,2,4
1534212251,1,0
1534215845,1,0
1534219445,2,1
1534223043,2,0
1534226653,0,1
1534230254,0,9
1534233849,1,20
1534237448,1,7
1534241048,0,8
1534251842,1,1
1534255440,2,0
1534259052,2,0
1534273456,3,1
1534277049,3,3
1534280646,1,8
1534287857,1,0
1534295056,0,1
1534302255,0,2
1534305847,11,0
1534309449,1,10
1534313059,1,0
1534316657,0,1
1534323854,2,0
1534327461,1,1
1534331051,1,3
1534334655,2,0
1534338251,0,2
1534341849,1,0
1534349062,0,2
1534356252,3,0
1534359863,5,0
1534363456,1,1
1534367052,0,1
1534370655,1,0
1534374259,0,1
1534381462,0,2
1534392261,1,0
1534395852,1,0
1534399460,1,1
1534413852,0,2
1534417453,4,1
1534421049,3,1
1534424664,2,2
1534431861,0,2
1534435460,2,1
1534439058,3,2
1534442668,2,0
1534446269,4,0
1534449865,2,0
1534457053,3,0
1534464252,1,0
1534471450,1,0
1534475053,1,1
1534478660,0,2
1534482251,1,2
1534485857,1,0
1534489453,0,2
1534493049,0,3
1534496653,1,0
1534503862,1,0
1534507450,0,3
1534511046,0,1
1534514645,1,1
1534518252,0,2
1534529054,1,0
1534532661,5,3
1534543454,3,0
1534547049,1,2
1534550651,1,2
1534554289,0,1
1534561448,1,1
1534565045,1,3
1534572251,0,1
1534575854,1,2
1534586652,0,1
1534597460,0,4
1534601045,0,1
1534604646,0,2
1534608252,0,2
1534611847,1,0
1534615449,1,2
1534619047,1,2
1534626257,3,0
1534633452,1,0
1534640661,0,1
1534651455,0,1
1534658660,1,0
1534665846,3,0
1534669451,1,1
1534673066,2,2
1534676656,3,2
1534680256,1,0
1534683854,0,1
1534687456,1,0
1534691054,0,3
1534694668,1,2
1534698255,1,2
1534701852,4,2
1534705459,0,2
1534709064,1,3
1534712660,12,2
1534716270,2,2
1534719865,2,2
1534727065,0,1
1534734261,1,0
1534737859,1,1
1534741462,1,1
1534748676,3,1
1534752256,1,0
1534755855,1,1
1534759459,2,2
1534763062,2,0
1534766660,0,2
1534770261,0,3
1534773857,1,1
1534777444,1,0
1534781056,2,0
1534784657,2,1
1534788258,2,1
1534791856,0,1
1534795450,2,2
