DateTime,AddedIPs,RemovedIPs
1534394882,75,88
1534396803,103,66
1534402562,75,47
1534406418,85,78
1534408323,84,64
1534412162,81,63
1534414082,64,76
1534417923,83,71
1534423922,74,65
1534427762,75,53
1534432083,65,81
1534434003,81,65
1534435924,102,135
1534437843,71,71
1534441683,76,67
1534445522,87,71
1534449362,93,74
1534453211,66,79
1534457042,67,74
1534458962,65,95
1534463763,91,105
1534467611,52,68
1534471442,239,172
1534473362,237,324
1534477447,83,102
1534483443,84,100
1534485362,94,60
1534491122,129,91
1534494962,75,57
1534498804,64,61
1534502642,72,55
1534506482,59,70
1534510323,67,60
1534512243,67,71
1534518011,81,61
1534520162,66,74
1534524002,58,63
1534527843,76,65
1534529767,80,53
1534535762,68,90
1534539624,62,82
1534541762,67,83
1534545602,51,77
1534549922,85,79
1534553762,47,82
1534557615,65,57
1534559523,62,80
1534563362,80,62
1534565283,134,159
1534567202,74,77
1534571043,87,71
1534574882,53,47
1534578723,64,56
1534582563,75,55
1534587364,71,62
1534589283,70,62
1534593122,66,57
1534596963,75,71
1534602722,134,104
1534606562,76,77
1534612323,93,72
1534614243,59,52
1534616163,61,72
1534622163,70,85
1534626024,60,75
1534627922,68,74
1534631763,62,93
1534635603,93,80
1534640412,43,72
1534642322,70,62
1534646162,63,81
1534650002,81,96
1534653842,78,94
1534657682,75,65
1534659602,65,75
1534661522,125,108
1534663442,47,48
1534669209,66,40
1534671122,82,51
1534674962,79,55
1534678802,74,62
1534682643,66,58
1534686482,68,62
1534688403,74,67
1534694418,76,67
1534696322,88,74
1534702082,74,82
1534704242,77,70
1534708083,67,74
1534710002,76,67
1534715762,71,91
1534719612,63,111
1534721523,86,83
1534725602,43,86
1534729442,69,58
1534733282,73,84
1534737122,82,95
1534740963,79,105
1534744812,82,60
1534746722,76,49
1534750563,67,51
1534754402,72,70
1534758243,72,50
1534762082,80,49
1534765922,80,67
1534769763,60,69
1534774082,115,118
1534779842,64,78
1534783922,88,54
1534787762,79,88
1534791613,89,78
1534795442,99,84
1534797362,91,87
1534801202,58,98
1534805042,53,104
1534806963,94,109
1534812962,63,68
1534817042,65,77
1534818962,72,79
1534820883,142,123
1534822803,176,209
1534826643,81,83
1534830722,106,75
1534834562,59,50
1534838411,75,76
1534840322,78,60
1534844162,66,63
1534848002,58,56
1534851842,62,63
1534855922,79,63
1534859763,74,102
1534861686,7,0
1534863613,80,70
1534865523,70,84
1534869362,102,73
1534873202,95,80
1534877042,97,67
1534880882,92,104
1534884722,81,83
1534886643,71,118
1534892414,66,109
1534894323,102,85
1534896242,61,82
1534900082,84,101
1534905842,70,79
1534909922,106,110
1534911845,78,87
1534917613,84,83
1534919522,78,65
1534923362,55,66
1534925283,73,58
1534931282,85,45
1534935122,51,58
1534938963,66,65
1534942809,68,65
1534946642,70,67
1534948562,88,61
1534952403,85,72
1534956243,90,77
1534958162,0,2
1534960082,81,66
1534963922,89,65
1534967762,85,89
1534971613,68,107
1534975442,79,110
1534977363,72,108
1534981202,116,102
1534985282,49,92
1534989362,76,74
1534993213,74,103
1534995123,103,74
1534997042,144,173
1534998963,81,86
1535002803,97,83
1535006642,66,64
1535008572,64,66
1535010482,138,103
1535014323,94,74
1535018162,74,68
1535022018,88,87
1535023923,80,68
1535027762,72,71
1535031603,66,55
1535035445,60,77
1535039522,68,71
1535043362,95,73
1535047209,87,71
1535051042,100,68
1535052962,69,82
1535056802,80,78
1535060643,63,93
1535066403,141,174
1535072163,58,93
1535076012,77,60
1535077923,68,88
1535082002,84,90
1535086082,69,80
1535089922,91,63
1535093763,78,69
1535095683,114,151
1535097611,181,142
1535099523,77,57
1535103363,69,56
1535107202,77,72
1535109123,63,74
1535114882,81,50
1535118722,78,61
1535122814,63,66
1535124722,79,86
1535126643,81,91
1535132643,98,81
1535136722,95,81
1535140563,73,73
1535144642,73,97
1535146563,75,72
1535151622,58,82
1535153524,89,85
1535157602,53,75
1535161442,66,82
1535165282,80,88
1535169362,78,91
1535173221,81,80
1535175124,95,66
1535178963,64,58
1535182803,83,58
1535186643,71,83
1535190485,73,67
1535194322,76,71
1535198162,83,66
1535202015,80,75
1535203923,79,61
1535207766,77,67
1535211602,79,62
1535215442,82,71
1535219763,67,83
1535223842,75,67
1535225762,85,76
1535229603,64,74
1535233442,58,95
1535237282,54,98
1535241122,98,54
1535243042,116,197
1535244963,61,82
1535246882,106,74
1535252642,73,95
1535254562,76,121
1535258403,76,79
1535260323,102,74
1535266082,60,30
1535270162,65,46
1535274242,71,62
1535276163,67,58
1535280003,77,59
1535283842,79,58
1535287682,67,57
1535291522,78,68
1535293443,76,77
1535299208,81,96
1535301124,85,65
1535304962,87,60
1535309282,99,84
1535313122,73,95
1535316004,91,92
1535319844,66,115
1535321762,56,104
1535325603,101,84
1535333282,51,73
1535335217,71,84
1535337122,58,679
1535339042,597,0
1535340962,88,96
1535344803,89,96
1535346723,98,73
1535348643,157,175
1535350563,175,157
1535352482,67,61
1535356322,67,68
1535360163,92,63
1535364014,72,39
1535367843,63,74
1535369762,75,65
1535373603,79,55
1535377444,77,79
1535381282,72,76
1535385122,77,76
1535388962,88,104
1535390882,95,85
1535394723,113,74
1535398562,120,106
1535402644,79,100
1535406722,67,118
1535410563,52,115
1535412723,111,101
1535416563,55,68
1535420403,65,68
1535424482,74,101
1535428323,89,113
1535432162,78,82
1535436016,100,65
1535437922,65,67
1535441762,87,65
1535445602,83,64
1535449685,68,52
1535453522,69,61
1535457363,61,69
1535459283,120,101
1535461215,88,82
1535463124,79,66
1535466962,78,81
1535468883,81,78
1535470803,131,129
1535474647,87,70
1535478722,105,83
1535484483,111,87
1535486413,87,95
1535490245,66,109
1535492162,83,112
1535496003,70,125
1535501764,107,101
1535503685,61,87
1535507523,70,74
1535511363,84,108
1535513282,98,106
1535517122,90,84
1535520963,106,70
1535522883,72,62
1535528672,79,74
1535532482,87,55
1535536322,67,77
1535538242,88,73
1535542323,78,66
1535546402,76,62
1535548562,72,82
1535550483,113,117
1535552404,117,113
1535554322,68,61
1535558417,68,67
1535560563,83,66
1535564402,81,73
1535568244,93,88
1535574003,141,167
1535580020,80,111
1535582885,61,112
1535586722,104,88
1535590563,54,78
1535592723,71,81
1535598483,71,103
1535600402,97,110
1535604246,86,88
1535606403,90,62
1535610242,72,59
1535616016,82,59
1535619843,88,63
1535621763,81,55
1535625602,79,79
1535629444,73,60
1535633282,81,71
1535639283,84,68
1535641219,65,67
1535643123,75,75
1535647203,84,79
1535651042,98,80
1535654882,97,80
1535658723,72,84
1535662563,77,100
1535666420,72,103
1535668323,62,120
1535672163,97,99
1535676002,54,73
1535679842,75,69
1535683682,76,98
1535687523,99,108
1535693523,167,152
1535697363,70,60
1535701202,94,67
1535705044,67,70
1535709124,92,63
1535712963,65,57
1535715123,57,60
1535718962,80,63
1535722803,88,80
1535726642,81,92
1535730724,85,74
1535734563,75,86
1535738413,100,85
1535740322,85,82
1535746082,119,138
1535749922,60,102
1535755682,76,96
1535759523,147,110
1535763363,69,75
1535767218,126,81
1535769122,73,95
1535772962,84,114
1535778723,65,80
1535780642,108,69
1535784483,64,50
1535788323,80,45
1535792163,86,45
1535796009,79,73
1535797923,81,59
1535801763,81,73
1535805602,76,101
1535809443,98,80
1535813282,97,77
1535817123,94,74
1535820963,78,80
1535824817,69,74
1535826963,66,80
1535828882,90,70
1535834643,80,86
1535838482,60,85
1535840403,59,105
1535846164,105,93
1535850019,65,90
1535853842,67,81
1535855762,66,93
1535859603,92,110
1535863443,73,84
1535867283,76,59
1535871122,66,53
1535874962,65,50
1535878813,81,57
1535882643,68,45
1535884803,87,66
1535888643,82,77
1535892483,89,77
1535896322,82,72
1535898243,0,6
1535900163,90,64
1535902323,76,71
1535906402,100,90
1535910243,84,73
1535914083,77,89
1535917923,111,76
1535921763,83,103
1535927523,109,222
1535931363,99,120
1535935202,67,92
1535939042,83,76
1535943123,76,109
1535946962,94,108
1535950817,82,75
1535952723,91,75
1535956563,73,58
1535960402,82,91
1535962323,83,71
1535968083,93,61
1535970002,70,55
1535971922,98,145
1535973843,145,98
1535975762,75,65
1535979611,84,66
1535981522,84,68
1535985362,97,57
1535989203,93,69
1535993043,126,105
1535996882,82,99
1536000722,117,71
1536004563,109,103
1536008419,78,99
1536010323,62,122
1536014403,60,140
1536018723,114,127
1536022563,59,75
1536026414,71,73
1536028323,3,6098
1536030242,6078,2
1536032162,106,92
1536034082,92,106
1536036003,86,80
1536039843,99,66
1536043922,81,70
1536049682,71,58
1536051617,74,79
1536053522,87,72
1536057603,70,70
1536061442,70,62
1536065282,73,56
1536067202,69,79
1536072964,75,77
1536076816,90,71
1536078722,98,73
1536082562,102,93
1536084482,90,88
1536088323,99,81
1536094323,93,89
1536098162,64,131
1536102021,65,95
1536103923,114,139
1536107762,56,101
1536113522,113,87
1536115443,74,101
1536119282,98,121
1536121203,85,91
1536125043,131,70
1536129123,89,74
1536132962,70,76
1536136802,73,100
1536138723,93,50
