DateTime,Entries,UniqueIPs
1534394882,6054,6054
1534396803,6091,6091
1534402562,6119,6119
1534406418,6126,6126
1534408323,6146,6146
1534412162,6164,6164
1534414082,6152,6152
1534417923,6164,6164
1534423922,6173,6173
1534427762,6195,6195
1534432083,6179,6179
1534434003,6195,6195
1534435924,6162,6162
1534437843,6162,6162
1534441683,6171,6171
1534445522,6187,6187
1534449362,6206,6206
1534453211,6193,6193
1534457042,6186,6186
1534458962,6156,6156
1534463763,6142,6142
1534467611,6126,6126
1534471442,6193,6193
1534473362,6106,6106
1534477447,6087,6087
1534483443,6071,6071
1534485362,6105,6105
1534491122,6143,6143
1534494962,6161,6161
1534498804,6164,6164
1534502642,6181,6181
1534506482,6170,6170
1534510323,6177,6177
1534512243,6173,6173
1534518011,6193,6193
1534520162,6185,6185
1534524002,6180,6180
1534527843,6191,6191
1534529767,6218,6218
1534535762,6196,6196
1534539624,6176,6176
1534541762,6160,6160
1534545602,6134,6134
1534549922,6140,6140
1534553762,6105,6105
1534557615,6113,6113
1534559523,6095,6095
1534563362,6113,6113
1534565283,6088,6088
1534567202,6085,6085
1534571043,6101,6101
1534574882,6107,6107
1534578723,6115,6115
1534582563,6135,6135
1534587364,6144,6144
1534589283,6152,6152
1534593122,6161,6161
1534596963,6165,6165
1534602722,6195,6195
1534606562,6194,6194
1534612323,6215,6215
1534614243,6222,6222
1534616163,6211,6211
1534622163,6196,6196
1534626024,6181,6181
1534627922,6175,6175
1534631763,6144,6144
1534635603,6157,6157
1534640412,6128,6128
1534642322,6136,6136
1534646162,6118,6118
1534650002,6103,6103
1534653842,6087,6087
1534657682,6097,6097
1534659602,6087,6087
1534661522,6104,6104
1534663442,6103,6103
1534669209,6129,6129
1534671122,6160,6160
1534674962,6184,6184
1534678802,6196,6196
1534682643,6204,6204
1534686482,6210,6210
1534688403,6217,6217
1534694418,6226,6226
1534696322,6240,6240
1534702082,6232,6232
1534704242,6239,6239
1534708083,6232,6232
1534710002,6241,6241
1534715762,6221,6221
1534719612,6173,6173
1534721523,6176,6176
1534725602,6133,6133
1534729442,6144,6144
1534733282,6133,6133
1534737122,6120,6120
1534740963,6094,6094
1534744812,6116,6116
1534746722,6143,6143
1534750563,6159,6159
1534754402,6161,6161
1534758243,6183,6183
1534762082,6214,6214
1534765922,6227,6227
1534769763,6218,6218
1534774082,6215,6215
1534779842,6201,6201
1534783922,6235,6235
1534787762,6226,6226
1534791613,6237,6237
1534795442,6252,6252
1534797362,6256,6256
1534801202,6216,6216
1534805042,6165,6165
1534806963,6150,6150
1534812962,6145,6145
1534817042,6133,6133
1534818962,6126,6126
1534820883,6145,6145
1534822803,6112,6112
1534826643,6110,6110
1534830722,6141,6141
1534834562,6150,6150
1534838411,6149,6149
1534840322,6167,6167
1534844162,6170,6170
1534848002,6172,6172
1534851842,6171,6171
1534855922,6187,6187
1534859763,6159,6159
1534861686,6166,6166
1534863613,6176,6176
1534865523,6162,6162
1534869362,6191,6191
1534873202,6206,6206
1534877042,6236,6236
1534880882,6224,6224
1534884722,6222,6222
1534886643,6175,6175
1534892414,6132,6132
1534894323,6149,6149
1534896242,6128,6128
1534900082,6111,6111
1534905842,6102,6102
1534909922,6098,6098
1534911845,6089,6089
1534917613,6090,6090
1534919522,6103,6103
1534923362,6092,6092
1534925283,6107,6107
1534931282,6147,6147
1534935122,6140,6140
1534938963,6141,6141
1534942809,6144,6144
1534946642,6147,6147
1534948562,6174,6174
1534952403,6187,6187
1534956243,6200,6200
1534958162,6198,6198
1534960082,6213,6213
1534963922,6237,6237
1534967762,6233,6233
1534971613,6194,6194
1534975442,6163,6163
1534977363,6127,6127
1534981202,6141,6141
1534985282,6098,6098
1534989362,6100,6100
1534993213,6071,6071
1534995123,6100,6100
1534997042,6071,6071
1534998963,6066,6066
1535002803,6080,6080
1535006642,6082,6082
1535008572,6080,6080
1535010482,6115,6115
1535014323,6135,6135
1535018162,6141,6141
1535022018,6142,6142
1535023923,6154,6154
1535027762,6155,6155
1535031603,6166,6166
1535035445,6149,6149
1535039522,6146,6146
1535043362,6168,6168
1535047209,6184,6184
1535051042,6216,6216
1535052962,6203,6203
1535056802,6205,6205
1535060643,6175,6175
1535066403,6142,6142
1535072163,6107,6107
1535076012,6124,6124
1535077923,6104,6104
1535082002,6098,6098
1535086082,6087,6087
1535089922,6115,6115
1535093763,6124,6124
1535095683,6087,6087
1535097611,6126,6126
1535099523,6146,6146
1535103363,6159,6159
1535107202,6164,6164
1535109123,6153,6153
1535114882,6184,6184
1535118722,6201,6201
1535122814,6198,6198
1535124722,6191,6191
1535126643,6181,6181
1535132643,6198,6198
1535136722,6212,6212
1535140563,6212,6212
1535144642,6188,6188
1535146563,6191,6191
1535151622,6167,6167
1535153524,6171,6171
1535157602,6149,6149
1535161442,6133,6133
1535165282,6125,6125
1535169362,6112,6112
1535173221,6113,6113
1535175124,6142,6142
1535178963,6148,6148
1535182803,6173,6173
1535186643,6161,6161
1535190485,6167,6167
1535194322,6172,6172
1535198162,6189,6189
1535202015,6194,6194
1535203923,6212,6212
1535207766,6222,6222
1535211602,6239,6239
1535215442,6250,6250
1535219763,6234,6234
1535223842,6242,6242
1535225762,6251,6251
1535229603,6241,6241
1535233442,6204,6204
1535237282,6160,6160
1535241122,6204,6204
1535243042,6123,6123
1535244963,6102,6102
1535246882,6134,6134
1535252642,6112,6112
1535254562,6067,6067
1535258403,6064,6064
1535260323,6092,6092
1535266082,6122,6122
1535270162,6141,6141
1535274242,6150,6150
1535276163,6159,6159
1535280003,6177,6177
1535283842,6198,6198
1535287682,6208,6208
1535291522,6218,6218
1535293443,6217,6217
1535299208,6202,6202
1535301124,6222,6222
1535304962,6249,6249
1535309282,6264,6264
1535313122,6242,6242
1535316004,6241,6241
1535319844,6192,6192
1535321762,6144,6144
1535325603,6161,6161
1535333282,6139,6139
1535335217,6126,6126
1535337122,5505,5505
1535339042,6102,6102
1535340962,6094,6094
1535344803,6087,6087
1535346723,6112,6112
1535348643,6094,6094
1535350563,6112,6112
1535352482,6118,6118
1535356322,6117,6117
1535360163,6146,6146
1535364014,6179,6179
1535367843,6168,6168
1535369762,6178,6178
1535373603,6202,6202
1535377444,6200,6200
1535381282,6196,6196
1535385122,6197,6197
1535388962,6181,6181
1535390882,6191,6191
1535394723,6230,6230
1535398562,6244,6244
1535402644,6223,6223
1535406722,6172,6172
1535410563,6109,6109
1535412723,6119,6119
1535416563,6106,6106
1535420403,6103,6103
1535424482,6076,6076
1535428323,6052,6052
1535432162,6048,6048
1535436016,6083,6083
1535437922,6081,6081
1535441762,6103,6103
1535445602,6122,6122
1535449685,6138,6138
1535453522,6146,6146
