DateTime,AddedIPs,RemovedIPs
1535916032,9,0
1535916333,2,0
1535916933,6,0
1535917235,4,0
1535917831,7,0
1535918434,5,0
1535918735,3,0
1535919333,6,0
1535920236,8,0
1535920828,6,0
1535921134,2,1
1535921437,3,0
1535921729,2,0
1535922036,2,0
1535922628,2,0
1535922936,5,0
1535923233,2,0
1535923533,1,0
1535923830,1,0
1535924133,2,0
1535924425,1,0
1535924731,1,0
1535925031,2,0
1535925633,7,0
1535926531,7,0
1535926834,4,0
1535927432,4,0
1535928029,6,0
1535928333,5,0
1535928630,4,0
1535928932,4,0
1535930429,16,0
1535930732,3,0
1535931329,4,0
1535932235,2,0
1535932839,7,0
1535933133,3,0
1535933727,7,0
1535934032,2,0
1535934632,8,0
1535935236,3,0
1535935537,1,0
1535935836,3,0
1535936434,5,0
1535937029,6,0
1535937330,1,0
1535937631,4,0
1535937931,1,0
1535938233,1,0
1535939136,1,0
1535939735,9,0
1535940036,2,0
1535940635,9,0
1535941237,6,0
1535942137,3,0
1535942435,2,0
1535943036,6,0
1535943636,4,0
1535944236,3,0
1535944531,1,0
1535944835,1,0
1535945132,2,0
1535945431,1,0
1535946032,1,0
1535946339,3,0
1535946931,1,0
1535948726,1,0
1535950829,1,0
1535951131,2,0
1535951735,5,0
1535952031,2,0
1535952633,3,0
1535953231,9,0
1535953527,4,0
1535954124,5,0
1535954428,3,0
1535955025,1,0
1535955326,4,0
1535955626,3,0
1535955928,2,0
1535956528,3,0
1535956826,2,0
1535957427,6,0
1535958030,3,0
1535958327,4,0
1535958931,3,0
1535959532,4,0
1535959830,1,0
1535960127,3,0
1535961039,10,0
1535961334,2,0
1535961629,2,0
1535962226,7,0
1535962831,5,0
1535963129,2,0
1535963429,2,0
1535964028,4,0
1535964632,3,0
1535964934,4,0
1535965232,3,0
1535965530,4,0
1535966136,3,0
1535966432,4,0
1535967034,7,0
1535967632,7,0
1535967933,4,0
1535968535,6,0
1535968836,2,0
1535969438,5,2
1535970038,4,0
1535970336,3,0
1535970936,4,0
1535971229,4,0
1535971831,8,0
1535972434,5,0
1535972729,6,0
1535973335,9,0
1535973637,1,0
1535974234,10,0
1535974831,11,0
1535975134,6,0
1535975737,13,0
1535976034,8,0
1535976636,13,0
1535976939,5,0
1535977239,1,0
1535977537,3,0
1535978136,12,0
1535978435,2,0
1535979037,14,0
1535979337,7,0
1535979640,3,0
1535979938,9,1
1535980536,12,0
1535980838,5,0
1535981436,14,0
1535982033,6,0
1535982332,5,0
1535982637,7,0
1535982933,6,0
1535983227,8,0
1535983829,13,0
1535984429,10,0
1535984728,6,0
1535985030,7,0
1535985329,3,0
1535985634,7,0
1535986230,9,0
1535986835,7,0
1535987127,6,0
1535987727,17,0
1535988030,7,0
1535988628,11,0
1535989227,11,0
1535989529,6,0
1535990128,11,0
1535990730,15,0
1535991034,9,0
1535991630,11,0
1535991928,2,0
1535992229,6,0
1535992831,13,0
1535993427,12,0
1535993729,7,0
1535994032,6,0
1535994329,4,0
1535994933,6,0
1535995230,23,0
1535995831,13,0
1535996129,4,0
1535996431,5,0
1535996729,4,0
1535997035,6,0
1535997336,9,0
1535997637,7,0
1535997933,10,0
1535998237,8,0
1535998832,13,0
1535999137,9,0
1535999430,5,0
1535999730,1,0
1536000032,10,0
1536000633,10,1
1536001233,12,2
1536001534,10,1
1536002131,13,0
1536002430,7,0
1536002731,5,4
1536003032,4,0
1536003635,9,0
1536003939,4,0
1536004537,10,0
1536004836,6,0
1536005436,5,0
1536006033,4,0
1536006334,1,0
1536006930,8,13
1536007235,1,17
1536007835,7,2
1536008432,8,0
1536008737,11,0
1536009337,11,0
1536009637,11,0
1536010229,12,0
1536010535,7,0
1536011130,12,0
1536011737,11,0
1536012042,6,0
1536012637,2,0
1536013235,23,0
1536013537,6,0
1536013839,6,0
1536014439,2,0
1536015037,16,0
1536015337,4,0
1536015636,4,0
1536015937,5,0
1536016832,9,0
1536017129,3,0
1536017732,19,0
1536018030,6,0
1536018637,7,0
1536019831,24,0
1536020136,2,0
1536020437,6,0
1536021034,14,0
1536021339,5,0
1536021633,4,0
1536021934,5,0
1536022235,6,0
1536022530,6,0
1536022835,7,0
1536023437,9,0
1536023736,5,0
1536024336,11,0
1536024937,15,0
1536025234,7,0
1536025836,11,0
1536026132,3,0
1536026439,4,0
1536026735,6,0
1536027334,9,0
1536027640,4,0
1536028234,17,0
1536028531,4,0
1536029130,11,0
1536029736,13,0
1536030039,5,0
1536030636,17,0
1536031234,9,0
1536031534,4,0
1536032132,8,0
1536032435,5,0
1536033035,7,0
1536036029,2,1
1536036933,3,0
1536037239,1,0
1536037830,11,0
1536038430,8,0
1536038726,5,0
1536039329,11,0
1536039934,9,0
1536040234,5,0
1536040833,12,0
1536041136,2,0
1536041731,11,0
1536042035,8,0
1536042632,7,0
1536042931,2,0
1536043232,7,0
1536043830,9,0
1536044431,12,0
1536044733,2,0
1536045036,6,0
1536045333,2,0
1536045931,11,0
1536046236,3,0
1536046829,14,0
1536047134,5,0
1536047429,4,0
1536047732,8,0
1536048035,7,0
1536048637,18,0
1536048934,5,0
1536049237,4,0
1536049539,9,0
1536049832,8,0
1536050130,5,1
1536050433,3,0
1536050732,7,0
1536051029,3,0
1536051630,19,0
1536052234,9,0
1536052836,11,0
1536053136,5,0
1536053435,7,0
1536053733,5,0
1536054036,7,0
1536054630,14,0
1536054930,3,0
1536055231,2,0
1536055528,4,0
1536056128,13,0
1536056430,5,0
1536057031,10,0
1536057634,11,0
1536057937,3,0
1536058234,7,0
1536058526,5,0
1536058833,3,0
1536059429,13,0
1536059734,9,0
1536060035,6,0
1536060338,7,0
1536060634,3,0
1536060931,7,0
1536061230,5,0
1536061537,2,0
1536061827,3,0
1536062431,13,0
1536062731,9,0
1536063331,14,0
1536063639,7,0
1536064229,10,0
1536064536,4,0
1536064839,15,0
1536065132,6,0
1536065437,8,0
1536065735,3,0
1536066034,8,0
1536066338,5,0
1536066636,9,0
1536066937,10,0
1536067238,7,0
1536067535,6,0
1536068136,20,0
1536068437,3,0
1536069035,7,0
1536069334,6,0
1536069638,9,0
1536070233,13,0
1536070534,7,0
1536070832,5,0
1536071133,6,0
1536072326,31,0
1536072928,16,0
1536073529,17,0
1536074129,14,0
1536074428,12,0
1536074726,6,0
1536075027,28,0
1536075329,7,0
1536075632,6,1
1536075929,4,0
1536076527,11,0
1536076829,7,0
1536077125,6,0
1536077727,5,0
1536078028,3,0
1536078625,15,0
1536078931,8,0
1536079228,6,0
1536079530,9,0
1536079836,8,0
1536080134,3,0
1536080433,4,0
1536081032,7,0
1536081627,21,0
1536081927,3,0
1536082228,9,0
1536082530,5,0
1536082829,8,0
1536083428,27,0
1536084030,16,0
1536084334,9,0
1536084928,15,0
1536085230,5,0
1536085832,11,0
1536086437,2,0
1536087332,1,0
1536088227,1,0
1536088831,4,0
1536089130,5,0
1536089430,3,0
1536090031,10,0
1536090329,7,0
1536090933,11,0
1536091237,3,0
1536091532,5,0
1536091829,10,0
1536092431,17,0
1536092731,2,0
1536093333,7,0
1536093634,4,0
1536094232,11,0
1536094531,5,0
1536094833,5,0
1536095128,8,0
1536095429,8,0
1536095728,6,0
1536096328,14,0
1536096629,8,0
1536097227,6,1
1536097528,3,0
1536097830,2,0
1536098127,9,0
1536098431,5,0
1536099027,1,0
1536099328,13,0
1536099634,5,0
1536099927,6,0
1536100228,4,0
1536100531,1,0
1536100830,5,0
1536101132,3,0
1536101433,5,0
1536102032,16,0
1536102328,4,0
1536102926,17,0
1536103229,5,0
1536103827,9,0
1536104134,8,0
1536104430,5,0
1536105032,3,0
1536105333,7,0
1536105634,3,0
1536106229,8,0
1536106837,14,0
1536107135,3,0
1536107438,2,0
1536107735,4,0
1536108036,8,0
1536108637,13,0
1536108929,5,0
1536109236,6,0
1536109526,11,0
1536110129,7,0
1536110435,10,0
1536111036,10,0
1536111636,7,0
1536111934,4,0
1536112236,1,0
1536112535,8,0
1536113436,10,0
1536113731,8,0
1536114038,9,0
1536114337,3,0
1536114936,7,0
1536115237,3,0
1536115833,15,0
1536116434,10,0
1536116730,5,0
1536117333,9,0
1536117629,7,0
1536118230,12,0
1536118536,2,0
1536118831,9,0
1536119127,6,0
1536119725,1,0
1536120335,2,0
1536120932,2,0
1536123327,1,0
1536123628,4,0
1536124226,6,0
1536124527,4,0
1536124834,2,0
1536125429,16,0
1536126028,11,0
1536126332,11,0
1536126929,9,0
1536127231,6,0
1536127828,13,0
1536128132,5,0
1536128428,8,0
1536129034,20,0
1536129634,5,0
1536129935,7,0
1536130233,5,0
1536130526,1,0
1536130832,7,0
1536131428,14,0
1536132031,11,0
1536132332,8,0
1536132633,5,0
1536132932,5,0
1536133229,6,0
1536133837,11,0
1536134134,6,0
1536134436,4,0
1536134731,3,0
1536135031,9,0
1536135326,3,0
1536135632,1,0
1536136834,1,0
1536137434,1,0
1536139535,1,0
1536139838,1,0
1536140136,1,0
1536140738,1,0
1536141932,1,0
