DateTime,AddedIPs,RemovedIPs
1529128838,256,0
1529157648,0,768
1529161240,768,256
1529175636,256,0
1529177555,0,256
1529188224,0,256
1529197586,512,0
1529213433,256,256
1529246965,0,2048
1529251308,1536,0
1529253020,512,0
1529257957,0,256
1529281829,512,0
1529283615,0,256
1529308841,256,0
1529326842,512,0
1529337080,0,1280
1529339421,0,256
1529340691,256,0
1529343028,256,0
1529345734,0,256
1529369216,256,0
1529412344,0,1280
1529426742,0,256
1529428543,0,256
1529446832,1024,0
1529451026,0,256
1529454620,256,0
1529467233,0,256
1529483436,256,0
1529503226,512,0
1529505018,1280,0
1529507725,3584,0
1529512217,256,0
1529519426,256,0
1529532043,0,1024
1529568631,0,256
1529588742,0,1792
1529591436,0,1536
1529593239,0,3584
1529597707,0,256
1529601324,1280,0
1529622030,0,256
1529684124,1024,0
1529684912,256,0
1529685923,0,768
1529691453,0,256
1529706715,0,256
1529746236,256,0
1529770535,256,768
1529770942,256,0
1529778474,256,0
1529784905,0,256
1529800580,256,0
1529832635,0,256
1529856027,512,512
1529857827,0,256
1529864117,0,256
1529866820,256,0
1529878924,256,0
1529938825,256,0
1529941526,0,256
1529942424,0,256
1529962220,0,256
1530024336,0,256
1530029739,512,0
1530045025,256,0
1530059438,0,256
1530115244,0,768
1530124222,256,0
1530198935,0,256
1530202539,768,0
1530204324,256,0
1530210653,256,0
1530225024,256,0
1530279006,256,0
1530286476,3328,0
1530288036,0,768
1530289823,256,256
1530297942,256,0
1530304260,0,256
1530310534,0,256
1530311431,256,0
1530318631,256,256
1530364561,0,256
1530370846,0,3072
1530374436,1024,0
1530384327,0,256
1530390631,256,0
1530397829,0,256
1530458132,768,0
1530460830,0,1024
1530462627,256,0
1530470745,256,256
1530480099,0,256
1530482434,0,256
1530486036,256,0
1530544541,0,256
1530545149,0,256
1530548135,1536,0
1530549933,256,0
1530556215,0,256
1530563439,0,256
1530570627,0,256
1530576935,0,256
1530577830,256,0
1530634530,768,512
1530648049,0,512
1530680465,0,256
1530719133,0,1536
1530720930,0,256
1530724692,1024,0
1530727227,256,0
1530734438,256,0
1530803706,768,0
1530804620,256,0
1530810076,0,512
1530815419,256,0
1530822626,256,0
1530838004,256,0
1530889523,0,1536
1530892854,0,256
1530893732,1536,0
1530894605,512,0
1530901019,768,0
1530908519,256,256
1530916222,256,0
1530922922,512,0
1530974737,0,256
1530980154,0,2048
1530981004,0,512
1530987338,768,0
1530988210,0,768
1530991816,256,0
1530993652,0,256
1531001732,0,256
1531002606,256,0
1531008930,0,512
1531052127,512,0
1531072858,0,512
1531080935,256,0
1531085440,256,0
1531096248,256,0
1531138541,0,256
1531146609,0,256
1531152952,0,256
1531160143,0,256
1531161388,1536,0
1531167687,256,0
1531170942,0,256
1531175776,256,0
1531182652,256,256
1531239335,1024,0
1531247745,0,1792
1531253730,0,256
1531324844,0,512
1531326658,0,768
1531332924,256,0
1531333709,0,256
1531347341,0,256
1531355436,512,0
1531412136,1024,0
1531441837,256,0
1531496737,0,1024
1531502123,512,0
1531512930,0,256
1531527333,0,512
1531584931,512,0
1531586722,0,512
1531606537,256,0
1531613736,0,256
1531621803,256,0
1531625440,256,0
1531656937,1536,0
1531707304,0,256
1531741566,0,512
1531744203,0,256
1531751404,0,256
1531758606,0,256
1531761335,1280,0
1531772629,0,256
1531782933,256,0
1531787459,0,256
1531845099,512,0
1531846825,0,768
1531852206,256,0
1531856726,0,256
1531865727,0,256
1531880605,0,256
1531926927,256,0
1531930532,0,256
1531936834,0,256
1531939528,0,256
1532014208,0,256
1532016934,1280,0
1532017824,256,256
1532023239,256,0
1532031324,0,256
1532046635,256,0
1532103327,768,1024
1532108720,0,256
1532114132,256,0
1532126756,256,256
1532141137,0,256
1532189758,0,512
1532190718,768,0
1532196040,0,256
1532211340,256,256
1532211897,256,0
1532219439,256,0
1532225734,256,0
1532276131,1536,0
1532277007,256,768
1532280638,256,0
1532283960,0,256
1532290525,0,256
1532295933,0,256
1532304064,512,0
1532306133,0,512
1532361632,0,1024
1532362529,768,256
1532364318,256,0
1532367160,256,0
1532371537,0,256
1532378748,0,256
1532384134,0,256
1532387748,0,256
1532393185,256,0
1532441726,1024,0
1532446230,256,0
1532448923,0,256
1532450745,0,256
1532457924,256,0
1532463305,0,256
1532472379,0,256
1532477740,0,768
1532527217,0,1280
1532533547,0,256
1532543438,0,256
1532558767,0,256
1532566205,2304,0
1532594816,256,0
1532625330,768,0
1532634310,512,0
1532637027,256,0
1532644260,256,0
1532651444,256,512
1532700934,768,0
1532701841,256,0
1532709965,0,512
1532712655,0,256
1532720476,1280,256
1532720706,0,256
1532721643,0,256
1532724345,0,256
1532728848,0,1024
1532736905,0,256
1532737850,256,0
1532787307,0,1536
1532798133,768,256
1532802631,0,256
1532806655,0,768
1532816105,0,256
1532825176,0,256
1532880936,1280,512
1532882746,256,0
1532896240,256,0
1532904343,256,0
1532963731,512,0
1532965537,0,1280
1532968209,0,256
1532974674,256,256
1533044721,0,256
1533049262,0,768
1533058239,256,0
1533059505,256,256
1533061833,256,0
1533077158,0,256
1533132934,1024,0
1533143730,0,256
1533145506,0,256
1533146459,256,0
1533168945,0,256
1533219351,0,512
1533220245,256,0
1533234647,256,0
1533240905,0,256
1533256252,256,0
1533307558,768,256
1533321037,0,256
1533329152,256,0
1533342658,256,0
1533368768,0,256
1533392170,0,512
1533395753,0,256
1533407041,0,256
1533417366,0,256
1533418251,256,0
1533421841,256,0
1533475843,1024,0
1533479425,256,0
1533490235,256,0
1533503750,0,512
1533506457,256,0
1533515457,256,0
1533563184,0,1024
1533566230,0,256
1533575765,0,256
1533587430,512,512
1533600937,0,256
1533601829,512,0
1533645052,768,0
1533646079,256,0
1533673869,0,256
1533687343,0,512
1533732303,0,256
1533734142,0,256
1533738649,0,256
1533745878,1792,0
1533753019,0,256
1533767458,0,256
1533796261,256,0
1533814253,512,0
1533824132,256,0
1533832680,0,1024
1533888071,0,256
1533899743,0,1024
1533911500,0,256
1533915046,1024,0
1533926736,0,256
1534005753,0,1024
1534007741,1024,0
1534011351,256,0
1534019996,256,0
1534033875,0,256
1534077941,512,0
1534093256,0,512
1534101315,256,0
1534119349,0,512
1534124777,256,0
1534149908,0,0
1534153503,0,512
1534184727,0,256
1534185956,512,0
1534188652,0,256
1534205751,0,256
1534206644,256,0
1534215606,256,0
1534226450,256,0
1534253490,1280,0
1534257037,256,0
1534271430,0,512
1534286706,0,256
1534295773,512,256
1534308304,0,256
1534339832,768,512
1534352459,256,0
1534356902,0,512
1534365002,0,256
1534381572,0,256
1534426203,0,768
1534432502,0,256
1534439703,0,256
1534443334,256,0
1534446925,0,256
1534448703,0,256
1534464052,512,0
1534465845,256,0
1534526104,0,256
1534530635,768,0
1534538733,256,0
1534545904,0,256
1534552203,0,256
1534572903,256,0
1534606223,768,0
1534609815,256,0
1534617016,0,768
1534635904,0,256
1534639504,256,0
1534690846,0,768
1534700393,768,0
1534702503,0,256
1534703427,512,0
1534717829,256,0
1534725029,256,0
1534769103,0,256
1534786205,0,768
1534788915,0,256
1534796105,0,256
1534812098,256,0
1534859122,512,0
1534860945,0,256
1534861316,256,0
1534876227,0,512
1534890366,0,256
1534917640,256,0
1534946455,0,768
1534948234,0,256
1534951817,1024,0
1534954653,512,0
1534968027,256,0
1534984233,256,0
1535031022,768,0
1535038225,0,1024
1535040028,0,512
1535049205,0,256
1535053503,0,256
1535056232,256,0
1535070645,256,0
1535077836,256,0
1535117444,0,512
1535121023,512,0
1535157023,512,0
1535205639,0,1024
1535214626,1024,256
1535229024,0,256
1535242504,0,256
1535293814,512,0
1535300103,0,1024
1535322633,256,0
1535329833,512,256
1535379302,0,512
1535381444,768,0
1535386503,256,0
1535387426,256,0
1535393703,0,256
1535409026,256,0
1535416237,0,512
1535467137,0,768
1535474560,0,256
1535477913,1536,0
1535479222,256,0
1535481029,0,256
1535483703,0,256
1535495949,0,256
