DateTime,AddedIPs,RemovedIPs
1532434800,11,9
1532442000,11,11
1532449200,10,11
1532456400,4,3
1532463600,4,5
1532470800,1,1
1532478000,877,883
1532485200,504,508
1532492400,434,421
1532499600,344,337
1532506800,209,213
1532514000,147,141
1532521200,97,101
1532528400,45,43
1532535600,28,30
1532542800,28,32
1532551200,22,22
1532558400,12,16
1532565600,13,883
1532572800,871,9
1532580000,467,476
1532587200,236,215
1532594400,265,257
1532601600,188,207
1532608800,160,142
1532616000,108,110
1532623200,69,70
1532634000,63,65
1532637600,39,44
1532644800,162,158
1532652000,2,888
1532659200,889,2
1532666400,278,278
1532673600,76,88
1532680800,34,32
1532688000,24,20
1532695200,14,11
1532702400,11,10
1532709600,6,6
1532716800,7,8
1532724000,6,7
1532731800,1,1
1532739000,896,885
1532746200,725,744
1532753400,698,672
1532760600,395,389
1532767800,291,283
1532775000,179,193
1532782200,135,135
1532789400,123,123
1532796600,112,109
1532803800,99,95
1532811000,102,101
1532818200,72,74
1532826000,788,909
1532829600,709,659
1532836800,698,632
1532844000,411,407
1532851200,285,287
1532858400,238,251
1532865600,170,160
1532872800,145,143
1532880000,157,161
1532887200,133,129
1532894400,81,81
1532901600,61,58
1532908800,18,907
1532916000,814,16
1532923200,706,644
1532930400,394,393
1532937600,258,265
1532944800,244,229
1532952000,166,159
1532959200,115,117
1532966400,115,121
1532973600,120,122
1532980800,64,67
1532988000,47,52
1532995200,18,877
1533004200,847,10
1533011400,706,684
1533018600,401,391
1533025800,244,234
1533033000,207,196
1533040200,141,151
1533047400,10,15
1533054600,108,112
1533061800,162,165
1533069000,6,8
1533076200,17,14
1533083400,435,887
1533090600,782,359
1533097800,706,669
1533105000,692,706
1533112200,244,246
1533119400,26,24
1533126600,15,14
1533133800,12,10
1533141000,11,10
1533148200,9,9
1533153600,10,8
1533160800,0,1
1533168000,884,886
1533175200,744,744
1533182400,375,382
1533189600,132,131
1533196800,63,64
1533204000,34,34
1533211800,24,21
1533219000,15,16
1533226200,14,16
1533233400,57,48
1533240600,8,9
1533247800,5,6
1533255000,882,884
1533262200,800,802
1533269400,372,368
1533276600,114,106
1533283800,52,57
1533291600,42,44
1533298800,19,20
1533306000,13,17
1533313200,10,10
1533320400,11,8
1533342000,11,883
1533399600,883,11
1533406800,11,12
1533414000,9,11
1533421200,14,13
1533428400,877,881
1533435600,302,314
1533442800,682,666
1533450000,108,113
1533457200,56,53
1533464400,52,52
1533471600,14,12
1533478800,19,19
1533486000,12,16
1533493200,2,2
1533500400,2,4
1533507600,2,2
1533514800,864,875
1533522000,701,690
1533529200,718,712
1533536400,367,359
1533543600,242,239
1533550800,221,214
1533558000,172,171
1533565200,103,101
1533572400,97,107
1533579600,115,116
1533586800,109,109
1533594000,114,119
1533601200,839,885
1533608400,721,697
1533615600,368,336
1533628800,618,630
1533632400,839,883
1533639600,807,756
1533646800,664,669
1533654000,850,852
1533661200,31,28
1533669000,6,6
1533672600,9,8
1533679800,13,11
1533687000,23,890
1533694200,894,21
1533701400,320,322
1533708600,94,92
1533715800,44,44
1533723000,33,39
1533730200,16,17
1533737400,13,14
1533744600,16,12
1533751800,16,18
1533759000,9,6
1533766200,6,6
1533773400,890,893
1533780600,780,781
1533787800,500,510
1533795000,622,614
1533802200,43,50
1533809400,43,38
1533816600,28,26
1533823800,25,25
1533831000,16,15
1533838200,47,45
1533845400,4,3
1533852600,9,7
1533859800,892,893
1533867000,717,760
1533874200,609,568
1533881400,115,116
1533888600,59,62
