DateTime,AddedIPs,RemovedIPs
1535668810,22,29
1535669298,40,30
1535670276,61,31
1535671212,48,29
1535672182,51,40
1535672653,29,22
1535673145,48,55
1535674111,42,60
1535675059,42,56
1535676015,50,66
1535676494,20,23
1535677001,49,69
1535677946,48,51
1535678897,48,57
1535679869,40,45
1535680825,50,63
1535681792,61,43
1535682739,33,54
1535683719,46,36
1535684663,46,39
1535685637,42,36
1535686573,50,41
1535687561,45,44
1535688597,47,37
1535689705,73,151
1535690662,51,0
1535691625,57,45
1535692591,45,55
1535693545,47,74
1535694495,39,0
1535695481,50,83
1535696415,50,40
1535697383,57,0
1535698337,37,56
1535699314,48,93
1535700267,75,64
1535701219,11,52
1535702179,11,0
1535703139,34,126
1535703615,30,27
1535704092,31,0
1535705064,63,41
1535707024,122,126
1535708181,62,43
1535709145,67,51
1535710100,57,88
1535711065,38,52
1535712015,37,60
1535712997,87,57
1535713956,43,58
1535715150,51,59
1535716097,45,0
1535717088,46,50
1535718010,1071,1067
1535718989,38,43
1535719960,39,54
1535720913,9,42
1535721858,16,60
1535722826,16,71
1535723778,11,45
1535724746,6,51
1535725691,6,53
1535726682,39,51
1535727621,120,61
1535728585,117,52
1535729807,97,54
1535730748,57,85
1535731739,35,62
1535732659,38,67
1535733617,44,69
1535734595,62,68
1535735535,59,55
1535736499,46,66
1535737460,51,66
1535738440,43,66
1535739386,63,67
1535740343,47,50
1535741301,47,60
1535742271,99,56
1535743212,46,52
1535744210,48,60
1535745137,50,60
1535746102,52,47
1535747057,46,41
1535748016,40,44
1535748977,50,47
1535749945,59,55
1535750890,35,36
1535751878,43,47
1535752828,59,35
1535753793,45,40
1535754255,17,0
1535754741,51,47
1535755704,43,57
1535756658,54,56
1535757629,44,75
1535758090,27,25
1535758586,62,0
1535759540,54,62
1535760510,58,69
1535761470,58,58
1535761933,27,26
1535762414,68,81
1535763381,44,48
1535764344,70,74
1535765296,50,79
1535766258,58,77
1535767237,58,98
1535768195,45,82
1535769146,49,73
1535770102,36,69
1535771066,65,68
1535772025,47,81
1535773003,44,84
1535773941,47,81
1535774914,57,75
1535775857,75,168
1535776819,48,84
1535777789,39,67
1535778754,59,65
1535779692,43,71
1535780680,52,84
1535781615,63,83
1535782589,38,60
1535783543,32,83
1535784510,50,87
1535785462,45,82
1535786430,47,45
1535787373,40,68
1535788365,2,68
1535789304,15,81
1535790264,37,63
1535791216,20,59
1535792196,53,67
1535792655,29,12
1535793134,58,60
1535794096,104,44
1535795060,71,54
1535796036,35,63
1535796985,43,80
1535797943,43,75
1535798895,40,62
1535799869,47,94
1535800817,48,71
1535801788,51,65
1535802737,35,59
1535803724,37,51
1535804656,993,934
1535805618,32,76
1535806601,35,58
1535807553,43,59
1535808494,31,60
1535809463,33,64
1535810446,34,60
1535811389,51,60
1535812344,35,86
1535813301,37,77
1535814267,30,64
1535815222,29,81
1535816185,34,63
1535817165,36,104
1535818160,47,27
1535819308,52,85
1535820255,40,37
1535821219,44,103
1535822189,40,58
1535823139,39,37
1535824096,37,100
1535825084,41,59
1535826013,37,82
1535826999,39,83
1535827974,44,71
1535828903,38,73
1535829857,37,244
1535830816,42,101
1535831781,38,86
1535832761,41,79
1535833695,33,95
1535834665,36,101
1535835639,27,75
1535836589,44,66
1535837542,26,92
1535838503,35,73
1535839460,53,79
1535840417,39,67
1535841385,53,100
1535842346,60,75
1535842820,16,63
1535843322,48,88
1535844271,50,113
1535845231,42,0
1535846191,43,77
1535846658,50,58
1535847152,56,75
1535848099,45,106
1535849059,49,86
1535850077,56,88
1535850999,42,80
1535851957,45,72
1535852901,38,80
1535853884,47,79
1535854813,33,65
1535855795,38,73
1535856736,40,58
1535857712,41,63
1535858656,39,51
1535859644,27,50
1535860575,34,67
1535861586,353,137
1535862500,62,81
1535863468,32,54
1535864418,29,50
1535865389,53,62
