DateTime,AddedIPs,RemovedIPs
1535848084,0,88
1535848324,25,0
1535848922,33,0
1535849523,28,0
1535850019,62,0
1535850200,32,1
1535850723,28,0
1535851323,14,0
1535851922,1,0
1535852523,15,0
1535853122,2,0
1535853843,69,158
1535854923,14,0
1535855762,64,0
1535856124,10,0
1535856722,1,0
1535857323,26,0
1535857924,35,1
1535858523,35,0
1535859123,59,0
1535859613,83,81
1535859724,50,0
1535860323,36,0
1535861002,32,0
1535861523,34,0
1535862122,26,0
1535862723,1,0
1535863444,99,101
1535863922,1,0
1535864601,14,1
1535865124,15,0
1535865722,12,0
1535866323,20,0
1535866923,29,0
1535867284,75,139
1535867524,36,0
1535868202,12,1
1535868723,15,0
1535869323,24,0
1535869923,8,1
1535870522,29,0
1535871123,79,0
1535871741,37,1
1535872322,43,0
1535873046,12,51
1535874123,6,0
1535874962,60,0
1535875402,6,1
1535875922,30,0
1535876523,6,0
1535877123,22,0
1535877722,39,0
1535878322,14,0
1535878813,74,15
1535879002,11,2
1535879763,42,82
1535880123,33,0
1535881322,14,0
1535881923,17,1
1535882643,82,4
1535883123,24,0
1535883724,10,0
1535884323,4,0
1535884803,81,14
1535884922,5,0
1535885523,0,88
1535886201,25,1
1535886722,2,0
1535887323,18,0
1535888643,92,1
1535889724,10,1
1535889802,0,1
1535890322,8,0
1535890923,7,0
1535891522,7,0
1535892123,18,0
1535892484,73,62
1535893342,13,0
1535894523,50,0
1535895124,49,0
1535895723,16,0
1535896323,67,62
1535896942,42,1
1535897524,22,0
1535898244,38,64
1535898722,3,0
1535899323,36,0
1535900163,78,0
1535900604,38,0
1535901123,20,0
1535901723,51,0
1535902324,68,51
1535902924,22,0
1535903522,10,0
1535904143,15,0
1535904723,36,0
1535905322,22,0
1535905923,17,0
1535906402,86,15
1535906523,11,0
1535907123,12,0
1535907804,66,2
1535908324,3,131
1535908922,51,1
1535909523,56,0
1535910243,86,0
1535910722,1,0
1535911323,48,0
1535911342,2,1
1535911923,15,0
1535912523,25,0
1535913723,16,0
1535914083,62,24
1535914322,18,0
1535914942,38,2
1535915523,19,0
1535916005,0,114
1535916123,22,0
1535916722,35,0
1535917323,16,0
1535917923,104,0
1535918602,31,0
1535919123,8,0
1535919845,36,74
1535920923,12,0
1535921763,78,0
1535922203,20,0
1535923323,10,0
1535923683,0,92
1535924522,9,0
1535925722,16,0
1535926323,15,0
1535926923,7,0
1535927523,104,0
1535928123,9,0
1535928482,19,108
1535929404,41,3
1535930885,12,123
1535931363,107,0
1535931722,18,0
1535932322,11,0
1535933004,14,0
1535933524,12,0
1535934123,13,0
1535934723,10,0
1535935202,48,15
1535935322,20,1
1535935683,0,167
1535935923,38,0
1535936544,4,0
1535937123,10,0
1535937723,19,0
1535938323,11,0
1535939042,102,0
1535939524,48,1
1535940142,24,2
1535941322,31,0
1535941922,26,0
1535942522,43,0
1535943123,96,8
1535943802,52,1
1535944323,4,0
1535944562,0,158
1535944923,34,0
1535945522,4,0
1535946122,54,0
1535946962,105,0
1535947405,20,0
1535947923,18,0
1535948523,20,0
1535949122,16,0
1535949723,21,0
1535950323,27,0
1535950817,76,6
1535950944,27,1
1535951524,8,0
1535952244,17,172
1535952723,141,0
1535953322,12,0
1535953922,16,0
1535954602,15,3
1535955723,29,0
1535956086,0,73
1535956563,104,0
1535956923,11,0
1535957523,9,0
1535958142,25,3
1535958723,15,0
1535959323,9,0
1535959923,28,0
1535960402,77,18
1535960883,15,100
1535961122,23,0
1535961742,28,0
1535962324,86,0
1535962923,23,0
1535963523,32,0
1535964122,13,0
1535965342,15,0
1535965923,22,0
1535966643,33,64
1535967123,19,0
1535967723,18,0
1535968083,77,0
1535968322,18,1
1535969004,58,2
1535969523,36,0
1535970002,61,13
1535970485,31,55
1535970723,10,0
1535971322,11,0
1535971923,80,61
1535972523,8,0
1535972542,1,0
1535973123,10,0
1535973843,76,55
1535974323,58,0
1535975283,76,46
1535975762,15,54
1535976203,7,1
1535976723,51,0
1535977323,17,0
1535977922,50,0
1535978523,14,0
1535979611,79,0
1535979743,21,0
1535980323,13,0
1535980923,21,0
1535981522,66,18
1535982123,4,0
1535982723,16,1
1535983403,18,0
1535983924,3,0
1535984885,11,92
1535985362,88,0
1535985722,32,0
1535986923,31,0
1535987005,0,1
1535987524,38,0
1535988123,29,0
1535988723,1,0
1535989203,84,16
1535989684,18,94
1535989923,22,0
1535990544,28,2
1535991722,25,0
1535993043,126,0
1535994123,35,0
1535994143,1,2
1535994723,19,0
1535995323,19,1
1535995923,5,0
1535996522,12,0
1535996882,71,13
1535997363,13,95
1535997803,16,5
1535998323,28,0
1535998923,16,0
1535999523,3,0
1536000122,9,0
1536000722,97,16
1536001215,0,118
1536001402,11,0
1536001923,14,0
1536002523,23,0
1536003123,7,0
1536003723,28,0
1536004563,135,0
1536004942,33,2
1536005523,36,0
1536006123,35,0
1536006963,14,100
1536007323,30,0
1536008419,78,0
1536008607,30,1
1536009123,24,0
1536009722,23,0
1536010323,60,26
1536010923,15,0
1536011523,5,0
1536012202,23,0
1536012722,26,83
1536013323,47,0
1536013923,2,0
1536014403,54,21
1536014643,41,112
1536015123,5,0
1536015803,40,0
1536016323,6,0
1536016922,8,0
1536017523,18,0
1536018123,10,0
1536018724,96,117
1536019925,12,0
1536020645,39,116
1536021123,27,0
1536021722,28,0
1536022563,55,0
1536023003,44,1
1536023524,18,0
1536024123,18,0
1536024723,14,0
1536025322,17,0
1536026414,63,13
1536026548,20,1
1536027364,8,124
1536027723,22,0
1536028324,20,1
1536028923,14,0
1536029523,11,0
1536030242,185,2
1536030723,26,0
1536031208,10,82
1536031323,26,0
1536032162,38,90
1536032523,21,0
1536033723,19,0
1536034082,90,0
1536034924,37,1
1536035523,26,0
1536036003,76,7
1536036123,35,1
1536036962,37,168
1536037403,41,5
1536037923,31,0
1536038523,19,0
1536039123,69,0
1536039843,141,0
1536040322,2,0
1536040463,0,1
1536040943,34,0
1536041523,31,0
1536042122,40,1
1536042722,9,0
1536043323,15,0
1536043923,86,61
1536044605,4,4
1536045723,24,0
1536046923,25,0
1536047522,6,0
1536047764,0,64
1536048146,40,0
1536048722,6,0
1536049323,25,1
1536049682,66,0
1536050524,22,1
1536051617,67,13
1536051723,24,0
1536052323,7,0
1536052805,0,108
1536052923,6,0
1536053522,77,0
1536054123,15,0
1536055343,16,1
1536055923,15,0
1536056523,19,0
1536057123,23,0
1536057603,59,16
1536057722,19,0
1536059003,7,4
1536059523,29,0
1536060122,3,0
1536060483,0,108
1536061442,90,0
1536061923,22,0
1536062523,82,0
1536062604,0,1
1536063123,28,0
1536063723,8,1
1536064323,20,0
1536064923,13,0
1536065282,63,13
1536066203,22,1
1536067204,52,79
1536067324,12,1
1536067924,25,0
1536068523,43,0
1536069122,2,0
1536069723,16,0
1536070323,19,1
1536070923,17,0
1536072965,79,130
1536073404,30,5
1536073923,15,0
1536074523,27,0
1536075724,9,1
1536076322,23,0
1536076816,80,0
1536077003,20,2
1536077763,9,67
1536078123,63,0
1536078723,113,0
1536079322,41,0
1536080543,36,1
1536081723,45,0
1536082323,2,0
1536082562,89,24
1536083522,0,126
1536084482,110,3
1536084723,5,0
1536085324,30,0
1536085922,6,0
1536086522,19,0
1536087743,20,1
1536088324,127,16
1536088923,56,0
1536089283,16,73
1536089522,28,1
1536090123,48,0
1536090723,34,0
1536091343,17,2
1536091923,27,0
1536092523,28,0
1536093123,35,0
1536093724,36,0
1536094324,116,17
1536094923,8,0
1536095283,17,67
1536095522,8,0
1536096122,24,0
1536096723,22,0
1536097203,0,83
1536097322,27,0
1536097923,14,0
1536098162,61,0
1536098545,21,1
1536099123,16,0
1536099723,6,0
1536101043,26,127
1536101522,6,0
1536102021,63,0
1536102204,34,0
1536102962,24,87
1536103323,16,0
1536103923,103,0
1536104522,51,1
1536105123,22,0
1536105803,17,0
1536106323,47,0
1536106809,0,108
1536106923,18,0
1536107762,52,0
1536108123,38,0
1536108722,14,0
1536109403,25,4
1536109923,42,0
1536110644,15,88
1536111123,15,0
1536111722,21,0
1536113004,25,1
1536113523,96,0
1536114123,28,0
1536114723,8,0
1536115443,81,7
1536115923,8,0
1536116524,42,0
1536116604,0,1
1536117365,20,78
1536117723,37,0
1536118323,32,0
1536118922,22,0
1536119282,87,5
1536120207,36,0
1536121210,68,168
1536121322,32,0
1536121923,34,0
1536122522,53,0
1536123123,25,0
1536123804,27,2
1536124323,39,0
1536125043,136,8
1536125523,8,0
1536126122,44,0
1536126723,43,0
1536127404,47,1
1536128523,26,0
1536129125,106,120
1536129723,26,0
1536130323,9,0
1536131004,27,1
1536131524,4,0
1536132123,42,0
1536132963,61,139
1536133322,36,0
1536133923,37,0
1536134523,45,0
1536135123,9,0
1536135724,36,0
1536136322,2,0
1536136802,71,0
1536136922,35,0
1536138147,36,2
1536138723,59,15
1536139322,38,0
1536139922,2,0
1536140523,43,0
1536141723,43,0
1536141806,0,2
1536142564,48,92
1536142923,51,0
