DateTime,Entries,UniqueIPs
1535157023,27848,53919
1535159165,27837,53908
1535163654,27839,53910
1535164237,28010,54091
1535165105,28013,54094
1535166363,28014,54095
1535170857,28018,54099
1535171403,28036,54117
1535175042,28000,54098
1535175905,28002,54100
1535178057,28009,54107
1535178600,28010,54108
1535185255,28013,54111
1535185937,28018,54120
1535186526,28017,54119
1535192444,28020,54122
1535193000,28015,54117
1535196421,28027,54132
1535197504,28031,54136
1535199657,28033,54138
1535200204,28023,54128
1535202354,27999,54104
1535206503,30046,56184
1535206875,30047,56185
1535207451,30044,56193
1535208758,30047,56196
1535214058,30048,56197
1535214626,30047,56448
1535215456,30053,56453
1535217303,30055,55945
1535218223,30094,55717
1535219756,30093,55716
1535221257,30095,55718
1535221803,30092,55715
1535222704,30093,55716
1535226303,30093,55462
1535228103,30095,55209
1535228455,30097,55211
1535229024,30157,55270
1535230845,30163,55023
1535234759,30163,54513
1535236205,30163,54513
1535239621,30178,54527
1535240759,30181,54530
1535242855,30182,54531
1535243435,30029,54378
1535246103,30010,54359
1535250056,30013,54362
1535250600,30130,54470
1535251148,30130,54470
1535257258,30134,54474
1535257800,30159,54497
1535261221,30162,54496
1535261865,30162,54496
1535264465,30170,54504
1535265032,30170,54504
1535271654,30171,54505
1535272227,30243,54576
1535274981,30243,54576
1535278867,30244,54577
1535279403,30248,54583
1535279757,30249,54584
1535282821,30240,54573
1535286058,30245,54578
1535286600,30259,54592
1535288753,30231,54564
1535292009,31119,55478
1535292903,31119,55224
1535293800,31106,55212
1535301003,31105,55211
1535303292,31087,55193
1535303704,31087,55193
1535304625,31107,55201
1535307303,31108,55202
1535307661,31113,55207
1535308200,31123,55217
1535314505,31124,55218
1535316000,31141,55225
1535322051,31145,55229
1535323200,31147,55231
1535325594,31143,55227
1535326231,31147,55236
1535329255,31148,55237
1535330495,31097,55183
1535332576,31084,55166
1535336464,31087,55169
1535336821,31083,55170
1535337600,31105,55194
1535343659,31111,55200
1535345103,31165,55252
1535347221,31166,55253
1535347621,31112,55206
1535350855,31118,55212
1535352000,31114,55209
1535356820,31112,55207
1535358064,31115,55210
1535358635,31094,55195
1535359200,31092,55194
1535365247,31101,55203
1535366400,31112,55213
1535367737,31112,55213
1535369221,31164,55267
1535372104,31165,55268
1535372453,31169,55272
1535373903,31172,55275
1535375705,31149,55252
1535376493,31149,55252
1535378635,31147,55250
1535379304,31343,55443
1535379668,31348,55448
1535380237,31399,55502
1535380800,31393,55496
1535381464,31394,55752
1535386850,31396,55754
1535388000,31397,55755
1535389558,31397,55755
1535391398,31395,55752
1535394061,31400,55757
1535395437,31399,55756
1535396760,31400,55757
1535400441,31396,55753
1535401621,31433,55777
1535402400,31442,55790
1535406040,31443,55791
1535408455,31444,55792
1535409600,31441,55789
1535411356,31440,55788
1535412676,31480,55821
1535415654,31482,55823
1535416800,31500,55840
1535418905,31487,55827
1535422504,31489,55830
1535422854,31494,55835
1535423221,31447,55797
1535424000,31420,55770
1535430061,31429,55779
1535431506,31444,55794
1535433572,31444,55794
1535434203,31484,55834
1535434555,31485,55835
1535437275,31488,55838
1535438633,31482,55833
1535444105,31483,55834
1535444557,31483,55834
1535445044,31453,55799
1535445904,31449,55795
1535451661,31451,55797
1535452800,31447,55792
1535455508,31447,55792
1535455839,31423,55764
1535456169,31424,55765
1535458851,31428,55769
1535460000,31427,55768
1535462103,31407,55748
1535463041,31406,55747
1535465061,31411,55752
1535465703,31540,55870
1535466061,31543,55873
1535466421,31536,55866
1535467200,31529,55859
1535472046,31529,55349
1535473263,31534,55354
1535474560,31527,55347
1535476914,31525,55345
1535477221,31539,55356
1535477913,31538,55611
1535478659,31539,55612
1535480464,31543,55616
1535481029,31544,55361
1535481904,31556,55373
1535484071,31557,55374
1535487664,31558,55375
1535488220,31584,55390
1535488800,31577,55383
1535493376,31578,55384
1535494862,31579,55385
1535496000,31575,55381
1535498103,31575,55381
1535499028,31558,55366
1535502079,31559,55367
1535503200,31614,55423
1535505304,31601,55410
1535508622,31599,55408
1535509268,31603,55412
1535509803,31553,55371
1535510400,31521,55339
1535516463,31526,55344
1535517600,31546,55365
1535519703,31545,55364
1535520604,31478,55271
1535523867,31484,55277
1535525104,31502,55294
1535530503,31497,55289
1535530869,31501,55293
1535531221,31424,55226
1535532000,31415,55217
1535538059,31415,55217
1535539200,31412,55215
1535540620,31409,55212
1535541304,31410,55213
1535542237,31427,55234
1535545251,31430,55237
1535546400,31437,55244
1535548503,31414,55221
1535550654,31415,55222
1535551248,31661,55494
1535552461,31664,55497
1535553143,31734,55550
1535553600,31732,55548
1535555704,31731,55292
1535559653,31734,55295
1535560800,31726,55288
1535562129,31725,55287
1535563824,31759,55328
1535565164,31758,55072
1535566856,31762,55076
1535568000,31760,55074
1535573011,31759,55073
1535574064,31760,55074
1535574620,31774,55094
1535575200,31774,55094
1535581010,31775,55095
