DateTime,AddedIPs,RemovedIPs
1535796123,8,0
1535796724,10,0
1535797323,7,0
1535798523,21,0
1535799123,7,0
1535799722,1,0
1535800923,9,0
1535801523,3,0
1535802123,16,1
1535803323,36,0
1535803923,4,1
1535804522,21,0
1535805122,8,0
1535805722,14,0
1535806323,9,0
1535806923,8,0
1535807523,18,0
1535808122,34,0
1535808722,8,0
1535809322,35,0
1535810524,4,0
1535811123,13,0
1535811723,14,0
1535812325,26,0
1535812923,35,0
1535813523,40,0
1535814122,26,1
1535814723,10,1
1535815324,17,0
1535815922,18,0
1535816522,50,0
1535817122,6,0
1535817723,17,0
1535818323,18,0
1535818924,29,0
1535819523,26,0
1535820123,2,0
1535821323,20,0
1535821922,23,0
1535822523,26,0
1535823124,18,0
1535823722,30,0
1535824923,30,0
1535825523,26,0
1535826122,23,1
1535826723,38,0
1535827323,48,1
1535827923,2,0
1535828525,44,0
1535829123,25,0
1535829723,20,1
1535830923,21,0
1535831524,17,1
1535832123,16,0
1535832723,2,0
1535833322,30,0
1535833923,35,0
1535834523,18,0
1535835122,13,0
1535835723,33,0
1535836322,10,0
1535836923,38,0
1535837523,50,0
1535838122,61,0
1535838722,23,0
1535839322,15,0
1535840524,37,0
1535841123,21,0
1535841723,38,0
1535842922,12,0
1535843522,22,0
1535844122,9,0
1535844722,6,0
1535845322,20,0
1535845923,10,1
1535846523,8,0
1535847723,6,0
1535848324,25,0
1535848922,33,0
1535849523,28,0
1535850122,32,0
1535850723,28,0
1535851323,14,0
1535851922,1,0
1535852523,15,0
1535853122,2,0
1535853722,12,0
1535854923,14,0
1535856124,10,0
1535856722,1,0
1535857323,26,0
1535857924,35,1
1535858523,35,0
1535859123,59,0
1535859724,50,0
1535860323,36,0
1535860923,32,0
1535861523,34,0
1535862122,26,0
1535862723,1,0
1535863323,35,0
1535863922,1,0
1535864522,14,0
1535865124,15,0
1535865722,12,0
1535866323,20,0
1535866923,29,0
1535867524,36,0
1535868123,12,0
1535868723,15,0
1535869323,24,0
1535869923,8,1
1535870522,29,0
1535871123,13,0
1535871722,37,0
1535872322,43,0
1535872923,12,0
1535874123,6,0
1535875323,6,0
1535875922,30,0
1535876523,6,0
1535877123,22,0
1535877722,39,0
1535878322,14,0
1535878922,10,0
1535879524,42,1
1535880123,33,0
1535881322,14,0
1535881923,17,1
1535882523,15,0
1535883123,24,0
1535883724,10,0
1535884323,4,0
1535884922,5,0
1535886122,25,1
1535886722,2,0
1535887323,18,0
1535888523,11,1
1535889724,10,1
1535890322,8,0
1535890923,7,0
1535891522,7,0
1535892123,18,0
1535893322,13,0
1535894523,50,0
1535895124,49,0
1535895723,16,0
1535896924,41,0
1535897524,22,0
1535898123,38,0
1535898722,3,0
1535899323,36,0
1535900525,38,0
1535901123,20,0
1535901723,51,0
1535902924,22,0
1535903522,10,0
1535904123,15,0
1535904723,36,0
1535905322,22,0
1535905923,17,0
1535906523,11,0
1535907123,12,0
1535907723,66,0
1535908323,3,0
1535908922,51,1
1535909523,56,0
1535910122,5,0
1535910722,1,0
1535911323,48,0
1535911923,15,0
1535912523,25,0
1535913723,16,0
1535914322,18,0
1535914923,38,1
1535915523,19,0
1535916123,22,0
1535916722,35,0
1535917323,16,0
1535918523,31,0
1535919123,8,0
1535919723,36,0
1535920923,12,0
1535922123,20,0
1535923323,10,0
1535924522,9,0
1535925722,16,0
1535926323,15,0
1535926923,7,0
1535927522,1,0
1535928123,9,0
1535929324,41,1
1535930523,12,0
1535931124,16,0
1535931722,18,0
1535932322,11,0
1535932923,14,0
1535933524,12,0
1535934123,13,0
1535934723,10,0
1535935322,20,1
1535935923,38,0
1535936523,4,0
1535937123,10,0
1535937723,19,0
1535938323,11,0
1535938923,32,0
1535939524,48,1
1535940123,24,0
1535941322,31,0
1535941922,26,0
1535942522,43,0
1535943123,31,0
1535943722,52,0
1535944323,4,0
1535944923,34,0
1535945522,4,0
1535946122,54,0
1535946723,14,0
1535947323,19,0
1535947923,18,0
1535948523,20,0
1535949122,16,0
1535949723,21,0
1535950323,27,0
1535950922,27,0
1535951524,8,0
1535952123,17,1
1535952723,52,0
1535953322,12,0
1535953922,16,0
1535954523,14,0
1535955723,29,0
1535956322,32,0
1535956923,11,0
1535957523,9,0
1535958123,25,1
1535958723,15,0
1535959323,9,0
1535959923,28,0
1535960523,15,0
1535961122,23,0
1535961723,28,0
1535962324,17,0
1535962923,23,0
1535963523,32,0
1535964122,13,0
1535965322,14,0
1535965923,22,0
1535966523,33,0
1535967123,19,0
1535967723,18,0
1535968322,18,1
1535968922,58,0
1535969523,36,0
1535970123,18,0
1535970723,10,0
1535971322,11,0
1535971923,25,0
1535972523,8,0
1535973123,10,0
1535973723,16,0
1535974323,58,0
1535974923,8,0
1535975523,15,0
1535976123,7,0
1535976723,51,0
1535977323,17,0
1535977922,50,0
1535978523,14,0
1535979724,21,0
1535980323,13,0
1535980923,21,0
1535982123,4,0
1535982723,16,1
1535983323,17,0
1535983924,3,0
1535984523,11,0
1535985722,32,0
1535986923,31,0
1535987524,38,0
1535988123,29,0
1535988723,1,0
1535989324,18,0
1535989923,22,0
1535990523,27,0
1535991722,25,0
1535992923,6,0
1535994123,35,0
1535994723,19,0
1535995323,19,1
1535995923,5,0
1535996522,12,0
1535997723,16,0
1535998323,28,0
1535998923,16,0
1535999523,3,0
1536000122,9,0
1536000631,0,1
1536001324,11,0
1536001923,14,0
1536002523,23,0
1536003123,7,0
1536003723,28,0
1536004322,38,0
1536004923,33,0
1536005523,36,0
1536006123,35,0
1536006723,14,0
1536007323,30,0
1536008523,30,0
1536009123,24,0
1536009722,23,0
1536010322,8,0
1536010923,15,0
1536011523,5,0
1536012122,23,0
1536013323,47,0
1536013923,2,0
1536014523,20,0
1536015123,5,0
1536015722,40,0
1536016323,6,0
1536016922,8,0
1536017523,18,0
1536018123,10,0
1536018722,8,0
1536019925,12,0
1536020522,39,0
1536021123,27,0
1536021722,28,0
1536022922,44,0
1536023524,18,0
1536024123,18,0
1536024723,14,0
1536025322,17,0
1536026522,20,0
1536027123,8,0
1536027723,22,0
1536028324,18,0
1536028923,14,0
1536029523,11,0
1536030124,28,0
1536030723,26,0
1536031323,26,0
1536031923,38,0
1536032523,21,0
1536033723,19,0
1536034924,37,1
1536035523,26,0
1536036123,35,1
1536036725,37,0
1536037323,41,0
1536037923,31,0
1536038523,19,0
1536039123,69,0
1536039723,48,0
1536040322,2,0
1536040923,34,0
1536041523,31,0
1536042122,40,1
1536042722,9,0
1536043323,15,0
1536043922,10,1
1536044522,4,0
1536045723,24,0
1536046923,25,0
1536047522,6,0
1536048123,39,0
1536048722,6,0
1536049323,25,1
1536050524,22,1
1536051723,24,0
1536052323,7,0
1536052923,6,0
1536054123,15,0
1536055323,16,0
1536055923,15,0
1536056523,19,0
1536057123,23,0
1536057722,19,0
1536058922,7,0
1536059523,29,0
1536060122,3,0
1536061323,25,0
1536061923,22,0
1536062523,82,0
1536063123,28,0
1536063723,8,1
1536064323,20,0
1536064923,13,0
1536066123,22,0
1536067324,12,1
1536067924,25,0
1536068523,43,0
1536069122,2,0
1536069723,16,0
1536070323,19,0
1536070923,17,0
1536072723,17,0
1536073323,30,1
1536073923,15,0
1536074523,27,0
1536075724,9,1
1536076322,23,0
1536076923,20,0
1536077523,9,0
1536078123,63,0
1536078723,18,0
1536079322,41,0
1536080523,36,0
1536081723,45,0
1536082323,2,0
1536084123,23,0
1536084723,5,0
1536085324,30,0
1536085922,6,0
1536086522,19,0
1536087722,20,1
1536088324,43,0
1536088923,56,0
1536089522,28,1
1536090123,48,0
1536090723,34,0
1536091323,17,0
1536091923,27,0
1536092523,28,0
1536093123,35,0
1536093724,36,0
1536094324,31,0
1536094923,8,0
1536095522,8,0
1536096122,24,0
1536096723,22,0
1536097322,27,0
1536097923,14,0
1536098522,21,0
1536099123,16,0
1536099723,6,0
1536100923,26,0
1536101522,6,0
1536102123,34,0
1536102723,24,0
1536103323,16,0
1536104522,51,1
1536105123,22,0
1536105722,17,0
1536106323,47,0
1536106923,18,0
1536108123,38,0
1536108722,14,0
1536109323,25,0
1536109923,42,0
1536110523,15,0
1536111123,15,0
1536111722,21,0
1536112924,24,0
1536113523,20,0
1536114123,28,0
1536114723,8,0
1536115323,15,1
1536115923,8,0
1536116524,42,0
1536117122,14,0
1536117723,37,0
1536118323,32,0
1536118922,22,0
1536120123,36,0
1536121322,32,0
1536121923,34,0
1536122522,53,0
1536123123,25,0
1536123723,27,0
1536124323,39,0
1536124923,46,0
1536125523,8,0
1536126122,44,0
1536126723,43,0
1536127323,47,0
1536128523,26,0
1536129123,29,0
1536129723,26,0
1536130323,9,0
1536130922,27,0
1536131524,4,0
1536132123,42,0
1536133322,36,0
1536133923,37,0
1536134523,45,0
1536135123,9,0
1536135724,36,0
1536136322,2,0
1536136922,35,0
1536138123,36,1
1536139322,38,0
1536139922,2,0
1536140523,43,0
1536141723,43,0
1536142323,48,0
1536142923,51,0
