DateTime,AddedIPs,RemovedIPs
1535173236,25,38
1535175161,18,13
1535177064,24,18
1535178982,30,19
1535180905,16,20
1535182853,20,22
1535184751,46,21
1535186658,22,25
1535188593,50,27
1535190514,30,22
1535192429,35,1328
1535194340,46,34
1535196268,566,0
1535198181,30,49
1535200090,31,26
1535202033,37,26
1535203949,26,21
1535205877,16,14
1535207798,12,14
1535209720,20,21
1535211629,21,29
1535213592,31,12
1535215459,59,17
1535217401,34,27
1535219794,39,19
1535221690,31,16
1535223880,29,28
1535225772,27,23
1535227695,36,31
1535229624,26,28
1535231538,32,19
1535233466,17,20
1535235380,28,34
1535237296,17,30
1535239210,491,0
1535241132,17,35
1535243069,13,28
1535244971,20,21
1535246906,11,13
1535248829,26,15
1535250756,13,9
1535252660,26,17
1535254590,14,31
1535256504,12,13
1535258411,21,18
1535260334,20,22
1535262264,18,11
1535264209,38,17
1535266106,13,19
1535268011,24,20
1535270197,25,32
1535272347,19,30
1535274255,26,22
1535276187,22,20
1535278092,24,1447
1535280011,30,44
1535281930,638,0
1535283854,20,47
1535285789,22,36
1535287694,14,26
1535289609,36,29
1535291553,31,27
1535293462,21,17
1535295379,35,19
1535297286,25,12
1535299229,27,24
1535301137,27,22
1535303064,23,24
1535304968,32,27
1535307412,31,33
1535309317,27,16
1535311215,18,17
1535313167,110,23
1535316045,38,48
1535317945,18,43
1535319875,42,36
1535321784,21,37
1535323713,32,37
1535325615,587,0
1535327552,22,35
1535329454,14,29
1535331388,25,29
1535333292,13,26
1535335246,18,32
1535337151,17,12
1535339063,23,12
1535340984,24,15
1535342914,20,20
1535344818,20,19
1535346751,20,25
1535348659,19,23
1535350598,40,30
1535352496,26,17
1535354431,18,22
1535356355,17,19
1535358261,23,28
1535360182,25,39
1535362106,30,41
1535364040,31,1255
1535365951,42,19
1535367861,529,0
1535369788,46,25
1535371694,28,14
1535373617,41,23
1535375543,71,17
1535377463,35,16
1535379390,35,23
1535381297,34,25
1535383212,27,28
1535385150,24,17
1535387059,31,15
1535388986,34,34
1535390890,31,21
1535392837,32,27
1535394748,21,14
1535396663,24,17
1535398582,28,22
1535400771,20,29
1535402661,27,16
1535404594,30,28
1535406746,47,38
1535408654,23,18
1535410587,23,41
1535412755,474,0
1535414666,18,11
1535416583,20,23
1535418493,21,15
1535420425,17,17
1535422585,51,17
1535424504,20,23
1535426428,10,25
1535428334,17,15
1535430259,17,14
1535432175,23,30
1535434095,18,19
1535436030,21,26
1535437966,34,12
1535439856,20,14
1535441776,33,21
1535443696,22,22
1535445613,29,19
1535447536,20,23
1535449708,34,35
1535451609,45,1191
1535453538,52,44
1535455454,573,0
1535457381,45,30
1535459289,35,19
1535461230,50,28
1535463149,19,14
1535465068,37,16
1535466973,39,20
1535468922,35,25
1535470812,27,26
1535472789,22,21
1535474663,30,19
1535476837,42,31
1535478736,30,21
1535480665,22,20
1535482586,26,28
1535484526,25,19
1535486436,33,21
1535488353,34,23
1535490280,40,27
1535492191,35,32
1535494119,30,31
1535496035,35,41
1535497943,511,0
1535499869,22,24
1535501783,19,20
1535503710,21,22
1535505634,23,17
1535507536,38,17
1535509454,29,12
1535511386,25,27
1535513293,15,16
1535515231,30,19
1535517140,21,16
1535519076,21,25
1535520993,21,19
1535522919,44,23
1535524830,42,30
1535526752,47,16
1535528685,26,18
1535530613,34,22
1535532492,38,21
1535534410,32,29
1535536334,25,28
1535538251,40,1284
1535540178,79,61
1535542339,562,0
1535544508,55,25
1535546423,56,24
1535548596,34,23
1535550491,35,18
1535552431,40,24
1535554334,29,17
1535556268,43,11
1535558430,22,21
1535560595,56,22
1535562500,25,20
1535564424,55,25
1535566345,23,18
1535568261,34,14
1535570184,25,20
1535572099,22,22
1535574043,26,28
1535575939,42,19
1535577861,36,20
1535580056,47,34
1535582928,36,59
1535584823,466,0
1535586734,27,13
1535588659,23,20
1535590586,23,22
1535592738,23,15
1535594660,19,17
1535596587,21,19
1535598519,28,11
1535600420,22,18
1535602343,20,13
1535604275,20,13
1535606430,17,26
1535608339,23,18
1535610260,30,14
1535612183,26,21
1535614101,27,12
1535616023,27,28
1535617940,32,25
1535619869,22,16
1535621776,41,24
1535623708,33,1436
1535625615,34,52
1535627549,705,0
1535629459,38,24
1535631401,37,28
1535633292,33,19
1535635222,62,31
1535637394,42,26
1535639301,24,26
1535641240,47,30
1535643143,25,14
1535645344,41,29
1535647216,28,22
1535649139,30,25
1535651056,16,25
1535652982,31,35
1535654904,24,49
1535656820,32,29
1535658741,30,26
1535660655,24,33
1535662585,31,42
1535664495,22,28
1535666442,22,25
1535668349,13,39
1535670264,624,0
1535672179,23,31
1535674108,25,24
1535676012,27,23
1535677943,13,26
1535679866,22,14
1535681788,27,27
1535683709,12,30
1535685632,10,17
1535687549,12,18
1535689458,13,27
1535691372,21,25
1535693543,25,20
1535695471,14,33
1535697375,41,41
1535699309,30,37
1535701214,28,28
1535703134,25,29
1535705058,22,33
1535707012,28,36
1535709141,37,28
1535711059,27,1512
1535712983,48,44
1535715144,745,0
1535717075,55,33
1535718985,49,25
1535720899,38,17
1535722822,38,24
1535724741,31,27
1535726669,34,19
1535728582,25,21
1535730743,38,20
1535732655,52,25
1535734584,29,17
1535736494,41,24
1535738436,18,23
1535740340,44,21
1535742267,18,26
1535744193,25,24
1535746099,17,27
1535748013,29,30
1535749941,33,21
1535751866,33,38
1535753790,33,34
1535755698,37,33
1535757624,533,0
1535759536,19,22
1535761465,23,24
1535763371,24,19
1535765292,18,19
1535767234,50,25
1535769144,24,19
1535771063,21,17
1535772992,20,25
1535774911,12,16
1535776816,29,26
1535778751,21,18
1535780667,19,16
1535782586,25,25
1535784498,15,16
1535786426,23,30
1535788352,30,23
1535790258,26,27
1535792184,24,22
1535794091,14,29
1535796030,33,1306
1535797939,25,38
1535799864,548,0
1535801784,60,23
1535803710,26,28
1535805614,26,33
1535807548,17,14
1535809458,36,28
1535811384,43,17
1535813296,17,15
1535815218,32,18
1535817154,18,15
1535819054,26,9
1535820973,39,18
1535822887,38,27
1535824828,24,21
1535826995,30,26
1535828899,21,31
1535830812,29,26
1535832755,18,25
1535834658,17,19
1535836586,25,30
1535838500,17,28
1535840413,22,35
1535842340,21,31
1535844267,487,0
1535846188,28,21
1535848096,16,28
1535850073,17,17
1535851954,14,20
1535853872,21,18
1535855792,19,16
1535857709,15,13
1535859641,47,15
1535861581,11,8
1535863457,19,14
1535865387,15,22
1535867306,12,19
1535869235,30,24
1535871161,19,24
1535873057,13,25
1535874971,11,30
1535876909,11,15
1535878851,21,31
1535880750,13,23
1535882665,24,1539
1535884825,76,30
1535886741,632,0
1535888667,40,20
1535890602,47,33
1535892497,21,20
1535894425,37,23
1535896337,23,22
1535898266,21,24
1535900171,38,28
1535902349,29,18
1535904269,15,17
1535906434,24,22
1535908353,21,23
1535910271,18,23
1535912197,40,20
1535914097,29,17
1535916032,25,20
1535917950,31,31
1535919868,11,30
1535921778,25,25
1535923702,20,18
1535925650,48,35
1535927555,22,20
1535929475,489,0
1535931390,20,22
1535933318,16,22
1535935227,18,25
1535937150,16,21
1535939057,15,16
1535941233,15,25
1535943153,19,19
1535945068,15,14
1535946987,33,15
1535948908,19,16
1535950839,18,25
1535952743,15,19
1535954665,18,21
1535956592,35,20
1535958512,25,22
1535960413,24,24
1535962339,23,29
1535964261,19,23
1535966184,30,16
1535968095,20,28
1535970017,29,1151
1535971940,35,53
1535973869,539,1
1535975790,46,29
1535977694,18,20
1535979631,19,19
1535981537,31,18
1535983467,18,27
1535985372,35,22
1535987307,33,18
1535989225,22,24
1535991191,23,12
1535993062,20,19
1535994988,21,19
1535996896,29,16
1535998831,19,23
1536000744,9,21
1536002668,20,16
1536004587,26,15
1536006508,16,14
1536008453,33,21
1536010354,21,12
1536012278,12,30
1536014415,70,60
1536016596,491,0
1536018743,52,28
1536020678,48,15
1536022585,41,21
1536024514,28,15
1536026437,18,28
1536028363,26,15
1536030280,14,19
1536032203,17,21
1536034098,18,12
1536036032,22,21
1536037952,20,14
1536039876,19,15
1536041784,26,23
1536043959,32,21
1536045873,39,13
1536047776,44,15
1536049702,23,12
1536051645,29,18
1536053544,44,12
1536055733,50,1234
1536057626,51,36
1536059545,509,0
1536061456,37,21
1536063405,40,20
1536065298,40,17
1536067226,33,16
1536069152,22,10
1536071061,43,15
1536073001,51,25
1536074898,21,15
1536076839,27,24
1536078740,27,18
1536080677,18,18
1536082579,18,17
1536084503,29,15
1536086416,28,28
1536088352,31,19
1536090505,35,26
1536092433,23,23
1536094367,17,20
1536096257,29,32
1536098174,25,26
1536100102,36,24
1536102043,458,1
1536103942,16,22
1536105882,20,10
1536107781,35,20
1536109719,15,13
1536111628,20,16
1536113544,24,9
1536115470,21,21
1536117390,18,16
1536119308,22,20
1536121221,13,19
1536123150,17,16
1536125074,24,15
1536126988,16,18
1536129235,26,22
1536131069,22,23
1536132979,38,21
1536134910,30,23
1536136841,38,15
1536138737,29,30
1536140657,29,25
1536142600,24,1355
