DateTime,Entries,UniqueIPs
1535173236,2866,2866
1535175161,2871,2871
1535177064,2877,2877
1535178982,2888,2888
1535180905,2884,2884
1535182853,2882,2882
1535184751,2907,2907
1535186658,2904,2904
1535188593,2927,2927
1535190514,2935,2935
1535192429,1642,1642
1535194340,1654,1654
1535196268,2220,2220
1535198181,2201,2201
1535200090,2206,2206
1535202033,2217,2217
1535203949,2222,2222
1535205877,2224,2224
1535207798,2222,2222
1535209720,2221,2221
1535211629,2213,2213
1535213592,2232,2232
1535215459,2274,2274
1535217401,2281,2281
1535219794,2301,2301
1535221690,2316,2316
1535223880,2317,2317
1535225772,2321,2321
1535227695,2326,2326
1535229624,2324,2324
1535231538,2337,2337
1535233466,2334,2334
1535235380,2328,2328
1535237296,2315,2315
1535239210,2806,2806
1535241132,2788,2788
1535243069,2773,2773
1535244971,2772,2772
1535246906,2770,2770
1535248829,2781,2781
1535250756,2785,2785
1535252660,2794,2794
1535254590,2777,2777
1535256504,2776,2776
1535258411,2779,2779
1535260334,2777,2777
1535262264,2784,2784
1535264209,2805,2805
1535266106,2799,2799
1535268011,2803,2803
1535270197,2796,2796
1535272347,2785,2785
1535274255,2789,2789
1535276187,2791,2791
1535278092,1368,1368
1535280011,1354,1354
1535281930,1992,1992
1535283854,1965,1965
1535285789,1951,1951
1535287694,1939,1939
1535289609,1946,1946
1535291553,1950,1950
1535293462,1954,1954
1535295379,1970,1970
1535297286,1983,1983
1535299229,1986,1986
1535301137,1991,1991
1535303064,1990,1990
1535304968,1995,1995
1535307412,1993,1993
1535309317,2004,2004
1535311215,2005,2005
1535313167,2092,2092
1535316045,2082,2082
1535317945,2057,2057
1535319875,2063,2063
1535321784,2047,2047
1535323713,2042,2042
1535325615,2629,2629
1535327552,2616,2616
1535329454,2601,2601
1535331388,2597,2597
1535333292,2584,2584
1535335246,2570,2570
1535337151,2575,2575
1535339063,2586,2586
1535340984,2595,2595
1535342914,2595,2595
1535344818,2596,2596
1535346751,2591,2591
1535348659,2587,2587
1535350598,2597,2597
1535352496,2606,2606
1535354431,2602,2602
1535356355,2600,2600
1535358261,2595,2595
1535360182,2581,2581
1535362106,2570,2570
1535364040,1346,1346
1535365951,1369,1369
1535367861,1898,1898
1535369788,1919,1919
1535371694,1933,1933
1535373617,1951,1951
1535375543,2005,2005
1535377463,2024,2024
1535379390,2036,2036
1535381297,2045,2045
1535383212,2044,2044
1535385150,2051,2051
1535387059,2067,2067
1535388986,2067,2067
1535390890,2077,2077
1535392837,2082,2082
1535394748,2089,2089
1535396663,2096,2096
1535398582,2102,2102
1535400771,2093,2093
1535402661,2104,2104
1535404594,2106,2106
1535406746,2115,2115
1535408654,2120,2120
1535410587,2102,2102
1535412755,2576,2576
1535414666,2583,2583
1535416583,2580,2580
1535418493,2586,2586
1535420425,2586,2586
1535422585,2620,2620
1535424504,2617,2617
1535426428,2602,2602
1535428334,2604,2604
1535430259,2607,2607
1535432175,2600,2600
1535434095,2599,2599
1535436030,2594,2594
1535437966,2616,2616
1535439856,2622,2622
1535441776,2634,2634
1535443696,2634,2634
1535445613,2644,2644
1535447536,2641,2641
1535449708,2640,2640
1535451609,1494,1494
1535453538,1502,1502
1535455454,2075,2075
1535457381,2090,2090
1535459289,2106,2106
1535461230,2128,2128
1535463149,2133,2133
1535465068,2154,2154
1535466973,2173,2173
1535468922,2183,2183
1535470812,2184,2184
1535472789,2185,2185
1535474663,2196,2196
1535476837,2207,2207
1535478736,2216,2216
1535480665,2218,2218
1535482586,2216,2216
1535484526,2222,2222
1535486436,2234,2234
1535488353,2245,2245
1535490280,2258,2258
1535492191,2261,2261
1535494119,2260,2260
1535496035,2254,2254
1535497943,2765,2765
1535499869,2763,2763
1535501783,2762,2762
1535503710,2761,2761
1535505634,2767,2767
1535507536,2788,2788
1535509454,2805,2805
1535511386,2803,2803
1535513293,2802,2802
1535515231,2813,2813
1535517140,2818,2818
1535519076,2814,2814
1535520993,2816,2816
1535522919,2837,2837
1535524830,2849,2849
1535526752,2880,2880
1535528685,2888,2888
1535530613,2900,2900
1535532492,2917,2917
1535534410,2920,2920
1535536334,2917,2917
1535538251,1673,1673
1535540178,1691,1691
1535542339,2253,2253
1535544508,2283,2283
1535546423,2315,2315
1535548596,2326,2326
1535550491,2343,2343
1535552431,2359,2359
1535554334,2371,2371
1535556268,2403,2403
1535558430,2404,2404
1535560595,2438,2438
1535562500,2443,2443
1535564424,2473,2473
1535566345,2478,2478
1535568261,2498,2498
1535570184,2503,2503
1535572099,2503,2503
1535574043,2501,2501
1535575939,2524,2524
1535577861,2540,2540
1535580056,2553,2553
1535582928,2530,2530
1535584823,2996,2996
1535586734,3010,3010
1535588659,3013,3013
1535590586,3014,3014
1535592738,3022,3022
1535594660,3024,3024
1535596587,3026,3026
1535598519,3043,3043
1535600420,3047,3047
1535602343,3054,3054
1535604275,3061,3061
1535606430,3052,3052
1535608339,3057,3057
1535610260,3073,3073
1535612183,3078,3078
1535614101,3093,3093
1535616023,3092,3092
1535617940,3099,3099
1535619869,3105,3105
1535621776,3122,3122
1535623708,1719,1719
1535625615,1701,1701
1535627549,2406,2406
1535629459,2420,2420
1535631401,2429,2429
1535633292,2443,2443
1535635222,2474,2474
1535637394,2490,2490
1535639301,2488,2488
1535641240,2505,2505
1535643143,2516,2516
1535645344,2528,2528
1535647216,2534,2534
1535649139,2539,2539
1535651056,2530,2530
1535652982,2526,2526
1535654904,2501,2501
1535656820,2504,2504
1535658741,2508,2508
1535660655,2499,2499
1535662585,2488,2488
1535664495,2482,2482
1535666442,2479,2479
1535668349,2453,2453
1535670264,3077,3077
1535672179,3069,3069
1535674108,3070,3070
1535676012,3074,3074
1535677943,3061,3061
1535679866,3069,3069
1535681788,3069,3069
1535683709,3051,3051
1535685632,3044,3044
1535687549,3038,3038
1535689458,3024,3024
1535691372,3020,3020
1535693543,3025,3025
1535695471,3006,3006
1535697375,3006,3006
1535699309,2999,2999
1535701214,2999,2999
1535703134,2995,2995
1535705058,2984,2984
1535707012,2976,2976
1535709141,2985,2985
1535711059,1500,1500
1535712983,1504,1504
1535715144,2249,2249
1535717075,2271,2271
1535718985,2295,2295
1535720899,2316,2316
1535722822,2330,2330
1535724741,2334,2334
1535726669,2349,2349
1535728582,2353,2353
1535730743,2371,2371
1535732655,2398,2398
1535734584,2410,2410
1535736494,2427,2427
1535738436,2422,2422
1535740340,2445,2445
1535742267,2437,2437
1535744193,2438,2438
1535746099,2428,2428
1535748013,2427,2427
1535749941,2439,2439
1535751866,2434,2434
1535753790,2433,2433
1535755698,2437,2437
1535757624,2970,2970
1535759536,2967,2967
1535761465,2966,2966
1535763371,2971,2971
1535765292,2970,2970
1535767234,2995,2995
1535769144,3000,3000
1535771063,3004,3004
1535772992,2999,2999
1535774911,2995,2995
1535776816,2998,2998
1535778751,3001,3001
1535780667,3004,3004
1535782586,3004,3004
1535784498,3003,3003
1535786426,2996,2996
1535788352,3003,3003
1535790258,3002,3002
1535792184,3004,3004
1535794091,2989,2989
1535796030,1716,1716
1535797939,1703,1703
1535799864,2251,2251
1535801784,2288,2288
1535803710,2286,2286
1535805614,2279,2279
1535807548,2282,2282
1535809458,2290,2290
1535811384,2316,2316
1535813296,2318,2318
1535815218,2332,2332
1535817154,2335,2335
1535819054,2352,2352
1535820973,2373,2373
1535822887,2384,2384
1535824828,2387,2387
1535826995,2391,2391
1535828899,2381,2381
1535830812,2384,2384
1535832755,2377,2377
1535834658,2375,2375
1535836586,2370,2370
1535838500,2359,2359
1535840413,2346,2346
1535842340,2336,2336
1535844267,2823,2823
1535846188,2830,2830
1535848096,2818,2818
1535850073,2818,2818
1535851954,2812,2812
1535853872,2815,2815
1535855792,2818,2818
1535857709,2820,2820
1535859641,2852,2852
1535861581,2855,2855
1535863457,2860,2860
1535865387,2853,2853
1535867306,2846,2846
1535869235,2852,2852
1535871161,2847,2847
1535873057,2835,2835
1535874971,2816,2816
1535876909,2812,2812
1535878851,2802,2802
1535880750,2792,2792
1535882665,1277,1277
1535884825,1323,1323
1535886741,1955,1955
1535888667,1975,1975
1535890602,1989,1989
1535892497,1990,1990
1535894425,2004,2004
1535896337,2005,2005
1535898266,2002,2002
1535900171,2012,2012
1535902349,2023,2023
1535904269,2021,2021
1535906434,2023,2023
1535908353,2021,2021
1535910271,2016,2016
1535912197,2036,2036
1535914097,2048,2048
1535916032,2053,2053
1535917950,2053,2053
1535919868,2034,2034
1535921778,2034,2034
1535923702,2036,2036
1535925650,2049,2049
1535927555,2051,2051
1535929475,2540,2540
1535931390,2538,2538
1535933318,2532,2532
1535935227,2525,2525
1535937150,2520,2520
1535939057,2519,2519
1535941233,2509,2509
1535943153,2509,2509
1535945068,2510,2510
1535946987,2528,2528
1535948908,2531,2531
1535950839,2524,2524
1535952743,2520,2520
1535954665,2517,2517
1535956592,2532,2532
1535958512,2535,2535
1535960413,2535,2535
1535962339,2529,2529
1535964261,2525,2525
1535966184,2539,2539
1535968095,2531,2531
1535970017,1409,1409
1535971940,1391,1391
1535973869,1929,1929
1535975790,1946,1946
1535977694,1944,1944
1535979631,1944,1944
1535981537,1957,1957
1535983467,1948,1948
1535985372,1961,1961
1535987307,1976,1976
1535989225,1974,1974
1535991191,1985,1985
1535993062,1986,1986
1535994988,1988,1988
1535996896,2001,2001
1535998831,1997,1997
1536000744,1985,1985
1536002668,1989,1989
1536004587,2000,2000
1536006508,2002,2002
1536008453,2014,2014
1536010354,2023,2023
1536012278,2005,2005
1536014415,2015,2015
1536016596,2506,2506
1536018743,2530,2530
1536020678,2563,2563
1536022585,2583,2583
1536024514,2596,2596
1536026437,2586,2586
1536028363,2597,2597
1536030280,2592,2592
1536032203,2588,2588
1536034098,2594,2594
1536036032,2595,2595
1536037952,2601,2601
1536039876,2605,2605
1536041784,2608,2608
1536043959,2619,2619
1536045873,2645,2645
1536047776,2674,2674
1536049702,2685,2685
1536051645,2696,2696
1536053544,2728,2728
1536055733,1544,1544
1536057626,1559,1559
1536059545,2068,2068
1536061456,2084,2084
1536063405,2104,2104
1536065298,2127,2127
1536067226,2144,2144
1536069152,2156,2156
1536071061,2184,2184
1536073001,2210,2210
1536074898,2216,2216
1536076839,2219,2219
1536078740,2228,2228
1536080677,2228,2228
1536082579,2229,2229
1536084503,2243,2243
1536086416,2243,2243
1536088352,2255,2255
1536090505,2264,2264
1536092433,2264,2264
1536094367,2261,2261
1536096257,2258,2258
1536098174,2257,2257
1536100102,2269,2269
1536102043,2726,2726
1536103942,2720,2720
1536105882,2730,2730
1536107781,2745,2745
1536109719,2747,2747
1536111628,2751,2751
1536113544,2766,2766
1536115470,2766,2766
1536117390,2768,2768
1536119308,2770,2770
1536121221,2764,2764
1536123150,2765,2765
1536125074,2774,2774
1536126988,2772,2772
1536129235,2776,2776
1536131069,2775,2775
1536132979,2792,2792
1536134910,2799,2799
1536136841,2822,2822
1536138737,2821,2821
1536140657,2825,2825
1536142600,1494,1494
