DateTime,Entries,UniqueIPs
1528941614,3034,3034
1528956013,2993,2993
1528970414,3003,3003
1528984818,3040,3040
1528999217,3152,3152
1529013615,3233,3233
1529028016,3224,3224
1529042417,3195,3195
1529056815,3214,3214
1529071215,3370,3370
1529085616,3662,3662
1529100021,3758,3758
1529114416,3736,3736
1529128816,3414,3414
1529143216,3419,3419
1529157615,3439,3439
1529172016,3427,3427
1529186415,3393,3393
1529200815,3324,3324
1529215216,3223,3223
1529229612,2899,2899
1529244014,2935,2935
1529258413,2923,2923
1529272815,2922,2922
1529287214,3018,3018
1529301616,2997,2997
1529316014,3002,3002
1529330415,3027,3027
1529344815,3076,3076
1529359214,3106,3106
1529373615,3120,3120
1529388015,3239,3239
1529402414,3280,3280
1529416815,3286,3286
1529431215,3313,3313
1529445614,3354,3354
1529460014,3309,3309
1529474413,2959,2959
1529488814,2993,2993
1529503218,3093,3093
1529517614,3095,3095
1529532014,3122,3122
1529546414,3058,3058
1529560814,3043,3043
1529575214,3092,3092
1529589615,3130,3130
1529604016,3187,3187
1529618414,3259,3259
1529632815,3472,3472
1529647215,3558,3558
1529661614,3485,3485
1529676015,3562,3562
1529690416,3644,3644
1529704815,3720,3720
1529719215,3684,3684
1529733617,3590,3590
1529748015,3574,3574
1529762415,3484,3484
1529776815,3460,3460
1529791215,3444,3444
1529805614,3374,3374
1529820018,3315,3315
1529834419,3247,3247
1529848814,3247,3247
1529863214,3251,3251
1529877614,3272,3272
1529892015,3273,3273
1529906417,3349,3349
1529920815,3422,3422
1529935216,3519,3519
1529949615,3601,3601
1529964014,3658,3658
1529978415,3670,3670
1529992816,3703,3703
1530007215,3793,3793
1530021615,3829,3829
1530036015,3833,3833
1530050414,3856,3856
1530064815,3690,3690
1530079216,3644,3644
1530093616,3653,3653
1530108018,3743,3743
1530122417,3786,3786
1530136815,3774,3774
1530151217,3710,3710
1530165615,3351,3351
1530180015,3650,3650
1530194416,3731,3731
1530208816,3716,3716
1530223216,3743,3743
1530237616,3640,3640
1530252015,3545,3545
1530266415,3451,3451
1530280819,3408,3408
1530295214,3426,3426
1530309616,3450,3450
1530324015,3454,3454
1530338419,3336,3336
1530352814,3272,3272
1530367215,3319,3319
1530381617,3330,3330
1530396016,3353,3353
1530410415,3306,3306
1530424811,3175,3175
1530439209,3237,3237
1530453609,3173,3173
1530468011,3104,3104
1530482412,3041,3041
1530496811,2982,2982
1530511213,3001,3001
1530525614,3018,3018
1530540014,3072,3072
1530554413,3141,3141
1530568814,3248,3248
1530583217,3359,3359
1530597619,3341,3341
1530612017,3520,3520
1530626418,3678,3678
1530640823,3829,3829
1530655218,3920,3920
1530669618,3864,3864
1530684018,3834,3834
1530698419,3905,3905
1530712817,3945,3945
1530727220,3491,3491
1530741620,3532,3532
1530756017,3146,3146
1530770419,3334,3334
1530784816,3650,3650
1530799216,3603,3603
1530813623,3610,3610
1530828016,3623,3623
1530842417,3506,3506
1530856818,3410,3410
1530871216,3359,3359
1530885615,3379,3379
1530900023,3525,3525
1530914416,3591,3591
1530928817,3577,3577
1530943219,3582,3582
1530957617,3614,3614
1530972017,3671,3671
1530986419,3684,3684
1531000820,3741,3741
1531015218,3691,3691
1531029622,3651,3651
1531044017,3586,3586
1531058416,3492,3492
1531072817,3451,3451
1531087216,3452,3452
1531101618,3358,3358
1531116017,3309,3309
1531130416,3358,3358
1531144816,3416,3416
1531159219,3463,3463
1531173616,3478,3478
1531188015,3432,3432
1531202416,3491,3491
1531216815,3532,3532
1531231216,3640,3640
1531245617,3739,3739
1531260017,3812,3812
1531274419,3850,3850
1531288820,3793,3793
1531303218,3833,3833
1531317619,3817,3817
1531332018,3854,3854
1531346418,3914,3914
1531360818,3840,3840
1531375220,3820,3820
1531389617,3789,3789
1531404017,3816,3816
1531418418,3784,3784
1531432816,3756,3756
1531447216,3666,3666
1531461623,3576,3576
1531476016,3540,3540
1531490424,3526,3526
1531504815,3505,3505
1531519217,3494,3494
1531533616,3392,3392
1531548015,3312,3312
1531562414,3241,3241
1531576815,3199,3199
1531591215,3192,3192
1531605614,3178,3178
1531620015,3093,3093
1531634418,3036,3036
1531648814,2975,2975
1531663217,3013,3013
1531677615,3098,3098
1531692015,3142,3142
1531706415,3132,3132
1531720818,3189,3189
1531735216,3325,3325
1531749616,3404,3404
1531764017,3467,3467
1531778424,3554,3554
1531792821,3581,3581
1531807218,3645,3645
1531821617,3670,3670
1531836017,3747,3747
1531850419,3795,3795
1531864816,3783,3783
1531879217,3707,3707
1531893620,3667,3667
1531908017,3653,3653
1531922416,3681,3681
1531936816,3503,3503
1531951215,3313,3313
1531965615,3262,3262
1531980017,3225,3225
1531994414,3181,3181
1532008815,3167,3167
1532023216,3216,3216
1532037615,3205,3205
1532052014,3123,3123
1532066415,3082,3082
1532080814,3073,3073
1532095213,2790,2790
1532109613,2701,2701
1532124013,2745,2745
1532138413,2712,2712
1532152814,2667,2667
1532167213,2699,2699
1532181614,2453,2453
1532196012,2094,2094
1532210412,2098,2098
1532224812,1827,1827
1532239221,1750,1750
1532253611,1881,1881
1532268013,1876,1876
1532282411,1605,1605
1532296811,1636,1636
1532311212,1597,1597
1532325613,1608,1608
1532340011,1789,1789
1532354415,2176,2176
1532368813,2368,2368
1532383215,2689,2689
1532397615,2826,2826
1532412016,2932,2932
1532426416,3235,3235
1532440818,3592,3592
1532455219,3644,3644
1532469618,3888,3888
1532484018,3868,3868
1532498417,3854,3854
1532512818,3893,3893
1532527219,3919,3919
1532541618,3892,3892
1532556018,3956,3956
1532570417,3854,3854
1532584818,3782,3782
1532599218,3845,3845
1532613616,3358,3358
1532628016,3244,3244
1532642416,3331,3331
1532656816,3288,3288
1532671217,3248,3248
1532685616,3235,3235
1532700015,3270,3270
1532714417,3258,3258
