DateTime,AddedIPs,RemovedIPs
1532866833,20,138
1532875233,24,138
1532881833,17,58
1532888434,34,0
1532895634,19,47
1532902836,40,38
1532910033,18,85
1532917833,164,195
1532924453,101,33
1532932234,45,0
1532939454,29,18
1532946649,31,36
1532953838,70,41
1532961061,111,0
1532967633,104,23
1532976035,147,68
1532982634,61,50
1532989233,36,43
1532997034,18,141
1533004235,17,0
1533011433,10,74
1533018033,38,80
1533026434,26,63
1533034833,32,80
1533042034,33,102
1533049832,137,119
1533057633,65,40
1533065435,45,13
1533072037,52,26
1533079232,34,32
1533087033,101,16
1533094832,101,79
1533103234,101,58
1533111034,33,0
1533120033,26,54
1533127832,22,74
1533135633,10,232
1533142233,12,0
1533150034,24,103
1533156632,39,0
1533164432,28,213
1533171632,46,0
1533179433,142,70
1533187832,57,78
1533195034,52,25
1533202834,33,46
1533209433,62,24
1533216632,93,36
1533223232,87,0
1533230432,89,108
1533239432,37,55
1533247833,34,40
1533256832,28,256
1533264632,4,0
1533273632,20,68
1533282031,24,134
1533291032,26,96
1533298831,36,120
1533306632,132,111
1533313832,67,67
1533320431,44,38
1533327632,30,0
1533334834,45,52
1533342031,67,29
1533349233,113,32
1533355831,76,54
1533364232,34,76
1533370231,36,107
1533377431,28,0
1533382233,19,89
1533388831,13,191
1533396632,15,0
1533402057,9,96
1533408031,37,46
1533414632,44,99
1533420032,36,115
1533425434,111,0
1533431432,202,127
1533439831,139,145
1533446431,53,30
1533453631,38,21
1533461432,47,14
1533468032,74,21
1533475232,125,16
1533482432,143,19
1533489031,54,13
1533496232,39,74
1533501633,34,29
1533508846,26,42
1533515432,14,96
1533520833,13,57
1533526232,9,0
1533531632,35,76
1533538232,26,0
1533544832,32,50
1533550831,11,73
1533558032,73,86
1533565231,148,87
1533572433,60,25
1533579032,50,20
1533586233,34,16
1533593432,76,19
1533600632,112,13
1533607832,111,9
1533615632,74,49
1533622236,35,22
1533630032,37,106
1533637232,24,0
1533644432,15,226
1533651631,8,55
1533658232,17,37
1533665432,43,0
1533672632,26,106
1533679232,52,0
1533684631,49,108
1533690632,136,58
1533699031,68,52
1533705037,33,12
1533713432,48,27
1533720052,51,25
1533727232,150,21
1533734431,73,37
1533741631,57,43
1533749432,32,96
1533756632,40,0
1533763832,19,67
1533770432,10,47
1533778232,17,96
1533784832,27,37
1533792031,33,29
1533799232,33,61
1533805832,39,75
1533813033,148,99
1533819031,55,87
1533826231,35,77
1533833431,24,22
1533840631,36,40
1533847235,94,18
1533854432,83,9
1533862231,86,79
1533870033,47,0
1533876631,26,50
1533883832,31,55
1533891631,9,218
1533898232,20,0
1533905430,16,45
1533912632,25,39
1533920447,46,112
1533927042,43,86
1533935450,104,90
1533940831,59,83
1533948633,45,0
1533955231,23,24
1533962431,36,17
1533970231,64,46
1533977435,63,0
1533984031,70,34
1533990634,47,48
1533998431,23,150
1534004431,26,0
1534011031,29,82
1534018231,14,190
1534025432,16,53
1534032630,26,36
1534039832,52,49
1534045231,21,74
1534050631,35,119
1534056631,126,0
1534062632,165,112
1534068032,48,64
1534073453,47,27
1534079432,21,24
1534084831,35,0
1534092032,91,27
1534100432,212,24
1534107033,106,21
1534113632,64,22
1534120832,33,40
1534129832,36,19
1534135832,7,50
1534142437,15,60
1534149034,18,62
1534154432,26,39
1534160432,47,47
1534167633,32,51
1534174832,53,102
1534183832,107,95
1534190432,61,47
1534197033,38,36
1534203631,30,18
1534208432,24,35
1534215032,69,0
1534222231,134,10
1534229433,71,40
1534234831,73,21
1534240832,29,0
1534246235,15,80
1534252252,26,0
1534259433,12,69
1534268476,12,224
1534276231,16,79
1534283443,29,0
1534290651,22,39
1534298450,35,160
1534305632,128,83
1534311631,58,49
1534319432,64,24
1534326631,29,7
1534333232,37,11
1534337432,110,48
1534351833,141,35
1534359632,52,57
1534366232,26,89
1534373433,28,56
1534380631,17,68
1534387831,21,0
1534394431,19,167
1534401632,19,39
1534405831,24,48
1534412434,51,0
1534417832,36,72
1534422631,41,55
1534428632,140,0
1534437632,69,194
1534446032,43,81
1534452635,21,57
1534459832,72,12
1534466446,61,0
1534473631,90,20
1534479633,50,25
1534486231,55,26
1534491632,12,17
1534497631,25,31
1534504233,19,61
1534509032,14,145
1534514432,10,0
1534521632,29,87
1534528238,81,76
1534534865,67,72
1534542633,45,103
1534549231,100,94
1534556432,77,63
1534563633,36,25
1534570832,19,9
1534578032,42,15
1534585231,71,16
1534592452,91,20
1534599654,85,15
1534606831,39,37
1534614032,25,49
1534621232,22,68
1534627832,7,75
1534633232,10,163
1534638631,17,35
1534644631,16,29
1534650032,30,25
1534657231,37,0
1534663832,36,70
1534669232,71,97
1534675832,121,101
1534683032,62,52
1534690232,18,12
1534695632,28,17
1534702252,48,36
1534708247,114,10
1534714832,62,12
1534722032,69,10
1534729232,27,22
1534737032,28,52
1534743632,37,113
1534750231,8,0
1534756232,11,66
1534763432,17,150
1534769432,23,33
1534775432,59,42
1534782032,37,0
1534789231,25,78
1534795844,141,130
1534802432,61,73
1534807832,30,11
1534813831,22,0
1534821632,40,44
1534828833,85,0
1534835431,86,16
1534843232,77,59
1534849833,46,31
1534857032,25,56
1534861832,15,70
1534867924,10,49
1534872632,9,0
1534879233,7,109
1534885832,20,39
1534892432,28,30
1534897833,26,41
1534903231,22,91
1534908632,20,0
1534913432,60,190
1534918832,102,0
1534924232,58,48
1534930232,34,28
1534934432,35,23
1534940432,27,0
1534945833,55,23
1534951233,84,26
1534956632,97,30
1534965038,90,63
1534972834,65,42
1534979452,30,13
1534987312,21,41
1534994433,10,25
1535001632,21,56
1535007633,20,91
1535013033,27,20
1535019033,25,6
1535026832,37,61
1535033433,32,44
1535041232,87,38
1535049632,41,100
1535055632,30,35
1535062832,30,15
1535068232,23,25
1535075435,38,21
1535083232,37,21
1535089231,59,26
1535097031,42,38
1535103632,26,33
1535109032,28,84
1535113231,10,0
1535118632,14,70
1535124632,12,155
1535129432,22,85
1535136033,16,0
1535142632,53,98
1535148089,29,49
1535153438,12,0
1535158832,79,131
1535164831,84,138
1535171432,37,0
1535176231,27,70
1535181632,35,0
1535187031,31,15
1535193033,21,17
1535198432,84,13
1535204433,45,13
1535211034,87,33
1535216432,70,56
1535221833,107,53
1535227843,25,0
1535235032,28,27
1535242231,0,158
