DateTime,Entries,UniqueIPs
1532866833,4101,4134
1532875233,3988,4020
1532881833,3947,3979
1532888434,3981,4013
1532895634,3953,3985
1532902836,3954,3987
1532910033,3887,3920
1532917833,3858,3889
1532924453,3923,3957
1532932234,3967,4002
1532939454,3978,4013
1532946649,3973,4008
1532953838,4004,4037
1532961061,4113,4148
1532967633,4193,4229
1532976035,4276,4308
1532982634,4287,4319
1532989233,4282,4312
1532997034,4162,4189
1533004235,4179,4206
1533011433,4115,4142
1533018033,4073,4100
1533026434,4035,4063
1533034833,3986,4015
1533042034,3919,3946
1533049832,3933,3964
1533057633,3958,3989
1533065435,3990,4021
1533072037,4016,4047
1533079232,4018,4049
1533087033,4102,4134
1533094832,4124,4156
1533103234,4166,4199
1533111034,4198,4232
1533120033,4169,4204
1533127832,4119,4152
1533135633,3899,3930
1533142233,3911,3942
1533150034,3833,3863
1533156632,3871,3902
1533164432,3690,3717
1533171632,3733,3763
1533179433,3805,3835
1533187832,3784,3814
1533195034,3812,3841
1533202834,3800,3828
1533209433,3837,3866
1533216632,3895,3923
1533223232,3980,4010
1533230432,3963,3991
1533239432,3944,3973
1533247833,3937,3967
1533256832,3713,3739
1533264632,3717,3743
1533273632,3668,3695
1533282031,3556,3585
1533291032,3487,3515
1533298831,3403,3431
1533306632,3426,3452
1533313832,3423,3452
1533320431,3429,3458
1533327632,3459,3488
1533334834,3452,3481
1533342031,3489,3519
1533349233,3568,3600
1533355831,3591,3622
1533364232,3548,3580
1533370231,3478,3509
1533377431,3505,3537
1533382233,3436,3467
1533388831,3262,3289
1533396632,3277,3304
1533402057,3191,3217
1533408031,3183,3208
1533414632,3127,3153
1533420032,3049,3074
1533425434,3159,3185
1533431432,3231,3260
1533439831,3225,3254
1533446431,3248,3277
1533453631,3266,3294
1533461432,3299,3327
1533468032,3351,3380
1533475232,3459,3489
1533482432,3580,3613
1533489031,3620,3654
1533496232,3586,3619
1533501633,3591,3624
1533508846,3575,3608
1533515432,3495,3526
1533520833,3451,3482
1533526232,3460,3491
1533531632,3420,3450
1533538232,3446,3476
1533544832,3429,3458
1533550831,3368,3396
1533558032,3352,3383
1533565231,3411,3444
1533572433,3444,3479
1533579032,3472,3509
1533586233,3490,3527
1533593432,3547,3584
1533600632,3645,3683
1533607832,3746,3785
1533615632,3771,3810
1533622236,3786,3823
1533630032,3718,3754
1533637232,3741,3778
1533644432,3533,3567
1533651631,3486,3520
1533658232,3467,3500
1533665432,3508,3543
1533672632,3428,3463
1533679232,3478,3515
1533684631,3423,3456
1533690632,3500,3534
1533699031,3517,3550
1533705037,3537,3571
1533713432,3558,3592
1533720052,3584,3618
1533727232,3712,3747
1533734431,3746,3783
1533741631,3760,3797
1533749432,3696,3733
1533756632,3736,3773
1533763832,3688,3725
1533770432,3652,3688
1533778232,3575,3609
1533784832,3565,3599
1533792031,3568,3603
1533799232,3540,3575
1533805832,3504,3539
1533813033,3553,3588
1533819031,3521,3556
1533826231,3480,3514
1533833431,3483,3516
1533840631,3479,3512
1533847235,3553,3588
1533854432,3627,3662
1533862231,3636,3669
1533870033,3683,3716
1533876631,3659,3692
1533883832,3637,3668
1533891631,3433,3459
1533898232,3453,3479
1533905430,3425,3450
1533912632,3408,3436
1533920447,3343,3370
1533927042,3301,3327
1533935450,3314,3341
1533940831,3289,3317
1533948633,3334,3362
1533955231,3331,3361
1533962431,3350,3380
1533970231,3367,3398
1533977435,3430,3461
1533984031,3465,3497
1533990634,3463,3496
1533998431,3337,3369
1534004431,3363,3395
1534011031,3314,3342
1534018231,3141,3166
1534025432,3104,3129
1534032630,3094,3119
1534039832,3097,3122
1534045231,3045,3069
1534050631,2960,2985
1534056631,3083,3111
1534062632,3132,3164
1534068032,3117,3148
1534073453,3138,3168
1534079432,3136,3165
1534084831,3171,3200
1534092032,3235,3264
1534100432,3422,3452
1534107033,3505,3537
1534113632,3549,3579
1534120832,3542,3572
1534129832,3558,3589
1534135832,3515,3546
1534142437,3470,3501
1534149034,3425,3457
1534154432,3412,3444
1534160432,3412,3444
1534167633,3393,3425
1534174832,3345,3376
1534183832,3358,3388
1534190432,3369,3402
1534197033,3370,3404
1534203631,3382,3416
1534208432,3371,3405
1534215032,3439,3474
1534222231,3560,3598
1534229433,3591,3629
1534234831,3643,3681
1534240832,3672,3710
1534246235,3610,3645
1534252252,3636,3671
1534259433,3580,3614
1534268476,3370,3402
1534276231,3307,3339
1534283443,3336,3368
1534290651,3317,3351
1534298450,3194,3226
1534305632,3237,3271
1534311631,3246,3280
1534319432,3287,3320
1534326631,3309,3342
1534333232,3335,3368
1534337432,3397,3430
1534351833,3502,3536
1534359632,3497,3531
1534366232,3435,3468
1534373433,3407,3440
1534380631,3357,3389
1534387831,3378,3410
1534394431,3234,3262
1534401632,3214,3242
1534405831,3190,3218
1534412434,3241,3269
1534417832,3204,3233
1534422631,3190,3219
1534428632,3328,3359
1534437632,3205,3234
1534446032,3167,3196
1534452635,3133,3160
1534459832,3194,3220
1534466446,3253,3281
1534473631,3321,3351
1534479633,3346,3376
1534486231,3373,3405
1534491632,3368,3400
1534497631,3363,3394
1534504233,3320,3352
1534509032,3192,3221
1534514432,3202,3231
1534521632,3144,3173
1534528238,3149,3178
1534534865,3144,3173
1534542633,3086,3115
1534549231,3092,3121
1534556432,3104,3135
1534563633,3115,3146
1534570832,3125,3156
1534578032,3152,3183
1534585231,3206,3238
1534592452,3277,3309
1534599654,3347,3379
1534606831,3350,3381
1534614032,3328,3357
1534621232,3283,3311
1534627832,3216,3243
1534633232,3064,3090
1534638631,3046,3072
1534644631,3034,3059
1534650032,3038,3064
1534657231,3075,3101
1534663832,3041,3067
1534669232,3018,3041
1534675832,3037,3061
1534683032,3046,3071
1534690232,3053,3077
1534695632,3064,3088
1534702252,3076,3100
1534708247,3181,3204
1534714832,3229,3254
1534722032,3288,3313
1534729232,3293,3318
1534737032,3269,3294
1534743632,3193,3218
1534750231,3201,3226
1534756232,3146,3171
1534763432,3013,3038
1534769432,3004,3028
1534775432,3021,3045
1534782032,3057,3082
1534789231,3004,3029
1534795844,3011,3040
1534802432,3001,3028
1534807832,3020,3047
1534813831,3042,3069
1534821632,3038,3065
1534828833,3123,3150
