DateTime,AddedIPs,RemovedIPs
1530556829,15,13
1530568829,14,21
1530580229,22,19
1530594628,45,9
1530609031,14,19
1530621030,16,20
1530635430,17,11
1530648030,10,10
1530662429,11,6
1530676826,13,4
1530690030,31,12
1530700828,15,5
1530715227,22,12
1530729627,25,7
1530743426,4,17
1530754826,8,15
1530765625,7,10
1530777629,11,7
1530787829,5,5
1530798029,3,0
1530811828,10,7
1530822628,13,6
1530833427,17,13
1530844827,18,9
1530859226,15,8
1530873028,15,11
1530884427,14,9
1530896428,11,3
1530909027,3,4
1530919826,5,5
1530933626,7,3
1530945628,14,11
1530958229,9,8
1530969028,10,9
1530982828,10,7
1530997228,5,9
1531009827,127,13
1531023026,19,9
1531036829,7,7
1531051229,7,6
1531065628,21,28
1531076429,2208,5
1531085428,215,8
1531094427,69,0
1531104027,30,11
1531114227,1143,8
1531128629,243,0
1531157428,107,37
1531168828,48,6
1531181428,29,6
1531195827,8,12
1531209630,265,9
1531222229,39,4
1531233628,37,14
1531245028,199,8
1531255828,188,7
1531266627,75,9
1531279227,29,0
1531291226,15,9
1531304429,9,8
1531315228,6,13
1531326628,7,14
1531335627,53,12
1531345227,85,6
1531356027,24,0
1531368625,13,5
1531381228,74,8
1531392028,62,11
1531403428,24,13
1531413627,17,18
1531424428,32,0
1531434027,6,7
1531443026,5,13
1531454425,3,34
1531464626,12,11
1531475428,25,7
1531486228,14,0
1531496428,10,8
1531506028,84,3
1531515628,32,2
1531524626,49,14
1531534226,12,8
1531546825,5,0
1531557629,10,6
1531567829,5,10
1531577429,1,5
1531585830,2,9
1531594828,11,0
1531604428,2,12
1531612827,18,9
1531623627,7,0
1531633826,12,1
1531642829,9,8
1531651829,17,8
1531661429,21,0
1531670428,7,15
1531679428,4,0
1531689027,3,49
1531698026,4,38
1531707626,5,33
1531717826,8,47
1531728028,4,146
1531738229,8,225
1531747227,8,0
1531756828,6,0
1531765827,4,75
1531774828,9,50
1531783826,7,72
1531794025,10,0
1531804826,7,190
1531815027,5,109
1531825228,9,127
1531835427,11,0
1531845626,11,66
1531855827,9,35
