DateTime,AddedIPs,RemovedIPs
1530556829,245,239
1530568829,270,210
1530580229,227,234
1530594628,242,279
1530609031,232,206
1530621030,243,217
1530635430,228,253
1530648030,261,203
1530662429,238,191
1530676826,202,250
1530690030,306,270
1530700828,272,279
1530715227,265,293
1530729627,329,202
1530743426,198,222
1530754826,211,220
1530765625,209,259
1530777629,277,223
1530787829,208,293
1530798029,242,257
1530811828,286,237
1530822628,272,204
1530833427,231,205
1530844827,239,249
1530859226,214,282
1530873028,282,228
1530884427,225,249
1530896428,248,218
1530909027,253,218
1530919826,211,194
1530933626,196,287
1530945628,299,217
1530958229,241,276
1530969028,237,280
1530982828,270,230
1530997228,236,210
1531009827,305,261
1531023026,233,225
1531036829,241,233
1531051229,260,195
1531065628,241,238
1531076429,2457,215
1531085428,400,521
1531094427,463,467
1531104027,440,494
1531114227,1444,518
1531128629,820,926
1531157428,814,1148
1531168828,777,628
1531181428,657,635
1531195827,651,782
1531209630,778,1266
1531222229,650,766
1531233628,534,746
1531245028,744,686
1531255828,737,593
1531266627,587,592
1531279227,517,651
1531291226,628,675
1531304429,699,736
1531315228,649,576
1531326628,560,553
1531335627,718,495
1531345227,756,628
1531356027,540,446
1531368625,462,755
1531381228,692,912
1531392028,639,677
1531403428,736,633
1531413627,553,534
1531424428,610,523
1531434027,553,435
1531443026,431,441
1531454425,406,706
1531464626,521,625
1531475428,696,800
1531486228,608,577
1531496428,563,598
1531506028,687,510
1531515628,667,578
1531524626,527,456
1531534226,455,486
1531546825,492,762
1531557629,613,605
1531567829,563,524
1531577429,493,479
1531585830,498,471
1531594828,480,469
1531604428,692,620
1531612827,575,441
1531623627,480,594
1531633826,497,707
1531642829,588,464
1531651829,620,546
1531661429,578,556
1531670428,416,488
1531679428,517,413
1531689027,425,527
1531698026,493,426
1531707626,513,459
1531717826,471,597
1531728028,502,494
1531738229,611,685
1531747227,560,565
1531756828,473,533
1531765827,592,407
1531774828,500,557
1531783826,536,560
1531794025,458,582
1531804826,480,644
1531815027,542,550
1531825228,599,546
1531835427,476,548
