DateTime,Entries,UniqueIPs
1530556829,973,973
1530568829,1033,1033
1530580229,1026,1026
1530594628,989,989
1530609031,1015,1015
1530621030,1041,1041
1530635430,1016,1016
1530648030,1074,1074
1530662429,1121,1121
1530676826,1073,1073
1530690030,1109,1109
1530700828,1102,1102
1530715227,1074,1074
1530729627,1201,1201
1530743426,1177,1177
1530754826,1168,1168
1530765625,1118,1118
1530777629,1172,1172
1530787829,1087,1087
1530798029,1072,1072
1530811828,1121,1121
1530822628,1189,1189
1530833427,1215,1215
1530844827,1205,1205
1530859226,1137,1137
1530873028,1191,1191
1530884427,1167,1167
1530896428,1197,1197
1530909027,1232,1232
1530919826,1249,1249
1530933626,1158,1158
1530945628,1240,1240
1530958229,1205,1205
1530969028,1162,1162
1530982828,1202,1202
1530997228,1228,1228
1531009827,1272,1272
1531023026,1280,1280
1531036829,1288,1288
1531051229,1353,1353
1531065628,1356,1356
1531076429,3598,3598
1531085428,3477,3477
1531094427,3473,3473
1531104027,3419,3419
1531114227,4345,4345
1531128629,4239,4239
1531157428,3905,3905
1531168828,4054,4054
1531181428,4076,4076
1531195827,3945,3945
1531209630,3457,3457
1531222229,3341,3341
1531233628,3129,3129
1531245028,3187,3187
1531255828,3331,3331
1531266627,3326,3326
1531279227,3192,3192
1531291226,3145,3145
1531304429,3108,3108
1531315228,3181,3181
1531326628,3188,3188
1531335627,3411,3411
1531345227,3539,3539
1531356027,3633,3633
1531368625,3340,3340
1531381228,3120,3120
1531392028,3082,3082
1531403428,3185,3185
1531413627,3204,3204
1531424428,3291,3291
1531434027,3409,3409
1531443026,3399,3399
1531454425,3099,3099
1531464626,2995,2995
1531475428,2891,2891
1531486228,2922,2922
1531496428,2887,2887
1531506028,3064,3064
1531515628,3153,3153
1531524626,3224,3224
1531534226,3193,3193
1531546825,2923,2923
1531557629,2931,2931
1531567829,2970,2970
1531577429,2984,2984
1531585830,3011,3011
1531594828,3022,3022
1531604428,3094,3094
1531612827,3228,3228
1531623627,3114,3114
1531633826,2904,2904
1531642829,3028,3028
1531651829,3102,3102
1531661429,3124,3124
1531670428,3052,3052
1531679428,3156,3156
1531689027,3054,3054
1531698026,3121,3121
1531707626,3175,3175
1531717826,3049,3049
1531728028,3057,3057
1531738229,2983,2983
1531747227,2978,2978
1531756828,2918,2918
1531765827,3103,3103
1531774828,3046,3046
1531783826,3022,3022
1531794025,2898,2898
1531804826,2734,2734
1531815027,2726,2726
1531825228,2779,2779
1531835427,2707,2707
1531845626,2706,2706
1531855827,2741,2741
1531865426,2758,2758
1531873825,2942,2942
1531884626,2776,2776
1531893024,2792,2792
1531903227,2796,2796
1531914027,2651,2651
1531926027,2418,2418
1531933227,2590,2590
1531941026,2710,2710
1531951226,2706,2706
1531960226,2581,2581
1531969225,2504,2504
1531977624,2561,2561
1531986027,2694,2694
1531993228,2723,2723
1532002827,2694,2694
1532011226,2655,2655
1532020226,2663,2663
1532031627,2384,2384
1532041825,2371,2371
1532051425,2389,2389
1532061625,2326,2326
1532070626,2429,2429
1532078426,2457,2457
1532087427,2422,2422
1532096426,2388,2388
1532106026,2314,2314
1532115026,2350,2350
1532123426,2362,2362
1532132425,2325,2325
1532142024,2241,2241
1532149824,2246,2246
1532159427,2228,2228
1532167827,2263,2263
1532176827,2246,2246
1532185826,2260,2260
1532194826,2318,2318
1532204426,2268,2268
1532212826,2315,2315
1532226625,2319,2319
1532234425,2259,2259
1532243426,2440,2440
1532252427,2389,2389
1532261426,2411,2411
1532269226,2428,2428
1532278226,2419,2419
1532287826,2412,2412
1532295626,2394,2394
1532304625,2404,2404
1532313624,2305,2305
1532320825,2277,2277
1532329227,2327,2327
1532343627,2344,2344
1532351427,2305,2305
1532360426,2182,2182
1532369426,2229,2229
1532383225,2286,2286
1532397024,2322,2322
1532404824,2410,2410
1532412025,2370,2370
1532419826,2336,2336
1532429427,2161,2161
