DateTime,AddedIPs,RemovedIPs
1532866830,10,22
1532875230,12,13
1532881830,15,19
1532888431,14,0
1532895630,14,8
1532902832,12,12
1532910030,16,14
1532917830,13,24
1532924450,14,16
1532932230,12,0
1532939450,17,12
1532946646,11,17
1532953835,15,27
1532961058,15,0
1532967630,14,13
1532976032,9,32
1532982631,13,16
1532989230,10,12
1532997031,11,16
1533004232,12,0
1533011430,10,13
1533018029,12,21
1533026431,12,12
1533034831,14,12
1533042031,17,10
1533049830,18,15
1533057631,13,15
1533065432,9,10
1533072032,15,15
1533079229,14,13
1533087030,16,12
1533094830,8,22
1533103231,14,14
1533111030,12,0
1533120031,9,11
1533127829,14,20
1533135631,14,27
1533142230,12,0
1533150031,15,23
1533156630,16,0
1533164430,13,24
1533171629,18,0
1533179430,13,13
1533187830,16,14
1533195032,14,16
1533202829,13,9
1533209431,10,17
1533216630,14,15
1533223230,6,0
1533230430,13,30
1533239430,12,12
1533247831,9,9
1533256830,17,26
1533264630,14,0
1533273630,10,16
1533282029,8,27
1533291030,12,16
1533298829,13,13
1533306629,8,10
1533313830,15,14
1533320429,14,14
1533327630,11,0
1533334830,12,16
1533342029,12,10
1533349231,13,16
1533355829,13,8
1533364230,14,11
1533370229,10,12
1533377429,9,0
1533382231,12,15
1533388829,7,11
1533396630,11,0
1533402055,8,17
1533408029,11,13
1533414630,15,8
1533420029,17,13
1533425431,18,0
1533431429,15,12
1533439829,13,11
1533446429,13,10
1533453629,9,14
1533461430,14,15
1533468030,10,9
1533475230,10,10
1533482430,11,9
1533489029,17,10
1533496230,15,22
1533501630,12,11
1533508844,11,10
1533515429,7,16
1533520830,16,13
1533526229,12,0
1533531630,9,16
1533538229,11,8
1533544830,12,12
1533550829,9,12
1533558030,13,11
1533565229,13,13
1533572430,18,17
1533579030,10,17
1533586230,7,13
1533593430,14,14
1533600629,8,10
1533607830,13,8
1533615630,17,21
1533622234,13,10
1533630030,10,28
1533637229,19,0
1533644430,17,27
1533651629,14,13
1533658229,12,12
1533665430,13,0
1533672630,13,29
1533679230,12,0
1533684629,16,14
1533690630,14,12
1533699029,7,14
1533705034,15,10
1533713429,13,14
1533720049,12,11
1533727229,15,11
1533734429,12,20
1533741629,13,11
1533749430,13,25
1533756629,11,0
1533763830,11,12
1533770429,12,12
1533778230,13,18
1533784830,13,15
1533792029,17,8
1533799229,10,12
1533805829,10,13
1533813030,14,15
1533819029,9,7
1533826229,11,12
1533833429,10,15
1533840629,12,11
1533847232,13,13
1533854430,10,14
1533862229,11,24
1533870030,11,0
1533876629,13,10
1533883830,12,8
1533891629,14,25
1533898229,18,0
1533905428,10,16
1533912630,15,12
1533920445,12,25
1533927040,16,11
1533935448,14,16
1533940829,11,13
1533948631,9,0
1533955229,14,14
1533962429,13,10
1533970229,14,20
1533977433,11,0
1533984029,13,13
1533990632,11,17
1533998429,12,32
1534004429,14,0
1534011029,13,13
1534018229,10,12
1534025430,11,9
1534032628,10,17
1534039830,22,13
1534045229,13,12
1534050629,15,15
1534056629,9,0
1534062630,13,13
1534068030,12,14
1534073451,13,11
1534079430,14,15
1534084829,18,0
1534092029,6,15
1534100430,11,23
1534107031,13,6
1534113630,14,12
1534120830,13,11
1534129830,12,16
1534135829,14,14
1534142435,11,15
1534149032,11,14
1534154430,16,12
1534160430,10,8
1534167630,15,16
1534174830,10,12
1534183830,11,12
1534190430,11,10
1534197030,11,8
1534203629,14,14
1534208430,9,16
1534215030,8,0
1534222229,11,12
1534229431,14,25
1534234829,10,11
1534240830,10,0
1534246232,16,26
1534252250,9,0
1534259431,10,15
1534268474,14,13
1534276230,12,22
1534283435,13,0
1534290641,11,8
1534298442,14,26
1534305630,15,15
1534311629,13,15
1534319430,13,13
1534326629,9,11
1534333230,9,10
1534337430,14,26
1534351831,12,12
1534359630,14,15
1534366230,15,13
1534373431,14,14
1534380629,10,12
1534387830,9,0
1534394430,12,26
1534401630,7,14
1534405829,13,8
1534412432,9,0
1534417830,15,12
1534422629,15,10
1534428630,19,0
1534437630,13,13
1534446030,10,15
1534452633,12,32
1534459830,14,11
1534466444,10,0
1534473629,13,7
1534479631,9,11
1534486229,14,9
1534491630,12,11
1534497629,10,13
1534504231,8,11
1534509030,9,30
1534514430,9,0
1534521630,13,12
1534528236,11,10
1534534863,9,9
1534542631,11,7
1534549229,15,11
1534556430,11,8
1534563631,16,15
1534570830,12,13
1534578030,13,15
1534585229,11,15
1534592450,9,17
1534599652,15,9
1534606830,12,12
1534614030,11,11
1534621230,10,14
1534627831,15,15
1534633230,9,11
1534638629,9,14
1534644629,10,10
1534650030,15,11
1534657229,9,0
1534663830,14,11
1534669230,12,12
1534675830,14,10
1534683030,10,10
1534690230,14,14
1534695630,10,10
1534702250,12,6
1534708245,14,9
1534714830,12,21
1534722030,11,17
1534729230,17,9
1534737030,12,13
1534743630,11,24
1534750229,11,0
1534756230,6,6
1534763430,14,27
1534769430,8,12
1534775430,11,12
1534782030,8,0
1534789230,12,14
1534795842,14,33
1534802430,14,15
1534807830,10,13
1534813829,13,0
1534821630,10,21
1534828831,11,0
1534835429,9,8
1534843230,16,16
1534849831,14,10
1534857030,12,10
1534861830,8,13
1534867922,14,16
1534872630,16,0
1534879231,10,12
1534885830,13,9
1534892430,12,10
1534897831,13,14
1534903229,16,9
1534908631,15,0
1534913430,8,22
1534918830,8,0
1534924230,12,14
1534930231,7,0
1534934430,9,28
1534940430,11,0
1534945831,7,7
1534951231,13,10
1534956630,15,10
1534965036,11,16
1534972832,14,10
1534979450,8,13
1534987310,14,8
1534994431,9,13
1535001630,16,16
1535007631,6,22
1535013031,13,11
1535019030,10,9
1535026830,14,21
1535033431,9,14
1535041230,13,13
1535049631,18,19
1535055630,12,14
1535062830,11,11
1535068230,11,12
1535075433,9,9
1535083230,8,11
1535089230,8,12
1535097029,11,11
1535103631,12,14
1535109030,12,13
1535113229,18,0
1535118630,8,11
1535124631,14,11
1535129430,15,9
1535136031,12,0
1535142630,8,23
1535148071,7,10
1535153436,13,0
1535158830,13,10
1535164829,8,13
1535171430,12,11
1535176229,11,13
1535181631,19,0
1535187030,10,10
1535193031,7,13
1535198430,13,11
1535204431,7,9
1535211031,8,10
1535216431,15,17
1535221832,9,10
1535227838,9,0
1535235030,11,9
1535242230,0,26
1535250029,8,17
1535256630,8,0
1535262630,12,14
1535268630,12,36
1535274630,12,7
1535281830,10,13
1535286630,19,11
1535292631,10,10
1535307030,0,30
1535313631,6,10
1535319029,10,11
1535324433,16,0
1535329829,15,11
1535336450,13,0
1535342431,10,18
1535348430,16,0
