DateTime,AddedIPs,RemovedIPs
1535522417,9,4
1535522890,5,6
1535523368,2,7
1535523846,6,7
1535524330,7,7
1535524809,7,10
1535525287,8,14
1535525768,12,6
1535526246,9,7
1535526728,7,8
1535527205,8,9
1535527929,7,6
1535528675,7,5
1535529133,6,5
1535529611,6,10
1535530572,12,5
1535531048,4,3
1535531528,6,2
1535540646,0,1
1535541130,1,0
1535553850,0,1
1535554326,1,0
1535568252,0,1
1535569447,1,0
1535574247,0,1
1535574727,1,0
1535587222,0,1
1535587687,1,0
1535591526,2,11
1535592005,10,7
1535592730,8,10
1535593205,10,7
1535593686,12,12
1535594168,9,10
1535594649,8,5
1535595124,5,8
1535595608,9,6
1535596084,11,10
1535596567,8,9
1535597050,7,8
1535597529,9,8
1535598014,5,7
1535598489,6,4
1535598967,7,10
1535599445,9,6
1535599929,9,10
1535600411,6,9
1535600889,8,5
1535601364,4,6
1535601850,5,8
1535602327,6,7
1535603045,11,10
1535603529,6,6
1535604005,6,5
1535604484,5,6
1535604968,9,11
1535605446,8,5
1535605925,8,7
1535606420,6,3
1535606888,4,8
1535607367,7,7
1535607849,9,7
1535608328,8,15
1535608809,16,9
1535609287,9,6
1535609766,3,7
1535610249,9,5
1535610728,4,4
1535611212,4,7
1535611691,8,6
1535612167,6,9
1535612648,6,6
1535613125,10,6
1535613607,6,5
1535614086,6,4
1535614564,4,6
1535615050,3,5
1535615526,15,15
1535616020,7,6
1535616489,9,6
1535616979,1,7
1535617444,7,4
1535617931,5,3
1535618406,1,0
1535623219,0,1
1535623688,1,0
1535624166,1,0
1535627529,1,1
1535628006,0,1
1535628489,1,0
1535632808,0,1
1535633288,1,0
1535641232,0,2
1535641688,2,0
1535643848,0,1
1535647207,1,0
1535655845,0,1
1535656327,1,0
1535662569,0,1
1535663049,1,1
1535663525,1,0
1535677449,0,2
1535677928,6,8
1535678406,8,11
1535678888,8,7
1535679364,9,9
1535679846,10,12
1535680329,10,8
1535680815,8,10
1535681286,8,8
1535681770,9,5
1535682247,7,9
1535682726,11,8
1535683205,7,5
1535683689,5,10
1535684167,8,9
1535684646,9,5
1535685126,5,7
1535685615,8,10
1535686087,8,4
1535686565,7,10
1535687047,7,5
1535687530,5,3
1535688019,7,9
1535688487,9,8
1535688967,9,7
1535689447,6,5
1535690168,6,9
1535690644,11,5
1535691126,4,4
1535691612,6,8
1535692088,7,7
1535692570,8,14
1535693047,15,8
1535693528,8,6
1535694008,5,5
1535694486,5,8
1535694965,11,10
1535695448,8,8
1535695926,7,7
1535696405,6,4
1535696888,6,8
1535697367,5,6
1535697845,7,4
1535698328,7,8
1535698817,9,6
1535699300,7,7
1535699767,5,5
1535700248,6,7
1535700732,6,6
1535701207,7,6
1535701686,4,5
1535702169,16,14
1535702647,7,5
1535703125,7,12
1535703609,7,5
1535704087,6,3
1535708645,0,1
1535709132,1,0
1535726166,0,1
1535726648,1,0
1535742250,0,1
1535742726,1,0
1535763848,3,13
1535764333,13,15
1535764808,15,12
1535765286,9,6
1535765766,11,11
1535766246,9,10
1535766727,6,5
1535767225,7,9
1535767688,7,7
1535768176,8,4
1535768646,7,8
1535769127,11,10
1535769609,9,10
1535770088,8,5
1535770567,5,6
1535771047,5,5
1535771525,6,9
1535772011,8,11
1535772484,9,7
1535772966,5,3
1535773448,3,9
1535773925,9,8
1535774419,8,7
1535774889,7,5
1535775366,5,9
1535775847,8,7
1535776326,6,6
1535776808,7,5
1535777289,4,6
1535777767,8,6
1535778245,4,8
1535778731,8,7
1535779209,13,14
1535779685,9,8
1535780165,6,2
1535780647,2,7
1535781131,14,13
1535781607,6,9
1535782087,8,9
1535782569,6,6
1535783044,7,7
1535783529,5,7
1535784008,7,7
1535784488,6,6
1535784967,6,8
1535785446,8,7
1535785929,8,4
1535786414,4,3
1535786885,5,5
1535787364,6,7
1535787846,6,6
1535788333,14,11
1535788821,3,5
1535789288,13,9
1535789766,5,6
1535790250,6,3
1535790726,5,3
1535791204,2,1
1535821210,0,1
1535822170,1,0
1535824565,0,1
1535825527,1,0
1535850490,1,8
1535850965,12,11
1535851447,9,8
1535851928,11,12
1535852405,8,10
1535852889,13,9
1535853365,9,7
1535853848,5,4
1535854328,5,9
1535854805,9,9
1535855285,12,7
1535855766,5,9
1535856246,9,6
1535856725,5,4
1535857217,6,7
1535857688,7,6
1535858166,7,8
1535858645,5,5
1535859128,9,8
1535859620,8,10
1535860088,7,8
1535860565,5,5
1535861046,8,10
1535861527,7,3
1535862010,6,7
1535862487,6,7
1535863206,7,5
1535863930,5,6
1535864408,8,8
1535864889,4,8
1535865369,8,6
1535865844,12,16
1535866569,11,8
1535867046,6,6
1535867775,15,12
1535868250,7,9
1535868726,9,9
1535869209,9,7
1535869690,9,7
1535870405,6,6
1535871130,6,5
1535871614,6,5
1535872087,7,8
1535872568,6,10
1535873049,10,5
1535873529,3,6
1535874005,9,7
1535874486,4,7
1535874967,9,4
1535875446,8,12
1535875927,7,7
1535876406,5,5
1535876889,4,3
1535877365,3,2
1535878830,1,0
1535883608,0,1
1535884329,1,0
1535889127,0,1
1535890086,1,0
1535896327,0,1
1535897768,1,0
1535915047,0,1
1535915528,1,1
1535916010,1,0
1535918886,0,1
1535920330,1,0
1535927531,0,1
1535928005,1,0
1535936651,2,8
1535937126,6,6
1535937606,9,11
1535938088,8,8
1535938565,9,6
1535939047,7,8
1535939765,8,12
1535940250,7,6
1535940726,7,9
1535941208,8,5
1535941689,7,8
1535942169,7,8
1535942648,8,9
1535943129,9,7
1535943626,6,4
1535944086,6,5
1535944566,4,6
1535945048,8,7
1535945527,4,6
1535946005,8,9
1535946489,5,7
1535946967,9,4
1535947446,3,4
1535947928,6,9
1535948414,9,10
1535948888,9,10
1535949366,8,5
1535949847,5,5
1535950329,6,4
1535950822,5,6
1535951286,4,6
1535951770,7,6
1535952249,6,5
1535952728,7,11
1535953205,9,5
1535953688,4,9
1535954167,10,10
1535954646,9,8
1535955128,6,3
1535955605,3,4
1535956091,7,5
1535956567,3,6
1535957044,6,8
1535957528,13,13
1535958028,8,7
1535958487,4,6
1535958968,6,6
1535959686,7,8
1535960405,7,7
1535960888,4,5
1535961365,17,13
1535961849,8,10
1535962327,10,9
1535962806,7,6
1535963288,8,3
1535964006,2,1
1535979616,0,1
1535980570,1,0
1535986328,0,1
1535986827,1,0
1535987287,0,1
1535988245,1,0
1536001222,0,2
1536001690,1,0
1536002649,1,0
1536009368,0,1
1536010331,1,0
1536017766,0,1
1536018246,1,0
1536023046,0,11
1536023526,14,9
1536024006,10,11
1536024491,8,7
1536024966,12,13
1536025444,11,7
1536025929,9,10
1536026429,7,5
1536026886,5,10
1536027371,8,5
1536027848,7,10
1536028332,11,12
1536028805,6,6
1536029290,9,9
1536029765,6,7
1536030251,7,7
1536030727,9,10
1536031212,9,5
1536031689,6,5
1536032169,7,12
1536032646,8,5
1536033127,7,7
1536033613,8,3
1536034087,3,2
1536034566,5,6
1536035056,5,4
1536035526,5,6
1536036007,3,5
