DateTime,Entries,UniqueIPs
1535522417,4945,4945
1535522890,4944,4944
1535523368,4939,4939
1535523846,4938,4938
1535524330,4938,4938
1535524809,4935,4935
1535525287,4929,4929
1535525768,4935,4935
1535526246,4937,4937
1535526728,4936,4936
1535527205,4935,4935
1535527929,4936,4936
1535528675,4938,4938
1535529133,4939,4939
1535529611,4935,4935
1535530572,4942,4942
1535531048,4943,4943
1535531528,4947,4947
1535540646,4946,4946
1535541130,4947,4947
1535553850,4946,4946
1535554326,4947,4947
1535568252,4946,4946
1535569447,4947,4947
1535574247,4946,4946
1535574727,4947,4947
1535587222,4946,4946
1535587687,4947,4947
1535591526,4938,4938
1535592005,4941,4941
1535592730,4939,4939
1535593205,4942,4942
1535593686,4942,4942
1535594168,4941,4941
1535594649,4944,4944
1535595124,4941,4941
1535595608,4944,4944
1535596084,4945,4945
1535596567,4944,4944
1535597050,4943,4943
1535597529,4944,4944
1535598014,4942,4942
1535598489,4944,4944
1535598967,4941,4941
1535599445,4944,4944
1535599929,4943,4943
1535600411,4940,4940
1535600889,4943,4943
1535601364,4941,4941
1535601850,4938,4938
1535602327,4937,4937
1535603045,4938,4938
1535603529,4938,4938
1535604005,4939,4939
1535604484,4938,4938
1535604968,4936,4936
1535605446,4939,4939
1535605925,4940,4940
1535606420,4943,4943
1535606888,4939,4939
1535607367,4939,4939
1535607849,4941,4941
1535608328,4934,4934
1535608809,4941,4941
1535609287,4944,4944
1535609766,4940,4940
1535610249,4944,4944
1535610728,4944,4944
1535611212,4941,4941
1535611691,4943,4943
1535612167,4940,4940
1535612648,4940,4940
1535613125,4944,4944
1535613607,4945,4945
1535614086,4947,4947
1535614564,4945,4945
1535615050,4943,4943
1535615526,4943,4943
1535616020,4944,4944
1535616489,4947,4947
1535616979,4941,4941
1535617444,4944,4944
1535617931,4946,4946
1535618406,4947,4947
1535623219,4946,4946
1535623688,4947,4947
1535624166,4948,4948
1535627529,4948,4948
1535628006,4947,4947
1535628489,4948,4948
1535632808,4947,4947
1535633288,4948,4948
1535641232,4946,4946
1535641688,4948,4948
1535643848,4947,4947
1535647207,4948,4948
1535655845,4947,4947
1535656327,4948,4948
1535662569,4947,4947
1535663049,4947,4947
1535663525,4948,4948
1535677449,4946,4946
1535677928,4944,4944
1535678406,4941,4941
1535678888,4942,4942
1535679364,4942,4942
1535679846,4940,4940
1535680329,4942,4942
1535680815,4940,4940
1535681286,4940,4940
1535681770,4944,4944
1535682247,4942,4942
1535682726,4945,4945
1535683205,4947,4947
1535683689,4942,4942
1535684167,4941,4941
1535684646,4945,4945
1535685126,4943,4943
1535685615,4941,4941
1535686087,4945,4945
1535686565,4942,4942
1535687047,4944,4944
1535687530,4946,4946
1535688019,4944,4944
1535688487,4945,4945
1535688967,4947,4947
1535689447,4948,4948
1535690168,4945,4945
1535690644,4951,4951
1535691126,4951,4951
1535691612,4949,4949
1535692088,4949,4949
1535692570,4943,4943
1535693047,4950,4950
1535693528,4952,4952
1535694008,4952,4952
1535694486,4949,4949
1535694965,4950,4950
1535695448,4950,4950
1535695926,4950,4950
1535696405,4952,4952
1535696888,4950,4950
1535697367,4949,4949
1535697845,4952,4952
1535698328,4951,4951
1535698817,4954,4954
1535699300,4954,4954
1535699767,4954,4954
1535700248,4953,4953
1535700732,4953,4953
1535701207,4954,4954
1535701686,4953,4953
1535702169,4955,4955
1535702647,4957,4957
1535703125,4952,4952
1535703609,4954,4954
1535704087,4957,4957
1535708645,4956,4956
1535709132,4957,4957
1535726166,4956,4956
1535726648,4957,4957
1535742250,4956,4956
1535742726,4957,4957
1535763848,4947,4947
1535764333,4945,4945
1535764808,4948,4948
1535765286,4951,4951
1535765766,4951,4951
1535766246,4950,4950
1535766727,4951,4951
1535767225,4949,4949
1535767688,4949,4949
1535768176,4953,4953
1535768646,4952,4952
1535769127,4953,4953
1535769609,4952,4952
1535770088,4955,4955
1535770567,4954,4954
1535771047,4954,4954
1535771525,4951,4951
1535772011,4948,4948
1535772484,4950,4950
1535772966,4952,4952
1535773448,4946,4946
1535773925,4947,4947
1535774419,4948,4948
1535774889,4950,4950
1535775366,4946,4946
1535775847,4947,4947
1535776326,4947,4947
1535776808,4949,4949
1535777289,4947,4947
1535777767,4949,4949
1535778245,4945,4945
1535778731,4946,4946
1535779209,4945,4945
1535779685,4946,4946
1535780165,4950,4950
1535780647,4945,4945
1535781131,4946,4946
1535781607,4943,4943
1535782087,4942,4942
1535782569,4942,4942
1535783044,4942,4942
1535783529,4940,4940
1535784008,4940,4940
1535784488,4940,4940
1535784967,4938,4938
1535785446,4939,4939
1535785929,4943,4943
1535786414,4944,4944
1535786885,4944,4944
1535787364,4943,4943
1535787846,4943,4943
1535788333,4946,4946
1535788821,4944,4944
1535789288,4948,4948
1535789766,4947,4947
1535790250,4950,4950
1535790726,4952,4952
1535791204,4953,4953
1535821210,4952,4952
1535822170,4953,4953
1535824565,4952,4952
1535825527,4953,4953
1535850490,4946,4946
1535850965,4947,4947
1535851447,4948,4948
1535851928,4947,4947
1535852405,4945,4945
1535852889,4949,4949
1535853365,4951,4951
1535853848,4952,4952
1535854328,4948,4948
1535854805,4948,4948
1535855285,4953,4953
1535855766,4949,4949
1535856246,4952,4952
1535856725,4953,4953
1535857217,4952,4952
1535857688,4953,4953
1535858166,4952,4952
1535858645,4952,4952
1535859128,4953,4953
1535859620,4951,4951
1535860088,4950,4950
1535860565,4950,4950
1535861046,4948,4948
1535861527,4952,4952
1535862010,4951,4951
1535862487,4950,4950
1535863206,4952,4952
1535863930,4951,4951
1535864408,4951,4951
1535864889,4947,4947
1535865369,4949,4949
1535865844,4945,4945
1535866569,4948,4948
1535867046,4948,4948
1535867775,4951,4951
1535868250,4949,4949
1535868726,4949,4949
1535869209,4951,4951
1535869690,4953,4953
1535870405,4953,4953
1535871130,4954,4954
1535871614,4955,4955
1535872087,4954,4954
1535872568,4950,4950
1535873049,4955,4955
1535873529,4952,4952
1535874005,4954,4954
1535874486,4951,4951
1535874967,4956,4956
1535875446,4952,4952
1535875927,4952,4952
1535876406,4952,4952
1535876889,4953,4953
1535877365,4954,4954
1535878830,4955,4955
1535883608,4954,4954
1535884329,4955,4955
1535889127,4954,4954
1535890086,4955,4955
1535896327,4954,4954
1535897768,4955,4955
1535915047,4954,4954
1535915528,4954,4954
1535916010,4955,4955
1535918886,4954,4954
1535920330,4955,4955
1535927531,4954,4954
1535928005,4955,4955
1535936651,4949,4949
1535937126,4949,4949
1535937606,4947,4947
1535938088,4947,4947
1535938565,4950,4950
1535939047,4949,4949
1535939765,4945,4945
1535940250,4946,4946
1535940726,4944,4944
1535941208,4947,4947
1535941689,4946,4946
1535942169,4945,4945
1535942648,4944,4944
1535943129,4946,4946
1535943626,4948,4948
1535944086,4949,4949
1535944566,4947,4947
1535945048,4948,4948
1535945527,4946,4946
1535946005,4945,4945
1535946489,4943,4943
1535946967,4948,4948
1535947446,4947,4947
1535947928,4944,4944
1535948414,4943,4943
1535948888,4942,4942
1535949366,4945,4945
1535949847,4945,4945
1535950329,4947,4947
1535950822,4946,4946
1535951286,4944,4944
1535951770,4945,4945
1535952249,4946,4946
1535952728,4942,4942
1535953205,4946,4946
1535953688,4941,4941
1535954167,4941,4941
1535954646,4942,4942
1535955128,4945,4945
1535955605,4944,4944
1535956091,4946,4946
1535956567,4943,4943
1535957044,4941,4941
1535957528,4941,4941
1535958028,4942,4942
1535958487,4940,4940
1535958968,4940,4940
1535959686,4939,4939
1535960405,4939,4939
1535960888,4938,4938
1535961365,4942,4942
1535961849,4940,4940
1535962327,4941,4941
1535962806,4942,4942
1535963288,4947,4947
1535964006,4948,4948
1535979616,4947,4947
1535980570,4948,4948
1535986328,4947,4947
1535986827,4948,4948
1535987287,4947,4947
1535988245,4948,4948
1536001222,4946,4946
1536001690,4947,4947
1536002649,4948,4948
1536009368,4947,4947
1536010331,4948,4948
1536017766,4947,4947
1536018246,4948,4948
1536023046,4937,4937
1536023526,4942,4942
1536024006,4941,4941
1536024491,4942,4942
1536024966,4941,4941
1536025444,4945,4945
1536025929,4944,4944
1536026429,4946,4946
1536026886,4941,4941
1536027371,4944,4944
1536027848,4941,4941
1536028332,4940,4940
1536028805,4940,4940
1536029290,4940,4940
1536029765,4939,4939
1536030251,4939,4939
1536030727,4938,4938
1536031212,4942,4942
1536031689,4943,4943
1536032169,4938,4938
1536032646,4941,4941
1536033127,4941,4941
1536033613,4946,4946
1536034087,4947,4947
1536034566,4946,4946
1536035056,4947,4947
1536035526,4946,4946
1536036007,4944,4944
1536036488,4942,4942
1536036966,4941,4941
1536037449,4943,4943
1536037927,4943,4943
1536038407,4937,4937
1536038890,4935,4935
1536039368,4936,4936
1536039848,4936,4936
1536040326,4936,4936
1536040820,4937,4937
1536041288,4937,4937
1536041768,4936,4936
1536042249,4935,4935
1536042727,4937,4937
1536043204,4937,4937
1536043930,4937,4937
1536044411,4937,4937
1536044886,4940,4940
1536045367,4936,4936
1536045853,4941,4941
1536046326,4944,4944
1536046805,4942,4942
1536047288,4942,4942
1536047768,4942,4942
1536048247,4941,4941
1536048728,4938,4938
1536049205,4942,4942
1536049687,4941,4941
1536050165,4942,4942
1536050645,4941,4941
1536051634,4943,4943
1536058576,4942,4942
1536059529,4943,4943
1536065765,4942,4942
1536067208,4943,4943
1536072973,4942,4942
1536073688,4943,4943
1536074169,4942,4942
1536075128,4943,4943
1536077779,4942,4942
1536080652,4941,4941
1536081126,4942,4942
1536084487,4941,4941
1536087846,4940,4940
1536088805,4941,4941
1536095765,4940,4940
1536097209,4941,4941
1536105367,4940,4940
1536105847,4940,4940
1536107285,4941,4941
1536109687,4937,4937
1536110169,4938,4938
1536110650,4937,4937
1536111129,4938,4938
1536111605,4935,4935
1536112085,4938,4938
1536112566,4940,4940
1536113046,4940,4940
1536113526,4934,4934
1536114008,4935,4935
1536114487,4937,4937
1536114969,4936,4936
1536115448,4937,4937
1536115926,4938,4938
1536116425,4939,4939
1536116886,4939,4939
1536117371,4938,4938
1536117847,4943,4943
1536118329,4943,4943
1536118804,4940,4940
1536119287,4946,4946
1536119767,4945,4945
1536120247,4944,4944
1536120725,4945,4945
1536121214,4944,4944
1536121687,4943,4943
1536122165,4943,4943
1536122646,4946,4946
1536123127,4945,4945
1536123618,4944,4944
1536124087,4943,4943
1536124565,4946,4946
1536125050,4941,4941
1536125528,4940,4940
1536126004,4943,4943
1536126485,4944,4944
1536126967,4945,4945
1536127446,4942,4942
1536127926,4940,4940
1536128408,4940,4940
1536129132,4939,4939
1536129606,4941,4941
1536130085,4941,4941
1536130567,4939,4939
