DateTime,AddedIPs,RemovedIPs
1535777523,42,50
1535778123,23,45
1535778723,35,0
1535779323,30,49
1535779923,46,38
1535780523,66,98
1535781723,48,155
1535782324,67,45
1535782924,43,75
1535783523,22,77
1535784123,19,0
1535784723,50,22
1535785323,63,80
1535785923,41,44
1535786523,53,61
1535787123,63,0
1535787723,48,92
1535788323,36,0
1535788924,50,0
1535789523,77,67
1535790123,18,71
1535790723,80,0
1535791323,41,0
1535792523,37,74
1535793723,80,158
1535794323,78,71
1535794923,80,0
1535796123,78,214
1535796724,51,79
1535797323,50,78
1535798523,67,0
1535799123,25,91
1535799722,12,0
1535800923,50,140
1535801523,30,0
1535802123,64,26
1535803323,75,30
1535803923,72,159
1535804522,77,79
1535805122,80,0
1535805722,51,36
1535806323,79,57
1535806923,80,18
1535807523,77,0
1535808122,80,0
1535808722,34,60
1535809322,57,35
1535810524,24,62
1535811123,77,39
1535811723,75,0
1535812325,77,79
1535812923,51,12
1535813523,66,37
1535814122,50,0
1535814723,75,54
1535815324,75,121
1535815922,40,0
1535816522,61,48
1535817723,51,70
1535818323,79,77
1535818924,67,76
1535819523,80,0
1535820123,38,77
1535821323,76,147
1535821922,80,64
1535822523,75,0
1535823124,70,56
1535823722,80,0
1535824923,68,143
1535825523,59,76
1535826122,31,67
1535826723,69,22
1535827323,67,40
1535828525,67,0
1535829123,60,100
1535829723,42,65
1535830923,60,98
1535831524,63,57
1535832123,13,56
1535833322,75,63
1535833923,74,108
1535834523,78,0
1535835122,80,59
1535835723,77,63
1535836322,23,79
1535836923,70,41
1535837523,70,75
1535838122,69,0
1535838722,75,80
1535839322,74,45
1535840524,80,106
1535841123,72,0
1535841723,76,71
1535842922,77,25
1535843522,51,0
1535844122,77,24
1535844722,35,27
1535845322,55,25
1535845923,71,72
1535846523,21,22
1535847723,55,0
1535848324,79,141
1535848922,67,77
1535849523,56,0
1535850122,71,80
1535850723,75,0
1535851323,52,70
1535852523,8,61
1535853722,68,57
1535854923,68,46
1535856124,42,80
1535857323,56,115
1535857924,70,23
1535858523,67,0
1535859123,72,58
1535859724,67,112
1535860323,54,63
1535860923,60,0
1535861523,65,77
1535862122,42,0
1535863323,74,153
1535864522,57,48
1535865124,34,77
1535865722,31,0
1535866323,57,77
1535866923,62,46
1535867524,53,80
1535868123,41,70
1535868723,77,0
1535869323,80,78
1535869923,80,75
1535870522,80,114
1535871123,80,0
1535871722,80,0
1535872322,70,80
1535872923,31,80
1535874123,38,77
1535875323,17,78
1535875922,77,78
1535876523,6,28
1535877123,79,0
1535877722,60,118
1535878322,66,0
1535878922,36,35
1535879524,80,0
1535880123,64,41
1535881322,64,0
1535881923,28,64
1535882523,49,37
1535883123,78,33
1535883724,38,46
1535884323,11,0
1535884922,9,0
1535886122,80,52
1535887323,25,0
1535888523,41,196
1535889724,42,0
1535890322,39,43
1535890923,40,25
1535891522,38,0
1535892123,43,0
1535893322,46,189
1535894523,61,0
1535895124,57,60
1535895723,44,62
1535896924,72,110
1535897524,47,10
1535898123,63,34
1535899323,60,75
1535900525,35,83
1535901123,52,38
1535901723,65,80
1535902924,72,113
1535903522,38,43
1535904123,53,78
1535904723,59,0
1535905322,65,79
1535905923,45,80
1535906523,31,57
1535907123,43,73
1535907723,74,66
1535908922,71,155
