DateTime,AddedIPs,RemovedIPs
1535777523,80,80
1535778123,80,80
1535778723,79,79
1535779323,80,80
1535779923,80,80
1535780523,80,80
1535781723,80,80
1535782324,80,80
1535782924,80,80
1535783523,80,80
1535784123,80,80
1535784723,80,80
1535785323,80,80
1535785923,80,80
1535786523,80,80
1535787123,80,80
1535787723,80,80
1535788323,80,80
1535788924,79,79
1535789523,80,80
1535790123,80,80
1535790723,80,80
1535791323,80,80
1535792523,80,80
1535793723,80,80
1535794323,80,80
1535794923,80,80
1535796123,80,80
1535796724,80,80
1535797323,79,79
1535798523,80,80
1535799123,80,80
1535799722,80,80
1535800923,80,80
1535801523,80,80
1535802123,80,80
1535803323,80,80
1535803923,80,80
1535804522,80,80
1535805122,80,80
1535805722,80,80
1535806323,80,80
1535806923,80,80
1535807523,80,80
1535808122,80,80
1535808722,80,80
1535809322,80,80
1535810524,80,80
1535811123,80,80
1535811723,80,80
1535812325,80,80
1535812923,80,80
1535813523,80,80
1535814122,80,80
1535814723,80,80
1535815324,80,80
1535815922,80,80
1535816522,80,80
1535817723,80,80
1535818323,80,80
1535818924,80,80
1535819523,80,80
1535820123,80,80
1535821323,80,80
1535821922,80,80
1535822523,80,80
1535823124,80,80
1535823722,80,80
1535824923,80,80
1535825523,80,80
1535826122,80,80
1535826723,80,80
1535827323,80,80
1535828525,80,80
1535829123,80,80
1535829723,80,80
1535830923,80,80
1535831524,80,80
1535832123,80,80
1535833322,80,80
1535833923,80,80
1535834523,80,80
1535835122,80,80
1535835723,80,80
1535836322,80,80
1535836923,80,80
1535837523,80,80
1535838122,80,80
1535838722,80,80
1535839322,80,80
1535840524,80,80
1535841123,80,80
1535841723,80,80
1535842922,80,80
1535843522,80,80
1535844122,80,80
1535844722,80,80
1535845322,80,80
1535845923,80,80
1535846523,80,80
1535847723,80,80
1535848324,80,80
1535848922,80,80
1535849523,80,80
1535850122,80,80
1535850723,80,80
1535851323,80,80
1535852523,80,80
1535853722,80,80
1535854923,80,80
1535856124,80,80
1535857323,80,80
1535857924,80,80
1535858523,80,80
1535859123,80,80
1535859724,80,80
1535860323,80,80
1535860923,80,80
1535861523,80,80
1535862122,80,80
1535863323,80,80
1535864522,80,80
1535865124,80,80
1535865722,80,80
1535866323,80,80
1535866923,80,80
1535867524,80,80
1535868123,80,80
1535868723,80,80
1535869323,80,80
1535869923,80,80
1535870522,80,80
1535871123,80,80
1535871722,80,80
1535872322,80,80
1535872923,80,80
1535874123,80,80
1535875323,80,80
1535875922,80,80
1535876523,80,80
1535877123,80,80
1535877722,80,80
1535878322,80,80
1535878922,80,80
1535879524,80,80
1535880123,80,80
1535881322,80,80
1535881923,80,80
1535882523,80,80
1535883123,80,80
1535883724,80,80
1535884323,80,80
1535884922,80,80
1535886122,80,80
1535887323,80,80
1535888523,80,80
1535889724,80,80
1535890322,80,80
1535890923,80,80
1535891522,80,80
1535892123,80,80
1535893322,80,80
1535894523,80,80
1535895124,80,80
1535895723,80,80
1535896924,80,80
1535897524,80,80
1535898123,80,80
1535899323,80,80
1535900525,80,80
1535901123,80,80
1535901723,80,80
1535902924,80,80
1535903522,80,80
1535904123,80,80
1535904723,80,80
1535905322,80,80
1535905923,80,80
1535906523,80,80
1535907123,80,80
1535907723,80,80
1535908922,80,80
1535909523,80,80
1535910122,80,80
1535911323,80,80
1535911923,80,80
1535912523,80,80
1535913723,80,80
1535914322,80,80
1535914923,80,80
1535915523,80,80
1535916123,80,80
1535916722,80,80
1535917323,80,80
1535918523,80,80
1535919123,80,80
1535919723,80,80
1535920923,80,80
1535922123,80,80
1535923323,80,80
1535924522,80,80
1535925722,80,80
1535926323,80,80
1535926923,80,80
1535927522,80,80
1535928123,80,80
1535929324,80,80
1535930523,80,80
1535931124,80,80
1535931722,80,80
1535932322,80,80
1535932923,80,80
1535933524,80,80
1535934123,80,80
1535934723,80,80
1535935322,80,80
1535935923,80,80
1535936523,80,80
1535937123,80,80
1535937723,80,80
1535938323,80,80
1535938923,80,80
1535939524,80,80
1535940123,80,80
1535941322,80,80
1535941922,80,80
1535942522,80,80
1535943123,80,80
1535943722,80,80
1535944923,80,80
1535946122,80,80
1535946723,80,80
1535947323,80,80
1535947923,80,80
1535948523,80,80
1535949122,80,80
1535949723,80,80
1535950323,80,80
1535950922,80,80
1535951524,80,80
1535952123,80,80
1535952723,80,80
1535953322,80,80
1535953922,80,80
1535954523,80,80
1535955723,80,80
1535956322,80,80
1535956923,80,80
1535957523,80,80
1535958123,80,80
1535958723,80,80
1535959323,80,80
1535959923,80,80
1535960523,80,80
1535961122,80,80
1535961723,80,80
1535962324,80,80
1535962923,80,80
1535963523,80,80
1535964122,80,80
1535964722,80,80
1535965322,80,80
1535965923,80,80
1535966523,80,80
1535967123,80,80
1535967723,80,80
1535968322,80,80
1535968922,80,80
1535969523,80,80
1535970123,80,80
1535970723,80,80
1535971322,80,80
1535971923,80,80
1535972523,80,80
1535973123,80,80
1535973723,80,80
1535974323,80,80
1535974923,80,80
1535975523,80,80
1535976123,80,80
1535976723,80,80
1535977323,80,80
1535977922,80,80
1535978523,80,80
1535979724,80,80
1535980323,80,80
1535980923,80,80
1535982123,80,80
1535982723,80,80
1535983323,80,80
1535983924,80,80
1535984523,71,71
1535985722,80,80
1535986923,80,80
1535987524,80,80
1535988123,80,80
1535989324,80,80
1535989923,80,80
1535990523,80,80
1535991722,80,80
1535992923,80,80
1535994123,80,80
1535994723,80,80
1535995323,80,80
1535995923,80,80
1535996522,80,80
1535997723,80,80
1535998323,80,80
1535998923,80,80
1535999523,80,80
1536000122,80,80
1536001324,80,80
1536001923,80,80
1536002523,80,80
1536003123,80,80
1536003723,80,80
1536004322,80,80
1536004923,80,80
1536005523,80,80
1536006123,80,80
1536006723,80,80
1536007323,80,80
1536008523,80,80
1536009123,80,80
1536009722,80,80
1536010322,80,80
1536010923,80,80
1536011523,80,80
1536012122,80,80
1536013323,80,80
1536014523,80,80
1536015123,80,80
1536015722,80,80
1536016323,80,80
1536016922,80,80
1536017523,80,80
1536018123,80,80
1536018722,80,80
1536019925,80,80
1536020522,80,80
1536021123,80,80
1536021722,80,80
1536022922,80,80
1536023524,80,80
1536024123,80,80
1536024723,80,80
1536025322,80,80
1536026522,80,80
1536027123,80,80
1536027723,80,80
1536028324,80,80
1536028923,80,80
1536029523,80,80
1536030124,80,80
