DateTime,AddedIPs,RemovedIPs
1535743323,2,0
1535743923,1,2
1535744523,0,13
1535746322,0,7
1535746923,0,4
1535748122,0,12
1535749922,1,6
1535751722,1,15
1535752923,0,15
1535754122,1,22
1535755922,0,16
1535756522,0,22
1535757722,0,8
1535760123,0,8
1535760723,0,11
1535761323,1,0
1535762523,1,17
1535763122,0,3
1535763722,0,1
1535764324,0,7
1535764923,1,0
1535765522,0,9
1535766722,0,8
1535767322,0,10
1535767923,0,1
1535768522,1,0
1535769722,0,10
1535770922,0,47
1535772723,0,6
1535773322,0,13
1535774523,0,10
1535775723,2,4
1535776322,0,8
1535776922,0,12
1535777522,0,4
1535778722,0,3
1535779322,1,1
1535780522,0,26
1535781722,0,10
1535782323,1,0
1535782923,0,7
1535783522,0,8
1535784722,0,15
1535785322,1,3
1535786522,1,5
1535787722,0,11
1535788322,0,4
1535788923,0,8
1535789522,0,23
1535790122,0,13
1535791322,0,10
1535792522,1,24
1535793722,0,5
1535794322,0,5
1535794922,0,52
1535796122,1,18
1535797322,0,17
1535798522,1,51
1535799722,0,32
1535800922,0,23
1535802122,0,16
1535803323,1,0
1535803922,0,33
1535805722,0,45
1535806323,0,4
1535806923,0,16
1535808122,0,18
1535808722,0,26
1535810524,0,50
1535811722,0,13
1535812922,69,0
1535813522,27,27
1535814122,17,11
1535815324,27,26
1535815922,31,0
1535816522,36,26
1535817122,19,0
1535817723,20,22
1535818323,16,0
1535818923,14,14
1535819522,13,27
1535820122,1,30
1535821323,7,28
1535821922,16,0
1535822522,6,10
1535823722,25,10
1535824922,32,40
1535825522,15,20
1535826122,5,25
1535826723,5,0
1535827322,4,1
1535827923,2,0
1535828524,5,0
1535829122,13,1
1535829722,9,1
1535830922,15,1
1535831524,1,0
1535832123,13,0
1535832723,3,0
1535833322,7,0
1535833923,7,2
1535834522,11,0
1535835122,5,0
1535835723,5,1
1535836322,15,1
1535836923,10,6
1535837522,3,0
1535838122,6,0
1535838722,3,1
1535839322,2,0
1535840523,20,1
1535841123,14,0
1535841723,10,0
1535842922,8,0
1535843522,5,0
1535844122,2,0
1535845322,4,5
1535845922,2,0
1535846523,7,3
1535847722,7,1
1535848324,5,1
1535848922,7,1
1535849523,18,1
1535850122,3,0
1535850722,3,1
1535851922,2,0
1535852523,28,0
1535853122,7,1
1535853722,1,1
1535854922,4,0
1535856123,13,0
1535856722,2,0
1535857322,6,0
1535857923,12,0
1535858522,12,0
1535859123,12,0
1535859723,4,0
1535860322,5,0
1535860922,8,0
1535862122,10,0
1535862723,7,0
1535863322,6,0
1535863922,2,0
1535864522,2,0
1535865124,17,0
1535865722,8,0
1535866323,7,0
1535866923,5,0
1535867523,10,2
1535868122,7,0
1535869323,6,0
1535869923,1,0
1535870522,2,0
1535871722,35,0
1535872322,14,0
1535872922,32,0
1535874123,29,0
1535875322,18,0
1535875922,30,0
1535876523,10,0
1535877722,40,0
1535878322,8,0
1535878922,2,0
1535879523,6,0
1535880123,22,0
1535881322,11,1
1535881923,2,0
1535882523,10,0
1535883122,3,0
1535883723,4,0
1535884922,6,0
1535886122,9,0
1535886722,5,0
1535887323,6,0
1535888523,7,0
1535889724,8,0
1535890322,1,0
1535894523,1,0
1535895123,8,0
1535895723,8,0
1535896924,36,0
1535897523,1,7
1535898123,15,0
1535898722,8,48
1535899323,4,0
1535900524,34,24
1535901123,9,0
1535901723,20,0
1535902923,14,17
1535904122,9,9
1535905322,29,12
1535905923,6,7
1535906523,1,11
1535907122,15,0
1535907723,2,0
1535908323,7,3
1535908922,4,9
1535910122,1,7
1535910722,6,0
1535911322,11,0
1535911923,3,15
1535912523,9,0
1535913722,10,9
1535914322,3,0
1535914923,6,6
1535915522,5,0
1535916123,8,11
1535916722,6,0
1535917322,6,0
1535918523,5,9
1535919123,2,6
1535919723,9,3
1535920923,1,5
1535922122,4,16
1535923323,3,4
1535924522,3,10
1535925722,30,1
1535926322,5,9
1535926922,5,0
1535927522,0,4
1535928123,4,12
1535929324,6,10
1535930523,1,12
1535931123,2,0
1535931722,2,0
1535932322,4,1
1535932922,2,4
1535933524,7,0
1535934122,5,11
1535934723,4,0
1535935322,3,1
1535935923,2,8
1535936522,2,0
1535937723,17,15
1535938322,4,7
1535938923,7,28
1535939523,1,5
1535940122,2,23
1535941322,2,12
1535941922,3,0
1535942522,1,5
1535943123,1,9
1535943722,10,6
1535944323,7,0
1535944923,5,21
1535945522,7,0
1535946122,13,7
1535946723,5,22
1535947323,1,0
1535947923,4,17
1535948522,2,3
1535949122,2,7
1535950922,25,11
1535951524,10,5
1535952123,6,9
1535952723,4,0
1535953322,5,9
1535953922,3,0
1535954522,1,1
1535955123,1,6
1535955723,6,0
1535956322,13,7
1535956923,12,0
1535958123,6,10
1535958722,2,8
1535959322,2,62
1535960523,9,24
1535961122,7,0
1535961723,19,11
1535962923,18,15
1535963523,2,35
1535964122,2,0
1535964722,1,11
1535965322,0,14
1535965923,3,34
1535966523,2,0
1535967723,9,48
1535968322,8,2
1535968922,2,0
1535970123,4,28
1535970722,1,0
1535971322,3,8
1535971922,4,0
1535972523,1,0
1535973123,2,6
1535973722,2,14
1535974323,1,0
1535974923,6,19
1535975523,4,0
1535976123,0,4
1535977322,8,3
1535977922,1,1
1535978523,1,3
1535979724,0,13
1535980922,0,6
1535982123,4,5
1535982722,0,13
1535983322,3,0
1535983924,1,3
1535984523,3,15
1535985722,4,22
1535986923,5,0
1535987524,1,10
1535988123,3,17
1535988723,7,14
1535989324,4,9
1535989923,1,0
1535991722,10,19
1535992323,2,0
1535992923,9,6
1535994123,7,27
1535994723,2,25
1535995322,1,0
1535996522,10,5
1535997723,8,42
1535998923,7,24
1536000122,8,13
1536001323,8,15
1536001923,0,13
1536002522,1,0
1536003722,4,16
1536004322,0,14
1536006123,1,17
1536006723,1,0
1536007322,5,6
1536007922,2,0
1536008523,3,9
1536009123,3,0
1536009722,2,9
1536010322,12,0
1536010923,3,22
1536012122,0,15
1536013323,2,11
1536013923,2,2
1536014522,3,19
1536015122,5,0
1536015722,2,6
1536016322,16,0
1536016922,7,0
1536017522,5,5
1536018122,0,9
1536019924,6,17
1536020522,12,7
1536021123,14,5
1536021722,13,0
