DateTime,AddedIPs,RemovedIPs
1535754122,3,3
1535754722,2,2
1535755922,1,1
1535756522,1,1
1535757125,1,1
1535758322,3,3
1535758922,3,3
1535760123,8,8
1535760723,5,5
1535761323,2,2
1535762523,2,2
1535763122,2,2
1535763722,2,2
1535764324,1,1
1535764923,2,2
1535765522,1,1
1535766123,3,3
1535766722,1,1
1535767322,1,1
1535767923,1,1
1535768522,2,2
1535772123,1,1
1535773322,1,1
1535774523,1,1
1535775122,2,2
1535775723,2,2
1535776922,1,1
1535779322,1,1
1535780522,3,3
1535781122,2,2
1535781722,2,2
1535782323,2,2
1535783522,1,1
1535785322,2,2
1535786522,3,3
1535787123,5,5
1535787722,4,4
1535788923,4,4
1535789522,7,7
1535790122,5,5
1535792522,1,1
1535793722,5,5
1535794922,2,2
1535795522,2,2
1535796122,1,1
1535798522,4,4
1535799722,8,8
1535801522,2,2
1535802122,7,7
1535803323,8,8
1535804522,5,5
1535805722,8,8
1535806923,9,9
1535807522,8,8
1535810524,2,2
1535811122,10,10
1535812922,89,89
1535813522,37,37
1535814122,35,35
1535815324,54,54
1535815922,54,54
1535816522,71,71
1535817122,54,54
1535817723,38,38
1535818323,52,52
1535818923,41,41
1535819522,56,56
1535820122,15,15
1535821323,54,54
1535821922,43,43
1535822522,29,29
1535823722,52,52
1535824922,68,68
1535825522,48,48
1535826122,20,20
1535826723,23,23
1535827322,33,33
1535827923,30,30
1535828524,30,30
1535829122,48,48
1535829722,24,24
1535830922,75,75
1535831524,30,30
1535832123,39,39
1535832723,24,24
1535833322,35,35
1535833923,22,22
1535834522,26,26
1535835122,40,40
1535835723,28,28
1535836322,43,43
1535836923,26,26
1535837522,22,22
1535838122,19,19
1535838722,38,38
1535839322,29,29
1535840523,71,71
1535841123,40,40
1535841723,49,49
1535842922,56,56
1535843522,23,23
1535844122,38,38
1535845322,49,49
1535845922,37,37
1535846523,44,44
1535847722,53,53
1535848324,44,44
1535848922,40,40
1535849523,67,67
1535850122,19,19
1535850722,44,44
1535851322,24,24
1535851922,36,36
1535852523,61,61
1535853122,51,51
1535853722,9,9
1535854922,78,78
1535856123,51,51
1535856722,29,29
1535857322,26,26
1535857923,35,35
1535858522,40,40
1535859123,33,33
1535859723,16,16
1535860322,16,16
1535860922,36,36
1535862122,66,66
1535862723,22,23
1535863322,35,35
1535863922,39,38
1535864522,19,19
1535865124,29,29
1535865722,42,42
1535866323,31,31
1535866923,29,29
1535867523,26,26
1535868122,24,24
1535869323,41,41
1535869923,5,5
1535870522,26,26
1535871722,77,77
1535872322,42,42
1535872922,78,78
1535874123,91,91
1535875322,79,79
1535875922,57,57
1535876523,42,42
1535877722,86,86
1535878322,29,29
1535878922,18,18
1535879523,22,22
1535880123,69,69
1535881322,68,68
1535881923,34,34
1535882523,27,27
1535883122,15,15
1535883723,35,35
1535884922,28,28
1535886122,27,27
1535886722,14,14
1535887323,20,20
1535888523,37,37
1535889724,45,45
1535890322,14,14
1535890922,15,15
1535891522,5,5
1535892123,4,4
1535893322,13,13
1535894523,35,35
1535895123,24,24
1535895723,16,16
1535896924,62,62
1535897523,8,8
1535898123,24,24
1535898722,25,25
1535899323,11,11
1535900524,69,69
1535901123,26,26
1535901723,46,46
1535902923,42,42
1535904122,51,51
1535905322,57,57
1535905923,11,11
1535906523,8,8
1535907122,37,37
1535907723,28,28
1535908323,43,43
1535908922,27,27
1535909523,10,10
1535910122,13,13
1535910722,36,36
1535911322,30,30
1535911923,27,27
1535912523,45,45
1535913722,29,29
1535914322,17,17
1535914923,28,28
1535915522,26,26
1535916123,31,31
1535916722,28,28
1535917322,35,35
1535918523,51,51
1535919123,21,21
1535919723,32,32
1535920923,10,10
1535922122,28,28
1535923323,22,22
1535924522,23,23
1535925722,79,79
1535926322,24,24
1535926922,22,22
1535927522,7,7
1535928123,20,20
1535929324,28,28
1535930523,18,18
1535931123,25,25
1535931722,18,18
1535932322,11,11
1535932922,12,12
1535933524,20,20
1535934122,13,13
1535934723,24,24
1535935322,15,15
1535935923,13,13
1535936522,13,13
1535937723,29,29
1535938322,19,19
1535938923,22,22
1535939523,6,6
1535940122,10,10
1535941322,11,11
1535941922,16,16
1535942522,5,5
1535943123,6,6
1535943722,18,18
1535944323,16,16
1535944923,15,15
1535945522,14,14
1535946122,31,31
1535946723,15,15
1535947323,15,15
1535947923,33,33
1535948522,21,21
1535949122,13,13
1535949723,4,4
1535950922,45,45
1535951524,20,20
1535952123,14,14
1535952723,8,8
1535953322,19,19
1535953922,15,15
1535954522,10,10
1535955123,8,8
1535955723,10,10
1535956322,34,34
1535956923,26,26
1535958123,24,24
1535958722,8,8
1535959322,16,16
1535960523,24,24
1535961122,29,29
1535961723,52,52
1535962923,54,54
1535963523,8,8
1535964122,12,12
1535964722,10,10
1535965322,4,4
1535965923,22,22
1535966523,9,9
1535967723,18,18
1535968322,16,16
1535968922,5,5
1535970123,17,17
1535970722,11,11
1535971322,13,13
1535971922,15,15
1535972523,5,5
1535973123,5,5
1535973722,7,7
1535974323,5,5
1535974923,10,10
1535975523,10,10
1535976123,2,2
1535977322,20,20
1535977922,8,8
1535978523,8,8
1535979123,8,8
1535979724,3,3
1535980323,7,7
1535980922,6,6
1535982123,21,21
1535982722,2,2
1535983322,9,9
1535983924,3,3
1535984523,9,9
1535985722,10,10
1535986923,26,26
1535987524,6,6
1535988123,5,5
1535988723,13,13
1535989324,10,10
1535989923,4,4
1535990523,5,5
1535991722,32,32
1535992323,8,8
1535992923,18,18
1535994123,24,24
1535994723,8,8
1535995322,4,4
1535996522,27,27
1535997723,32,32
1535998923,23,23
1536000122,22,22
1536001323,16,16
1536001923,5,5
1536002522,4,4
1536003722,13,13
1536004322,5,5
1536004923,4,4
1536006123,13,13
1536006723,10,10
1536007322,12,12
1536007922,9,9
1536008523,7,7
1536009123,9,9
1536009722,7,7
1536010322,23,23
1536010923,6,6
1536011523,4,4
1536012122,6,6
1536013323,16,16
1536013923,5,5
1536014522,6,6
1536015122,7,7
1536015722,7,7
1536016322,28,28
1536016922,17,17
1536017522,18,18
1536018122,5,5
1536019924,34,34
1536020522,16,16
1536021123,21,21
1536021722,19,19
1536022922,50,50
1536024122,26,26
1536024722,47,47
1536025322,29,29
1536026522,48,48
1536027123,25,25
1536027723,15,15
1536028323,9,9
1536028923,12,12
1536029523,10,10
1536030123,11,11
1536031322,28,28
1536031922,15,15
1536032523,3,3
1536033723,12,12
1536034923,38,38
1536036122,23,23
1536036725,15,15
1536037323,37,37
1536038523,31,31
1536039122,16,16
1536039722,10,10
1536040322,7,7
1536040922,6,6
1536041523,12,12
1536042122,7,7
1536042722,8,8
1536043322,23,23
1536043922,7,7
1536044522,6,6
1536045122,5,5
1536045723,7,7
1536046923,17,17
1536048123,46,46
1536048722,15,15
1536049323,21,21
1536050523,23,23
1536051722,54,54
1536052923,31,31
1536054123,17,17
1536054722,4,4
1536055323,26,26
1536055922,8,8
1536056522,7,7
1536057722,18,18
1536058922,11,11
1536059523,8,8
1536060122,3,3
1536061323,24,24
1536062523,84,84
1536063123,33,33
1536063723,30,30
1536064322,23,23
1536064922,8,8
1536066123,27,27
1536067323,40,40
1536067923,18,18
1536068523,21,21
1536069122,22,22
1536069723,27,27
1536070922,41,41
1536072723,42,42
1536073322,19,19
1536073923,26,26
1536074523,42,42
1536075723,61,61
1536076322,19,19
1536076923,12,12
1536077522,17,17
1536078123,12,12
1536078722,21,21
1536079322,32,32
1536080523,61,61
1536081722,39,39
1536082323,25,25
1536082923,17,17
1536084123,19,19
1536084723,11,11
1536085323,38,38
1536085922,16,16
1536086522,26,26
1536087722,55,55
1536088922,77,77
1536089522,39,39
1536090123,18,18
1536090723,65,65
1536091322,53,53
1536091923,48,48
1536092523,36,36
1536093122,60,60
1536093724,32,32
1536094323,16,16
1536094923,26,26
1536095522,48,48
1536096122,56,56
1536096722,67,67
1536097322,61,61
1536098522,88,88
1536099122,54,54
1536099722,20,20
1536100922,81,81
1536102123,66,66
1536102723,32,32
1536103322,57,57
1536104522,99,99
1536105123,41,41
1536105722,29,29
1536106323,64,64
1536106922,62,62
1536108122,94,94
1536109323,93,93
1536109923,47,47
1536110523,48,48
1536111722,36,36
1536112923,91,91
1536114123,48,48
1536114723,42,42
1536115322,40,40
1536115923,66,66
1536116523,62,62
1536117122,26,26
1536117722,65,65
1536118323,24,24
1536118922,65,65
1536120122,69,69
1536121322,63,63
1536121922,5,5
1536122522,29,29
1536123722,91,91
1536124323,61,61
1536124923,29,29
1536125523,43,43
1536126122,73,73
1536126723,72,72
1536127323,51,51
1536128523,57,57
1536129123,44,44
1536129723,24,24
1536130323,85,85
1536130922,59,59
1536131524,48,48
1536132122,67,67
1536133322,75,75
1536133923,34,34
1536134523,61,61
1536135123,71,71
1536135724,60,60
1536136322,36,36
1536136922,24,24
1536138123,62,62
1536138723,7,7
1536139322,13,13
1536139922,17,17
1536140523,27,27
1536141722,83,83
1536142323,27,27
1536142923,29,29
