DateTime,AddedIPs,RemovedIPs
1534338902,156,0
1534342502,221,1
1534346102,183,0
1534349702,151,0
1534353302,125,0
1534356902,157,0
1534360502,122,0
1534364102,116,0
1534368602,133,0
1534372202,98,0
1534375802,119,0
1534379401,104,3555
1534383002,130,0
1534386602,114,0
1534390202,125,0
1534393802,148,0
1534397402,148,0
1534401002,129,0
1534404602,254,0
1534408202,227,0
1534411802,167,0
1534415402,167,0
1534419002,192,0
1534422602,161,0
1534426202,174,0
1534429801,147,0
1534433402,130,0
1534437002,166,0
1534440601,134,0
1534444202,126,0
1534447802,128,0
1534451401,187,0
1534455002,337,0
1534458602,279,0
1534462202,254,0
1534465802,195,3606
1534469401,196,0
1534473001,192,0
1534476602,163,0
1534480202,144,0
1534483802,183,0
1534487402,184,0
1534491001,273,0
1534494601,352,0
1534498202,266,0
1534501802,171,0
1534505402,326,0
1534509002,218,0
1534512602,243,0
1534516201,281,0
1534519802,107,0
1534523402,196,0
1534527002,187,0
1534530602,209,0
1534534202,195,0
1534537802,146,0
1534541402,160,0
1534545002,129,0
1534549502,133,0
1534553101,141,4160
1534556701,117,0
1534560301,138,0
1534563902,128,0
1534567501,119,0
1534571101,142,0
1534574702,248,0
1534578302,166,0
1534581902,180,0
1534585502,175,0
1534589102,185,0
1534592702,163,0
1534596302,151,0
1534599902,139,0
1534603502,152,0
1534607102,152,0
1534610702,118,0
1534614302,136,0
1534617901,132,0
1534621501,110,0
1534625102,129,0
1534628701,121,0
1534632302,129,0
1534635902,102,0
1534640402,108,4791
1534644001,118,0
1534647602,110,0
1534651202,106,0
1534654802,115,0
1534658402,134,0
1534662002,126,0
1534665601,109,0
1534669201,120,0
1534672802,138,0
1534676401,112,0
1534680002,135,0
1534683602,97,0
1534687201,123,0
1534690802,100,0
1534694402,133,0
1534698002,110,0
1534701602,138,0
1534705202,127,0
1534708801,128,0
1534712402,118,0
1534716002,113,0
1534719602,119,0
1534723202,129,3545
1534726802,241,0
1534730402,153,0
1534734002,135,0
1534737601,138,0
1534741202,205,0
1534744802,171,0
1534748402,346,0
1534752002,466,0
1534755602,654,0
1534759202,307,0
1534762802,165,0
1534766402,193,0
1534770001,212,0
1534773601,176,0
1534777202,137,0
1534780802,210,0
1534784402,128,0
1534788002,177,0
1534791602,133,0
1534795202,122,0
1534798802,91,0
1534802402,153,0
1534806002,143,0
1534809602,112,2884
1534813202,135,0
1534816802,172,0
1534820402,148,0
1534824002,140,0
1534827601,117,0
1534831202,135,0
1534834802,246,0
1534838402,163,0
1534842002,199,0
1534845602,172,0
1534849202,182,0
1534852802,145,0
1534856402,168,0
1534860002,139,0
1534863602,172,0
1534867202,189,0
1534870802,187,0
1534874402,137,0
1534878002,109,0
1534881602,177,0
1534885203,194,0
1534888802,157,0
1534892402,117,0
1534896002,126,4868
1534899602,180,0
1534903202,135,0
1534906802,147,0
1534910402,147,0
1534914002,129,0
1534917602,166,0
1534921202,181,0
1534924802,191,0
1534928402,235,0
1534932002,248,0
1534935602,190,0
1534939202,160,0
1534942802,108,0
1534946402,169,0
1534950002,189,0
1534953602,141,0
1534957202,156,0
1534960802,128,0
1534964402,142,0
1534968002,90,0
1534971602,145,0
1534975202,137,0
1534978802,106,0
1534982402,137,3827
1534986002,105,0
1534989602,162,0
1534993202,146,0
1534996802,121,0
1535000402,115,0
