DateTime,AddedIPs,RemovedIPs
1533930650,0,1
1533931554,0,1
1533932448,3,2
1533939640,1,2
1533940538,1,0
1533946849,2,4
1533954045,2,4
1533955850,0,1
1533961250,7,3
1533968449,3,6
1533972047,0,1
1533975769,2,1
1533982856,2,9
1533983741,0,1
1533990064,4,7
1533994549,0,1
1533996372,0,1
1533997254,1,8
1533998149,0,1
1534004453,2,0
1534011645,0,4
1534018847,3,1
1534026047,3,1
1534033255,2,4
1534035050,0,1
1534036848,1,0
1534040448,2,6
1534047648,5,2
1534052157,1,0
1534054848,2,5
1534062059,5,1
1534064749,1,0
1534065651,1,0
1534069254,1,3
1534076448,2,1
1534083644,2,3
1534090846,5,3
1534097157,0,1
1534098046,3,5
1534103444,1,0
1534106139,3,4
1534112450,4,5
1534118755,1,0
1534119644,3,2
1534124154,0,1
1534126848,1,9
1534127746,0,1
1534134045,5,5
1534141250,2,4
1534148581,6,3
1534152047,2,0
1534155643,5,4
1534158344,0,1
1534162848,5,6
1534164646,0,1
1534170042,2,4
1534172747,0,1
1534177245,6,5
1534184447,5,1
1534185357,1,1
1534191648,6,4
1534198845,3,6
1534201549,0,1
1534206045,0,3
1534208746,0,1
1534213249,2,5
1534215950,1,0
1534220444,5,5
1534224039,1,0
1534227646,3,2
1534234849,4,0
1534235752,1,0
1534242060,5,2
1534242941,1,0
1534247449,1,0
1534249236,2,5
1534256453,2,4
1534262745,1,0
1534263644,1,2
1534270852,2,2
1534274446,1,0
1534278048,2,1
1534285256,2,1
1534286153,0,1
1534287943,0,1
1534289751,1,0
1534290658,1,0
1534292450,1,3
1534299648,2,4
1534306841,6,5
1534312254,0,1
1534314046,4,3
1534321375,5,2
1534324848,0,1
1534328444,5,4
1534335649,2,5
1534336561,1,0
1534338357,0,1
1534342840,5,3
1534346437,1,0
1534348243,1,0
1534350044,14,7
1534357251,5,4
1534359948,1,0
1534363552,1,0
1534364455,3,1
1534369837,1,0
1534371649,4,4
1534376146,1,0
1534378845,1,2
1534381551,0,2
1534386054,2,5
1534393251,4,4
1534398644,1,0
1534400440,4,3
1534406765,0,1
1534407661,4,4
1534414853,3,3
1534416646,1,0
1534422053,5,2
1534429249,2,1
1534436449,1,4
1534437350,0,3
1534440050,2,1
1534441858,1,0
1534443657,4,4
1534450855,6,3
1534458050,4,1
1534460758,1,0
1534463454,1,0
1534464353,2,0
