DateTime,AddedIPs,RemovedIPs
1534118568,2,0
1534125768,1,1
1534129368,2,0
1534132973,2,6
1534136568,1,0
1534140169,1,3
1534143773,2,0
1534147368,1,3
1534150973,2,0
1534154631,3,4
1534161771,3,4
1534165372,1,0
1534168969,1,1
1534172572,1,0
1534176169,3,5
1534179769,1,0
1534183369,3,2
1534186969,1,2
1534187268,2,0
1534190629,0,1
1534194171,2,0
1534197769,0,2
1534204969,0,1
1534208573,0,1
1534212229,1,2
1534215769,2,6
1534219373,2,0
1534223029,0,1
1534226570,3,3
1534230229,2,4
1534233769,1,0
1534237370,0,1
1534240969,4,0
1534244569,1,1
1534248169,0,3
1534255431,1,2
1534258969,1,1
1534266169,0,3
1534269773,1,2
1534276969,2,2
1534280629,1,3
1534287831,1,1
1534298570,2,2
1534302171,2,0
1534305770,2,5
1534309430,1,0
1534312972,2,4
1534316573,3,0
1534320231,1,4
1534323771,2,0
1534327371,2,3
1534330970,2,0
1534338170,2,1
1534341774,1,3
1534345370,3,0
1534346420,1,0
1534348940,2,0
1534352540,2,1
1534356200,2,1
1534359802,2,1
1534363400,0,1
1534367003,2,0
1534368019,1,1
1534374201,1,1
1534381399,0,3
1534385001,2,1
1534388601,2,0
1534392201,2,3
1534395740,1,0
1534399340,1,7
1534402940,2,0
1534406542,0,1
1534410201,3,0
1534413740,0,5
1534421000,4,5
1534424544,1,4
1534431800,0,6
1534435342,1,0
1534439000,1,0
1534442542,2,0
1534446140,2,2
1534449803,2,1
1534453341,1,0
1534457001,2,1
1534467802,1,4
1534471342,3,3
1534474940,1,2
1534482141,2,2
1534485741,3,0
1534489341,3,3
1534493001,1,0
1534496601,1,0
1534500141,3,0
1534503865,2,3
1534507401,1,0
1534511001,0,2
1534514602,2,0
1534518202,2,3
1534525345,0,2
1534532605,2,5
1534536207,1,0
1534539745,0,1
1534542681,1,0
1534547001,0,5
1534554141,1,0
1534557742,1,6
1534561402,0,3
1534565002,2,1
1534572142,4,3
1534575802,0,2
